InstrumentName, Wash Park West B
StartTime, 2020-09-01 00:00:00
EndTime, 2020-09-30 23:59:59
Date,PM2.5
09/01/2020 00:01:34.000000,52.43
09/01/2020 00:03:34.000000,15.35
09/01/2020 00:05:34.000000,7.16
09/01/2020 00:07:34.000000,7.04
09/01/2020 00:09:34.000000,5.78
09/01/2020 00:11:34.000000,6.62
09/01/2020 00:13:34.000000,5.53
09/01/2020 00:15:34.000000,5.88
09/01/2020 00:17:34.000000,5.68
09/01/2020 00:19:34.000000,6.35
09/01/2020 00:21:34.000000,10.16
09/01/2020 00:23:34.000000,7.95
09/01/2020 00:25:34.000000,7.2
09/01/2020 00:27:34.000000,6.19
09/01/2020 00:29:34.000000,6.16
09/01/2020 00:31:34.000000,5.81
09/01/2020 00:33:34.000000,5.79
09/01/2020 00:35:34.000000,6.19
09/01/2020 00:37:34.000000,7.42
09/01/2020 00:39:34.000000,6.38
09/01/2020 00:41:34.000000,7.02
09/01/2020 00:43:34.000000,8.8
09/01/2020 00:45:34.000000,8.91
09/01/2020 00:47:34.000000,6.73
09/01/2020 00:49:34.000000,6.66
09/01/2020 00:51:34.000000,7.23
09/01/2020 00:53:34.000000,6.91
09/01/2020 00:55:34.000000,6.78
09/01/2020 00:57:34.000000,7.89
09/01/2020 00:59:34.000000,7.13
09/01/2020 01:01:34.000000,7.76
09/01/2020 01:03:34.000000,7.16
09/01/2020 01:05:34.000000,6.52
09/01/2020 01:07:34.000000,6.42
09/01/2020 01:09:34.000000,7.88
09/01/2020 01:11:34.000000,7.44
09/01/2020 01:13:34.000000,7.4
09/01/2020 01:15:34.000000,6.98
09/01/2020 01:17:34.000000,6.53
09/01/2020 01:19:34.000000,7.74
09/01/2020 01:21:34.000000,7.71
09/01/2020 01:23:34.000000,9.07
09/01/2020 01:25:34.000000,10.39
09/01/2020 01:27:34.000000,9.25
09/01/2020 01:29:34.000000,8.47
09/01/2020 01:31:34.000000,9.5
09/01/2020 01:33:34.000000,8.0
09/01/2020 01:35:34.000000,7.4
09/01/2020 01:37:34.000000,8.4
09/01/2020 01:39:34.000000,8.84
09/01/2020 01:41:34.000000,7.24
09/01/2020 01:43:34.000000,7.97
09/01/2020 01:45:34.000000,9.2
