InstrumentName, I-25 Globeville,,,,
StartTime, 2020-09-01 00:00:00,,,,
EndTime, 2020-09-30 23:59:59,,,,
Date,Nitrogen dioxide,PM2.5 - Local Conditions,Relative Humidity,Wind Direction,Wind Speed
09/22/2020 07:00:00.000000,26.416667,13.830588,34.851929,317.452263,5.410205
09/22/2020 07:01:00.000000,26.35,16.167045,34.730927,307.676647,6.227783
09/22/2020 07:02:00.000000,37.133333,18.222222,34.63327,315.038327,5.642627
09/22/2020 07:03:00.000000,32.816667,15.435227,34.578491,302.585215,5.671338
09/22/2020 07:04:00.000000,40.866667,15.065169,34.56842,313.971749,4.774121
09/22/2020 07:05:00.000000,43.0,15.488372,34.415527,324.635208,4.694141
09/22/2020 07:06:00.000000,43.55,16.203409,34.28186,315.729353,4.299707
09/22/2020 07:07:00.000000,44.25,16.032099,34.078003,317.760039,4.291846
09/22/2020 07:08:00.000000,44.733333,16.778571,33.936554,304.349091,3.28252
09/22/2020 07:09:00.000000,45.566667,16.486747,33.86438,315.408479,2.546631
09/22/2020 07:10:00.000000,46.366667,15.863218,33.782288,313.064875,1.9081540000000001
09/22/2020 07:11:00.000000,47.883333,14.168889,33.680969,307.394217,1.496631
09/22/2020 07:12:00.000000,48.716667,14.239024,33.623444,306.374713,1.146973
09/22/2020 07:13:00.000000,49.1,15.408889,33.553253,294.97254,1.249854
09/22/2020 07:14:00.000000,49.466667,16.561364,33.477112,282.039167,2.390771
09/22/2020 07:15:00.000000,49.916667,14.616667,33.376251,290.454105,2.501172
09/22/2020 07:16:00.000000,49.433333,15.466667,33.415314,249.130688,1.08374
09/22/2020 07:17:00.000000,48.55,15.478652,33.645416,168.176348,1.021191
09/22/2020 07:18:00.000000,46.783333,15.29647,33.811432,159.495552,1.517139
09/22/2020 07:19:00.000000,44.516667,14.182222,34.493347,158.703879,3.239111
09/22/2020 07:20:00.000000,41.333333,15.91954,35.227142,170.735375,3.388477
09/22/2020 07:21:00.000000,37.316667,16.288235,35.724731,161.706975,3.850244
09/22/2020 07:22:00.000000,33.466667,14.810112,36.170288,157.163787,3.780859
09/22/2020 07:23:00.000000,30.283333,15.815909,36.494843,162.125204,2.8556150000000002
