InstrumentName, Woods Park,,
StartTime, 2020-09-01 00:00:00,,
EndTime, 2020-09-30 23:59:59,,
Date,PM1.0,PM10.0,PM2.5
09/01/2020 00:01:30.000000,2.07,2.88,2.73
09/01/2020 00:03:30.000000,1.76,2.53,2.45
09/01/2020 00:05:30.000000,2.09,2.55,2.41
09/01/2020 00:07:30.000000,1.88,2.36,2.36
09/01/2020 00:09:30.000000,1.96,2.28,2.07
09/01/2020 00:11:30.000000,1.49,2.24,2.19
09/01/2020 00:13:30.000000,1.71,2.48,2.28
09/01/2020 00:15:30.000000,2.05,2.68,2.68
09/01/2020 00:17:30.000000,1.91,2.54,2.54
09/01/2020 00:19:30.000000,1.88,2.39,2.14
09/01/2020 00:21:30.000000,2.08,2.95,2.78
09/01/2020 00:23:30.000000,2.43,3.11,3.11
09/01/2020 00:25:30.000000,2.18,2.6,2.51
09/01/2020 00:27:30.000000,1.61,2.37,2.12
09/01/2020 00:29:30.000000,2.19,3.16,2.91
09/01/2020 00:31:30.000000,2.0,2.38,2.38
09/01/2020 00:33:30.000000,2.0,2.79,2.38
09/01/2020 00:35:30.000000,1.78,2.54,2.15
09/01/2020 00:37:30.000000,2.57,3.21,2.95
09/01/2020 00:39:30.000000,2.0,2.41,2.28
09/01/2020 00:41:30.000000,1.91,2.82,2.67
09/01/2020 00:43:30.000000,2.53,2.97,2.97
09/01/2020 00:45:30.000000,2.47,2.8,2.8
09/01/2020 00:47:30.000000,1.97,2.61,2.61
09/01/2020 00:49:30.000000,1.51,1.98,1.98
09/01/2020 00:51:30.000000,1.68,2.42,2.33
09/01/2020 00:53:30.000000,1.52,2.22,2.2
09/01/2020 00:55:30.000000,1.97,2.28,2.28
09/01/2020 00:57:30.000000,2.02,2.68,2.39
09/01/2020 00:59:30.000000,2.04,2.81,2.67
09/01/2020 01:01:30.000000,1.9,2.47,2.25
09/01/2020 01:03:30.000000,1.98,2.53,2.4
09/01/2020 01:05:30.000000,1.95,2.9,2.69
09/01/2020 01:07:30.000000,1.79,2.4,2.4
09/01/2020 01:09:30.000000,2.14,3.31,2.97
09/01/2020 01:11:30.000000,2.56,3.41,3.14
09/01/2020 01:13:30.000000,1.83,2.57,2.36
