InstrumentName, La Casa,,,,,
StartTime, 2020-09-01 00:00:00,,,,,
EndTime, 2020-09-30 23:59:59,,,,,
Date,CO,NO2,O3,PM10,PM2.5,SO2
09/01/2020 00:00:00.000000,0.2,11.0,,52.4,9.5,0.0
09/01/2020 01:00:00.000000,0.2,18.0,,53.9,10.0,0.0
09/01/2020 02:00:00.000000,0.2,6.0,,54.2,9.7,0.0
09/01/2020 03:00:00.000000,0.1,3.0,,32.0,11.3,0.0
09/01/2020 04:00:00.000000,0.2,3.0,,25.8,13.1,0.0
09/01/2020 05:00:00.000000,0.2,,,23.4,12.5,0.0
09/01/2020 06:00:00.000000,0.2,3.0,,22.9,12.6,0.0
09/01/2020 07:00:00.000000,0.2,3.0,,21.8,12.2,
09/01/2020 08:00:00.000000,0.2,3.0,,20.2,11.4,0.0
09/01/2020 09:00:00.000000,0.2,3.0,,19.1,11.0,0.0
09/01/2020 10:00:00.000000,0.2,7.0,,19.4,11.4,0.0
09/01/2020 11:00:00.000000,0.2,17.0,,24.3,13.5,0.0
09/01/2020 12:00:00.000000,0.3,23.0,,29.9,13.0,0.0
09/01/2020 13:00:00.000000,0.3,20.0,,30.5,11.0,0.0
09/01/2020 14:00:00.000000,0.2,11.0,,25.9,8.5,0.0
09/01/2020 15:00:00.000000,0.2,10.0,,24.8,7.9,0.0
09/01/2020 16:00:00.000000,0.3,9.0,,29.7,8.2,0.0
09/01/2020 17:00:00.000000,0.1,9.0,,27.8,9.2,0.0
09/01/2020 18:00:00.000000,0.1,6.0,,28.3,8.2,0.0
09/01/2020 19:00:00.000000,0.1,7.0,,23.7,7.9,0.0
09/01/2020 20:00:00.000000,0.1,8.0,,24.5,7.9,0.0
09/01/2020 21:00:00.000000,0.1,8.0,,23.7,6.9,0.0
09/01/2020 22:00:00.000000,0.1,6.0,,19.0,5.9,0.0
09/01/2020 23:00:00.000000,0.1,6.0,,19.0,5.7,0.0
09/02/2020 00:00:00.000000,0.1,8.0,,18.6,5.8,0.0
09/02/2020 01:00:00.000000,0.1,12.0,,19.8,5.9,0.0
09/02/2020 02:00:00.000000,0.3,23.0,,36.1,7.7,0.0
09/02/2020 03:00:00.000000,0.4,33.0,,38.9,9.7,0.0
