"","Site","ID.x","SensorType","School","Sensor.Start.Date","Major.Roadways","Neighborhood","ID.y","DIR","LENGTH","DIST","TYPE","FACILITY_T","LANE","LANEAB","LANEBA","USE","SPEED_LIMI","AREA_TYPE","ZONE","FFSPEED","FFTIME","CAPACITY","CNTY_CODE","COUNTY","EMAT_SUBAR","EMAT_EQUIT","EMAT_DWTND","EMAT_DENVE","TOT_DYFLOW","TAZ_CNTY","ids","distances","geometry"
"23","Collegiate Prep Academy","Collegiate Prep (CS33)","Lunar","High","21-Aug","","Gateway",25894,0,0.361559,0.361559,1,5,1,1,1,0,30,4,1410,25,0.867741,500,"De",31,"Denver Far North",1,0,1,2000,"Denver",4505,148.721298589996,c(-104.80017, 39.78835)
"24","Columbian Elementary","Columbian Elem (CS23)","Lunar","Elementary","19-Oct","","Northwest",8659,0,0.250961,0.250961,1,5,1,1,1,0,25,3,1296,20,0.752884,450,"De",31,"Denver Northwest",0,0,1,800,"Denver",616,51.0393691179213,c(-105.02442, 39.77248)
"25","Columbine Elementary","Columbine Elem (CS22)","Lunar","Elementary","19-Oct","","",9306,0,0.263736,0.263736,1,4,1,1,1,0,25,3,1352,28,0.565148,550,"De",31,"Denver North Cen",0,0,1,9000,"Denver",3623,19.6737933865875,c(-104.95662, 39.75808)
"26","Denver Montessori Junior/Senior High School","Denver Montessori High (CS27)","Lunar","Middle/High","19-Oct","","",8888,0,0.333218,0.333218,1,5,1,1,1,0,30,3,1296,25,0.799723,450,"De",31,"Denver Northwest",0,0,1,5000,"Denver",2318,152.800199678068,c(-105.00939, 39.77476)
"27","Emily Griffith High School","Emily Griffith HS (CS28)","Lunar","High","19-Oct","","LODO",7058,1,0.040709,0.040709,1,3,4,4,NA,0,NA,1,1771,26,0.093945,2400,"De",31,"Denver North Cen",1,0,1,22000,"Denver",3922,15.4365284369046,c(-104.98593, 39.74563)
"28","Farrell B. Howell Ece 8","Farrell B Howell (CS25)","Lunar","Elementary/Middle","19-Oct","I70","Motbello",31987,0,0.639682,0.639682,1,5,1,1,1,0,25,4,1426,25,1.535237,500,"De",31,"Denver Far North",1,0,1,1000,"Denver",4451,70.4530811799393,c(-104.83267, 39.77626)
"29","Garden Place Elementary School","Garden Place (CS8)","Lunar","Elementary","18-Jun","I70, I25, railraods","Globeville",9045,0,0.763998,0.763998,1,5,1,1,1,0,30,3,1331,25,1.833596,450,"De",31,"Denver Globevill",1,0,1,3000,"Denver",1069,59.2612860666444,c(-104.9869, 39.77708)
"30","Gust Elementary School","Gust (CS15)","Lunar","Elementary","19-Jun","","Southwest",5054,0,0.129828,0.129828,1,4,1,1,1,0,30,3,1580,28,0.278203,550,"De",31,"Denver Far South",1,0,1,9000,"Denver",1532,101.811808067319,c(-105.03184, 39.66684)
"31","Hallett Science & Tech Academy","Hallett Academy (CS29)","Lunar","Elementary","19-Oct","","Park Hill",30503,0,0.24465,0.24465,1,5,1,1,1,0,25,3,1389,20,0.733951,450,"De",31,"Denver Park Hill",0,0,1,1000,"Denver",4183,60.3275688749464,c(-104.9182, 39.75951)
"32","I-25 Denver State Site","I-25 Denver","Airnow","","","","",6551,1,0.156142,0.156142,1,1,6,6,NA,0,55,3,1459,55,0.170336,12000,"De",31,"Denver Central",1,0,1,131000,"Denver",2173,19.6552274023838,c(-105.01531, 39.73214)
