,model_name,EVAL_SITE,CORR_SITE,Correction_Applied,COR,RMSE,BIAS
1,I-25 Denver State Site CAMP State Site lm age,I-25 Denver State Site.csv,CAMP State Site lm age,Yes,0.798724901,5.497045975,-3.774739324
2,I-25 Globeville State Site CAMP State Site lm age,I-25 Globeville State Site.csv,CAMP State Site lm age,Yes,0.828503056,4.616361044,-0.360768808
3,La Casa State Site CAMP State Site lm age,La Casa State Site.csv,CAMP State Site lm age,Yes,0.902525253,3.405516519,-1.311057671
4,National Jewish Health State Site CAMP State Site lm age,National Jewish Health State Site.csv,CAMP State Site lm age,Yes,0.909654116,3.351592717,-1.656483273
5,Swansea GRIMM CAMP State Site lm age,Swansea GRIMM.csv,CAMP State Site lm age,Yes,0.775916637,4.822037269,-0.999490324
6,I-25 Denver State Site CAMP State Site lm all,I-25 Denver State Site.csv,CAMP State Site lm all,Yes,0.800746702,5.445091938,-3.722306869
7,I-25 Globeville State Site CAMP State Site lm all,I-25 Globeville State Site.csv,CAMP State Site lm all,Yes,0.827212481,4.630329933,-0.303813075
8,La Casa State Site CAMP State Site lm all,La Casa State Site.csv,CAMP State Site lm all,Yes,0.90833568,3.30969645,-1.27815488
9,National Jewish Health State Site CAMP State Site lm all,National Jewish Health State Site.csv,CAMP State Site lm all,Yes,0.913570896,3.290723544,-1.621338283
10,Swansea GRIMM CAMP State Site lm all,Swansea GRIMM.csv,CAMP State Site lm all,Yes,0.778420412,4.791832005,-0.958641407
11,I-25 Denver State Site CAMP State Site lm met,I-25 Denver State Site.csv,CAMP State Site lm met,Yes,0.807657312,5.004122247,-3.132776753
12,I-25 Globeville State Site CAMP State Site lm met,I-25 Globeville State Site.csv,CAMP State Site lm met,Yes,0.822251244,4.69221093,0.173027957
13,La Casa State Site CAMP State Site lm met,La Casa State Site.csv,CAMP State Site lm met,Yes,0.914994905,3.091698307,-0.87481904
14,National Jewish Health State Site CAMP State Site lm met,National Jewish Health State Site.csv,CAMP State Site lm met,Yes,0.923644119,3.048282331,-1.307502446
