InstrumentName, I-25 Globeville,
StartTime, 2023-03-01 00:00:00,
EndTime, 2023-03-31 23:59:59,
Date,NO2,PM2.5
03/01/2023 00:00:00.000000,18.0,6.0
03/01/2023 01:00:00.000000,17.0,3.3
03/01/2023 02:00:00.000000,14.0,2.6
03/01/2023 03:00:00.000000,17.0,3.0
03/01/2023 04:00:00.000000,,6.0
03/01/2023 05:00:00.000000,45.0,4.9
03/01/2023 06:00:00.000000,44.0,3.7
03/01/2023 07:00:00.000000,41.0,5.4
03/01/2023 08:00:00.000000,,4.8
03/01/2023 10:00:00.000000,48.0,4.9
03/01/2023 11:00:00.000000,50.0,6.6
03/01/2023 12:00:00.000000,55.0,9.0
03/01/2023 13:00:00.000000,56.0,11.1
03/01/2023 14:00:00.000000,56.0,18.0
03/01/2023 15:00:00.000000,58.0,24.6
03/01/2023 16:00:00.000000,43.0,11.6
03/01/2023 17:00:00.000000,37.0,10.2
03/01/2023 18:00:00.000000,32.0,11.1
03/01/2023 19:00:00.000000,27.0,9.2
03/01/2023 20:00:00.000000,25.0,8.7
03/01/2023 21:00:00.000000,30.0,10.5
03/01/2023 22:00:00.000000,28.0,10.6
03/01/2023 23:00:00.000000,23.0,7.2
03/02/2023 00:00:00.000000,21.0,5.1
03/02/2023 01:00:00.000000,20.0,3.9
03/02/2023 02:00:00.000000,22.0,3.0
03/02/2023 03:00:00.000000,21.0,3.6
03/02/2023 04:00:00.000000,,4.8
03/02/2023 05:00:00.000000,28.0,5.2
03/02/2023 06:00:00.000000,27.0,6.9
03/02/2023 07:00:00.000000,34.0,9.3
03/02/2023 08:00:00.000000,,7.5
03/02/2023 10:00:00.000000,33.0,9.5
03/02/2023 11:00:00.000000,37.0,11.5
03/02/2023 12:00:00.000000,37.0,16.7
03/02/2023 13:00:00.000000,41.0,17.9
03/02/2023 14:00:00.000000,41.0,20.6
03/02/2023 15:00:00.000000,35.0,24.9
03/02/2023 16:00:00.000000,,22.9
03/02/2023 17:00:00.000000,,19.2
03/02/2023 18:00:00.000000,,18.2
03/02/2023 19:00:00.000000,,11.0
03/02/2023 20:00:00.000000,,15.2
03/02/2023 21:00:00.000000,4.0,6.6
03/02/2023 22:00:00.000000,9.0,6.1
03/02/2023 23:00:00.000000,9.0,6.6
03/03/2023 00:00:00.000000,11.0,6.6
03/03/2023 01:00:00.000000,21.0,9.3
03/03/2023 02:00:00.000000,42.0,12.9
03/03/2023 03:00:00.000000,31.0,8.6
03/03/2023 04:00:00.000000,,11.3
03/03/2023 05:00:00.000000,39.0,10.2
03/03/2023 06:00:00.000000,35.0,9.8
03/03/2023 07:00:00.000000,35.0,10.2
03/03/2023 08:00:00.000000,,10.1
03/03/2023 10:00:00.000000,43.0,9.6
03/03/2023 11:00:00.000000,45.0,12.9
03/03/2023 12:00:00.000000,44.0,8.4
03/03/2023 13:00:00.000000,48.0,11.4
03/03/2023 14:00:00.000000,46.0,15.6
03/03/2023 15:00:00.000000,48.0,14.8
03/03/2023 16:00:00.000000,55.0,22.5
03/03/2023 17:00:00.000000,49.0,15.4
03/03/2023 18:00:00.000000,25.0,8.8
03/03/2023 19:00:00.000000,13.0,5.2
03/03/2023 20:00:00.000000,11.0,4.5
03/03/2023 21:00:00.000000,9.0,5.3
03/03/2023 22:00:00.000000,23.0,7.3
03/03/2023 23:00:00.000000,17.0,5.1
03/04/2023 00:00:00.000000,14.0,5.5
03/04/2023 01:00:00.000000,17.0,7.4
03/04/2023 02:00:00.000000,15.0,6.6
03/04/2023 03:00:00.000000,15.0,6.5
03/04/2023 04:00:00.000000,,8.6
03/04/2023 05:00:00.000000,34.0,10.0
03/04/2023 06:00:00.000000,39.0,12.5
03/04/2023 07:00:00.000000,32.0,11.5
03/04/2023 08:00:00.000000,,11.0
03/04/2023 10:00:00.000000,29.0,13.2
03/04/2023 11:00:00.000000,29.0,14.5
03/04/2023 12:00:00.000000,26.0,23.4
03/04/2023 13:00:00.000000,28.0,18.1
03/04/2023 14:00:00.000000,31.0,16.5
03/04/2023 15:00:00.000000,26.0,19.4
03/04/2023 16:00:00.000000,24.0,18.1
03/04/2023 17:00:00.000000,26.0,15.6
03/04/2023 18:00:00.000000,21.0,12.6
03/04/2023 19:00:00.000000,21.0,11.9
03/04/2023 20:00:00.000000,11.0,9.4
03/04/2023 21:00:00.000000,15.0,8.9
03/04/2023 22:00:00.000000,20.0,11.9
03/04/2023 23:00:00.000000,20.0,11.9
03/05/2023 00:00:00.000000,20.0,9.9
03/05/2023 01:00:00.000000,23.0,9.3
03/05/2023 02:00:00.000000,22.0,9.2
03/05/2023 03:00:00.000000,21.0,9.1
03/05/2023 04:00:00.000000,,9.3
03/05/2023 05:00:00.000000,23.0,9.3
03/05/2023 06:00:00.000000,26.0,9.8
03/05/2023 07:00:00.000000,28.0,9.7
03/05/2023 08:00:00.000000,,9.6
03/05/2023 10:00:00.000000,35.0,10.4
03/05/2023 11:00:00.000000,39.0,11.8
03/05/2023 12:00:00.000000,37.0,13.8
03/05/2023 13:00:00.000000,33.0,14.8
03/05/2023 14:00:00.000000,28.0,16.6
03/05/2023 15:00:00.000000,32.0,20.0
03/05/2023 16:00:00.000000,30.0,17.5
03/05/2023 17:00:00.000000,20.0,10.5
03/05/2023 18:00:00.000000,,14.0
03/05/2023 19:00:00.000000,8.0,4.2
03/05/2023 20:00:00.000000,7.0,3.5
03/05/2023 21:00:00.000000,12.0,3.5
03/05/2023 22:00:00.000000,11.0,3.5
03/05/2023 23:00:00.000000,7.0,9.7
03/06/2023 00:00:00.000000,4.0,2.1
03/06/2023 01:00:00.000000,5.0,2.9
03/06/2023 02:00:00.000000,6.0,4.0
03/06/2023 03:00:00.000000,11.0,2.3
03/06/2023 04:00:00.000000,,2.1
03/06/2023 05:00:00.000000,,2.5
03/06/2023 06:00:00.000000,20.0,2.2
03/06/2023 07:00:00.000000,31.0,3.1
03/06/2023 08:00:00.000000,,2.6
03/06/2023 10:00:00.000000,46.0,5.2
03/06/2023 11:00:00.000000,33.0,4.1
03/06/2023 12:00:00.000000,39.0,5.3
03/06/2023 13:00:00.000000,45.0,7.6
03/06/2023 14:00:00.000000,42.0,10.4
03/06/2023 15:00:00.000000,37.0,8.4
03/06/2023 16:00:00.000000,7.0,2.4
03/06/2023 17:00:00.000000,4.0,2.0
03/06/2023 18:00:00.000000,5.0,2.6
03/06/2023 19:00:00.000000,5.0,3.0
03/06/2023 20:00:00.000000,5.0,4.1
03/06/2023 21:00:00.000000,5.0,6.1
03/06/2023 22:00:00.000000,5.0,6.6
03/06/2023 23:00:00.000000,,5.9
03/07/2023 00:00:00.000000,7.0,5.3
03/07/2023 01:00:00.000000,6.0,4.2
03/07/2023 02:00:00.000000,7.0,4.1
03/07/2023 03:00:00.000000,8.0,3.7
03/07/2023 04:00:00.000000,,3.9
03/07/2023 05:00:00.000000,,3.9
03/07/2023 06:00:00.000000,8.0,11.0
03/07/2023 07:00:00.000000,7.0,13.0
03/07/2023 08:00:00.000000,,10.5
03/07/2023 10:00:00.000000,7.0,9.0
03/07/2023 11:00:00.000000,8.0,4.2
03/07/2023 12:00:00.000000,13.0,3.0
03/07/2023 13:00:00.000000,19.0,4.3
03/07/2023 14:00:00.000000,22.0,4.4
03/07/2023 15:00:00.000000,20.0,5.2
03/07/2023 16:00:00.000000,21.0,6.6
03/07/2023 17:00:00.000000,20.0,8.6
03/07/2023 18:00:00.000000,17.0,8.4
03/07/2023 19:00:00.000000,15.0,7.5
03/07/2023 20:00:00.000000,13.0,8.2
03/07/2023 21:00:00.000000,24.0,12.2
03/07/2023 22:00:00.000000,24.0,12.7
03/07/2023 23:00:00.000000,21.0,12.1
03/08/2023 00:00:00.000000,16.0,9.3
03/08/2023 01:00:00.000000,22.0,10.2
03/08/2023 02:00:00.000000,23.0,11.0
03/08/2023 03:00:00.000000,22.0,9.8
03/08/2023 04:00:00.000000,,10.7
03/08/2023 05:00:00.000000,36.0,11.8
