InstrumentName, I-25 Globeville,
StartTime, 2023-02-01 00:00:00,
EndTime, 2023-02-28 23:59:59,
Date,NO2,PM2.5
02/01/2023 00:00:00.000000,58.0,18.1
02/01/2023 01:00:00.000000,54.0,16.5
02/01/2023 02:00:00.000000,54.0,19.3
02/01/2023 03:00:00.000000,57.0,21.4
02/01/2023 04:00:00.000000,,18.5
02/01/2023 05:00:00.000000,58.0,18.8
02/01/2023 06:00:00.000000,63.0,22.7
02/01/2023 07:00:00.000000,68.0,26.2
02/01/2023 08:00:00.000000,,22.8
02/01/2023 10:00:00.000000,51.0,7.5
02/01/2023 11:00:00.000000,51.0,6.2
02/01/2023 12:00:00.000000,48.0,5.0
02/01/2023 13:00:00.000000,50.0,6.4
02/01/2023 14:00:00.000000,53.0,10.6
02/01/2023 15:00:00.000000,51.0,16.9
02/01/2023 16:00:00.000000,51.0,24.2
02/01/2023 17:00:00.000000,49.0,28.9
02/01/2023 18:00:00.000000,41.0,21.1
02/01/2023 19:00:00.000000,28.0,10.5
02/01/2023 20:00:00.000000,23.0,6.9
02/01/2023 21:00:00.000000,23.0,7.7
02/01/2023 22:00:00.000000,23.0,5.1
02/01/2023 23:00:00.000000,28.0,6.9
02/02/2023 00:00:00.000000,42.0,9.0
02/02/2023 01:00:00.000000,60.0,15.5
02/02/2023 02:00:00.000000,62.0,16.5
02/02/2023 03:00:00.000000,67.0,18.0
02/02/2023 04:00:00.000000,,12.1
02/02/2023 05:00:00.000000,64.0,20.9
02/02/2023 06:00:00.000000,67.0,26.9
02/02/2023 07:00:00.000000,65.0,20.5
02/02/2023 08:00:00.000000,,21.3
02/02/2023 10:00:00.000000,47.0,6.4
02/02/2023 11:00:00.000000,49.0,4.9
02/02/2023 12:00:00.000000,56.0,8.2
02/02/2023 13:00:00.000000,55.0,7.9
02/02/2023 14:00:00.000000,54.0,9.3
02/02/2023 15:00:00.000000,50.0,14.5
02/02/2023 16:00:00.000000,43.0,17.7
02/02/2023 17:00:00.000000,28.0,10.4
02/02/2023 18:00:00.000000,15.0,4.6
02/02/2023 19:00:00.000000,8.0,3.3
02/02/2023 20:00:00.000000,9.0,2.9
02/02/2023 21:00:00.000000,10.0,3.3
02/02/2023 22:00:00.000000,13.0,3.3
02/02/2023 23:00:00.000000,23.0,6.6
02/03/2023 00:00:00.000000,51.0,13.5
02/03/2023 01:00:00.000000,51.0,11.5
02/03/2023 02:00:00.000000,55.0,11.3
02/03/2023 03:00:00.000000,58.0,13.5
02/03/2023 04:00:00.000000,,13.9
02/03/2023 05:00:00.000000,39.0,7.8
02/03/2023 06:00:00.000000,29.0,4.2
