InstrumentName, CEC Early College (CS31)
StartTime, 2021-11-01 00:00:00
EndTime, 2021-11-30 00:00:00
Date,B,EH,ET,ICCID,IH,IT,P,PM10,PM1_0,PM2_5,PM2_5_p,Sig,Time,WD,WS
11/01/2021 00:01:00,11.755,-1.0,-1.0,,48.54,45.53,840.74,9.73,5.48,8.14,7.715,0.0,,-1.0,-1.0
11/01/2021 00:02:00,11.746,-1.0,-1.0,,48.73,45.42,840.71,9.34,4.92,7.94,7.59,0.0,,-1.0,-1.0
11/01/2021 00:03:00,11.741,-1.0,-1.0,,48.74,45.47,840.67,9.25,5.36,8.38,7.862,0.0,,-1.0,-1.0
11/01/2021 00:04:00,11.741,-1.0,-1.0,,48.77,45.5,840.71,8.26,5.32,8.22,7.763,0.0,,-1.0,-1.0
11/01/2021 00:05:00,11.746,-1.0,-1.0,,48.63,45.55,840.82,8.28,5.07,7.82,7.517,0.0,,-1.0,-1.0
11/01/2021 00:06:01,11.736,-1.0,-1.0,,48.42,45.66,840.91,9.15,5.44,8.67,8.044,0.0,,-1.0,-1.0
11/01/2021 00:07:00,11.731,-1.0,-1.0,,48.36,45.68,840.91,9.31,5.53,7.99,7.625,0.0,,-1.0,-1.0
11/01/2021 00:08:00,11.741,-1.0,-1.0,,48.5,45.6,840.9,10.67,7.41,10.67,9.278,0.0,,-1.0,-1.0
11/01/2021 00:09:00,11.741,-1.0,-1.0,,48.89,45.38,840.88,11.23,7.37,11.0,9.478,0.0,,-1.0,-1.0
11/01/2021 00:10:01,11.741,-1.0,-1.0,,48.88,45.42,840.92,11.34,7.63,11.03,9.497,0.0,,-1.0,-1.0
11/01/2021 00:11:00,11.741,-1.0,-1.0,,49.09,45.33,841.0,16.79,10.71,15.66,12.354,0.0,,-1.0,-1.0
11/01/2021 00:12:00,11.741,-1.0,-1.0,,49.36,45.18,841.06,13.72,8.15,12.62,10.474,0.0,,-1.0,-1.0
11/01/2021 00:13:00,11.726,-1.0,-1.0,,49.49,45.08,841.08,10.5,6.14,9.93,8.812,0.0,,-1.0,-1.0
11/01/2021 00:14:01,11.717,-1.0,-1.0,,49.6,45.02,841.09,9.27,5.85,8.62,8.002,0.0,,-1.0,-1.0
11/01/2021 00:15:00,11.736,-1.0,-1.0,,49.62,45.02,841.08,10.27,5.86,9.88,8.78,0.0,,-1.0,-1.0
11/01/2021 00:16:00,11.731,-1.0,-1.0,,49.79,44.92,841.09,10.37,6.51,9.69,8.661,0.0,,-1.0,-1.0
11/01/2021 00:17:00,11.722,-1.0,-1.0,,49.92,44.79,841.08,9.98,5.67,8.93,8.19,0.0,,-1.0,-1.0
11/01/2021 00:18:00,11.722,-1.0,-1.0,,50.08,44.73,841.07,10.22,6.4,9.75,8.695,0.0,,-1.0,-1.0
