InstrumentName, MLK HS (CS32)
StartTime, 2021-11-01 00:00:00
EndTime, 2021-11-30 00:00:00
Date,B,EH,ET,ICCID,IH,IT,P,PM10,PM1_0,PM2_5,PM2_5_p,Sig,Time,WD,WS
11/01/2021 00:01:00,11.952,-1.0,-1.0,,46.83,45.21,837.54,9.6,5.17,7.69,7.439,0.0,,-1.0,-1.0
11/01/2021 00:02:00,12.038,-1.0,-1.0,,47.12,45.05,837.52,8.61,4.38,6.64,6.788,0.0,,-1.0,-1.0
11/01/2021 00:03:00,11.832,-1.0,-1.0,,47.24,44.99,837.51,8.42,4.41,7.86,7.54,0.0,,-1.0,-1.0
11/01/2021 00:04:00,11.947,-1.0,-1.0,,47.38,44.91,837.5,6.84,4.12,6.32,6.588,0.0,,-1.0,-1.0
11/01/2021 00:05:00,12.005,-1.0,-1.0,,47.43,44.95,837.5,7.37,4.08,6.21,6.52,0.0,,-1.0,-1.0
11/01/2021 00:06:00,12.029,-1.0,-1.0,,47.04,45.23,837.52,8.12,4.59,6.77,6.871,0.0,,-1.0,-1.0
11/01/2021 00:07:00,12.043,-1.0,-1.0,,47.12,45.16,837.54,6.56,4.51,6.45,6.672,0.0,,-1.0,-1.0
11/01/2021 00:08:00,12.014,-1.0,-1.0,,47.07,45.2,837.56,7.01,4.67,6.59,6.759,0.0,,-1.0,-1.0
11/01/2021 00:09:00,12.014,-1.0,-1.0,,47.26,45.02,837.56,8.38,4.69,6.6,6.763,0.0,,-1.0,-1.0
11/01/2021 00:10:00,11.947,-1.0,-1.0,,47.35,44.97,837.54,6.32,3.73,5.98,6.379,0.0,,-1.0,-1.0
11/01/2021 00:11:00,11.981,-1.0,-1.0,,47.35,45.0,837.53,7.28,4.21,6.28,6.564,0.0,,-1.0,-1.0
11/01/2021 00:12:00,11.995,-1.0,-1.0,,47.34,45.01,837.54,7.79,4.3,6.82,6.898,0.0,,-1.0,-1.0
11/01/2021 00:13:00,12.029,-1.0,-1.0,,47.21,45.07,837.52,7.03,3.94,6.48,6.689,0.0,,-1.0,-1.0
11/01/2021 00:14:00,11.976,-1.0,-1.0,,47.09,45.12,837.52,6.56,4.31,6.27,6.56,0.0,,-1.0,-1.0
11/01/2021 00:15:00,12.0,-1.0,-1.0,,47.07,45.13,837.53,6.21,4.09,6.19,6.511,0.0,,-1.0,-1.0
11/01/2021 00:16:00,12.067,-1.0,-1.0,,46.97,45.23,837.56,6.16,3.42,5.63,6.167,0.0,,-1.0,-1.0
11/01/2021 00:17:00,11.986,-1.0,-1.0,,46.95,45.28,837.59,6.47,3.65,5.79,6.266,0.0,,-1.0,-1.0
11/01/2021 00:18:00,11.842,-1.0,-1.0,,46.84,45.33,837.59,7.05,4.27,6.34,6.607,0.0,,-1.0,-1.0
11/01/2021 00:19:00,11.856,-1.0,-1.0,,46.92,45.27,837.57,8.17,4.43,6.9,6.952,0.0,,-1.0,-1.0
11/01/2021 00:20:00,11.846,-1.0,-1.0,,46.66,45.42,837.47,5.95,3.42,5.43,6.047,0.0,,-1.0,-1.0
11/01/2021 00:21:00,12.014,-1.0,-1.0,,46.08,45.74,837.39,6.44,4.02,5.9,6.342,0.0,,-1.0,-1.0
11/01/2021 00:22:00,11.933,-1.0,-1.0,,45.8,45.9,837.32,6.3,3.67,5.61,6.166,0.0,,-1.0,-1.0
11/01/2021 00:23:00,11.899,-1.0,-1.0,,45.44,46.11,837.25,6.21,4.03,5.78,6.274,0.0,,-1.0,-1.0
11/01/2021 00:24:00,12.043,-1.0,-1.0,,45.35,46.17,837.25,5.67,3.54,4.93,5.751,0.0,,-1.0,-1.0
11/01/2021 00:25:00,11.99,-1.0,-1.0,,45.24,46.23,837.3,5.78,3.17,5.33,5.999,0.0,,-1.0,-1.0
11/01/2021 00:26:01,11.976,-1.0,-1.0,,45.27,46.18,837.39,5.66,3.56,5.17,5.899,0.0,,-1.0,-1.0
11/01/2021 00:27:00,12.058,-1.0,-1.0,,45.45,46.09,837.47,6.59,3.83,5.52,6.114,0.0,,-1.0,-1.0
11/01/2021 00:28:00,11.846,-1.0,-1.0,,45.81,45.99,837.57,6.19,4.03,5.94,6.371,0.0,,-1.0,-1.0
11/01/2021 00:29:00,12.01,-1.0,-1.0,,46.08,45.9,837.63,6.68,4.03,5.91,6.35,0.0,,-1.0,-1.0
11/01/2021 00:30:00,11.947,-1.0,-1.0,,46.22,45.83,837.65,7.62,4.02,6.43,6.67,0.0,,-1.0,-1.0
11/01/2021 00:31:00,11.971,-1.0,-1.0,,46.24,45.71,837.65,7.07,3.95,6.04,6.428,0.0,,-1.0,-1.0
11/01/2021 00:32:00,11.966,-1.0,-1.0,,46.54,45.56,837.63,8.58,4.55,8.21,7.765,0.0,,-1.0,-1.0
11/01/2021 00:33:00,12.086,-1.0,-1.0,,46.47,45.56,837.64,10.4,6.33,9.39,8.494,0.0,,-1.0,-1.0
11/01/2021 00:34:01,12.005,-1.0,-1.0,,46.58,45.5,837.67,11.68,7.42,10.53,9.196,0.0,,-1.0,-1.0
11/01/2021 00:35:00,12.038,-1.0,-1.0,,46.67,45.46,837.71,10.12,6.58,9.11,8.319,0.0,,-1.0,-1.0
11/01/2021 00:36:00,12.067,-1.0,-1.0,,46.73,45.41,837.73,8.33,5.41,7.27,7.182,0.0,,-1.0,-1.0
11/01/2021 00:37:00,11.914,-1.0,-1.0,,46.87,45.37,837.76,7.79,4.96,7.26,7.175,0.0,,-1.0,-1.0
11/01/2021 00:38:00,11.827,-1.0,-1.0,,46.82,45.44,837.79,9.06,5.44,8.53,7.96,0.0,,-1.0,-1.0
11/01/2021 00:39:00,11.976,-1.0,-1.0,,46.63,45.47,837.82,8.2,4.72,7.56,7.362,0.0,,-1.0,-1.0
11/01/2021 00:40:00,12.01,-1.0,-1.0,,46.69,45.44,837.8,9.55,4.81,7.13,7.096,0.0,,-1.0,-1.0
11/01/2021 00:41:00,11.933,-1.0,-1.0,,46.66,45.44,837.78,7.64,5.28,7.37,7.245,0.0,,-1.0,-1.0
11/01/2021 00:42:00,11.89,-1.0,-1.0,,46.8,45.38,837.75,11.88,6.62,9.82,8.756,0.0,,-1.0,-1.0
11/01/2021 00:43:00,12.019,-1.0,-1.0,,46.95,45.32,837.75,8.84,5.31,7.7,7.446,0.0,,-1.0,-1.0
11/01/2021 00:44:00,12.029,-1.0,-1.0,,46.93,45.36,837.72,9.1,5.13,7.49,7.317,0.0,,-1.0,-1.0
11/01/2021 00:45:00,11.933,-1.0,-1.0,,46.83,45.4,837.7,9.61,5.59,7.95,7.602,0.0,,-1.0,-1.0
11/01/2021 00:46:00,11.909,-1.0,-1.0,,46.82,45.37,837.68,8.59,4.82,6.95,6.984,0.0,,-1.0,-1.0
11/01/2021 00:47:01,12.029,-1.0,-1.0,,46.97,45.23,837.67,8.48,4.6,6.73,6.846,0.0,,-1.0,-1.0
11/01/2021 00:48:00,11.962,-1.0,-1.0,,47.19,45.13,837.69,8.62,4.49,6.89,6.943,0.0,,-1.0,-1.0
11/01/2021 00:49:00,11.87,-1.0,-1.0,,47.28,45.11,837.76,7.89,4.6,7.33,7.214,0.0,,-1.0,-1.0
11/01/2021 00:50:00,12.01,-1.0,-1.0,,47.35,45.04,837.83,7.4,4.39,6.52,6.713,0.0,,-1.0,-1.0
11/01/2021 00:51:00,12.053,-1.0,-1.0,,47.24,45.12,837.87,7.55,4.43,6.57,6.745,0.0,,-1.0,-1.0
11/01/2021 00:52:00,11.837,-1.0,-1.0,,47.4,45.02,837.89,6.18,3.59,5.54,6.108,0.0,,-1.0,-1.0
11/01/2021 00:53:00,11.875,-1.0,-1.0,,47.61,44.91,837.91,7.52,4.33,6.63,6.779,0.0,,-1.0,-1.0
11/01/2021 00:54:00,11.933,-1.0,-1.0,,47.48,45.02,837.94,7.14,4.35,6.89,6.941,0.0,,-1.0,-1.0
11/01/2021 00:55:00,11.933,-1.0,-1.0,,47.44,45.04,837.98,8.01,4.89,7.43,7.275,0.0,,-1.0,-1.0
11/01/2021 00:56:00,11.89,-1.0,-1.0,,47.43,45.07,837.99,8.22,4.71,7.99,7.621,0.0,,-1.0,-1.0
11/01/2021 00:57:00,11.942,-1.0,-1.0,,47.39,45.09,837.98,8.45,4.33,6.57,6.744,0.0,,-1.0,-1.0
11/01/2021 00:58:00,11.981,-1.0,-1.0,,47.29,45.17,837.97,8.87,4.58,7.27,7.178,0.0,,-1.0,-1.0
11/01/2021 00:59:00,11.995,-1.0,-1.0,,47.25,45.2,837.97,7.68,4.49,7.04,7.036,0.0,,-1.0,-1.0
11/01/2021 01:00:00,12.019,-1.0,-1.0,,47.34,45.14,838.0,9.34,5.38,8.05,7.659,0.0,,-1.0,-1.0
11/01/2021 01:01:00,11.914,-1.0,-1.0,,47.6,45.0,838.02,8.41,4.7,7.97,7.607,0.0,,-1.0,-1.0
