InstrumentName, Legacy Option High School (RAMP 1354),,,,,,,,,,,,,,,,,,,,,,
StartTime, 2022-10-01 00:00:00,,,,,,,,,,,,,,,,,,,,,,
EndTime, 2022-10-31 23:59:59,,,,,,,,,,,,,,,,,,,,,,
Date,batt,brdv,cell,chrg,csq,fwv,humid,humid2,misc,pm1.0,pm1.0_2,pm10,pm10_2,pm2.5,pm2.5_2,port,run,sd,snr,temp,temp2,wdir,wspd
10/06/2022 15:25:08.000000,3.82,83.0,105100.0,3.22,-67.0,977.0,33.6,34.1,75.0,7.48,8.49,11.76,11.47,11.57,11.4,0.0,206.21,1000.0,-3.0,18.5,18.1,375.0,0.0
10/06/2022 15:26:10.000000,,,,,,,33.6,34.0,,7.62,7.52,10.89,10.77,10.82,10.52,,,,,18.5,18.1,375.0,0.0
10/06/2022 15:27:09.000000,3.81,83.0,105100.0,4.83,-66.0,977.0,33.5,34.1,75.0,7.68,8.26,11.69,11.24,11.55,10.89,0.0,291.59,1000.0,-1.0,18.5,18.1,375.0,0.0
10/06/2022 15:28:09.000000,,,,,,,33.5,34.1,,7.52,8.64,11.95,12.02,11.73,11.65,,,,,18.5,18.0,375.0,0.0
10/06/2022 15:29:09.000000,3.82,83.0,105100.0,1.61,-64.0,977.0,33.5,34.0,75.0,7.58,7.81,11.0,11.4,10.92,11.01,0.0,206.21,1000.0,0.0,18.5,18.1,375.0,0.0
10/06/2022 15:30:09.000000,,,,,,,33.5,34.0,,7.6,8.0,11.57,12.1,11.27,11.56,,,,,18.5,18.1,375.0,0.0
10/06/2022 15:31:09.000000,3.81,83.0,105100.0,4.83,-67.0,977.0,33.4,34.0,75.0,8.17,8.44,11.81,12.45,11.7,11.78,0.0,291.59,1000.0,-1.0,18.5,18.1,375.0,0.0
10/06/2022 15:32:09.000000,,,,,,,33.5,34.0,,7.71,8.14,11.48,12.96,11.34,12.51,,,,,18.5,18.1,375.0,0.0
10/06/2022 15:33:09.000000,3.81,83.0,105100.0,3.22,-67.0,977.0,33.5,34.0,75.0,7.48,7.9,11.58,11.44,11.21,11.25,0.0,249.7,1000.0,-1.0,18.5,18.1,375.0,0.0
10/06/2022 15:34:09.000000,,,,,,,33.5,34.0,,7.57,7.56,11.34,11.18,10.9,11.02,,,,,18.5,18.1,375.0,0.0
10/06/2022 15:35:09.000000,3.82,83.0,105100.0,1.61,-65.0,977.0,33.5,34.0,75.0,7.75,7.21,11.6,10.84,11.07,10.67,0.0,193.32,1000.0,0.0,18.5,18.1,375.0,0.0
                
