InstrumentName, Woods Park B,,
StartTime, 2022-10-01 00:00:00,,
EndTime, 2022-10-31 23:59:59,,
Date,PM1.0,PM10.0,PM2.5
10/01/2022 00:02:41.000000,7.52,10.15,9.57
10/01/2022 00:06:41.000000,6.75,9.73,9.29
10/01/2022 00:10:41.000000,7.08,9.95,9.31
10/01/2022 00:14:41.000000,7.07,10.0,9.67
10/01/2022 00:18:41.000000,6.67,10.1,8.93
10/01/2022 00:22:41.000000,6.69,10.07,9.29
10/01/2022 00:26:41.000000,7.15,9.95,9.56
10/01/2022 00:30:41.000000,7.41,9.85,9.44
10/01/2022 00:34:41.000000,6.95,10.07,9.16
10/01/2022 00:38:41.000000,6.36,9.11,8.44
10/01/2022 00:42:41.000000,7.27,9.31,9.2
10/01/2022 00:46:41.000000,7.29,10.2,9.77
10/01/2022 00:50:41.000000,6.68,9.59,9.17
10/01/2022 00:54:41.000000,7.02,10.54,9.62
10/01/2022 00:58:41.000000,7.7,10.05,9.5
10/01/2022 01:02:41.000000,6.23,9.27,8.91
10/01/2022 01:06:41.000000,6.75,9.32,8.82
10/01/2022 01:10:41.000000,6.68,9.81,9.02
10/01/2022 01:14:41.000000,7.72,10.66,10.38
10/01/2022 01:18:41.000000,7.28,10.81,9.91
10/01/2022 01:22:41.000000,6.97,10.41,9.81
10/01/2022 01:26:41.000000,7.34,10.61,10.05
10/01/2022 01:30:41.000000,7.18,10.16,9.63
10/01/2022 01:34:41.000000,7.5,10.55,10.22
10/01/2022 01:38:42.000000,6.97,10.02,9.82
10/01/2022 01:42:42.000000,7.86,12.04,10.55
10/01/2022 01:46:42.000000,7.93,11.36,10.24
10/01/2022 01:50:42.000000,8.43,12.79,11.86
10/01/2022 01:54:42.000000,8.25,12.14,11.22
10/01/2022 01:58:42.000000,8.46,12.45,11.59
10/01/2022 02:02:42.000000,8.17,11.68,10.88
10/01/2022 02:06:42.000000,7.96,11.93,10.62
10/01/2022 02:10:42.000000,8.03,11.87,11.12
10/01/2022 02:14:42.000000,7.93,11.9,10.93
10/01/2022 02:18:42.000000,8.66,12.12,11.63
10/01/2022 02:22:42.000000,8.31,12.36,11.07
10/01/2022 02:26:42.000000,8.21,11.36,10.91
10/01/2022 02:30:42.000000,7.85,12.5,11.23
10/01/2022 02:34:42.000000,7.59,10.84,9.86
10/01/2022 02:38:43.000000,7.52,9.86,9.55
10/01/2022 02:42:42.000000,7.98,11.14,10.36
10/01/2022 02:46:43.000000,8.09,11.37,10.95
10/01/2022 02:50:42.000000,7.57,10.21,9.76
10/01/2022 02:54:45.000000,7.45,11.24,10.26
10/01/2022 02:58:42.000000,7.47,10.27,9.75
10/01/2022 03:02:42.000000,7.36,11.3,10.43
10/01/2022 03:06:42.000000,8.24,11.92,10.97
10/01/2022 03:10:42.000000,8.0,11.32,10.93
10/01/2022 03:14:42.000000,7.76,10.92,10.0
10/01/2022 03:18:42.000000,7.42,10.67,9.56
10/01/2022 03:22:42.000000,8.28,12.34,11.72
10/01/2022 03:26:42.000000,7.91,11.86,10.71
10/01/2022 03:30:42.000000,7.61,10.07,9.77
10/01/2022 03:34:42.000000,7.78,11.28,10.32
10/01/2022 03:38:43.000000,7.56,11.31,10.98
10/01/2022 03:42:43.000000,7.47,10.96,10.11
10/01/2022 03:46:43.000000,7.64,11.0,10.0
10/01/2022 03:50:43.000000,7.46,10.95,10.49
10/01/2022 03:54:43.000000,7.84,11.1,10.53
10/01/2022 03:58:43.000000,7.04,11.26,10.4
10/01/2022 04:08:43.000000,8.09,12.07,10.8
10/01/2022 04:14:43.000000,7.54,11.65,10.74
10/01/2022 04:18:43.000000,8.86,12.33,11.48
10/01/2022 04:22:43.000000,7.98,11.69,10.81
10/01/2022 04:26:43.000000,8.24,11.39,10.73
10/01/2022 04:30:43.000000,7.85,12.9,11.75
10/01/2022 04:34:43.000000,8.16,12.66,11.59
10/01/2022 04:38:44.000000,7.88,11.44,10.82
10/01/2022 04:42:44.000000,8.77,12.65,12.02
10/01/2022 04:46:44.000000,8.43,11.91,11.11
10/01/2022 04:50:44.000000,7.22,11.24,10.41
10/01/2022 04:54:44.000000,8.05,11.23,10.61
10/01/2022 04:58:44.000000,8.27,11.53,11.03
10/01/2022 05:02:44.000000,7.88,12.23,11.18
10/01/2022 05:06:44.000000,8.17,11.48,11.07
10/01/2022 05:10:44.000000,7.86,11.14,10.14
10/01/2022 05:14:44.000000,7.58,10.97,10.15
10/01/2022 05:18:44.000000,8.12,11.14,10.55
10/01/2022 05:22:44.000000,8.31,10.78,10.6
10/01/2022 05:26:44.000000,8.52,13.14,12.09
10/01/2022 05:30:44.000000,8.39,11.81,11.46
10/01/2022 05:34:44.000000,7.58,12.0,11.15
10/01/2022 05:38:44.000000,7.4,10.9,10.05
10/01/2022 05:42:44.000000,7.66,11.14,10.18
10/01/2022 05:46:44.000000,7.54,10.42,10.0
10/01/2022 05:50:44.000000,7.91,11.65,10.47
10/01/2022 05:54:44.000000,7.47,11.77,10.62
10/01/2022 05:58:44.000000,7.53,11.29,10.76
10/01/2022 06:02:44.000000,8.03,11.16,10.64
10/01/2022 06:06:44.000000,7.89,11.07,10.48
10/01/2022 06:10:44.000000,7.75,11.37,10.72
10/01/2022 06:14:44.000000,7.55,10.6,9.95
10/01/2022 06:18:44.000000,7.55,10.29,9.62
10/01/2022 06:22:44.000000,7.71,11.17,10.88
10/01/2022 06:26:44.000000,7.83,11.28,10.95
10/01/2022 06:30:44.000000,7.68,11.75,10.8
10/01/2022 06:34:44.000000,7.7,11.56,10.79
10/01/2022 06:38:45.000000,7.63,11.17,10.56
10/01/2022 06:42:45.000000,8.29,12.03,10.88
10/01/2022 06:46:45.000000,7.77,10.82,10.56
10/01/2022 06:50:45.000000,8.41,11.75,11.37
10/01/2022 06:54:45.000000,8.33,12.56,11.51
10/01/2022 06:58:45.000000,7.85,11.41,10.81
10/01/2022 07:02:45.000000,8.25,12.23,11.5
10/01/2022 07:06:45.000000,7.95,11.34,10.83
10/01/2022 07:10:45.000000,8.05,11.67,10.86
10/01/2022 07:14:45.000000,8.14,11.78,11.02
10/01/2022 07:18:45.000000,8.14,11.36,10.74
10/01/2022 07:22:45.000000,8.17,12.29,10.91
10/01/2022 07:26:45.000000,8.39,11.58,11.02
10/01/2022 07:30:45.000000,7.68,10.89,10.38
10/01/2022 07:34:45.000000,8.62,13.32,11.83
10/01/2022 07:38:45.000000,8.54,12.02,11.25
10/01/2022 07:42:45.000000,8.51,12.85,12.27
10/01/2022 07:46:45.000000,9.43,13.19,11.97
10/01/2022 07:50:45.000000,9.12,13.3,12.91
10/01/2022 07:54:45.000000,10.71,16.08,15.07
10/01/2022 07:58:45.000000,11.91,17.23,15.79
10/01/2022 08:02:45.000000,10.97,16.7,15.37
10/01/2022 08:06:45.000000,10.56,16.65,14.6
10/01/2022 08:10:45.000000,11.05,16.29,14.8
10/01/2022 08:14:45.000000,9.95,15.07,13.56
10/01/2022 08:18:45.000000,9.83,14.81,13.26
10/01/2022 08:22:48.000000,10.81,15.66,14.72
10/01/2022 08:26:45.000000,10.23,14.7,13.77
10/01/2022 08:30:45.000000,9.97,14.85,13.63
10/01/2022 08:34:45.000000,10.23,15.86,14.63
10/01/2022 08:38:46.000000,9.75,13.91,13.15
10/01/2022 08:42:46.000000,9.69,14.12,13.17
10/01/2022 08:46:46.000000,10.05,15.75,14.38
10/01/2022 08:50:46.000000,10.37,15.41,14.31
10/01/2022 08:54:46.000000,10.89,15.18,13.81
10/01/2022 08:58:46.000000,10.91,15.88,15.24
10/01/2022 09:02:46.000000,9.71,14.18,13.34
10/01/2022 09:06:46.000000,11.02,15.05,14.69
10/01/2022 09:10:46.000000,10.84,17.0,15.12
10/01/2022 09:14:46.000000,12.22,17.59,16.58
10/01/2022 09:18:46.000000,12.72,17.51,16.7
10/01/2022 09:22:46.000000,12.33,17.64,16.62
10/01/2022 09:26:46.000000,11.83,16.68,15.9
10/01/2022 09:30:46.000000,11.84,16.52,15.72
10/01/2022 09:34:46.000000,11.39,16.73,15.42
10/01/2022 09:38:47.000000,12.1,17.95,16.61
10/01/2022 09:42:47.000000,11.84,16.96,15.8
10/01/2022 09:46:47.000000,12.1,16.72,16.33
10/01/2022 09:50:47.000000,12.03,17.53,16.26
10/01/2022 09:54:47.000000,12.08,18.3,16.95
10/01/2022 09:58:47.000000,11.43,17.73,16.3
10/01/2022 10:02:46.000000,11.79,17.57,16.79
10/01/2022 10:06:47.000000,12.62,19.17,17.36
10/01/2022 10:10:47.000000,12.25,19.1,17.73
10/01/2022 10:14:47.000000,12.66,18.79,17.02
10/01/2022 10:18:47.000000,12.76,20.24,18.42
10/01/2022 10:22:47.000000,12.52,18.16,16.98
10/01/2022 10:26:47.000000,12.88,18.6,17.43
10/01/2022 10:30:46.000000,11.97,17.17,16.12
10/01/2022 10:34:46.000000,12.24,17.09,16.12
10/01/2022 10:38:47.000000,13.0,18.36,17.0
10/01/2022 10:42:47.000000,12.86,19.44,17.8
10/01/2022 10:46:47.000000,12.95,19.82,18.46
10/01/2022 10:50:47.000000,13.8,20.63,18.83
10/01/2022 10:54:47.000000,14.32,20.46,19.3
10/01/2022 10:58:47.000000,14.05,20.47,19.0
10/01/2022 11:02:47.000000,13.73,19.98,19.23
10/01/2022 11:06:47.000000,14.33,21.38,19.29
10/01/2022 11:10:47.000000,13.81,19.76,18.64
10/01/2022 11:14:47.000000,13.39,19.95,18.66
10/01/2022 11:18:47.000000,14.42,21.16,19.82
10/01/2022 11:22:47.000000,14.03,20.02,19.07
10/01/2022 11:26:47.000000,14.76,21.1,20.07
10/01/2022 11:30:47.000000,15.51,23.23,21.3
10/01/2022 11:34:47.000000,13.95,21.31,19.74
10/01/2022 11:38:48.000000,13.95,20.65,19.95
10/01/2022 11:42:48.000000,14.09,20.71,18.89
10/01/2022 11:46:48.000000,13.75,22.34,20.07
10/01/2022 11:50:48.000000,13.91,19.88,18.84
10/01/2022 11:54:48.000000,14.76,21.45,20.16
10/01/2022 11:58:48.000000,14.15,20.82,19.31
10/01/2022 12:02:48.000000,13.86,19.51,18.54
10/01/2022 12:06:48.000000,13.59,21.0,19.11
10/01/2022 12:10:48.000000,14.31,20.59,19.31
10/01/2022 12:14:48.000000,14.7,21.55,20.02
10/01/2022 12:18:48.000000,14.47,21.1,20.2
10/01/2022 12:22:48.000000,15.12,22.78,21.17
10/01/2022 12:26:48.000000,14.95,22.98,21.43
10/01/2022 12:30:48.000000,15.61,23.75,22.09
10/01/2022 12:34:48.000000,15.38,22.95,21.17
10/01/2022 12:38:48.000000,15.18,22.62,21.45
10/01/2022 12:42:48.000000,14.35,21.38,20.03
10/01/2022 12:46:48.000000,14.02,21.67,19.46
10/01/2022 12:50:48.000000,13.52,21.18,19.42
10/01/2022 12:54:48.000000,14.87,21.98,20.22
10/01/2022 12:58:48.000000,14.71,21.54,20.15
10/01/2022 13:02:48.000000,13.86,22.02,19.57
10/01/2022 13:06:48.000000,14.58,23.22,20.38
10/01/2022 13:10:48.000000,14.53,22.05,19.71
10/01/2022 13:14:48.000000,13.69,21.22,19.33
10/01/2022 13:18:48.000000,14.58,21.51,19.68
10/01/2022 13:22:48.000000,14.66,21.6,20.4
10/01/2022 13:26:48.000000,16.1,23.47,21.68
10/01/2022 13:30:48.000000,14.6,23.09,20.7
10/01/2022 13:34:48.000000,15.21,23.28,21.41
10/01/2022 13:38:49.000000,15.27,22.02,20.63
10/01/2022 13:42:49.000000,16.0,23.43,21.5
10/01/2022 13:46:49.000000,15.71,24.56,22.81
10/01/2022 13:50:49.000000,15.69,23.87,22.47
10/01/2022 13:54:49.000000,15.31,23.54,22.0
10/01/2022 13:58:49.000000,15.53,23.49,21.74
10/01/2022 14:02:49.000000,15.49,24.96,23.12
10/01/2022 14:06:49.000000,15.72,22.96,21.72
10/01/2022 14:10:49.000000,15.43,23.28,21.29
10/01/2022 14:14:49.000000,15.67,23.47,21.44
10/01/2022 14:18:49.000000,14.98,23.09,20.72
10/01/2022 14:22:49.000000,15.48,24.29,21.41
10/01/2022 14:26:49.000000,15.48,23.31,20.98
10/01/2022 14:30:49.000000,15.11,25.12,22.93
10/01/2022 14:34:49.000000,15.53,24.23,22.42
10/01/2022 14:38:50.000000,16.05,24.07,22.71
10/01/2022 14:42:50.000000,16.25,23.29,21.83
10/01/2022 14:46:50.000000,16.73,24.04,22.29
10/01/2022 14:50:50.000000,15.86,24.49,22.51
10/01/2022 14:54:50.000000,16.2,23.7,21.73
10/01/2022 14:58:50.000000,16.47,24.44,22.05
10/01/2022 15:02:50.000000,14.6,22.82,20.63
10/01/2022 15:06:50.000000,15.05,23.07,21.17
10/01/2022 15:10:50.000000,15.5,22.14,21.14
10/01/2022 15:14:50.000000,14.47,21.71,19.9
10/01/2022 15:18:50.000000,14.7,20.42,19.56
10/01/2022 15:22:50.000000,13.91,20.53,19.02
10/01/2022 15:26:50.000000,14.49,22.14,20.07
10/01/2022 15:30:50.000000,14.4,22.18,21.35
10/01/2022 15:34:50.000000,14.47,20.78,20.07
10/01/2022 15:38:50.000000,13.47,19.9,18.65
10/01/2022 15:42:50.000000,13.34,21.09,19.88
10/01/2022 15:46:50.000000,13.1,19.97,18.71
10/01/2022 15:50:50.000000,14.32,21.12,19.23
10/01/2022 15:54:50.000000,14.18,19.13,17.8
10/01/2022 15:58:50.000000,14.63,21.89,20.68
10/01/2022 16:02:50.000000,13.95,21.0,19.95
10/01/2022 16:06:50.000000,14.7,21.19,20.05
10/01/2022 16:10:50.000000,13.42,19.56,18.29
10/01/2022 16:14:50.000000,12.84,18.02,17.12
10/01/2022 16:18:50.000000,13.81,20.0,18.52
10/01/2022 16:22:50.000000,13.16,18.38,17.29
10/01/2022 16:26:50.000000,13.52,19.29,17.98
10/01/2022 16:30:50.000000,13.08,20.2,19.14
10/01/2022 16:34:50.000000,12.78,18.46,17.59
10/01/2022 16:38:51.000000,13.59,19.62,18.23
10/01/2022 16:42:51.000000,13.65,19.55,18.65
10/01/2022 16:46:51.000000,13.16,18.57,17.45
10/01/2022 16:50:51.000000,12.31,18.75,17.17
10/01/2022 16:54:51.000000,12.86,19.36,17.84
10/01/2022 16:58:51.000000,11.97,17.19,15.75
10/01/2022 17:02:51.000000,12.75,18.62,17.66
10/01/2022 17:06:51.000000,12.98,19.5,17.19
10/01/2022 17:10:51.000000,11.68,17.02,16.54
10/01/2022 17:14:51.000000,12.39,18.51,17.2
10/01/2022 17:18:51.000000,11.53,17.15,15.83
10/01/2022 17:22:51.000000,11.79,17.29,15.81
10/01/2022 17:26:51.000000,11.0,16.66,15.07
10/01/2022 17:30:51.000000,11.45,17.47,16.64
10/01/2022 17:34:51.000000,12.0,18.47,16.32
10/01/2022 17:38:51.000000,10.88,17.12,15.57
10/01/2022 17:42:51.000000,12.38,17.39,16.2
10/01/2022 17:46:51.000000,11.88,16.7,15.38
10/01/2022 17:50:51.000000,12.12,17.04,16.05
10/01/2022 17:54:51.000000,11.02,15.85,14.9
10/01/2022 17:58:51.000000,11.33,17.45,15.91
10/01/2022 18:02:51.000000,10.78,16.14,15.19
10/01/2022 18:06:51.000000,11.39,16.52,15.52
10/01/2022 18:10:51.000000,10.93,16.0,14.51
10/01/2022 18:14:51.000000,10.65,15.32,14.49
10/01/2022 18:18:51.000000,10.66,14.88,13.53
