InstrumentName, I-25 Globeville,
StartTime, 2022-04-01 00:00:00,
EndTime, 2022-04-30 23:59:59,
Date,NO2,PM2.5
04/01/2022 00:00:00.000000,25.0,4.2
04/01/2022 01:00:00.000000,19.0,3.1
04/01/2022 02:00:00.000000,8.0,2.9
04/01/2022 04:00:00.000000,,2.7
04/01/2022 05:00:00.000000,14.0,2.4
04/01/2022 06:00:00.000000,21.0,3.0
04/01/2022 07:00:00.000000,31.0,5.6
04/01/2022 09:00:00.000000,16.0,3.7
04/01/2022 10:00:00.000000,12.0,3.5
04/01/2022 11:00:00.000000,26.0,5.6
04/01/2022 12:00:00.000000,26.0,4.2
04/01/2022 13:00:00.000000,25.0,4.5
04/01/2022 14:00:00.000000,15.0,4.5
04/01/2022 15:00:00.000000,7.0,5.6
04/01/2022 16:00:00.000000,7.0,4.7
04/01/2022 17:00:00.000000,9.0,4.8
04/01/2022 18:00:00.000000,18.0,5.6
04/01/2022 19:00:00.000000,9.0,5.5
04/01/2022 20:00:00.000000,5.0,5.2
04/01/2022 21:00:00.000000,5.0,6.6
04/01/2022 22:00:00.000000,6.0,6.9
04/01/2022 23:00:00.000000,9.0,8.4
04/02/2022 00:00:00.000000,9.0,7.2
04/02/2022 01:00:00.000000,13.0,7.3
04/02/2022 02:00:00.000000,9.0,5.1
04/02/2022 04:00:00.000000,,8.7
04/02/2022 05:00:00.000000,38.0,10.0
04/02/2022 06:00:00.000000,31.0,6.8
04/02/2022 07:00:00.000000,37.0,7.6
04/02/2022 09:00:00.000000,38.0,6.6
04/02/2022 10:00:00.000000,30.0,6.7
04/02/2022 11:00:00.000000,20.0,4.7
04/02/2022 12:00:00.000000,28.0,5.8
04/02/2022 13:00:00.000000,28.0,7.1
04/02/2022 14:00:00.000000,22.0,7.8
04/02/2022 15:00:00.000000,21.0,8.8
04/02/2022 16:00:00.000000,17.0,8.4
04/02/2022 17:00:00.000000,15.0,8.6
04/02/2022 18:00:00.000000,16.0,9.5
04/02/2022 19:00:00.000000,13.0,11.1
04/02/2022 20:00:00.000000,17.0,9.9
04/02/2022 21:00:00.000000,13.0,8.2
04/02/2022 22:00:00.000000,10.0,4.4
04/02/2022 23:00:00.000000,7.0,3.4
04/03/2022 00:00:00.000000,4.0,2.7
04/03/2022 01:00:00.000000,11.0,3.8
04/03/2022 02:00:00.000000,22.0,5.5
04/03/2022 04:00:00.000000,,10.7
04/03/2022 05:00:00.000000,40.0,10.2
04/03/2022 06:00:00.000000,40.0,13.3
04/03/2022 07:00:00.000000,39.0,11.4
04/03/2022 09:00:00.000000,34.0,8.9
04/03/2022 10:00:00.000000,38.0,7.2
04/03/2022 11:00:00.000000,28.0,5.4
04/03/2022 12:00:00.000000,21.0,4.7
04/03/2022 13:00:00.000000,6.0,4.0
04/03/2022 14:00:00.000000,3.0,4.7
04/03/2022 15:00:00.000000,4.0,5.4
04/03/2022 16:00:00.000000,5.0,4.8
04/03/2022 17:00:00.000000,4.0,4.3
04/03/2022 20:00:00.000000,5.0,4.6
04/03/2022 21:00:00.000000,4.0,5.6
04/03/2022 22:00:00.000000,4.0,5.0
04/03/2022 23:00:00.000000,4.0,5.1
04/04/2022 00:00:00.000000,5.0,4.4
04/04/2022 01:00:00.000000,8.0,4.1
04/04/2022 02:00:00.000000,9.0,4.2
04/04/2022 04:00:00.000000,,5.8
04/04/2022 05:00:00.000000,19.0,4.6
04/04/2022 06:00:00.000000,34.0,6.2
04/04/2022 07:00:00.000000,32.0,7.8
04/04/2022 09:00:00.000000,38.0,9.8
04/04/2022 10:00:00.000000,38.0,11.2
04/04/2022 11:00:00.000000,36.0,9.8
04/04/2022 12:00:00.000000,34.0,8.2
04/04/2022 13:00:00.000000,33.0,9.6
04/04/2022 14:00:00.000000,29.0,9.4
04/04/2022 15:00:00.000000,29.0,10.3
04/04/2022 16:00:00.000000,25.0,8.8
04/04/2022 17:00:00.000000,14.0,5.1
04/04/2022 18:00:00.000000,13.0,4.3
04/04/2022 19:00:00.000000,14.0,4.2
04/04/2022 20:00:00.000000,13.0,4.5
04/04/2022 21:00:00.000000,,4.0
04/04/2022 22:00:00.000000,,4.4
04/04/2022 23:00:00.000000,34.0,5.6
04/05/2022 00:00:00.000000,21.0,5.7
04/05/2022 01:00:00.000000,14.0,4.4
04/05/2022 02:00:00.000000,10.0,3.7
04/05/2022 04:00:00.000000,,4.3
04/05/2022 05:00:00.000000,8.0,3.4
04/05/2022 06:00:00.000000,16.0,4.3
04/05/2022 07:00:00.000000,4.0,3.2
04/05/2022 09:00:00.000000,23.0,3.4
04/05/2022 10:00:00.000000,18.0,3.7
04/05/2022 11:00:00.000000,12.0,3.0
04/05/2022 12:00:00.000000,23.0,8.4
04/05/2022 13:00:00.000000,26.0,6.1
04/05/2022 14:00:00.000000,22.0,8.4
