InstrumentName, AUL Denver New (A06KSDHR),,,,,,,,,
StartTime, 2022-04-01 00:00:00,,,,,,,,,
EndTime, 2022-04-30 23:59:59,,,,,,,,,
Date,no2Conc,pm10ConcMass,pm10ConcNum,pm1ConcMass,pm1ConcNum,pm2_5ConcMass,pm2_5ConcMass_p,pm2_5ConcNum,relHumid,temperature
04/01/2022 00:06:30.000000,-2.34,3.33,1.93,0.0,1.74,0.78,6.444,1.85,18.75,16.17
04/01/2022 00:23:31.000000,0.85,2.12,1.27,0.0,1.14,0.0,6.046,1.2,19.91,15.87
04/01/2022 00:40:33.000000,-0.9,2.5,1.53,0.0,1.42,0.58,6.304,1.45,19.5,15.73
04/01/2022 00:57:34.000000,2.93,2.81,1.35,0.0,1.24,0.23,6.156,1.29,19.73,15.67
04/01/2022 01:14:35.000000,4.51,3.46,1.37,0.0,1.26,0.0,6.026,1.27,20.24,15.4
04/01/2022 01:31:37.000000,10.53,2.69,1.6,0.0,1.46,0.38,5.921,1.53,22.38,15.26
04/01/2022 01:48:38.000000,14.32,5.3,3.44,1.17,3.21,2.17,6.392,3.35,23.94,14.88
04/01/2022 02:05:39.000000,16.69,4.69,2.0,0.19,1.82,0.81,5.82,1.92,24.88,14.4
04/01/2022 02:22:41.000000,16.87,4.72,2.19,0.03,2.0,1.42,5.994,2.11,25.36,14.07
04/01/2022 02:39:42.000000,13.35,3.52,1.51,0.0,1.4,0.22,5.52,1.42,25.87,13.81
04/01/2022 02:56:44.000000,16.17,3.52,1.95,0.0,1.8,0.78,5.643,1.89,26.68,13.37
04/01/2022 03:13:45.000000,12.9,4.5,1.78,0.0,1.55,1.0,5.705,1.69,26.88,13.17
04/01/2022 03:30:47.000000,12.27,4.69,2.0,0.0,1.79,1.19,5.645,1.89,28.04,13.03
04/01/2022 03:47:49.000000,10.59,4.19,1.49,0.0,1.37,0.46,5.42,1.42,27.78,12.94
04/01/2022 04:04:50.000000,4.34,3.15,1.58,0.04,1.48,0.04,5.492,1.51,25.89,12.8
04/01/2022 04:21:51.000000,6.23,3.31,1.51,0.0,1.39,0.38,5.579,1.43,26.2,12.76
04/01/2022 04:38:53.000000,4.07,3.15,1.6,0.0,1.43,0.58,5.788,1.52,25.06,12.55
04/01/2022 04:55:54.000000,4.54,4.46,1.56,0.0,1.39,0.58,5.839,1.48,24.73,12.19
04/01/2022 05:12:56.000000,8.39,3.72,1.7,0.0,1.53,1.0,5.887,1.63,25.72,11.88
04/01/2022 05:29:57.000000,10.62,4.11,1.82,0.22,1.65,0.81,5.788,1.75,26.07,11.64
04/01/2022 05:46:59.000000,9.73,4.58,1.76,0.0,1.6,0.81,5.741,1.68,26.6,11.29
04/01/2022 06:04:01.000000,12.87,4.85,1.65,0.0,1.52,0.19,5.355,1.56,28.22,10.79
04/01/2022 06:21:03.000000,13.23,4.46,1.35,0.0,1.2,0.19,5.219,1.27,29.67,9.99
04/01/2022 06:38:05.000000,13.68,2.73,1.12,0.0,0.99,0.19,5.168,1.05,30.18,9.8
04/01/2022 06:55:07.000000,14.24,4.11,1.47,0.0,1.3,1.0,5.402,1.38,30.7,9.62
04/01/2022 07:12:08.000000,16.34,3.46,1.49,0.0,1.32,0.58,5.173,1.42,31.55,9.17
04/01/2022 07:29:10.000000,22.41,3.94,1.95,0.22,1.75,1.22,5.18,1.87,33.67,8.57
04/01/2022 07:46:13.000000,24.0,5.31,2.05,0.0,1.88,1.0,4.978,1.97,34.91,8.09
04/01/2022 08:03:15.000000,26.33,5.08,2.06,0.0,1.84,0.81,4.801,1.97,35.98,7.76
04/01/2022 08:20:18.000000,28.98,6.42,2.59,0.62,2.34,2.0,4.986,2.49,38.12,7.55
04/01/2022 08:37:20.000000,29.15,7.42,2.48,0.42,2.23,1.42,4.648,2.38,39.29,7.51
04/01/2022 08:54:22.000000,27.57,6.23,2.76,0.23,2.41,2.35,4.982,2.67,39.22,7.61
04/01/2022 09:11:25.000000,25.79,6.27,2.52,0.58,2.22,1.97,4.872,2.42,38.94,7.8
04/01/2022 09:28:27.000000,20.89,5.88,2.75,0.62,2.49,1.62,4.993,2.66,36.69,8.14
04/01/2022 09:45:29.000000,21.93,5.36,2.61,0.61,2.44,1.58,4.857,2.54,37.66,8.43
04/01/2022 10:02:31.000000,25.9,4.69,2.47,0.23,2.28,1.04,4.407,2.4,39.95,8.33
04/01/2022 10:19:34.000000,17.89,7.85,2.58,0.23,2.32,2.04,5.017,2.44,37.77,8.16
04/01/2022 10:36:36.000000,22.1,4.62,2.31,0.38,2.12,1.15,4.519,2.22,39.45,7.9
04/01/2022 10:53:39.000000,23.68,5.14,2.53,0.25,2.37,1.25,4.514,2.45,39.92,7.57
04/01/2022 11:10:41.000000,24.69,4.58,2.55,0.38,2.37,1.85,4.626,2.49,40.88,7.32
04/01/2022 11:27:43.000000,25.27,4.88,2.4,0.23,2.2,1.04,4.123,2.31,42.84,7.09
04/01/2022 11:44:45.000000,27.13,4.65,2.57,0.62,2.38,1.0,4.0,2.5,43.81,7.03
04/01/2022 12:01:57.000000,31.37,5.73,2.59,1.0,2.41,1.41,4.081,2.51,44.32,7.19
04/01/2022 12:18:59.000000,31.7,5.11,2.37,0.22,2.12,1.61,4.204,2.29,43.81,7.36
04/01/2022 12:36:01.000000,32.64,6.42,3.03,1.0,2.79,2.0,4.255,2.94,44.59,7.3
04/01/2022 12:53:04.000000,34.26,5.63,2.7,0.19,2.5,2.33,4.221,2.62,45.98,7.09
04/01/2022 13:10:06.000000,37.66,5.04,2.69,0.42,2.47,1.19,3.561,2.61,48.29,6.89
04/01/2022 13:27:08.000000,37.8,4.91,2.77,0.58,2.57,1.42,3.527,2.69,49.3,6.87
04/01/2022 13:44:13.000000,38.1,5.35,3.09,1.0,2.92,2.04,3.654,3.01,50.11,6.88
04/01/2022 14:01:16.000000,40.82,9.06,4.27,1.78,4.02,2.61,3.776,4.16,50.77,6.84
04/01/2022 14:18:19.000000,33.71,5.91,3.11,0.78,2.89,2.22,3.829,3.05,48.92,7.18
04/01/2022 14:35:21.000000,25.94,7.58,4.27,1.42,3.97,4.15,4.882,4.16,45.28,7.88
04/01/2022 14:52:24.000000,22.9,6.91,4.63,1.83,4.35,3.03,4.684,4.54,43.24,8.63
04/01/2022 15:09:26.000000,19.43,5.27,4.08,1.38,3.86,2.38,4.463,4.03,42.95,9.27
04/01/2022 15:26:28.000000,19.26,9.15,5.31,2.38,5.01,4.54,5.022,5.2,44.8,9.25
04/01/2022 15:43:30.000000,16.58,7.8,4.49,1.97,4.23,3.52,4.758,4.39,44.04,8.93
04/01/2022 16:00:33.000000,18.31,7.42,4.16,1.42,3.96,2.62,4.332,4.06,45.14,8.6
04/01/2022 16:17:36.000000,20.25,6.33,4.43,1.81,4.23,3.19,4.44,4.35,46.08,8.31
04/01/2022 16:34:39.000000,18.56,7.04,5.12,1.96,4.89,3.0,4.393,5.03,45.96,8.14
04/01/2022 16:51:42.000000,19.71,6.85,4.23,1.23,3.93,3.0,4.4,4.16,45.82,8.36
04/01/2022 17:08:44.000000,10.64,10.63,5.6,2.22,5.19,4.97,5.594,5.45,40.98,9.19
04/01/2022 17:25:47.000000,7.65,9.3,5.13,2.17,4.8,3.97,5.456,5.02,38.73,10.09
04/01/2022 17:42:49.000000,-0.85,6.88,4.84,2.0,4.55,3.97,5.858,4.77,34.76,10.99
04/01/2022 17:59:52.000000,-7.1,8.23,5.14,2.0,4.82,3.96,6.145,5.07,31.92,11.56
04/01/2022 18:16:54.000000,-4.68,8.38,6.08,2.81,5.69,5.12,6.582,6.0,31.45,12.19
04/01/2022 18:33:56.000000,-14.34,7.35,4.99,2.23,4.66,3.65,6.518,4.9,26.96,13.25
