InstrumentName, MSLA (CS34),,,,,,,,,,,,
StartTime, 2022-02-01 00:00:00,,,,,,,,,,,,
EndTime, 2022-02-28 23:59:59,,,,,,,,,,,,
Date,*Lat,*Lon,B,Hmdty,P,PM10,PM1_0,Sig,Temp,WD,WS,pm25_p,pm25_r
02/01/2022 00:01:00.000000,39.70832,-105.01189,12.37,12.59,826.61,8.54,6.79,-78.0,61.74,-1.0,-1.0,8.409,8.18
02/01/2022 00:02:00.000000,39.70833,-105.0119,12.293,12.97,826.65,9.96,7.24,-78.0,61.19,-1.0,-1.0,9.089,9.5
02/01/2022 00:03:00.000000,39.70833,-105.0119,12.427,13.13,826.68,10.46,6.91,-78.0,60.63,-1.0,-1.0,9.075,9.52
02/01/2022 00:04:00.000000,39.70833,-105.0119,12.298,13.26,826.69,9.67,7.38,-78.0,60.22,-1.0,-1.0,8.993,9.4
02/01/2022 00:05:00.000000,39.70833,-105.0119,12.288,13.27,826.65,8.31,5.88,-78.0,59.99,-1.0,-1.0,8.182,7.9
02/01/2022 00:06:00.000000,39.70833,-105.0119,12.293,13.45,826.64,8.25,6.47,-78.0,59.74,-1.0,-1.0,8.342,8.22
02/01/2022 00:07:00.000000,39.70833,-105.01189,12.298,13.49,826.66,8.36,6.11,-78.0,59.54,-1.0,-1.0,8.232,8.03
02/01/2022 00:08:00.000000,39.70833,-105.01189,12.269,13.5,826.64,8.2,4.98,-78.0,59.27,-1.0,-1.0,7.542,6.76
02/01/2022 00:09:00.000000,39.70833,-105.01189,12.394,13.29,826.63,6.52,4.83,-78.0,58.99,-1.0,-1.0,7.312,6.35
02/01/2022 00:10:00.000000,39.70833,-105.01189,12.418,12.73,826.6,5.95,4.48,-78.0,58.63,-1.0,-1.0,6.994,5.78
02/01/2022 00:11:00.000000,39.70832,-105.01191,12.365,12.53,826.56,5.53,3.58,-78.0,58.23,-1.0,-1.0,6.71,5.28
02/01/2022 00:12:00.000000,39.70836,-105.01196,12.269,12.6,826.51,5.41,4.25,-78.0,57.9,-1.0,-1.0,6.765,5.41
02/01/2022 00:24:07.000000,-1.0,-1.0,12.307,14.05,826.5,5.9,4.53,-78.0,55.23,-1.0,-1.0,6.683,5.48
02/01/2022 00:31:08.000000,39.70836,0.01667,12.398,13.91,826.88,3.51,2.36,-78.0,54.44,-1.0,-1.0,5.433,3.2
02/01/2022 00:50:08.000000,-1.0,-1.0,12.269,13.98,826.76,1.58,1.04,-78.0,53.46,-1.0,-1.0,4.461,1.46
02/01/2022 01:02:18.000000,39.70831,-105.01191,12.35,17.1,827.42,5.74,4.62,-78.0,52.29,-1.0,-1.0,6.686,5.74
02/01/2022 01:05:52.000000,39.70833,-105.01189,12.23,17.27,827.49,4.83,4.28,-76.0,51.79,-1.0,-1.0,6.178,4.83
02/01/2022 01:10:10.000000,-1.0,-1.0,12.346,17.89,827.66,7.22,5.32,-78.0,51.03,-1.0,-1.0,7.238,6.88
02/01/2022 01:12:04.000000,-1.0,-1.0,12.211,17.71,827.77,5.97,4.83,-78.0,50.82,-1.0,-1.0,6.562,5.63
02/01/2022 01:14:08.000000,-1.0,-1.0,12.355,17.58,827.84,5.5,4.6,-78.0,50.75,-1.0,-1.0,6.49,5.5
02/01/2022 01:21:09.000000,-1.0,-1.0,12.24,18.1,827.86,4.96,3.97,-78.0,50.22,-1.0,-1.0,6.178,4.96
02/01/2022 01:36:12.000000,39.70831,-105.01192,12.221,18.17,828.33,5.24,3.99,-78.0,48.89,-1.0,-1.0,6.211,5.13
02/01/2022 01:38:16.000000,39.70834,-105.01195,12.211,18.24,828.33,5.02,3.61,-78.0,48.65,-1.0,-1.0,6.019,4.79
02/01/2022 01:55:05.000000,-1.0,-1.0,12.274,18.87,828.68,5.0,4.18,-78.0,47.61,-1.0,-1.0,6.063,4.96
02/01/2022 01:57:18.000000,-1.0,-1.0,12.336,18.9,828.73,5.25,3.81,-78.0,47.42,-1.0,-1.0,5.862,4.6
