InstrumentName, CAMP,,,,
StartTime, 2019-12-01 00:00:00,,,,
EndTime, 2019-12-31 23:59:59,,,,
Date,CO,NO2,O3,PM10,SO2
12/01/2019 00:00:00.000000,0.2,12.0,35.0,3.3,0.0
12/01/2019 01:00:00.000000,0.3,25.0,18.0,10.3,0.0
12/01/2019 02:00:00.000000,0.3,23.0,17.0,9.9,0.0
12/01/2019 03:00:00.000000,0.3,23.0,16.0,9.7,0.0
12/01/2019 04:00:00.000000,0.5,23.0,15.0,9.8,0.0
12/01/2019 05:00:00.000000,0.4,,6.0,12.1,0.0
12/01/2019 06:00:00.000000,0.4,37.0,4.0,13.3,0.0
12/01/2019 07:00:00.000000,0.3,30.0,10.0,7.7,0.0
12/01/2019 08:00:00.000000,0.4,33.0,8.0,8.4,0.0
12/01/2019 09:00:00.000000,0.4,38.0,6.0,9.3,0.0
12/01/2019 10:00:00.000000,0.5,46.0,0.0,12.5,1.0
12/01/2019 11:00:00.000000,0.4,40.0,7.0,6.8,1.0
12/01/2019 12:00:00.000000,0.2,22.0,22.0,2.6,0.0
12/01/2019 13:00:00.000000,0.5,43.0,5.0,4.0,0.0
12/01/2019 14:00:00.000000,0.6,46.0,5.0,6.2,1.0
12/01/2019 15:00:00.000000,0.4,36.0,12.0,4.2,0.0
12/01/2019 16:00:00.000000,0.6,46.0,7.0,12.4,2.0
12/01/2019 17:00:00.000000,0.6,46.0,10.0,34.3,2.0
12/01/2019 18:00:00.000000,0.5,39.0,16.0,20.3,2.0
12/01/2019 19:00:00.000000,0.5,34.0,19.0,18.4,1.0
12/01/2019 20:00:00.000000,0.4,29.0,23.0,17.7,1.0
12/01/2019 21:00:00.000000,0.4,33.0,22.0,16.7,0.0
12/01/2019 22:00:00.000000,0.4,35.0,20.0,16.4,0.0
12/01/2019 23:00:00.000000,0.4,42.0,14.0,15.7,0.0
12/02/2019 00:00:00.000000,0.6,54.0,3.0,16.5,0.0
12/02/2019 01:00:00.000000,0.7,56.0,2.0,16.3,0.0
12/02/2019 02:00:00.000000,0.8,55.0,2.0,21.1,0.0
12/02/2019 03:00:00.000000,0.9,60.0,0.0,26.2,1.0
12/02/2019 04:00:00.000000,1.0,60.0,0.0,25.3,1.0
12/02/2019 05:00:00.000000,1.2,,0.0,30.1,3.0
12/02/2019 06:00:00.000000,1.2,64.0,0.0,30.3,3.0
12/02/2019 07:00:00.000000,1.3,64.0,0.0,28.4,3.0
12/02/2019 08:00:00.000000,1.3,63.0,0.0,27.7,3.0
12/02/2019 09:00:00.000000,1.3,65.0,0.0,26.7,4.0
12/02/2019 10:00:00.000000,1.2,65.0,0.0,25.7,4.0
12/02/2019 11:00:00.000000,1.4,61.0,0.0,21.8,3.0
12/02/2019 12:00:00.000000,1.6,70.0,0.0,23.7,5.0
12/02/2019 13:00:00.000000,1.8,71.0,0.0,24.0,6.0
12/02/2019 14:00:00.000000,2.0,74.0,1.0,24.7,6.0
12/02/2019 15:00:00.000000,1.0,44.0,11.0,11.2,2.0
12/02/2019 16:00:00.000000,0.3,24.0,22.0,6.3,0.0
12/02/2019 17:00:00.000000,0.3,24.0,24.0,12.9,0.0
12/02/2019 18:00:00.000000,0.8,56.0,8.0,55.4,2.0
12/02/2019 19:00:00.000000,0.8,53.0,11.0,54.8,2.0
12/02/2019 20:00:00.000000,0.7,58.0,9.0,47.8,2.0
12/02/2019 21:00:00.000000,0.5,48.0,13.0,34.6,1.0
12/02/2019 22:00:00.000000,0.7,49.0,12.0,31.4,1.0
12/02/2019 23:00:00.000000,1.0,59.0,4.0,30.3,1.0
12/03/2019 00:00:00.000000,1.1,59.0,2.0,25.9,1.0
12/03/2019 01:00:00.000000,0.9,57.0,2.0,22.6,1.0
12/03/2019 02:00:00.000000,1.4,63.0,1.0,32.7,3.0
12/03/2019 03:00:00.000000,1.2,60.0,0.0,32.2,2.0
12/03/2019 04:00:00.000000,0.9,54.0,0.0,22.7,1.0
12/03/2019 05:00:00.000000,0.8,,0.0,17.9,1.0
12/03/2019 06:00:00.000000,1.1,55.0,0.0,19.2,2.0
12/03/2019 07:00:00.000000,1.0,61.0,0.0,21.4,4.0
12/03/2019 08:00:00.000000,0.9,60.0,0.0,14.8,3.0
12/03/2019 09:00:00.000000,0.6,52.0,0.0,7.9,1.0
12/03/2019 10:00:00.000000,0.6,57.0,0.0,8.6,2.0
12/03/2019 11:00:00.000000,0.4,48.0,1.0,4.3,1.0
12/03/2019 12:00:00.000000,0.5,46.0,2.0,4.1,1.0
12/03/2019 13:00:00.000000,0.4,31.0,16.0,3.5,0.0
12/03/2019 14:00:00.000000,0.1,8.0,39.0,1.7,0.0
12/03/2019 15:00:00.000000,0.2,10.0,30.0,2.0,
12/03/2019 16:00:00.000000,0.2,11.0,36.0,3.8,0.0
12/03/2019 17:00:00.000000,0.2,10.0,37.0,4.3,0.0
12/03/2019 18:00:00.000000,0.2,11.0,36.0,3.4,0.0
12/03/2019 19:00:00.000000,0.3,12.0,35.0,4.5,0.0
12/03/2019 20:00:00.000000,0.2,12.0,37.0,4.4,0.0
12/03/2019 21:00:00.000000,0.2,13.0,34.0,4.4,0.0
12/03/2019 22:00:00.000000,0.4,23.0,27.0,8.2,0.0
12/03/2019 23:00:00.000000,0.7,38.0,13.0,14.8,0.0
12/04/2019 00:00:00.000000,1.3,45.0,8.0,19.5,1.0
12/04/2019 01:00:00.000000,0.5,33.0,17.0,13.4,0.0
12/04/2019 02:00:00.000000,1.0,52.0,3.0,58.1,2.0
12/04/2019 03:00:00.000000,1.4,53.0,0.0,45.6,2.0
12/04/2019 04:00:00.000000,0.6,47.0,2.0,24.2,1.0
12/04/2019 05:00:00.000000,0.3,,11.0,7.5,0.0
12/04/2019 06:00:00.000000,0.3,24.0,19.0,5.1,0.0
12/04/2019 07:00:00.000000,0.2,28.0,12.0,5.1,0.0
12/04/2019 08:00:00.000000,0.2,28.0,15.0,6.8,0.0
12/04/2019 09:00:00.000000,0.2,19.0,25.0,2.2,0.0
12/04/2019 10:00:00.000000,0.1,11.0,32.0,2.8,0.0
12/04/2019 11:00:00.000000,0.2,13.0,29.0,2.7,0.0
12/04/2019 12:00:00.000000,0.3,26.0,17.0,9.1,0.0
12/04/2019 13:00:00.000000,0.5,39.0,5.0,13.5,1.0
12/04/2019 14:00:00.000000,1.1,54.0,0.0,39.1,3.0
12/04/2019 15:00:00.000000,1.2,50.0,3.0,48.3,2.0
12/04/2019 16:00:00.000000,1.2,57.0,3.0,58.4,3.0
12/04/2019 17:00:00.000000,0.6,37.0,12.0,34.6,1.0
12/04/2019 18:00:00.000000,0.5,34.0,17.0,34.5,1.0
12/04/2019 19:00:00.000000,0.5,32.0,17.0,31.4,1.0
12/04/2019 20:00:00.000000,1.1,64.0,5.0,89.0,3.0
12/04/2019 21:00:00.000000,1.1,66.0,3.0,96.0,3.0
12/04/2019 22:00:00.000000,1.1,60.0,2.0,89.0,2.0
12/04/2019 23:00:00.000000,1.4,63.0,0.0,95.3,3.0
12/05/2019 00:00:00.000000,1.1,60.0,0.0,59.3,2.0
12/05/2019 01:00:00.000000,1.2,59.0,0.0,69.5,2.0
12/05/2019 02:00:00.000000,1.0,59.0,0.0,62.3,2.0
12/05/2019 03:00:00.000000,0.8,56.0,0.0,61.0,1.0
12/05/2019 04:00:00.000000,1.0,59.0,0.0,63.6,2.0
12/05/2019 05:00:00.000000,1.1,,0.0,58.1,2.0
12/05/2019 06:00:00.000000,0.9,48.0,0.0,44.2,2.0
12/05/2019 07:00:00.000000,0.9,47.0,1.0,39.6,2.0
12/05/2019 08:00:00.000000,0.3,32.0,7.0,14.1,0.0
12/05/2019 09:00:00.000000,0.4,37.0,4.0,18.1,1.0
12/05/2019 10:00:00.000000,0.3,36.0,4.0,13.6,1.0
12/05/2019 11:00:00.000000,0.7,45.0,0.0,28.2,2.0
12/05/2019 12:00:00.000000,0.9,48.0,0.0,43.0,3.0
12/05/2019 13:00:00.000000,0.9,51.0,0.0,52.1,2.0
12/05/2019 14:00:00.000000,0.6,47.0,3.0,27.9,1.0
12/05/2019 15:00:00.000000,0.5,36.0,9.0,13.8,0.0
12/05/2019 16:00:00.000000,0.7,41.0,6.0,22.8,1.0
12/05/2019 17:00:00.000000,0.9,46.0,1.0,24.0,1.0
12/05/2019 18:00:00.000000,0.8,42.0,3.0,17.2,1.0
12/05/2019 19:00:00.000000,0.7,32.0,10.0,9.3,0.0
12/05/2019 20:00:00.000000,0.5,31.0,12.0,8.3,0.0
12/05/2019 21:00:00.000000,0.3,25.0,15.0,4.5,0.0
12/05/2019 22:00:00.000000,0.3,23.0,17.0,4.8,0.0
12/05/2019 23:00:00.000000,0.4,30.0,11.0,6.2,0.0
12/06/2019 00:00:00.000000,0.4,29.0,12.0,7.4,0.0
12/06/2019 01:00:00.000000,0.4,35.0,7.0,12.7,0.0
12/06/2019 02:00:00.000000,0.4,40.0,4.0,18.0,0.0
12/06/2019 03:00:00.000000,0.4,39.0,6.0,13.1,0.0
12/06/2019 04:00:00.000000,0.3,15.0,24.0,8.4,0.0
12/06/2019 05:00:00.000000,0.3,,16.0,10.6,0.0
12/06/2019 06:00:00.000000,0.3,30.0,5.0,15.3,0.0
12/06/2019 07:00:00.000000,0.3,30.0,3.0,16.4,0.0
12/06/2019 08:00:00.000000,0.4,30.0,5.0,14.9,0.0
12/06/2019 09:00:00.000000,0.4,34.0,2.0,13.0,0.0
12/06/2019 10:00:00.000000,0.4,37.0,0.0,13.3,0.0
12/06/2019 11:00:00.000000,0.4,36.0,0.0,11.7,0.0
12/06/2019 12:00:00.000000,0.4,34.0,1.0,11.3,0.0
12/06/2019 13:00:00.000000,0.9,40.0,0.0,13.3,2.0
12/06/2019 14:00:00.000000,1.4,45.0,0.0,20.6,3.0
12/06/2019 15:00:00.000000,1.4,45.0,1.0,18.8,3.0
12/06/2019 16:00:00.000000,0.9,40.0,5.0,15.3,1.0
12/06/2019 17:00:00.000000,0.7,35.0,9.0,16.8,1.0
12/06/2019 18:00:00.000000,0.5,29.0,12.0,25.3,1.0
12/06/2019 19:00:00.000000,0.5,31.0,12.0,35.7,1.0
12/06/2019 20:00:00.000000,0.7,45.0,7.0,48.2,1.0
12/06/2019 21:00:00.000000,0.8,43.0,6.0,51.7,1.0
12/06/2019 22:00:00.000000,0.7,40.0,4.0,40.2,1.0
12/06/2019 23:00:00.000000,0.9,46.0,0.0,31.6,1.0
12/07/2019 00:00:00.000000,1.1,49.0,0.0,40.1,2.0
12/07/2019 01:00:00.000000,1.2,47.0,0.0,32.5,2.0
12/07/2019 02:00:00.000000,1.3,48.0,0.0,33.3,2.0
12/07/2019 03:00:00.000000,1.3,45.0,0.0,29.9,2.0
12/07/2019 04:00:00.000000,0.6,36.0,0.0,14.6,0.0
12/07/2019 05:00:00.000000,0.6,,1.0,17.9,0.0
12/07/2019 06:00:00.000000,0.6,34.0,0.0,21.0,0.0
12/07/2019 07:00:00.000000,0.6,32.0,1.0,17.5,0.0
12/07/2019 08:00:00.000000,0.6,31.0,4.0,20.1,0.0
12/07/2019 09:00:00.000000,0.6,30.0,5.0,15.8,0.0
12/07/2019 10:00:00.000000,0.5,28.0,7.0,8.1,0.0
12/07/2019 11:00:00.000000,0.7,39.0,1.0,16.6,1.0
12/07/2019 12:00:00.000000,1.0,44.0,0.0,17.0,3.0
12/07/2019 13:00:00.000000,1.1,45.0,0.0,18.0,4.0
12/07/2019 14:00:00.000000,1.3,49.0,0.0,21.6,5.0
12/07/2019 15:00:00.000000,1.5,51.0,1.0,33.0,4.0
12/07/2019 16:00:00.000000,0.4,29.0,15.0,25.1,1.0
12/07/2019 17:00:00.000000,1.2,52.0,3.0,86.2,3.0
12/07/2019 18:00:00.000000,0.8,35.0,14.0,68.8,1.0
12/07/2019 19:00:00.000000,0.4,23.0,25.0,33.5,0.0
12/07/2019 20:00:00.000000,0.4,19.0,28.0,24.1,0.0
12/07/2019 21:00:00.000000,0.2,8.0,37.0,15.8,0.0
12/07/2019 22:00:00.000000,0.2,9.0,35.0,11.6,0.0
12/07/2019 23:00:00.000000,0.2,12.0,32.0,15.5,0.0
12/08/2019 00:00:00.000000,0.3,14.0,29.0,16.5,0.0
12/08/2019 01:00:00.000000,0.3,17.0,25.0,13.9,0.0
12/08/2019 02:00:00.000000,0.3,17.0,24.0,14.9,0.0
12/08/2019 03:00:00.000000,0.6,34.0,6.0,31.6,1.0
12/08/2019 04:00:00.000000,0.5,30.0,8.0,25.1,0.0
12/08/2019 05:00:00.000000,0.6,,4.0,37.2,0.0
12/08/2019 06:00:00.000000,0.4,27.0,7.0,18.9,0.0
12/08/2019 07:00:00.000000,0.4,24.0,8.0,19.3,0.0
12/08/2019 08:00:00.000000,0.3,25.0,11.0,16.6,0.0
12/08/2019 09:00:00.000000,0.3,20.0,14.0,8.0,0.0
12/08/2019 10:00:00.000000,0.3,26.0,9.0,8.3,0.0
12/08/2019 11:00:00.000000,0.3,24.0,10.0,5.6,0.0
12/08/2019 12:00:00.000000,0.2,16.0,18.0,3.1,0.0
12/08/2019 13:00:00.000000,0.2,12.0,23.0,2.2,0.0
12/08/2019 14:00:00.000000,0.2,14.0,21.0,5.2,0.0
12/08/2019 15:00:00.000000,0.3,25.0,14.0,16.7,0.0
12/08/2019 16:00:00.000000,0.3,23.0,16.0,15.9,0.0
12/08/2019 17:00:00.000000,0.3,18.0,19.0,15.1,1.0
12/08/2019 18:00:00.000000,0.4,19.0,18.0,16.8,1.0
12/08/2019 19:00:00.000000,0.4,19.0,21.0,21.9,1.0
12/08/2019 20:00:00.000000,0.3,15.0,27.0,17.3,1.0
12/08/2019 21:00:00.000000,0.3,13.0,29.0,16.1,1.0
12/08/2019 22:00:00.000000,0.2,9.0,33.0,12.5,0.0
12/08/2019 23:00:00.000000,0.2,22.0,21.0,16.2,1.0
12/09/2019 00:00:00.000000,0.3,18.0,22.0,13.4,0.0
12/09/2019 01:00:00.000000,0.2,14.0,26.0,8.7,0.0
12/09/2019 02:00:00.000000,0.2,13.0,29.0,9.6,0.0
12/09/2019 03:00:00.000000,0.1,9.0,41.0,4.6,0.0
12/09/2019 04:00:00.000000,0.1,17.0,37.0,6.0,0.0
12/09/2019 05:00:00.000000,0.2,,40.0,5.5,0.0
12/09/2019 06:00:00.000000,0.1,7.0,42.0,4.2,0.0
12/09/2019 07:00:00.000000,0.1,21.0,20.0,5.7,0.0
12/09/2019 08:00:00.000000,0.1,18.0,18.0,8.0,0.0
12/09/2019 09:00:00.000000,0.1,6.0,17.0,2.5,0.0
12/09/2019 10:00:00.000000,0.1,6.0,19.0,4.7,0.0
12/09/2019 11:00:00.000000,0.1,9.0,16.0,6.8,0.0
12/09/2019 12:00:00.000000,0.2,14.0,12.0,8.1,0.0
12/09/2019 13:00:00.000000,0.4,20.0,9.0,10.6,0.0
12/09/2019 14:00:00.000000,0.4,20.0,9.0,12.3,0.0
12/09/2019 15:00:00.000000,,22.0,7.0,24.6,0.0
12/09/2019 16:00:00.000000,0.3,14.0,15.0,25.2,
12/09/2019 17:00:00.000000,0.3,10.0,23.0,21.1,0.0
12/09/2019 18:00:00.000000,0.2,,25.0,13.0,0.0
12/09/2019 19:00:00.000000,0.2,8.0,26.0,15.4,0.0
12/09/2019 20:00:00.000000,0.2,12.0,23.0,21.3,0.0
12/09/2019 21:00:00.000000,0.2,12.0,23.0,20.2,0.0
12/09/2019 22:00:00.000000,0.3,12.0,24.0,19.1,0.0
12/09/2019 23:00:00.000000,0.3,17.0,20.0,27.8,0.0
12/10/2019 00:00:00.000000,0.3,19.0,17.0,26.0,0.0
12/10/2019 01:00:00.000000,0.3,20.0,16.0,18.6,0.0
12/10/2019 02:00:00.000000,0.3,20.0,15.0,21.4,0.0
12/10/2019 03:00:00.000000,0.3,23.0,11.0,18.5,0.0
12/10/2019 04:00:00.000000,0.3,28.0,7.0,20.2,0.0
12/10/2019 05:00:00.000000,0.3,,6.0,20.2,0.0
12/10/2019 06:00:00.000000,0.2,17.0,10.0,9.5,0.0
12/10/2019 07:00:00.000000,0.2,17.0,9.0,11.4,0.0
12/10/2019 08:00:00.000000,0.3,26.0,4.0,21.0,0.0
12/10/2019 09:00:00.000000,0.5,32.0,1.0,23.1,1.0
12/10/2019 10:00:00.000000,0.5,32.0,0.0,16.8,1.0
12/10/2019 11:00:00.000000,0.4,32.0,0.0,15.2,1.0
12/10/2019 12:00:00.000000,0.5,33.0,0.0,17.2,1.0
12/10/2019 13:00:00.000000,0.8,37.0,0.0,22.6,2.0
12/10/2019 14:00:00.000000,0.9,36.0,0.0,23.8,2.0
12/10/2019 15:00:00.000000,0.8,32.0,1.0,24.7,1.0
12/10/2019 16:00:00.000000,0.5,28.0,4.0,38.2,1.0
12/10/2019 17:00:00.000000,0.4,20.0,11.0,39.7,0.0
12/10/2019 18:00:00.000000,0.4,23.0,10.0,41.7,0.0
12/10/2019 19:00:00.000000,0.5,28.0,9.0,57.0,1.0
12/10/2019 20:00:00.000000,0.4,26.0,10.0,,0.0
12/10/2019 21:00:00.000000,0.5,31.0,8.0,63.6,0.0
12/10/2019 22:00:00.000000,0.6,42.0,3.0,113.6,1.0
12/10/2019 23:00:00.000000,0.8,47.0,0.0,156.1,2.0
12/11/2019 00:00:00.000000,1.0,45.0,0.0,131.5,2.0
12/11/2019 01:00:00.000000,1.0,46.0,0.0,114.4,1.0
12/11/2019 02:00:00.000000,0.6,41.0,1.0,47.4,0.0
12/11/2019 03:00:00.000000,0.4,39.0,1.0,34.6,0.0
12/11/2019 04:00:00.000000,0.3,34.0,4.0,20.2,0.0
12/11/2019 05:00:00.000000,0.3,,12.0,13.6,0.0
12/11/2019 06:00:00.000000,0.3,23.0,14.0,11.7,0.0
12/11/2019 07:00:00.000000,0.3,25.0,9.0,18.3,0.0
12/11/2019 08:00:00.000000,0.2,19.0,20.0,13.1,0.0
12/11/2019 09:00:00.000000,0.2,16.0,25.0,18.1,0.0
12/11/2019 10:00:00.000000,0.2,16.0,26.0,7.7,0.0
12/11/2019 11:00:00.000000,0.2,25.0,18.0,17.5,0.0
12/11/2019 12:00:00.000000,0.3,24.0,19.0,17.5,0.0
12/11/2019 13:00:00.000000,0.2,19.0,26.0,12.3,0.0
12/11/2019 14:00:00.000000,0.2,21.0,25.0,14.4,0.0
12/11/2019 15:00:00.000000,0.4,31.0,16.0,38.7,0.0
12/11/2019 16:00:00.000000,0.4,31.0,17.0,50.8,0.0
12/11/2019 17:00:00.000000,0.3,25.0,23.0,48.5,0.0
12/11/2019 18:00:00.000000,0.3,24.0,24.0,31.7,0.0
12/11/2019 19:00:00.000000,0.5,26.0,29.0,53.0,0.0
12/11/2019 20:00:00.000000,0.4,21.0,38.0,40.4,0.0
12/11/2019 21:00:00.000000,0.8,43.0,8.0,127.0,3.0
12/11/2019 22:00:00.000000,0.8,46.0,2.0,168.4,4.0
12/11/2019 23:00:00.000000,0.8,46.0,0.0,103.9,2.0
12/12/2019 00:00:00.000000,1.3,45.0,0.0,129.1,2.0
12/12/2019 01:00:00.000000,1.7,49.0,0.0,150.8,4.0
12/12/2019 02:00:00.000000,0.3,22.0,26.0,42.2,0.0
12/12/2019 03:00:00.000000,0.3,28.0,21.0,16.3,0.0
12/12/2019 04:00:00.000000,0.4,43.0,11.0,33.9,0.0
12/12/2019 05:00:00.000000,0.6,,13.0,31.8,0.0
12/12/2019 06:00:00.000000,0.6,44.0,4.0,43.8,0.0
12/12/2019 07:00:00.000000,0.5,44.0,1.0,42.2,0.0
12/12/2019 08:00:00.000000,0.3,36.0,9.0,26.8,0.0
12/12/2019 09:00:00.000000,0.3,24.0,18.0,22.9,0.0
12/12/2019 10:00:00.000000,0.4,34.0,8.0,11.6,0.0
12/12/2019 11:00:00.000000,0.4,41.0,5.0,17.6,0.0
12/12/2019 12:00:00.000000,0.6,43.0,2.0,53.9,1.0
12/12/2019 13:00:00.000000,0.7,43.0,2.0,47.8,1.0
12/12/2019 14:00:00.000000,0.6,43.0,2.0,52.0,1.0
12/12/2019 15:00:00.000000,0.5,35.0,9.0,32.0,1.0
12/12/2019 16:00:00.000000,0.6,35.0,10.0,36.9,0.0
12/12/2019 17:00:00.000000,0.4,28.0,16.0,34.4,0.0
12/12/2019 18:00:00.000000,0.5,34.0,14.0,46.7,1.0
12/12/2019 19:00:00.000000,0.4,27.0,21.0,39.7,1.0
12/12/2019 20:00:00.000000,0.2,17.0,29.0,22.0,0.0
12/12/2019 21:00:00.000000,0.2,17.0,28.0,31.6,0.0
12/12/2019 22:00:00.000000,0.2,14.0,32.0,28.4,0.0
12/12/2019 23:00:00.000000,0.4,22.0,25.0,26.4,0.0
12/13/2019 00:00:00.000000,0.3,16.0,31.0,14.9,0.0
12/13/2019 01:00:00.000000,0.3,18.0,28.0,15.7,0.0
12/13/2019 02:00:00.000000,0.4,35.0,11.0,27.3,0.0
12/13/2019 03:00:00.000000,0.4,23.0,22.0,18.0,0.0
12/13/2019 04:00:00.000000,0.5,33.0,9.0,31.1,0.0
12/13/2019 05:00:00.000000,0.5,,2.0,36.7,0.0
12/13/2019 06:00:00.000000,0.4,34.0,11.0,26.8,0.0
12/13/2019 07:00:00.000000,0.4,32.0,11.0,20.3,0.0
12/13/2019 08:00:00.000000,0.2,10.0,33.0,10.5,0.0
12/13/2019 09:00:00.000000,0.2,17.0,25.0,5.6,0.0
12/13/2019 10:00:00.000000,0.2,14.0,27.0,4.0,0.0
12/13/2019 11:00:00.000000,0.2,14.0,26.0,4.3,0.0
12/13/2019 12:00:00.000000,0.2,23.0,17.0,14.2,0.0
12/13/2019 13:00:00.000000,0.4,26.0,16.0,13.8,0.0
12/13/2019 14:00:00.000000,0.3,20.0,24.0,25.0,0.0
12/13/2019 15:00:00.000000,0.2,8.0,37.0,39.7,0.0
12/13/2019 16:00:00.000000,0.1,7.0,37.0,17.1,0.0
12/13/2019 17:00:00.000000,0.1,8.0,36.0,27.9,0.0
12/13/2019 18:00:00.000000,0.1,6.0,39.0,34.0,0.0
12/13/2019 19:00:00.000000,0.1,5.0,40.0,17.9,0.0
12/13/2019 20:00:00.000000,0.1,5.0,41.0,16.7,0.0
12/13/2019 21:00:00.000000,0.1,6.0,41.0,15.5,0.0
12/13/2019 22:00:00.000000,0.2,8.0,39.0,12.6,0.0
12/13/2019 23:00:00.000000,0.2,13.0,34.0,10.9,0.0
12/14/2019 00:00:00.000000,0.3,22.0,25.0,14.9,0.0
12/14/2019 01:00:00.000000,0.5,28.0,20.0,18.4,0.0
12/14/2019 02:00:00.000000,0.3,26.0,21.0,16.2,0.0
12/14/2019 03:00:00.000000,0.3,25.0,21.0,12.2,0.0
12/14/2019 04:00:00.000000,0.3,22.0,25.0,9.7,0.0
12/14/2019 05:00:00.000000,0.4,,24.0,11.3,0.0
12/14/2019 06:00:00.000000,0.3,15.0,28.0,8.6,0.0
12/14/2019 07:00:00.000000,0.4,32.0,7.0,14.0,0.0
12/14/2019 08:00:00.000000,0.3,36.0,10.0,18.7,0.0
12/14/2019 09:00:00.000000,0.3,22.0,18.0,7.6,0.0
12/14/2019 10:00:00.000000,0.4,36.0,5.0,12.4,0.0
12/14/2019 11:00:00.000000,0.4,39.0,3.0,14.0,1.0
