"","date","ID","Site","SensorType","Lat","Long","parameter","val","flag","parameter_units"
"40","2019-08-14 21:00:00","Clarity-5 (CN A7J1SWYY) INACTIVE",NA,NA,NA,NA,"temperature",90,"","F"
"41","2019-08-14 22:00:00","Clarity-5 (CN A7J1SWYY) INACTIVE",NA,NA,NA,NA,"humidity",23.8,"",NA
"42","2019-08-14 22:00:00","Clarity-5 (CN A7J1SWYY) INACTIVE",NA,NA,NA,NA,"pm10",3.61,"","ug/m3"
"43","2019-08-14 22:00:00","Clarity-5 (CN A7J1SWYY) INACTIVE",NA,NA,NA,NA,"pm25_p",2.67,"","ug/m3"
"44","2019-08-14 22:00:00","Clarity-5 (CN A7J1SWYY) INACTIVE",NA,NA,NA,NA,"temperature",88.1,"","F"
"45","2019-08-14 23:00:00","Clarity-5 (CN A7J1SWYY) INACTIVE",NA,NA,NA,NA,"humidity",35.1,"",NA
"46","2019-08-14 23:00:00","Clarity-5 (CN A7J1SWYY) INACTIVE",NA,NA,NA,NA,"pm10",3.53,"","ug/m3"
"47","2019-08-14 23:00:00","Clarity-5 (CN A7J1SWYY) INACTIVE",NA,NA,NA,NA,"pm25_p",2.86,"","ug/m3"
"48","2019-08-14 23:00:00","Clarity-5 (CN A7J1SWYY) INACTIVE",NA,NA,NA,NA,"temperature",83.2,"","F"
"49","2019-08-15 00:00:00","Clarity-5 (CN A7J1SWYY) INACTIVE",NA,NA,NA,NA,"humidity",40.6,"",NA
"50","2019-08-15 00:00:00","Clarity-5 (CN A7J1SWYY) INACTIVE",NA,NA,NA,NA,"pm10",3.93,"","ug/m3"
"51","2019-08-15 00:00:00","Clarity-5 (CN A7J1SWYY) INACTIVE",NA,NA,NA,NA,"pm25_p",3.26,"","ug/m3"
"52","2019-08-15 00:00:00","Clarity-5 (CN A7J1SWYY) INACTIVE",NA,NA,NA,NA,"temperature",80.6,"","F"
"53","2019-08-15 01:00:00","Clarity-5 (CN A7J1SWYY) INACTIVE",NA,NA,NA,NA,"humidity",36.8,"",NA
"54","2019-08-15 01:00:00","Clarity-5 (CN A7J1SWYY) INACTIVE",NA,NA,NA,NA,"pm10",3.7,"","ug/m3"
"55","2019-08-15 01:00:00","Clarity-5 (CN A7J1SWYY) INACTIVE",NA,NA,NA,NA,"pm25_p",3.03,"","ug/m3"
"56","2019-08-15 01:00:00","Clarity-5 (CN A7J1SWYY) INACTIVE",NA,NA,NA,NA,"temperature",79.8,"","F"
"57","2019-08-15 02:00:00","Clarity-5 (CN A7J1SWYY) INACTIVE",NA,NA,NA,NA,"humidity",33.1,"",NA
"58","2019-08-15 02:00:00","Clarity-5 (CN A7J1SWYY) INACTIVE",NA,NA,NA,NA,"pm10",4.07,"","ug/m3"
"59","2019-08-15 02:00:00","Clarity-5 (CN A7J1SWYY) INACTIVE",NA,NA,NA,NA,"pm25_p",3.24,"","ug/m3"
"60","2019-08-15 02:00:00","Clarity-5 (CN A7J1SWYY) INACTIVE",NA,NA,NA,NA,"temperature",79.1,"","F"
"61","2019-08-15 03:00:00","Clarity-5 (CN A7J1SWYY) INACTIVE",NA,NA,NA,NA,"humidity",27.2,"",NA
"62","2019-08-15 03:00:00","Clarity-5 (CN A7J1SWYY) INACTIVE",NA,NA,NA,NA,"pm10",3.66,"","ug/m3"
"63","2019-08-15 03:00:00","Clarity-5 (CN A7J1SWYY) INACTIVE",NA,NA,NA,NA,"pm25_p",2.88,"","ug/m3"
"64","2019-08-15 03:00:00","Clarity-5 (CN A7J1SWYY) INACTIVE",NA,NA,NA,NA,"temperature",78.5,"","F"
"65","2019-08-15 04:00:00","Clarity-5 (CN A7J1SWYY) INACTIVE",NA,NA,NA,NA,"humidity",28.5,"",NA
"66","2019-08-15 04:00:00","Clarity-5 (CN A7J1SWYY) INACTIVE",NA,NA,NA,NA,"pm10",3.57,"","ug/m3"
"67","2019-08-15 04:00:00","Clarity-5 (CN A7J1SWYY) INACTIVE",NA,NA,NA,NA,"pm25_p",2.88,"","ug/m3"
"68","2019-08-15 04:00:00","Clarity-5 (CN A7J1SWYY) INACTIVE",NA,NA,NA,NA,"temperature",78.6,"","F"
