InstrumentName, I-25 Denver,,
StartTime, 2020-03-01 00:00:00,,
EndTime, 2020-03-31 23:59:59,,
Date,CO,NO2,PM2.5
03/01/2020 00:00:00.000000,0.4,23.0,3.0
03/01/2020 01:00:00.000000,1.0,45.0,8.1
03/01/2020 02:00:00.000000,0.9,39.0,8.5
03/01/2020 03:00:00.000000,0.6,30.0,5.3
03/01/2020 04:00:00.000000,0.6,36.0,5.9
03/01/2020 05:00:00.000000,0.5,,5.1
03/01/2020 06:00:00.000000,0.5,35.0,5.2
03/01/2020 07:00:00.000000,0.5,30.0,4.2
03/01/2020 08:00:00.000000,0.5,33.0,3.9
03/01/2020 09:00:00.000000,0.7,37.0,4.6
03/01/2020 10:00:00.000000,0.5,37.0,4.7
03/01/2020 11:00:00.000000,0.4,35.0,3.6
03/01/2020 12:00:00.000000,0.4,37.0,2.9
03/01/2020 13:00:00.000000,0.5,40.0,3.9
03/01/2020 14:00:00.000000,0.5,35.0,3.7
03/01/2020 15:00:00.000000,0.4,27.0,3.8
03/01/2020 16:00:00.000000,0.4,14.0,4.2
03/01/2020 17:00:00.000000,0.4,13.0,3.8
03/01/2020 18:00:00.000000,0.3,9.0,3.5
03/01/2020 19:00:00.000000,0.3,9.0,3.6
03/01/2020 20:00:00.000000,0.4,15.0,4.5
03/01/2020 21:00:00.000000,0.5,16.0,5.9
03/01/2020 22:00:00.000000,0.6,18.0,5.5
03/01/2020 23:00:00.000000,0.5,16.0,5.4
03/02/2020 00:00:00.000000,0.4,16.0,6.8
03/02/2020 01:00:00.000000,0.4,18.0,4.2
03/02/2020 02:00:00.000000,0.2,14.0,3.5
03/02/2020 03:00:00.000000,0.2,12.0,3.3
03/02/2020 04:00:00.000000,0.3,17.0,6.9
03/02/2020 05:00:00.000000,0.3,,8.3
03/02/2020 06:00:00.000000,0.2,13.0,3.8
03/02/2020 07:00:00.000000,0.3,17.0,10.4
03/02/2020 08:00:00.000000,0.3,21.0,11.9
03/02/2020 09:00:00.000000,0.2,18.0,12.4
03/02/2020 10:00:00.000000,0.2,20.0,15.7
03/02/2020 11:00:00.000000,0.3,29.0,17.9
03/02/2020 12:00:00.000000,0.4,33.0,19.0
03/02/2020 13:00:00.000000,0.6,26.0,17.4
03/02/2020 14:00:00.000000,0.4,21.0,16.5
03/02/2020 15:00:00.000000,0.4,20.0,15.9
03/02/2020 16:00:00.000000,0.3,17.0,16.5
03/02/2020 17:00:00.000000,0.5,23.0,19.1
03/02/2020 18:00:00.000000,0.6,31.0,29.0
03/02/2020 19:00:00.000000,0.6,34.0,23.0
03/02/2020 20:00:00.000000,0.4,27.0,14.5
03/02/2020 21:00:00.000000,0.5,24.0,8.0
03/02/2020 22:00:00.000000,0.4,21.0,2.7
03/02/2020 23:00:00.000000,0.5,24.0,4.4
03/03/2020 00:00:00.000000,0.3,16.0,2.8
03/03/2020 01:00:00.000000,0.3,12.0,2.1
03/03/2020 02:00:00.000000,0.4,19.0,3.1
03/03/2020 03:00:00.000000,0.3,17.0,2.8
03/03/2020 04:00:00.000000,0.3,10.0,1.8
03/03/2020 05:00:00.000000,0.3,,1.7
03/03/2020 06:00:00.000000,0.3,13.0,3.1
03/03/2020 07:00:00.000000,0.2,17.0,2.3
03/03/2020 08:00:00.000000,0.4,36.0,4.2
03/03/2020 09:00:00.000000,0.3,29.0,2.5
03/03/2020 10:00:00.000000,0.3,42.0,3.0
03/03/2020 11:00:00.000000,0.5,44.0,3.9
03/03/2020 12:00:00.000000,0.7,45.0,5.0
03/03/2020 13:00:00.000000,1.2,47.0,7.6
03/03/2020 14:00:00.000000,1.1,47.0,9.5
03/03/2020 15:00:00.000000,,41.0,8.7
03/03/2020 16:00:00.000000,0.6,33.0,6.7
03/03/2020 17:00:00.000000,0.4,23.0,5.6
03/03/2020 18:00:00.000000,0.3,16.0,3.3
03/03/2020 19:00:00.000000,0.3,20.0,7.4
03/03/2020 20:00:00.000000,0.4,20.0,4.7
03/03/2020 21:00:00.000000,0.4,20.0,3.1
03/03/2020 22:00:00.000000,0.3,,2.6
03/03/2020 23:00:00.000000,0.4,18.0,3.7
03/04/2020 00:00:00.000000,0.4,20.0,3.7
03/04/2020 01:00:00.000000,0.7,28.0,3.7
03/04/2020 02:00:00.000000,0.4,24.0,3.6
03/04/2020 03:00:00.000000,0.3,26.0,3.7
03/04/2020 04:00:00.000000,0.5,40.0,6.7
03/04/2020 05:00:00.000000,0.7,,7.7
03/04/2020 06:00:00.000000,0.4,33.0,4.8
03/04/2020 07:00:00.000000,0.3,26.0,3.9
03/04/2020 08:00:00.000000,0.4,34.0,3.9
03/04/2020 09:00:00.000000,0.3,28.0,3.2
03/04/2020 10:00:00.000000,0.2,18.0,2.2
03/04/2020 12:00:00.000000,0.4,34.0,3.6
03/04/2020 13:00:00.000000,0.6,40.0,4.1
03/04/2020 14:00:00.000000,0.5,33.0,5.1
03/04/2020 15:00:00.000000,0.4,24.0,5.0
03/04/2020 16:00:00.000000,0.3,22.0,5.0
03/04/2020 17:00:00.000000,0.2,14.0,4.3
03/04/2020 18:00:00.000000,0.3,20.0,5.5
03/04/2020 19:00:00.000000,0.3,16.0,4.5
03/04/2020 20:00:00.000000,0.4,19.0,3.0
03/04/2020 21:00:00.000000,0.4,21.0,2.8
03/04/2020 22:00:00.000000,0.4,20.0,1.9
03/04/2020 23:00:00.000000,0.5,18.0,8.2
03/05/2020 00:00:00.000000,0.4,22.0,2.4
03/05/2020 01:00:00.000000,0.5,25.0,3.1
03/05/2020 02:00:00.000000,0.4,17.0,2.6
03/05/2020 03:00:00.000000,0.4,27.0,3.0
03/05/2020 04:00:00.000000,0.3,23.0,2.8
03/05/2020 05:00:00.000000,0.4,,2.2
03/05/2020 06:00:00.000000,0.1,12.0,1.8
03/05/2020 07:00:00.000000,0.2,16.0,1.8
03/05/2020 08:00:00.000000,0.2,28.0,2.4
03/05/2020 09:00:00.000000,0.2,16.0,4.4
03/05/2020 10:00:00.000000,0.1,4.0,1.7
03/05/2020 11:00:00.000000,0.1,5.0,1.4
03/05/2020 12:00:00.000000,0.1,6.0,2.0
03/05/2020 13:00:00.000000,0.3,15.0,2.3
03/05/2020 14:00:00.000000,0.2,13.0,2.3
03/05/2020 15:00:00.000000,0.3,15.0,2.6
03/05/2020 16:00:00.000000,0.2,10.0,3.4
03/05/2020 17:00:00.000000,0.1,6.0,3.4
03/05/2020 18:00:00.000000,0.1,5.0,
03/05/2020 19:00:00.000000,0.2,7.0,
