InstrumentName, Welch
StartTime, 2018-09-01 00:00:00
EndTime, 2018-09-30 23:59:59
Date,O3
09/01/2018 00:00:00.000000,36.0
09/01/2018 01:00:00.000000,35.0
09/01/2018 02:00:00.000000,34.0
09/01/2018 03:00:00.000000,34.0
09/01/2018 04:00:00.000000,34.0
09/01/2018 05:00:00.000000,35.0
09/01/2018 06:00:00.000000,34.0
09/01/2018 07:00:00.000000,34.0
09/01/2018 08:00:00.000000,31.0
09/01/2018 09:00:00.000000,31.0
09/01/2018 10:00:00.000000,29.0
09/01/2018 11:00:00.000000,28.0
09/01/2018 12:00:00.000000,28.0
09/01/2018 13:00:00.000000,27.0
09/01/2018 14:00:00.000000,27.0
09/01/2018 15:00:00.000000,27.0
09/01/2018 16:00:00.000000,27.0
09/02/2018 00:00:00.000000,42.0
09/02/2018 01:00:00.000000,41.0
09/02/2018 02:00:00.000000,41.0
09/02/2018 14:00:00.000000,26.0
09/02/2018 15:00:00.000000,27.0
09/02/2018 16:00:00.000000,27.0
09/02/2018 23:00:00.000000,59.0
09/03/2018 00:00:00.000000,59.0
09/03/2018 05:00:00.000000,46.0
09/03/2018 06:00:00.000000,46.0
09/03/2018 07:00:00.000000,45.0
09/03/2018 08:00:00.000000,43.0
09/03/2018 09:00:00.000000,43.0
09/03/2018 10:00:00.000000,42.0
09/03/2018 11:00:00.000000,42.0
09/03/2018 12:00:00.000000,41.0
09/03/2018 13:00:00.000000,38.0
09/03/2018 14:00:00.000000,35.0
09/03/2018 15:00:00.000000,32.0
09/03/2018 16:00:00.000000,33.0
09/03/2018 17:00:00.000000,33.0
09/03/2018 21:00:00.000000,50.0
09/03/2018 22:00:00.000000,50.0
09/03/2018 23:00:00.000000,51.0
09/04/2018 00:00:00.000000,51.0
09/04/2018 03:00:00.000000,45.0
09/04/2018 04:00:00.000000,44.0
09/04/2018 05:00:00.000000,44.0
09/04/2018 06:00:00.000000,44.0
09/04/2018 07:00:00.000000,43.0
09/04/2018 08:00:00.000000,42.0
09/04/2018 09:00:00.000000,42.0
09/04/2018 10:00:00.000000,43.0
09/04/2018 11:00:00.000000,41.0
09/04/2018 12:00:00.000000,41.0
09/04/2018 13:00:00.000000,27.0
09/04/2018 14:00:00.000000,27.0
09/04/2018 15:00:00.000000,31.0
09/04/2018 16:00:00.000000,31.0
09/04/2018 21:00:00.000000,60.0
09/04/2018 22:00:00.000000,59.0
09/05/2018 03:00:00.000000,43.0
09/05/2018 04:00:00.000000,43.0
09/05/2018 05:00:00.000000,38.0
09/05/2018 06:00:00.000000,38.0
09/05/2018 07:00:00.000000,35.0
09/05/2018 08:00:00.000000,35.0
09/05/2018 10:00:00.000000,33.0
09/05/2018 11:00:00.000000,31.0
09/05/2018 12:00:00.000000,29.0
09/05/2018 13:00:00.000000,27.0
09/05/2018 14:00:00.000000,27.0
09/05/2018 15:00:00.000000,25.0
09/05/2018 16:00:00.000000,24.0
09/06/2018 00:00:00.000000,34.0
09/06/2018 01:00:00.000000,35.0
09/06/2018 02:00:00.000000,35.0
09/06/2018 03:00:00.000000,35.0
09/06/2018 04:00:00.000000,36.0
09/06/2018 05:00:00.000000,36.0
09/06/2018 06:00:00.000000,31.0
09/06/2018 07:00:00.000000,25.0
09/06/2018 08:00:00.000000,24.0
09/06/2018 09:00:00.000000,24.0
09/06/2018 10:00:00.000000,23.0
09/06/2018 11:00:00.000000,22.0
