InstrumentName, 26th and Williams B,,
StartTime, 2018-09-01 00:00:00,,
EndTime, 2018-09-30 23:59:59,,
Date,PM2.5,humidity,temp_f
09/23/2018 20:25:31.296666,4.4,14.0,85.0
09/23/2018 20:26:51.056666,5.26,13.0,86.0
09/23/2018 20:29:31.063333,5.02,14.0,87.0
09/23/2018 20:30:51.040000,5.33,14.0,87.0
09/23/2018 20:32:11.033333,4.98,14.0,88.0
09/23/2018 20:34:51.036666,6.2,13.0,89.0
09/23/2018 20:36:11.086666,5.9,13.0,89.0
09/23/2018 20:38:51.026666,6.48,12.0,90.0
09/23/2018 20:40:11.216666,6.98,12.0,91.0
09/23/2018 20:42:51.040000,6.72,12.0,91.0
09/23/2018 20:44:11.036666,6.35,11.0,92.0
09/23/2018 20:46:51.046666,5.91,10.0,92.0
09/23/2018 20:48:11.040000,7.28,10.0,92.0
09/23/2018 20:50:51.036666,6.91,11.0,93.0
09/23/2018 20:52:11.036666,5.67,12.0,93.0
09/23/2018 20:54:51.090000,5.98,11.0,94.0
09/23/2018 20:56:11.046666,5.81,10.0,94.0
09/23/2018 20:58:51.040000,6.88,10.0,94.0
09/23/2018 21:00:11.043333,5.86,9.0,94.0
09/23/2018 21:02:51.046666,6.05,10.0,94.0
09/23/2018 21:04:11.100000,5.05,10.0,94.0
09/23/2018 21:06:51.033333,5.07,10.0,95.0
09/23/2018 21:08:11.046666,5.77,10.0,95.0
09/23/2018 21:10:51.043333,6.02,10.0,95.0
09/23/2018 21:12:11.093333,6.58,10.0,95.0
09/23/2018 21:14:51.056666,6.2,10.0,95.0
09/23/2018 21:16:11.033333,6.65,10.0,95.0
09/23/2018 21:18:51.060000,6.57,10.0,96.0
09/23/2018 21:20:11.050000,5.61,10.0,95.0
09/23/2018 21:22:51.050000,5.6,10.0,96.0
09/23/2018 21:24:11.050000,6.21,10.0,96.0
09/23/2018 21:26:51.263333,6.27,10.0,96.0
09/23/2018 21:28:11.096666,6.16,10.0,96.0
09/23/2018 21:30:51.183333,6.47,10.0,97.0
09/23/2018 21:32:11.060000,7.4,10.0,97.0
09/23/2018 21:34:51.043333,6.33,10.0,97.0
09/23/2018 21:37:31.066666,6.0,9.0,97.0
09/23/2018 21:38:51.056666,6.24,9.0,97.0
09/23/2018 21:40:11.050000,7.12,10.0,97.0
09/23/2018 21:42:51.056666,5.6,9.0,98.0
09/23/2018 21:45:31.073333,7.07,9.0,98.0
09/23/2018 21:46:51.060000,5.62,9.0,98.0
09/23/2018 21:49:31.076666,6.98,9.0,98.0
09/23/2018 21:50:51.056666,6.51,9.0,99.0
09/23/2018 21:53:31.456666,6.58,9.0,99.0
09/23/2018 21:54:51.046666,7.15,9.0,99.0
09/23/2018 21:57:31.070000,6.67,9.0,99.0
09/23/2018 21:58:51.066666,6.91,9.0,99.0
09/23/2018 22:01:31.066666,7.32,9.0,99.0
09/23/2018 22:02:51.210000,6.89,9.0,99.0
09/23/2018 22:05:31.063333,6.63,9.0,100.0
09/23/2018 22:06:51.063333,7.0,8.0,99.0
09/23/2018 22:09:31.070000,6.02,8.0,99.0
09/23/2018 22:10:51.310000,6.26,8.0,99.0
09/23/2018 22:13:31.080000,6.3,8.0,99.0
09/23/2018 22:14:51.196666,6.33,8.0,99.0
09/23/2018 22:17:31.080000,7.0,8.0,99.0
09/23/2018 22:18:51.073333,6.98,8.0,99.0
