InstrumentName, APCD B,,
StartTime, 2018-09-01 00:00:00,,
EndTime, 2018-09-30 23:59:59,,
Date,PM2.5,humidity,temp_f
09/01/2018 03:43:02.903333,0.49,24.0,76.0
09/01/2018 03:45:42.816666,1.0,24.0,76.0
09/01/2018 03:47:02.793333,1.0,24.0,76.0
09/01/2018 03:49:42.760000,1.0,24.0,76.0
09/01/2018 03:51:02.716666,1.0,24.0,75.0
09/01/2018 03:53:42.893333,0.64,24.0,75.0
09/01/2018 03:55:02.950000,0.39,24.0,75.0
09/01/2018 03:57:42.886666,0.31,25.0,75.0
09/01/2018 03:59:02.780000,0.62,25.0,75.0
09/01/2018 04:01:42.796666,0.46,25.0,75.0
09/01/2018 04:03:02.903333,0.85,25.0,75.0
09/01/2018 04:05:42.756666,0.1,25.0,74.0
09/01/2018 04:07:02.830000,0.29,25.0,74.0
09/01/2018 04:09:42.783333,0.8,25.0,74.0
09/01/2018 04:11:02.756666,0.95,25.0,75.0
09/01/2018 04:13:42.820000,0.47,25.0,74.0
09/01/2018 04:15:02.900000,0.24,25.0,75.0
09/01/2018 04:17:42.816666,0.2,25.0,75.0
09/01/2018 04:19:02.856666,0.12,25.0,75.0
09/01/2018 04:21:43.023333,0.12,25.0,74.0
09/01/2018 04:23:02.836666,0.12,25.0,74.0
09/01/2018 04:25:43.006666,0.27,25.0,74.0
09/01/2018 04:27:02.863333,0.24,26.0,74.0
09/01/2018 04:29:42.893333,0.08,26.0,74.0
09/01/2018 04:31:02.850000,0.22,26.0,74.0
09/01/2018 04:33:42.846666,0.32,26.0,73.0
09/01/2018 04:35:02.806666,0.14,26.0,73.0
09/01/2018 04:37:42.763333,0.24,27.0,73.0
09/01/2018 04:39:02.836666,0.43,27.0,73.0
09/01/2018 04:41:42.803333,0.43,26.0,73.0
09/01/2018 04:43:03.673333,0.43,26.0,73.0
09/01/2018 04:45:42.933333,0.43,26.0,73.0
09/01/2018 04:47:03.010000,0.43,26.0,73.0
09/01/2018 04:49:43.196666,0.1,25.0,73.0
09/01/2018 04:51:03.000000,0.1,25.0,74.0
09/01/2018 04:53:43.083333,0.1,25.0,74.0
09/01/2018 04:55:03.113333,0.1,25.0,73.0
09/01/2018 04:57:43.196666,0.1,25.0,74.0
09/01/2018 04:59:02.870000,0.1,25.0,74.0
09/01/2018 05:01:42.876666,0.1,26.0,73.0
09/01/2018 05:03:03.373333,0.1,26.0,73.0
09/01/2018 05:05:42.843333,0.1,26.0,73.0
09/01/2018 05:07:02.906666,0.1,26.0,74.0
09/01/2018 05:09:43.073333,0.22,26.0,73.0
09/01/2018 05:11:03.580000,0.22,26.0,74.0
09/01/2018 05:13:42.800000,0.22,26.0,73.0
09/01/2018 05:15:02.860000,0.22,26.0,74.0
09/01/2018 05:17:42.810000,0.02,26.0,74.0
09/01/2018 05:19:02.966666,0.02,26.0,74.0
09/01/2018 05:21:42.876666,0.02,26.0,74.0
09/01/2018 05:23:02.953333,0.02,26.0,74.0
