InstrumentName, APCD,,
StartTime, 2018-09-01 00:00:00,,
EndTime, 2018-09-30 23:59:59,,
Date,PM2.5,humidity,temp_f
09/01/2018 00:01:14.736666,1.0,21.0,83.0
09/01/2018 00:03:52.996666,0.58,21.0,83.0
09/01/2018 00:05:13.143333,1.31,22.0,83.0
09/01/2018 00:07:52.910000,1.82,22.0,83.0
09/01/2018 00:09:12.726666,1.67,22.0,83.0
09/01/2018 00:11:53.093333,1.08,22.0,83.0
09/01/2018 00:13:12.980000,1.54,22.0,82.0
09/01/2018 00:15:52.816666,2.47,23.0,82.0
09/01/2018 00:17:13.026666,2.08,23.0,82.0
09/01/2018 00:19:52.930000,1.97,23.0,82.0
09/01/2018 00:21:14.930000,1.4,24.0,81.0
09/01/2018 00:23:53.313333,1.0,23.0,82.0
09/01/2018 00:25:13.256666,1.8,23.0,82.0
09/01/2018 00:27:52.853333,1.64,23.0,81.0
09/01/2018 00:29:13.113333,1.62,23.0,82.0
09/01/2018 00:31:52.980000,1.51,24.0,81.0
09/01/2018 00:33:12.786666,1.56,24.0,81.0
09/01/2018 00:35:52.903333,2.05,24.0,81.0
09/01/2018 00:37:12.933333,1.74,24.0,81.0
09/01/2018 00:39:52.773333,2.45,24.0,81.0
09/01/2018 00:41:13.390000,1.87,24.0,81.0
09/01/2018 00:43:53.056666,1.89,25.0,80.0
09/01/2018 00:45:16.886666,1.51,26.0,79.0
09/01/2018 00:47:53.326666,1.58,26.0,79.0
09/01/2018 00:49:13.136666,0.85,26.0,79.0
09/01/2018 00:51:52.953333,1.5,26.0,79.0
09/01/2018 00:53:12.833333,1.3,26.0,79.0
09/01/2018 00:55:53.096666,1.27,26.0,79.0
09/01/2018 00:57:12.753333,1.1,26.0,79.0
09/01/2018 00:59:52.856666,1.71,27.0,79.0
09/01/2018 01:01:13.566666,1.9,27.0,80.0
09/01/2018 01:03:52.830000,2.39,27.0,80.0
09/01/2018 01:05:12.886666,2.13,27.0,80.0
09/01/2018 01:07:52.810000,2.74,27.0,79.0
09/01/2018 01:09:13.023333,2.44,27.0,79.0
09/01/2018 01:11:53.016666,2.66,27.0,79.0
09/01/2018 01:13:13.120000,2.21,28.0,79.0
09/01/2018 01:15:52.910000,1.31,28.0,78.0
09/01/2018 01:17:12.986666,2.44,28.0,78.0
09/01/2018 01:19:52.860000,1.71,28.0,78.0
09/01/2018 01:21:13.013333,2.08,28.0,78.0
09/01/2018 01:23:52.980000,2.18,29.0,78.0
09/01/2018 01:25:13.266666,2.1,29.0,78.0
09/01/2018 01:27:53.226666,1.92,29.0,78.0
09/01/2018 01:29:13.013333,2.03,29.0,78.0
09/01/2018 01:31:52.916666,3.1,29.0,78.0
09/01/2018 01:33:12.803333,2.68,29.0,77.0
09/01/2018 01:35:52.756666,1.68,30.0,78.0
09/01/2018 01:37:13.016666,2.97,30.0,77.0
09/01/2018 01:39:52.763333,2.76,30.0,77.0
09/01/2018 01:41:13.033333,2.28,30.0,77.0
09/01/2018 01:43:52.790000,2.26,30.0,77.0
09/01/2018 01:45:12.766666,2.38,30.0,77.0
09/01/2018 01:47:52.820000,4.07,30.0,78.0
09/01/2018 01:49:13.103333,2.97,30.0,78.0
09/01/2018 01:51:52.740000,3.67,31.0,77.0
09/01/2018 01:53:12.816666,3.54,31.0,78.0
09/01/2018 01:55:52.910000,3.35,31.0,78.0
