InstrumentName, West Denver PA-II B
StartTime, 2020-04-01 00:00:00
EndTime, 2020-04-30 23:59:59
Date,PM2.5
04/01/2020 00:00:19.714000,1.82
04/01/2020 00:02:19.741000,1.88
04/01/2020 00:04:19.806000,1.24
04/01/2020 00:06:19.939000,2.37
04/01/2020 00:08:19.810000,1.75
04/01/2020 00:10:19.714000,0.88
04/01/2020 00:12:19.726000,0.86
04/01/2020 00:14:19.757000,1.05
04/01/2020 00:16:19.711000,1.0
04/01/2020 00:18:21.728000,0.75
04/01/2020 00:20:19.849000,1.21
04/01/2020 00:22:19.725000,0.65
04/01/2020 00:24:19.703000,0.75
04/01/2020 00:26:19.706000,0.91
04/01/2020 00:28:19.853000,0.84
04/01/2020 00:30:19.715000,1.22
04/01/2020 00:32:19.711000,0.78
04/01/2020 00:34:19.707000,1.02
04/01/2020 00:36:19.764000,0.86
04/01/2020 00:38:20.147000,0.98
04/01/2020 00:40:20.171000,1.02
04/01/2020 00:42:19.711000,1.0
04/01/2020 00:44:19.720000,1.05
04/01/2020 00:46:19.712000,0.72
04/01/2020 00:48:19.951000,0.68
04/01/2020 00:50:19.753000,0.55
04/01/2020 00:52:19.731000,0.74
04/01/2020 00:54:19.726000,1.14
04/01/2020 00:56:19.715000,0.67
04/01/2020 00:58:19.756000,5.8
04/01/2020 01:00:19.758000,4.71
04/01/2020 01:02:19.744000,1.53
04/01/2020 01:04:19.733000,28.42
04/01/2020 01:06:19.770000,8.07
04/01/2020 01:08:19.712000,1.3
04/01/2020 01:10:19.728000,1.21
04/01/2020 01:12:19.753000,2.53
04/01/2020 01:14:19.714000,2.83
04/01/2020 01:16:19.715000,2.29
04/01/2020 01:18:19.718000,5.68
04/01/2020 01:20:19.807000,4.58
04/01/2020 01:22:19.725000,4.56
04/01/2020 01:24:19.732000,7.24
04/01/2020 01:26:19.727000,6.43
04/01/2020 01:28:19.733000,3.59
04/01/2020 01:30:19.731000,7.39
04/01/2020 01:32:19.730000,6.88
04/01/2020 01:34:20.170000,2.44
04/01/2020 01:36:19.736000,2.63
04/01/2020 01:38:20.109000,1.85
04/01/2020 01:40:19.725000,2.08
04/01/2020 01:42:19.734000,2.0
04/01/2020 01:44:19.724000,2.31
04/01/2020 01:46:19.737000,2.78
04/01/2020 01:48:19.733000,4.88
04/01/2020 01:50:19.729000,4.39
04/01/2020 01:52:19.744000,4.82
04/01/2020 01:54:19.744000,5.36
04/01/2020 01:56:19.754000,3.88
04/01/2020 02:00:20.135000,3.11
04/01/2020 02:02:19.754000,3.16
04/01/2020 02:04:19.894000,3.15
04/01/2020 02:06:19.805000,3.12
