InstrumentName, Boulder-CU/Athens
StartTime, 2020-04-01 00:00:00
EndTime, 2020-04-30 23:59:59
Date,PM2.5
04/15/2020 14:00:00.000000,9.0
04/15/2020 15:00:00.000000,0.5
04/15/2020 16:00:00.000000,6.8
04/15/2020 22:00:00.000000,6.9
04/15/2020 23:00:00.000000,6.2
04/16/2020 00:00:00.000000,7.1
04/16/2020 01:00:00.000000,4.5
04/16/2020 02:00:00.000000,4.8
04/16/2020 03:00:00.000000,8.4
04/16/2020 04:00:00.000000,4.0
04/16/2020 05:00:00.000000,10.1
04/16/2020 06:00:00.000000,3.9
04/16/2020 11:00:00.000000,2.5
04/16/2020 12:00:00.000000,6.8
04/16/2020 13:00:00.000000,4.2
04/16/2020 14:00:00.000000,2.1
04/16/2020 15:00:00.000000,2.1
04/16/2020 16:00:00.000000,7.9
04/16/2020 17:00:00.000000,7.2
04/16/2020 18:00:00.000000,10.2
04/16/2020 19:00:00.000000,7.3
04/16/2020 20:00:00.000000,3.3
04/16/2020 22:00:00.000000,1.7
04/16/2020 23:00:00.000000,8.4
04/17/2020 00:00:00.000000,8.4
04/17/2020 01:00:00.000000,10.2
04/17/2020 02:00:00.000000,8.2
04/17/2020 03:00:00.000000,9.6
04/17/2020 04:00:00.000000,6.5
04/17/2020 05:00:00.000000,11.3
04/17/2020 06:00:00.000000,11.8
04/17/2020 08:00:00.000000,8.6
04/17/2020 09:00:00.000000,9.1
04/17/2020 10:00:00.000000,9.0
04/17/2020 11:00:00.000000,7.7
04/17/2020 12:00:00.000000,7.2
04/17/2020 13:00:00.000000,8.8
04/17/2020 14:00:00.000000,1.2
04/17/2020 15:00:00.000000,2.0
04/17/2020 16:00:00.000000,11.3
04/17/2020 17:00:00.000000,11.1
04/17/2020 18:00:00.000000,11.9
04/17/2020 19:00:00.000000,17.7
04/17/2020 20:00:00.000000,19.2
04/17/2020 21:00:00.000000,16.2
04/17/2020 22:00:00.000000,20.0
04/17/2020 23:00:00.000000,22.2
04/18/2020 00:00:00.000000,25.7
04/18/2020 01:00:00.000000,29.3
04/18/2020 02:00:00.000000,27.9
04/18/2020 03:00:00.000000,27.3
04/18/2020 04:00:00.000000,30.3
04/18/2020 05:00:00.000000,32.0
04/18/2020 06:00:00.000000,30.3
04/18/2020 07:00:00.000000,24.7
04/18/2020 08:00:00.000000,22.7
04/18/2020 09:00:00.000000,16.9
04/18/2020 10:00:00.000000,14.6
04/18/2020 11:00:00.000000,23.4
04/18/2020 12:00:00.000000,14.4
04/18/2020 13:00:00.000000,12.3
04/18/2020 14:00:00.000000,14.2
04/18/2020 15:00:00.000000,11.0
