InstrumentName, La Casa,,,,
StartTime, 2020-04-01 00:00:00,,,,
EndTime, 2020-04-30 23:59:59,,,,
Date,CO,NO2,O3,PM10,SO2
04/01/2020 00:00:00.000000,0.2,7.0,46.0,14.8,0.0
04/01/2020 01:00:00.000000,0.2,8.0,46.0,14.4,0.0
04/01/2020 02:00:00.000000,0.2,6.0,46.0,13.5,0.0
04/01/2020 03:00:00.000000,0.3,15.0,31.0,15.2,0.0
04/01/2020 04:00:00.000000,0.2,,36.0,12.1,0.0
04/01/2020 05:00:00.000000,0.2,11.0,33.0,13.1,0.0
04/01/2020 06:00:00.000000,0.2,18.0,23.0,17.9,0.0
04/01/2020 07:00:00.000000,0.2,12.0,26.0,13.3,
04/01/2020 08:00:00.000000,0.2,17.0,19.0,13.6,0.0
04/01/2020 09:00:00.000000,0.2,15.0,21.0,13.3,0.0
04/01/2020 16:00:00.000000,0.2,20.0,27.0,39.6,0.0
04/01/2020 17:00:00.000000,0.2,10.0,39.0,25.6,0.0
04/01/2020 18:00:00.000000,0.1,3.0,47.0,16.6,0.0
04/01/2020 19:00:00.000000,0.1,2.0,50.0,11.9,0.0
04/01/2020 20:00:00.000000,0.2,3.0,49.0,10.8,0.0
04/01/2020 21:00:00.000000,0.2,4.0,51.0,13.1,0.0
04/01/2020 22:00:00.000000,0.2,4.0,51.0,12.2,0.0
04/01/2020 23:00:00.000000,0.2,7.0,48.0,15.8,0.0
04/02/2020 00:00:00.000000,0.2,11.0,40.0,18.1,0.0
04/02/2020 01:00:00.000000,0.2,19.0,30.0,22.6,0.0
04/02/2020 02:00:00.000000,0.2,22.0,22.0,34.8,0.0
04/02/2020 03:00:00.000000,0.1,4.0,30.0,82.8,0.0
04/02/2020 04:00:00.000000,0.1,,26.0,33.8,0.0
04/02/2020 05:00:00.000000,0.2,3.0,25.0,22.6,0.0
04/02/2020 06:00:00.000000,0.2,7.0,21.0,21.6,0.0
04/02/2020 07:00:00.000000,0.2,7.0,17.0,15.4,
04/02/2020 08:00:00.000000,0.2,4.0,15.0,9.5,0.0
04/02/2020 09:00:00.000000,0.2,4.0,13.0,6.7,0.0
04/02/2020 10:00:00.000000,0.1,7.0,8.0,3.6,0.0
04/02/2020 11:00:00.000000,0.1,9.0,7.0,4.2,0.0
04/02/2020 12:00:00.000000,0.1,9.0,8.0,3.8,0.0
04/02/2020 13:00:00.000000,0.1,10.0,9.0,5.3,0.0
04/02/2020 14:00:00.000000,0.1,11.0,14.0,4.8,0.0
04/02/2020 15:00:00.000000,0.1,12.0,15.0,3.5,0.0
04/02/2020 16:00:00.000000,0.2,12.0,16.0,3.9,0.0
