InstrumentName, APCD,,
StartTime, 2019-02-01 00:00:00,,
EndTime, 2019-02-28 23:59:59,,
Date,PM2.5,humidity,temp_f
02/01/2019 00:02:00.024000,11.56,27.0,52.0
02/01/2019 00:03:20.144000,10.67,27.0,52.0
02/01/2019 00:06:00.080000,11.74,27.0,52.0
02/01/2019 00:07:20.241000,10.74,28.0,51.0
02/01/2019 00:10:00.187000,10.8,28.0,51.0
02/01/2019 00:11:20.356000,10.15,28.0,51.0
02/01/2019 00:14:00.128000,10.64,29.0,50.0
02/01/2019 00:15:20.287000,11.24,29.0,50.0
02/01/2019 00:18:00.056000,10.35,29.0,50.0
02/01/2019 00:19:20.874000,10.68,30.0,49.0
02/01/2019 00:20:40.005000,11.21,30.0,49.0
02/01/2019 00:23:19.937000,11.87,30.0,48.0
02/01/2019 00:26:00.004000,11.91,32.0,47.0
02/01/2019 00:31:21.432000,11.16,32.0,47.0
02/01/2019 00:34:00.246000,11.9,33.0,46.0
02/01/2019 00:35:20.225000,11.13,33.0,46.0
02/01/2019 00:38:00.474000,11.37,33.0,46.0
02/01/2019 00:39:20.276000,11.35,34.0,46.0
02/01/2019 00:40:40.628000,11.57,34.0,45.0
02/01/2019 00:43:50.152000,11.72,35.0,45.0
02/01/2019 00:45:11.440000,12.17,35.0,45.0
02/01/2019 00:47:51.185000,13.47,36.0,44.0
02/01/2019 00:49:10.392000,12.53,36.0,45.0
02/01/2019 00:51:50.034000,13.04,36.0,45.0
02/01/2019 00:53:10.546000,12.57,36.0,45.0
02/01/2019 00:55:51.337000,12.77,36.0,44.0
02/01/2019 00:57:10.026000,12.61,36.0,44.0
02/01/2019 00:59:50.072000,12.74,36.0,44.0
02/01/2019 01:01:11.243000,11.5,36.0,44.0
02/01/2019 01:03:50.157000,11.66,36.0,44.0
02/01/2019 01:05:10.405000,13.33,36.0,44.0
02/01/2019 01:07:50.015000,11.5,36.0,44.0
02/01/2019 01:09:10.316000,13.89,36.0,44.0
02/01/2019 01:11:50.094000,13.2,36.0,44.0
02/01/2019 01:13:10.690000,13.61,36.0,44.0
02/01/2019 01:15:50.842000,14.67,36.0,44.0
02/01/2019 01:17:10.279000,14.27,37.0,44.0
02/01/2019 01:19:50.116000,14.04,38.0,43.0
02/01/2019 01:21:10.092000,13.28,38.0,44.0
02/01/2019 01:23:50.047000,15.5,38.0,43.0
02/01/2019 01:25:10.579000,15.98,39.0,43.0
02/01/2019 01:27:50.238000,17.02,40.0,43.0
02/01/2019 01:29:10.342000,16.63,40.0,43.0
02/01/2019 01:31:50.240000,17.64,40.0,42.0
02/01/2019 01:33:14.888000,18.33,41.0,42.0
02/01/2019 01:35:52.043000,15.7,41.0,42.0
02/01/2019 01:39:50.219000,21.29,41.0,42.0
02/01/2019 01:41:10.165000,16.53,41.0,42.0
02/01/2019 01:43:50.381000,17.3,41.0,42.0
02/01/2019 01:47:50.340000,20.26,43.0,40.0
02/01/2019 01:49:10.918000,20.61,44.0,40.0
02/01/2019 01:53:40.283000,22.43,44.0,40.0
02/01/2019 01:55:00.288000,24.63,44.0,40.0
02/01/2019 01:57:40.596000,28.7,44.0,40.0
02/01/2019 01:59:00.321000,30.34,45.0,40.0
02/01/2019 02:07:00.843000,27.24,47.0,38.0
02/01/2019 02:09:40.484000,29.26,47.0,38.0
02/01/2019 02:11:00.131000,29.31,47.0,38.0
02/01/2019 02:13:40.440000,27.64,48.0,39.0
02/01/2019 02:15:00.107000,24.13,47.0,39.0
02/01/2019 02:17:40.170000,15.82,46.0,39.0
02/01/2019 02:19:00.449000,17.48,46.0,39.0
02/01/2019 02:23:00.339000,20.57,47.0,38.0
02/01/2019 02:25:40.234000,20.38,46.0,39.0
02/01/2019 02:27:00.091000,17.89,46.0,39.0
02/01/2019 02:29:40.537000,16.4,46.0,39.0
02/01/2019 02:31:00.112000,16.91,45.0,39.0
02/01/2019 02:33:40.387000,16.04,45.0,39.0
02/01/2019 02:35:00.355000,17.91,45.0,39.0
02/01/2019 02:37:41.024000,16.98,45.0,39.0
02/01/2019 02:39:00.530000,18.0,45.0,39.0
02/01/2019 02:41:40.347000,18.5,45.0,39.0
02/01/2019 02:43:00.304000,18.47,44.0,40.0
02/01/2019 02:45:40.170000,18.98,44.0,40.0
02/01/2019 02:47:00.150000,19.46,44.0,39.0
02/01/2019 02:49:40.185000,20.8,44.0,39.0
02/01/2019 02:51:00.148000,23.28,44.0,40.0
02/01/2019 02:53:40.104000,19.61,44.0,40.0
02/01/2019 02:55:00.641000,22.58,44.0,40.0
02/01/2019 02:57:40.221000,21.73,44.0,39.0
02/01/2019 02:59:00.415000,20.91,44.0,39.0
02/01/2019 03:01:40.064000,21.6,45.0,38.0
