InstrumentName, CAMP Collo (CS13),,,,,,,,,,,,,,
StartTime, 2019-02-01 00:00:00,,,,,,,,,,,,,,
EndTime, 2019-02-28 23:59:59,,,,,,,,,,,,,,
Date,F1,F3,F4,Hmdty,Lat,Long,PM10,PM102,PM1_0,PM1_02,Sig,Temp,Uncertainty,pm25_r,pm25_r2
02/07/2019 16:29:10.687000,0.0,0.0,0.0,15.1,39.741928,-104.987152,0.0,0.0,0.0,0.0,22.0,75.2,76.0,0.0,0.0
02/07/2019 16:30:11.250000,0.0,0.0,0.0,14.4,39.741928,-104.987152,0.0,0.0,0.0,0.0,21.0,75.02,76.0,0.0,0.0
02/07/2019 16:31:09.920000,0.0,0.0,0.0,14.1,39.741928,-104.987152,0.0,0.0,0.0,0.0,21.0,75.2,76.0,0.0,0.0
02/07/2019 16:32:09.123000,0.0,0.0,0.0,13.9,39.741928,-104.987152,0.0,0.0,0.0,0.0,21.0,75.2,76.0,0.0,0.0
02/07/2019 16:33:15.437000,0.0,0.0,0.0,13.8,39.741928,-104.987152,0.0,0.0,0.0,0.0,20.0,75.2,76.0,0.0,0.0
02/07/2019 16:34:10.937000,0.0,0.0,0.0,13.7,39.741928,-104.987152,0.0,0.0,0.0,0.0,21.0,75.2,76.0,0.0,0.0
02/07/2019 16:35:10.720000,0.0,0.0,0.0,13.5,39.741928,-104.987152,0.0,0.0,0.0,0.0,21.0,75.2,76.0,0.0,0.0
02/07/2019 16:36:11.080000,0.0,0.0,0.0,13.5,39.741928,-104.987152,0.0,0.0,0.0,0.0,21.0,75.38,76.0,0.0,0.0
02/07/2019 16:37:11.813000,0.0,0.0,0.0,13.4,39.741928,-104.987152,0.0,0.0,0.0,0.0,20.0,75.38,76.0,0.0,0.0
02/07/2019 16:38:08.987000,0.0,0.0,0.0,13.3,39.741928,-104.987152,0.0,0.0,0.0,0.0,22.0,75.38,76.0,0.0,0.0
02/07/2019 16:39:09.707000,0.0,0.0,0.0,13.3,39.741928,-104.987152,0.0,0.0,0.0,0.0,21.0,75.38,76.0,0.0,0.0
02/07/2019 16:40:11.567000,0.0,0.0,0.0,13.2,39.741928,-104.987152,0.0,0.0,0.0,0.0,21.0,75.38,76.0,0.0,0.0
02/07/2019 16:41:11.457000,0.0,0.0,0.0,13.2,39.741928,-104.987152,0.0,0.0,0.0,0.0,21.0,75.38,76.0,0.0,0.0
02/07/2019 16:43:10.523000,0.0,0.0,0.0,13.2,39.741928,-104.987152,0.0,0.0,0.0,0.0,21.0,75.56,76.0,0.0,0.0
02/07/2019 16:44:09.773000,0.0,0.0,0.0,13.1,39.741928,-104.987152,0.0,0.0,0.0,0.0,13.0,75.56,76.0,0.0,0.0
