"","X.1","date","X","ID","SensorType","Lat","Long","start_date","date_days","age_days","age_weeks.x","val.humidity","val.pm10","val.pm25_p","val.pm25_r","val.temperature","flag"
"1",1,"2018-02-28 03:00:00",1,"MSLA (CS34)","Lunar",39.70824,-105.01183,"2018-02-28","2018-02-28",0,0,36.1,3.52,5.6,3.27,39.3,0
"2",2,"2018-02-28 03:00:00",2,"MSLA (CS34)","Lunar",39.70824,-105.01183,"2018-02-28","2018-02-28",0,0,36.1,3.52,5.6,3.27,39.3,0
"3",3,"2018-02-28 03:00:00",3,"MSLA (CS34)","Lunar",39.70824,-105.01183,"2018-02-28","2018-02-28",0,0,36.1,3.52,5.6,3.27,39.3,0
"4",4,"2018-02-28 03:00:00",4,"MSLA (CS34)","Lunar",39.70824,-105.01183,"2018-02-28","2018-02-28",0,0,36.1,3.52,5.6,3.27,39.3,0
"5",5,"2018-02-28 03:00:00",5,"MSLA (CS34)","Lunar",39.70824,-105.01183,"2018-02-28","2018-02-28",0,0,36.1,3.52,5.6,3.27,39.3,0
"6",6,"2021-08-31 17:00:00",7,"MSLA (CS34)","Lunar",39.70824,-105.01183,"2018-02-28","2021-08-31",1280,182,6.4,48.6,33.1,39.1,96,1
"7",7,"2021-08-31 17:00:00",8,"MSLA (CS34)","Lunar",39.70824,-105.01183,"2018-02-28","2021-08-31",1280,182,6.4,48.6,33.1,39.1,96,1
"8",8,"2021-08-31 17:00:00",6,"MSLA (CS34)","Lunar",39.70824,-105.01183,"2018-02-28","2021-08-31",1280,182,6.4,48.6,33.1,39.1,96,1
"9",9,"2021-08-31 17:00:00",9,"MSLA (CS34)","Lunar",39.70824,-105.01183,"2018-02-28","2021-08-31",1280,182,6.4,48.6,33.1,39.1,96,1
"10",10,"2021-08-31 17:00:00",10,"MSLA (CS34)","Lunar",39.70824,-105.01183,"2018-02-28","2021-08-31",1280,182,6.4,48.6,33.1,39.1,96,1
"11",11,"2021-08-31 18:00:00",11,"MSLA (CS34)","Lunar",39.70824,-105.01183,"2018-02-28","2021-08-31",1280,182,9.2,49.1,33.4,39.3,91.6,1
"12",12,"2021-08-31 18:00:00",15,"MSLA (CS34)","Lunar",39.70824,-105.01183,"2018-02-28","2021-08-31",1280,182,9.2,49.1,33.4,39.3,91.6,1
"13",13,"2021-08-31 18:00:00",14,"MSLA (CS34)","Lunar",39.70824,-105.01183,"2018-02-28","2021-08-31",1280,182,9.2,49.1,33.4,39.3,91.6,1
"14",14,"2021-08-31 18:00:00",12,"MSLA (CS34)","Lunar",39.70824,-105.01183,"2018-02-28","2021-08-31",1280,182,9.2,49.1,33.4,39.3,91.6,1
"15",15,"2021-08-31 18:00:00",13,"MSLA (CS34)","Lunar",39.70824,-105.01183,"2018-02-28","2021-08-31",1280,182,9.2,49.1,33.4,39.3,91.6,1
"16",16,"2021-08-31 19:00:00",20,"MSLA (CS34)","Lunar",39.70824,-105.01183,"2018-02-28","2021-08-31",1280,182,11,51.3,34.7,40.8,88.4,1
"17",17,"2021-08-31 19:00:00",19,"MSLA (CS34)","Lunar",39.70824,-105.01183,"2018-02-28","2021-08-31",1280,182,11,51.3,34.7,40.8,88.4,1
"18",18,"2021-08-31 19:00:00",18,"MSLA (CS34)","Lunar",39.70824,-105.01183,"2018-02-28","2021-08-31",1280,182,11,51.3,34.7,40.8,88.4,1
"19",19,"2021-08-31 19:00:00",16,"MSLA (CS34)","Lunar",39.70824,-105.01183,"2018-02-28","2021-08-31",1280,182,11,51.3,34.7,40.8,88.4,1
"20",20,"2021-08-31 19:00:00",17,"MSLA (CS34)","Lunar",39.70824,-105.01183,"2018-02-28","2021-08-31",1280,182,11,51.3,34.7,40.8,88.4,1
"21",21,"2021-08-31 20:00:00",21,"MSLA (CS34)","Lunar",39.70824,-105.01183,"2018-02-28","2021-08-31",1280,182,11.4,50.9,34.4,40.6,88.4,1
"22",22,"2021-08-31 20:00:00",24,"MSLA (CS34)","Lunar",39.70824,-105.01183,"2018-02-28","2021-08-31",1280,182,11.4,50.9,34.4,40.6,88.4,1
"23",23,"2021-08-31 20:00:00",22,"MSLA (CS34)","Lunar",39.70824,-105.01183,"2018-02-28","2021-08-31",1280,182,11.4,50.9,34.4,40.6,88.4,1
"24",24,"2021-08-31 20:00:00",23,"MSLA (CS34)","Lunar",39.70824,-105.01183,"2018-02-28","2021-08-31",1280,182,11.4,50.9,34.4,40.6,88.4,1
"25",25,"2021-08-31 20:00:00",25,"MSLA (CS34)","Lunar",39.70824,-105.01183,"2018-02-28","2021-08-31",1280,182,11.4,50.9,34.4,40.6,88.4,1
"26",26,"2021-08-31 21:00:00",29,"MSLA (CS34)","Lunar",39.70824,-105.01183,"2018-02-28","2021-08-31",1280,182,14.6,39.8,28.2,33.3,85.8,1
"27",27,"2021-08-31 21:00:00",30,"MSLA (CS34)","Lunar",39.70824,-105.01183,"2018-02-28","2021-08-31",1280,182,14.6,39.8,28.2,33.3,85.8,1
"28",28,"2021-08-31 21:00:00",28,"MSLA (CS34)","Lunar",39.70824,-105.01183,"2018-02-28","2021-08-31",1280,182,14.6,39.8,28.2,33.3,85.8,1
"29",29,"2021-08-31 21:00:00",26,"MSLA (CS34)","Lunar",39.70824,-105.01183,"2018-02-28","2021-08-31",1280,182,14.6,39.8,28.2,33.3,85.8,1
"30",30,"2021-08-31 21:00:00",27,"MSLA (CS34)","Lunar",39.70824,-105.01183,"2018-02-28","2021-08-31",1280,182,14.6,39.8,28.2,33.3,85.8,1
"31",31,"2021-08-31 22:00:00",33,"MSLA (CS34)","Lunar",39.70824,-105.01183,"2018-02-28","2021-08-31",1280,182,17.2,30.3,22.1,27,82.3,1
"32",32,"2021-08-31 22:00:00",32,"MSLA (CS34)","Lunar",39.70824,-105.01183,"2018-02-28","2021-08-31",1280,182,17.2,30.3,22.1,27,82.3,1
"33",33,"2021-08-31 22:00:00",34,"MSLA (CS34)","Lunar",39.70824,-105.01183,"2018-02-28","2021-08-31",1280,182,17.2,30.3,22.1,27,82.3,1
"34",34,"2021-08-31 22:00:00",35,"MSLA (CS34)","Lunar",39.70824,-105.01183,"2018-02-28","2021-08-31",1280,182,17.2,30.3,22.1,27,82.3,1
"35",35,"2021-08-31 22:00:00",31,"MSLA (CS34)","Lunar",39.70824,-105.01183,"2018-02-28","2021-08-31",1280,182,17.2,30.3,22.1,27,82.3,1
"36",36,"2021-08-31 23:00:00",36,"MSLA (CS34)","Lunar",39.70824,-105.01183,"2018-02-28","2021-08-31",1280,182,19.9,31.9,22.8,28,78.4,1
"37",37,"2021-08-31 23:00:00",37,"MSLA (CS34)","Lunar",39.70824,-105.01183,"2018-02-28","2021-08-31",1280,182,19.9,31.9,22.8,28,78.4,1
"38",38,"2021-08-31 23:00:00",38,"MSLA (CS34)","Lunar",39.70824,-105.01183,"2018-02-28","2021-08-31",1280,182,19.9,31.9,22.8,28,78.4,1
"39",39,"2021-08-31 23:00:00",40,"MSLA (CS34)","Lunar",39.70824,-105.01183,"2018-02-28","2021-08-31",1280,182,19.9,31.9,22.8,28,78.4,1
"40",40,"2021-08-31 23:00:00",39,"MSLA (CS34)","Lunar",39.70824,-105.01183,"2018-02-28","2021-08-31",1280,182,19.9,31.9,22.8,28,78.4,1
"41",41,"2021-09-01 00:00:00",41,"MSLA (CS34)","Lunar",39.70824,-105.01183,"2018-02-28","2021-09-01",1281,183,21,40.8,27.5,33.4,74.7,0
