InstrumentName, NJH
StartTime, 2021-07-01 00:00:00
EndTime, 2021-07-31 00:00:00
Date,81102,PM2.5 - Local Conditions,PM2.5 Total Atmospheric
07/02/2021 14:36:00,17.729615,6.588987,
07/02/2021 14:37:00,17.759511,6.632258,
07/02/2021 14:38:00,18.841592,6.673213,
07/02/2021 14:39:00,18.789728,6.79792,
07/02/2021 14:40:00,19.050116,6.983533,
07/02/2021 14:41:00,19.20246,7.162408,
07/02/2021 14:42:00,20.377999,7.518578,
07/02/2021 14:43:00,20.735175,7.910228,
07/02/2021 14:44:00,19.908884,7.957394,
07/02/2021 14:45:00,20.349187,8.035514,
07/02/2021 14:46:00,19.613785,8.126951,
07/02/2021 14:47:00,18.522221,8.145744,
07/02/2021 14:48:00,17.98662,8.166011,
07/02/2021 14:49:00,17.011193,8.120582,
07/02/2021 14:50:00,17.414525,8.009246,
07/02/2021 14:51:00,17.433115,7.891487,
07/02/2021 14:52:00,17.184654,7.819527,
07/02/2021 14:53:00,16.646957,7.799734,
07/02/2021 14:54:00,16.306655,7.782626,
07/02/2021 14:55:00,16.725503,7.815789,
07/02/2021 14:56:00,15.995521,7.791206,
07/02/2021 14:57:00,15.828373,7.721983,
07/02/2021 14:58:00,15.95738,7.782099,
07/02/2021 14:59:00,16.999872,7.836161,
07/02/2021 15:00:00,19.137959,7.960026,
07/02/2021 15:01:00,17.9935,8.051833,
07/02/2021 15:02:00,18.054689,8.187541,
07/02/2021 15:03:00,18.17621,8.282874,
07/02/2021 15:04:00,18.193646,8.257501,
07/02/2021 15:05:00,18.451229,8.235234,
07/02/2021 15:06:00,19.113855,8.248605,
07/02/2021 15:07:00,20.420437,8.296298,
07/02/2021 15:08:00,21.174147,8.341464,
07/02/2021 15:09:00,21.766939,8.35394,
07/02/2021 15:10:00,21.374499,8.340464,
07/02/2021 15:11:00,19.020511,8.223706,
07/02/2021 15:12:00,18.788972,8.130636,
07/02/2021 15:13:00,19.181841,7.976713,
07/02/2021 15:14:00,19.468361,7.872273,
07/02/2021 15:15:00,19.920068,7.908175,
07/02/2021 15:16:00,19.904937,7.983451,
07/02/2021 15:17:00,18.811387,8.075784,
07/02/2021 15:18:00,18.004695,8.06494,
07/02/2021 15:19:00,17.756822,8.030407,
07/02/2021 15:20:00,17.170384,8.004192,
07/02/2021 15:21:00,18.825783,7.980083,
07/02/2021 15:22:00,19.92376,7.963343,
07/02/2021 15:23:00,20.402556,7.943286,
07/02/2021 15:24:00,21.521941,7.881749,
07/02/2021 15:25:00,20.888371,7.902279,
07/02/2021 15:26:00,20.299802,7.842057,
07/02/2021 15:27:00,20.245358,7.794417,
07/02/2021 15:28:00,20.746357,7.765149,
07/02/2021 15:29:00,21.249811,7.830845,
07/02/2021 15:30:00,20.991499,7.923546,
07/02/2021 15:31:00,21.329149,7.966764,
07/02/2021 15:32:00,19.628929,7.94576,
07/02/2021 15:33:00,18.586357,7.930968,
07/02/2021 15:34:00,18.110449,7.960763,
07/02/2021 15:35:00,16.714301,8.076153,
07/02/2021 15:36:00,16.997796,8.152904,
07/02/2021 15:37:00,17.160987,8.241867,
07/02/2021 15:38:00,17.101301,8.298825,
07/02/2021 15:39:00,16.360803,8.251079,
07/02/2021 15:40:00,15.36202,8.150482,
07/02/2021 15:41:00,15.300268,8.08089,
07/02/2021 15:42:00,14.597563,8.023669,
07/02/2021 15:43:00,14.306405,8.058307,
07/02/2021 15:44:00,15.124595,8.131847,
07/02/2021 15:45:00,16.269687,8.222284,
07/02/2021 15:46:00,16.693141,8.265187,
07/02/2021 15:47:00,16.49454,8.251026,
07/02/2021 15:48:00,16.461565,8.210861,
07/02/2021 15:49:00,16.16075,8.080575,
07/02/2021 15:50:00,16.328974,8.042989,
07/02/2021 15:51:00,18.039591,8.024564,
07/02/2021 15:52:00,18.673701,8.076679,
07/02/2021 15:53:00,19.321273,8.146271,
07/02/2021 15:54:00,19.801834,8.158325,
07/02/2021 15:55:00,19.6514,8.113001,
07/02/2021 15:56:00,18.809058,8.054464,
07/02/2021 15:57:00,18.382118,7.963974,
07/02/2021 15:58:00,18.231889,7.917861,
07/02/2021 15:59:00,18.812397,7.850533,
07/02/2021 16:00:00,19.008429,7.863219,
07/02/2021 16:01:00,18.961614,7.887417,
07/02/2021 16:02:00,17.229038,7.888855,
07/02/2021 16:03:00,16.717499,7.849585,
07/02/2021 16:04:00,18.386131,7.796523,
07/02/2021 16:05:00,18.079246,7.73409,
07/02/2021 16:06:00,17.291953,7.697136,
07/02/2021 16:07:00,16.908629,7.659077,
07/02/2021 16:08:00,16.834294,7.7024,
07/02/2021 16:09:00,17.035362,7.774466,
07/02/2021 16:10:00,16.924938,7.809262,
07/02/2021 16:11:00,17.181501,7.773571,
07/02/2021 16:12:00,17.098985,7.698873,
07/02/2021 16:13:00,17.116125,7.691978,
07/02/2021 16:14:00,16.821165,7.629756,
07/02/2021 16:15:00,14.418619,7.59217,
07/02/2021 16:16:00,14.287227,7.617806,
07/02/2021 16:17:00,14.337903,7.636072,
07/02/2021 16:18:00,14.613421,7.665604,
07/02/2021 16:19:00,14.51082,7.597329,
07/02/2021 16:20:00,14.235119,7.462567,
07/02/2021 16:21:00,13.912255,7.419086,
07/02/2021 16:22:00,13.227134,7.435984,
07/02/2021 16:23:00,13.201479,7.496047,
07/02/2021 16:24:00,13.344048,7.528158,
07/02/2021 16:25:00,13.459794,7.576588,
07/02/2021 16:26:00,13.436643,7.566376,
07/02/2021 16:27:00,13.47947,7.487309,
07/02/2021 16:28:00,13.318657,7.382237,
07/02/2021 16:29:00,13.352897,7.298169,
07/02/2021 16:30:00,13.508793,7.28006,
07/02/2021 16:31:00,13.557285,7.297801,
07/02/2021 16:32:00,13.543057,7.293694,
07/02/2021 16:33:00,13.573931,7.282903,
07/02/2021 16:34:00,13.669593,7.266163,
07/02/2021 16:35:00,13.5058,7.222471,
07/02/2021 16:36:00,13.610745,7.182095,
07/02/2021 16:37:00,14.156848,7.178884,
07/02/2021 16:38:00,14.051847,7.181727,
07/02/2021 16:39:00,15.206272,7.150195,
07/02/2021 16:40:00,15.414327,7.115978,
07/02/2021 16:41:00,15.378886,7.036016,
07/02/2021 16:42:00,16.504777,6.988481,
07/02/2021 16:43:00,16.648648,6.896622,
07/02/2021 16:44:00,16.738594,6.817608,
07/02/2021 16:45:00,16.623062,6.731434,
07/02/2021 16:46:00,17.306668,6.68969,
07/02/2021 16:47:00,17.826035,6.71101,
07/02/2021 16:48:00,17.090832,6.690585,
07/02/2021 16:49:00,16.992956,6.667054,
07/02/2021 16:50:00,16.108178,6.711168,
07/02/2021 16:51:00,15.628391,6.742647,
07/02/2021 16:52:00,15.405636,6.775337,
07/02/2021 16:53:00,14.570429,6.760019,
07/02/2021 16:54:00,14.596251,6.761545,
07/02/2021 16:55:00,14.497775,6.769231,
07/02/2021 16:56:00,14.41418,6.781128,
07/02/2021 16:57:00,14.157562,6.769073,
07/02/2021 16:58:00,14.126735,6.738699,
07/02/2021 16:59:00,14.22372,6.736909,
07/02/2021 17:00:00,15.318942,6.738804,
07/02/2021 17:01:00,15.384477,6.720169,
07/02/2021 17:02:00,15.770509,6.697691,
07/02/2021 17:03:00,15.962301,6.720906,
07/02/2021 17:04:00,16.667574,6.785076,
07/02/2021 17:05:00,17.237973,6.80429,
07/02/2021 17:06:00,17.053168,6.821556,
07/02/2021 17:07:00,17.293628,6.877672,
07/02/2021 17:08:00,17.11204,6.890305,
07/02/2021 17:09:00,17.813583,6.859352,
07/02/2021 17:10:00,19.303272,6.876671,
07/02/2021 17:11:00,18.615845,6.887621,
07/02/2021 17:12:00,19.240461,6.876882,
07/02/2021 17:13:00,18.665942,6.869196,
07/02/2021 17:14:00,18.404375,6.824135,
07/02/2021 17:15:00,17.608939,6.784391,
07/02/2021 17:16:00,19.209916,6.791551,
07/02/2021 17:17:00,19.785919,6.769968,
07/02/2021 17:18:00,19.652362,6.693901,
07/02/2021 17:19:00,19.563966,6.657,
07/02/2021 17:20:00,19.0415,6.603832,
07/02/2021 17:21:00,17.817254,6.505551,
07/02/2021 17:22:00,18.073738,6.425642,
07/02/2021 17:23:00,17.532792,6.353524,
07/02/2021 17:24:00,18.316615,6.313937,
07/02/2021 17:25:00,18.292634,6.278352,
07/02/2021 17:26:00,18.836053,6.226553,
07/02/2021 17:27:00,16.917545,6.155224,
07/02/2021 17:28:00,16.589697,6.093266,
07/02/2021 17:29:00,16.786403,6.032307,
07/02/2021 17:30:00,16.830571,5.993721,
07/02/2021 17:31:00,16.400633,5.992037,
07/02/2021 17:32:00,16.26459,5.989194,
07/02/2021 17:33:00,15.734132,5.975139,
07/02/2021 17:34:00,15.695648,5.995616,
07/02/2021 17:35:00,15.106228,6.003197,
07/02/2021 17:36:00,15.246565,6.052206,
07/02/2021 17:37:00,14.522896,6.063892,
07/02/2021 17:38:00,13.896254,6.08379,
07/02/2021 17:39:00,13.763568,6.077789,
07/02/2021 17:40:00,14.343152,6.119797,
07/02/2021 17:41:00,14.170629,6.137748,
07/02/2021 17:42:00,14.251651,6.139958,
07/02/2021 17:43:00,14.287974,6.155961,
07/02/2021 17:44:00,14.439996,6.177281,
07/02/2021 17:45:00,14.127372,6.148855,
07/02/2021 17:46:00,13.857895,6.129535,
07/02/2021 17:47:00,13.934422,6.072894,
07/02/2021 17:48:00,14.364085,6.064471,
07/02/2021 17:49:00,14.631728,6.072314,
07/02/2021 17:50:00,14.700107,6.099056,
07/02/2021 17:51:00,13.856277,6.111111,
07/02/2021 17:52:00,13.982716,6.091265,
07/02/2021 17:53:00,13.972095,6.071104,
07/02/2021 17:54:00,13.8079,6.049416,
07/02/2021 17:55:00,13.470772,6.040572,
07/02/2021 17:56:00,13.551078,6.05568,
07/02/2021 17:57:00,13.442943,5.991142,
07/02/2021 17:58:00,13.450796,5.950398,
07/02/2021 17:59:00,13.236598,5.945028,
07/02/2021 18:00:00,14.179227,5.918708,
07/02/2021 18:01:00,14.66691,5.901073,
07/02/2021 18:02:00,14.626962,5.857328,
07/02/2021 18:03:00,16.325101,5.843641,
07/02/2021 18:04:00,16.066566,5.8488,
07/02/2021 18:05:00,16.395875,5.888386,
07/02/2021 18:06:00,16.488185,5.885386,
07/02/2021 18:07:00,16.532265,5.886649,
07/02/2021 18:08:00,16.713811,5.938764,
07/02/2021 18:09:00,17.238749,5.964295,
07/02/2021 18:10:00,17.3521,5.952135,
07/02/2021 18:11:00,16.198346,5.927867,
07/02/2021 18:12:00,15.266977,5.926762,
07/02/2021 18:13:00,15.907679,5.932973,
07/02/2021 18:14:00,14.030148,5.931026,
07/02/2021 18:15:00,13.3973,5.895124,
07/02/2021 18:16:00,12.938196,5.832534,
07/02/2021 18:17:00,13.143148,5.849537,
07/02/2021 18:18:00,13.022806,5.818058,
07/02/2021 18:19:00,13.469914,5.805213,
07/02/2021 18:20:00,12.80054,5.769575,
07/02/2021 18:21:00,12.725492,5.78921,
07/02/2021 18:22:00,14.093596,5.759942,
07/02/2021 18:23:00,14.315871,5.718671,
07/02/2021 18:24:00,13.932207,5.678611,
07/02/2021 18:25:00,13.830694,5.644395,
07/02/2021 18:26:00,14.085666,5.653817,
07/02/2021 18:27:00,14.518614,5.638762,
07/02/2021 18:28:00,14.765343,5.607019,
07/02/2021 18:29:00,14.873664,5.59407,
07/02/2021 18:30:00,14.459254,5.601018,
07/02/2021 18:31:00,14.555379,5.650185,
07/02/2021 18:32:00,14.184549,5.635972,
07/02/2021 18:33:00,14.213289,5.711617,
07/02/2021 18:34:00,14.135662,5.759152,
07/02/2021 18:35:00,13.970885,5.805792,
07/02/2021 18:36:00,13.973777,5.828218,
07/02/2021 18:37:00,13.873181,5.858855,
07/02/2021 18:38:00,13.677282,5.881069,
07/02/2021 18:39:00,12.952919,5.854538,
07/02/2021 18:40:00,12.816626,5.854854,
07/02/2021 18:41:00,12.857656,5.841273,
07/02/2021 18:42:00,13.22273,5.824585,
07/02/2021 18:43:00,13.632454,5.819426,
07/02/2021 18:44:00,12.057324,5.733516,
07/02/2021 18:45:00,11.992073,5.701721,
07/02/2021 18:46:00,11.812272,5.659924,
07/02/2021 18:47:00,11.747547,5.62855,
07/02/2021 18:48:00,11.653031,5.590595,
07/02/2021 18:49:00,11.714418,5.584752,
07/02/2021 18:50:00,11.858524,5.60723,
07/02/2021 18:51:00,12.014917,5.586753,
07/02/2021 18:52:00,11.801649,5.553115,
07/02/2021 18:53:00,11.210841,5.526478,
07/02/2021 18:54:00,10.887852,5.525426,
07/02/2021 18:55:00,10.950696,5.54085,
07/02/2021 18:56:00,11.480899,5.567065,
07/02/2021 18:57:00,12.239752,5.592596,
07/02/2021 18:58:00,12.391562,5.599439,
07/02/2021 18:59:00,12.364555,5.588174,
07/02/2021 19:00:00,12.254333,5.594122,
07/02/2021 19:01:00,12.210357,5.579751,
07/02/2021 19:02:00,11.958182,5.569381,
07/02/2021 19:03:00,12.351004,5.602282,
07/02/2021 19:04:00,13.078261,5.641605,
