InstrumentName, Manna Pro
StartTime, 2021-07-01 00:00:00
EndTime, 2021-07-31 00:00:00
Date,ICCID,IH,IT,P,PM10,PM1_0,PM2_5,Time,WD,WS
07/01/2021 00:01:00,,24.36,86.75,843.32,7.1,5.21,6.86,,-1.0,-1.0
07/01/2021 00:02:00,,24.41,86.66,843.35,6.37,4.95,6.22,,-1.0,-1.0
07/01/2021 00:03:00,,24.21,86.7,843.36,6.66,5.22,6.53,,-1.0,-1.0
07/01/2021 00:04:00,,24.3,86.64,843.36,7.02,5.28,6.61,,-1.0,-1.0
07/01/2021 00:05:00,,24.28,86.55,843.37,7.46,5.28,7.08,,-1.0,-1.0
07/01/2021 00:06:00,,24.21,86.43,843.37,10.68,5.52,7.78,,-1.0,-1.0
07/01/2021 00:07:00,,24.27,86.27,843.34,7.83,5.24,7.48,,-1.0,-1.0
07/01/2021 00:08:01,,24.41,86.08,843.33,6.76,5.03,6.68,,-1.0,-1.0
07/01/2021 00:09:00,,24.69,85.95,843.32,8.51,6.15,7.63,,-1.0,-1.0
07/01/2021 00:10:00,,24.86,85.95,843.32,6.62,5.29,6.39,,-1.0,-1.0
07/01/2021 00:11:00,,25.0,85.85,843.32,7.52,5.57,7.16,,-1.0,-1.0
07/01/2021 00:12:00,,24.84,85.75,843.31,6.97,5.07,6.97,,-1.0,-1.0
07/01/2021 00:13:01,,25.05,85.56,843.3,7.41,5.66,7.03,,-1.0,-1.0
07/01/2021 00:14:00,,25.21,85.36,843.29,7.35,4.86,6.61,,-1.0,-1.0
07/01/2021 00:15:00,,25.31,85.33,843.29,8.54,5.39,8.18,,-1.0,-1.0
07/01/2021 00:16:00,,25.3,85.39,843.3,8.26,5.62,7.43,,-1.0,-1.0
07/01/2021 00:17:00,,25.21,85.32,843.33,8.35,5.54,7.13,,-1.0,-1.0
07/01/2021 00:18:00,,25.14,85.28,843.34,7.98,5.83,7.76,,-1.0,-1.0
07/01/2021 00:19:00,,25.2,85.26,843.34,7.95,6.03,7.49,,-1.0,-1.0
07/01/2021 00:20:00,,25.32,85.22,843.35,7.62,5.33,7.4,,-1.0,-1.0
07/01/2021 00:21:00,,25.35,85.14,843.35,7.27,5.19,6.82,,-1.0,-1.0
07/01/2021 00:22:00,,25.47,85.03,843.33,8.12,5.21,7.2,,-1.0,-1.0
07/01/2021 00:23:01,,25.73,84.78,843.31,7.16,5.22,6.94,,-1.0,-1.0
07/01/2021 00:24:00,,26.19,84.62,843.32,6.57,5.05,6.23,,-1.0,-1.0
07/01/2021 00:25:00,,25.97,84.53,843.32,7.09,5.01,6.49,,-1.0,-1.0
07/01/2021 00:26:00,,26.04,84.65,843.32,7.58,5.37,7.12,,-1.0,-1.0
07/01/2021 00:27:00,,26.17,84.69,843.35,6.83,4.98,6.51,,-1.0,-1.0
07/01/2021 00:28:00,,25.83,84.75,843.37,6.86,4.69,6.55,,-1.0,-1.0
07/01/2021 00:29:00,,25.51,84.77,843.38,7.44,5.09,6.48,,-1.0,-1.0
07/01/2021 00:30:00,,25.62,84.69,843.38,6.98,4.63,6.73,,-1.0,-1.0
07/01/2021 00:31:00,,25.82,84.58,843.38,7.2,4.92,7.2,,-1.0,-1.0
07/01/2021 00:32:00,,26.12,84.64,843.38,6.2,4.44,5.77,,-1.0,-1.0
07/01/2021 00:33:00,,26.35,84.64,843.39,6.57,4.76,6.0,,-1.0,-1.0
07/01/2021 00:34:00,,26.29,84.56,843.4,8.43,4.62,6.99,,-1.0,-1.0
07/01/2021 00:35:00,,26.25,84.51,843.41,7.45,5.43,7.31,,-1.0,-1.0
07/01/2021 00:36:00,,26.0,84.57,843.42,9.06,6.43,8.58,,-1.0,-1.0
07/01/2021 00:37:00,,26.2,84.47,843.42,7.2,5.14,6.86,,-1.0,-1.0
07/01/2021 00:38:00,,26.22,84.56,843.43,9.14,5.49,8.12,,-1.0,-1.0
07/01/2021 00:39:01,,25.85,84.63,843.43,14.08,5.97,10.38,,-1.0,-1.0
07/01/2021 00:40:00,,26.0,84.53,843.42,7.29,4.85,6.67,,-1.0,-1.0
07/01/2021 00:41:00,,25.96,84.44,843.43,6.23,4.82,6.23,,-1.0,-1.0
07/01/2021 00:42:00,,26.13,84.42,843.43,6.98,4.93,6.79,,-1.0,-1.0
07/01/2021 00:43:00,,26.03,84.48,843.42,7.34,5.19,7.17,,-1.0,-1.0
07/01/2021 00:44:01,,25.9,84.49,843.43,6.83,4.93,6.38,,-1.0,-1.0
07/01/2021 00:45:00,,25.79,84.57,843.44,7.32,4.79,6.54,,-1.0,-1.0
07/01/2021 00:46:00,,25.77,84.63,843.47,8.17,5.55,7.22,,-1.0,-1.0
07/01/2021 00:47:00,,25.59,84.65,843.5,6.57,4.79,6.22,,-1.0,-1.0
07/01/2021 00:48:00,,25.82,84.5,843.51,7.71,5.48,6.86,,-1.0,-1.0
07/01/2021 00:49:00,,25.87,84.4,843.52,8.46,5.23,6.86,,-1.0,-1.0
07/01/2021 00:50:00,,25.71,84.23,843.53,7.48,5.39,7.32,,-1.0,-1.0
07/01/2021 00:51:01,,25.84,84.14,843.54,7.07,4.58,6.73,,-1.0,-1.0
07/01/2021 00:52:00,,25.96,84.07,843.56,5.94,4.02,5.77,,-1.0,-1.0
07/01/2021 00:53:00,,26.13,84.14,843.57,6.12,4.62,5.88,,-1.0,-1.0
07/01/2021 00:54:00,,26.48,84.17,843.6,6.88,5.1,6.45,,-1.0,-1.0
07/01/2021 00:55:00,,26.21,84.19,843.6,6.29,4.88,6.18,,-1.0,-1.0
07/01/2021 00:56:00,,26.01,84.15,843.61,6.32,4.44,6.12,,-1.0,-1.0
07/01/2021 00:57:00,,25.74,84.27,843.6,7.54,5.14,7.12,,-1.0,-1.0
07/01/2021 00:58:00,,25.9,84.3,843.6,6.34,4.25,6.32,,-1.0,-1.0
07/01/2021 00:59:00,,25.87,84.36,843.59,6.7,4.65,6.35,,-1.0,-1.0
07/01/2021 01:00:00,,25.8,84.54,843.61,7.93,4.86,7.19,,-1.0,-1.0
07/01/2021 01:01:00,,25.83,84.7,843.62,6.0,4.18,5.9,,-1.0,-1.0
07/01/2021 01:02:00,,25.78,84.84,843.6,6.55,4.93,6.43,,-1.0,-1.0
07/01/2021 01:03:00,,25.4,84.98,843.61,6.95,4.57,6.87,,-1.0,-1.0
07/01/2021 01:04:00,,25.23,85.04,843.63,7.69,4.68,7.12,,-1.0,-1.0
07/01/2021 01:05:00,,25.02,85.12,843.64,7.33,4.97,6.87,,-1.0,-1.0
07/01/2021 01:06:00,,25.04,85.17,843.66,6.72,4.24,5.77,,-1.0,-1.0
07/01/2021 01:07:00,,24.93,85.27,843.68,7.01,4.61,6.47,,-1.0,-1.0
07/01/2021 01:08:00,,24.83,85.31,843.69,6.67,4.78,6.65,,-1.0,-1.0
07/01/2021 01:09:00,,24.66,85.31,843.7,6.13,4.28,5.74,,-1.0,-1.0
07/01/2021 01:10:00,,24.65,85.25,843.72,6.29,4.9,6.1,,-1.0,-1.0
07/01/2021 01:11:00,,24.82,85.35,843.72,7.2,5.16,7.09,,-1.0,-1.0
07/01/2021 01:12:01,,24.39,85.55,843.72,6.28,4.86,6.28,,-1.0,-1.0
07/01/2021 01:13:00,,24.27,85.84,843.71,7.56,4.64,6.43,,-1.0,-1.0
07/01/2021 01:14:00,,23.96,86.14,843.71,6.9,4.62,6.57,,-1.0,-1.0
07/01/2021 01:15:00,,23.62,86.51,843.7,7.77,4.82,6.84,,-1.0,-1.0
07/01/2021 01:16:00,,23.66,86.93,843.7,6.76,4.52,6.53,,-1.0,-1.0
07/01/2021 01:17:00,,23.2,87.26,843.7,5.78,4.08,5.45,,-1.0,-1.0
07/01/2021 01:18:00,,23.12,87.46,843.72,6.39,4.5,6.14,,-1.0,-1.0
07/01/2021 01:19:00,,23.08,87.61,843.7,6.87,4.63,6.77,,-1.0,-1.0
07/01/2021 01:20:00,,22.95,87.76,843.72,6.83,4.72,6.47,,-1.0,-1.0
07/01/2021 01:21:00,,22.87,87.96,843.74,6.32,4.54,5.73,,-1.0,-1.0
07/01/2021 01:22:00,,22.88,88.08,843.75,5.93,4.22,5.93,,-1.0,-1.0
