InstrumentName, Denver Montessori High (CS27)
StartTime, 2021-07-01 00:00:00
EndTime, 2021-07-31 00:00:00
Date,F1,F3,F4,Hmdty,Lat,Long,PM10,PM102,PM1_0,PM1_02,PM2_5,PM2_52,PM2_5_P,Sig,Temp,Time,Uncertainty,datetime,source_device
07/01/2021 00:00:28,,,,26.3,,,5.58,5.55,4.32,4.25,5.58,5.55,7.202,-75.0,85.71,,-1.0,,
07/01/2021 00:02:04,,,,26.55,,,6.75,6.15,4.78,3.88,6.58,5.3,7.781,-1.0,85.82,,-1.0,,
07/01/2021 00:03:05,,,,26.57,,,6.73,5.97,4.43,4.83,6.47,5.97,7.716,-1.0,85.78,,-1.0,,
07/01/2021 00:04:03,,,,26.54,,,6.98,5.23,4.93,3.52,6.72,4.75,7.859,-75.0,85.66,,-1.0,,
07/01/2021 00:05:05,,,,26.93,,,5.68,5.25,4.32,3.55,5.63,4.47,7.218,-75.0,85.51,,-1.0,,
07/01/2021 00:06:04,,,,27.14,,,5.57,6.03,4.05,4.53,5.57,6.03,7.179,-73.0,85.44,,-1.0,,
07/01/2021 00:07:04,,,,26.94,,,5.0,5.73,4.15,4.28,5.0,5.47,6.85,-73.0,85.37,,-1.0,,
07/01/2021 00:08:04,,,,27.3,,,6.83,6.73,5.03,4.6,6.83,5.95,7.905,-75.0,85.33,,-1.0,,
07/01/2021 00:09:04,,,,27.81,,,5.12,6.8,4.55,4.97,5.12,6.43,6.905,-75.0,85.32,,-1.0,,
07/01/2021 00:10:04,,,,27.55,,,6.15,6.53,4.52,4.22,5.62,5.6,7.197,-75.0,85.23,,-1.0,,
07/01/2021 00:11:03,,,,27.14,,,4.88,5.35,4.2,3.53,4.88,5.35,6.773,-73.0,85.17,,-1.0,,
07/01/2021 00:12:04,,,,27.32,,,5.12,5.63,3.88,3.58,5.12,5.35,6.909,-73.0,85.14,,-1.0,,
07/01/2021 00:13:03,,,,26.96,,,6.57,4.97,4.58,3.05,6.57,4.97,7.755,-73.0,85.08,,-1.0,,
07/01/2021 00:14:04,,,,26.99,,,6.28,5.5,3.93,3.57,5.9,5.5,7.365,-75.0,85.05,,-1.0,,
07/01/2021 00:15:05,,,,27.35,,,5.83,5.55,4.83,4.05,5.83,5.55,7.318,-75.0,84.99,,-1.0,,
07/01/2021 00:16:05,,,,26.8,,,6.13,6.33,4.57,4.63,6.13,5.5,7.501,-75.0,84.99,,-1.0,,
07/01/2021 00:17:05,,,,26.96,,,6.9,5.82,5.5,4.33,6.9,5.53,7.944,-75.0,84.96,,-1.0,,
07/01/2021 00:18:05,,,,26.9,,,5.85,5.57,4.47,3.47,5.85,4.75,7.333,-75.0,84.78,,-1.0,,
07/01/2021 00:19:04,,,,27.19,,,7.28,7.42,5.33,4.92,7.28,6.67,8.158,-75.0,84.78,,-1.0,,
07/01/2021 00:20:04,,,,27.01,,,7.0,5.65,4.57,4.63,6.48,5.65,7.697,-75.0,84.78,,-1.0,,
07/01/2021 00:21:04,,,,26.67,,,7.08,6.25,5.18,4.57,7.08,5.8,8.047,-75.0,84.63,,-1.0,,
07/01/2021 00:22:04,,,,26.76,,,6.55,6.42,4.85,4.68,6.55,5.97,7.738,-75.0,84.6,,-1.0,,
07/01/2021 00:23:04,,,,26.87,,,7.18,7.32,4.78,5.02,6.47,6.73,7.69,-75.0,84.61,,-1.0,,
07/01/2021 00:24:05,,,,27.06,,,6.43,6.63,4.83,4.58,6.08,6.07,7.461,-75.0,84.63,,-1.0,,
07/01/2021 00:25:06,,,,27.41,,,5.92,6.18,4.0,4.53,5.92,5.83,7.363,-75.0,84.61,,-1.0,,
07/01/2021 00:26:04,,,,27.19,,,5.82,5.9,3.7,3.93,5.38,5.32,7.052,-75.0,84.56,,-1.0,,
07/01/2021 00:27:03,,,,27.3,,,6.12,5.22,4.3,3.78,5.8,5.22,7.294,-75.0,84.56,,-1.0,,
07/01/2021 00:28:04,,,,26.4,,,5.53,4.82,3.97,3.43,5.27,4.35,6.998,-75.0,84.45,,-1.0,,
07/01/2021 00:29:05,,,,26.8,,,6.15,5.48,4.97,4.28,6.15,5.32,7.503,-75.0,84.45,,-1.0,,
07/01/2021 00:30:05,,,,27.18,,,5.32,5.08,4.05,3.35,5.32,5.08,7.016,-75.0,84.49,,-1.0,,
07/01/2021 00:31:04,,,,26.55,,,6.13,5.98,3.87,3.75,6.13,5.98,7.496,-75.0,84.54,,-1.0,,
07/01/2021 00:32:04,,,,26.7,,,6.25,5.95,4.98,4.77,6.25,5.95,7.564,-73.0,84.58,,-1.0,,
