InstrumentName, I-25 Denver
StartTime, 2021-01-01 00:00:00
EndTime, 2021-01-31 00:00:00
Date,CO,NO2,PM2.5
01/01/2021 00:00:00,0.572,43.0,13.5
01/01/2021 01:00:00,0.609,39.0,14.5
01/01/2021 02:00:00,0.741,45.0,16.7
01/01/2021 03:00:00,0.735,44.0,23.4
01/01/2021 04:00:00,0.762,,26.1
01/01/2021 05:00:00,0.86,42.0,28.5
01/01/2021 06:00:00,1.161,46.0,33.0
01/01/2021 07:00:00,1.114,44.0,37.4
01/01/2021 08:00:00,1.26,42.0,42.8
01/01/2021 09:00:00,0.767,37.0,28.8
01/01/2021 10:00:00,0.646,33.0,23.0
01/01/2021 11:00:00,0.561,33.0,17.1
01/01/2021 12:00:00,0.475,33.0,13.9
01/01/2021 13:00:00,0.61,34.0,14.1
01/01/2021 14:00:00,0.637,35.0,12.0
01/01/2021 15:00:00,0.678,35.0,11.8
01/01/2021 16:00:00,0.506,32.0,9.3
01/01/2021 17:00:00,0.514,29.0,9.1
01/01/2021 18:00:00,0.302,13.0,4.7
01/01/2021 19:00:00,0.212,5.0,3.0
01/01/2021 20:00:00,0.28,9.0,3.6
01/01/2021 21:00:00,0.288,8.0,3.0
01/01/2021 22:00:00,0.244,8.0,2.3
01/01/2021 23:00:00,0.253,9.0,2.0
01/02/2021 00:00:00,0.467,28.0,3.4
01/02/2021 01:00:00,0.886,39.0,11.4
01/02/2021 02:00:00,1.265,41.0,19.3
01/02/2021 03:00:00,1.321,41.0,22.7
01/02/2021 04:00:00,1.697,,22.6
01/02/2021 05:00:00,0.93,39.0,12.7
01/02/2021 06:00:00,0.74,37.0,8.4
01/02/2021 07:00:00,0.672,33.0,7.7
01/02/2021 08:00:00,0.518,33.0,7.0
01/02/2021 09:00:00,0.436,35.0,6.3
01/02/2021 10:00:00,0.386,34.0,4.7
01/02/2021 11:00:00,0.372,33.0,3.6
01/02/2021 12:00:00,0.601,35.0,6.0
01/02/2021 13:00:00,0.929,38.0,8.1
01/02/2021 14:00:00,1.242,39.0,8.3
01/02/2021 15:00:00,1.073,40.0,7.9
01/02/2021 16:00:00,0.319,17.0,3.9
01/02/2021 17:00:00,0.305,12.0,3.3
01/02/2021 18:00:00,0.338,11.0,2.9
01/02/2021 19:00:00,0.261,7.0,2.0
01/02/2021 20:00:00,0.303,9.0,2.2
01/02/2021 21:00:00,0.397,8.0,2.3
01/02/2021 22:00:00,0.394,10.0,2.0
01/02/2021 23:00:00,0.373,9.0,1.8
01/03/2021 00:00:00,0.336,9.0,2.2
01/03/2021 01:00:00,0.481,15.0,2.6
01/03/2021 02:00:00,0.277,5.0,1.5
01/03/2021 03:00:00,0.277,6.0,1.4
01/03/2021 04:00:00,0.288,,1.3
01/03/2021 05:00:00,0.3,10.0,1.5
01/03/2021 06:00:00,0.207,5.0,1.2
01/03/2021 07:00:00,0.164,2.0,0.9
01/03/2021 08:00:00,0.15,1.0,0.9
01/03/2021 09:00:00,0.217,7.0,1.3
01/03/2021 10:00:00,0.357,24.0,2.1
01/03/2021 11:00:00,0.387,35.0,2.1
01/03/2021 12:00:00,0.428,35.0,1.9
01/03/2021 13:00:00,0.475,41.0,2.6
01/03/2021 14:00:00,0.348,28.0,2.0
01/03/2021 15:00:00,0.522,31.0,3.5
01/03/2021 16:00:00,0.359,24.0,2.9
01/03/2021 17:00:00,0.311,17.0,2.8
01/03/2021 18:00:00,0.305,13.0,3.0
01/03/2021 19:00:00,0.334,10.0,2.2
01/03/2021 20:00:00,0.418,9.0,2.3
01/03/2021 21:00:00,0.392,11.0,2.1
01/03/2021 22:00:00,0.348,8.0,1.6
01/03/2021 23:00:00,0.392,9.0,1.9
01/04/2021 00:00:00,0.355,7.0,1.5
01/04/2021 01:00:00,0.314,7.0,2.0
01/04/2021 02:00:00,0.404,13.0,2.0
01/04/2021 03:00:00,0.467,22.0,2.3
01/04/2021 04:00:00,0.334,,1.2
01/04/2021 05:00:00,0.354,8.0,1.1
01/04/2021 06:00:00,0.213,8.0,0.9
01/04/2021 07:00:00,0.25,3.0,0.8
01/04/2021 08:00:00,0.166,0.0,0.4
01/04/2021 09:00:00,0.141,1.0,0.3
01/04/2021 10:00:00,0.269,15.0,1.1
01/04/2021 11:00:00,0.308,29.0,2.5
01/04/2021 12:00:00,0.498,32.0,2.6
01/04/2021 13:00:00,0.827,39.0,4.3
01/04/2021 14:00:00,0.754,39.0,5.4
01/04/2021 15:00:00,,40.0,8.2
01/04/2021 16:00:00,0.438,28.0,5.4
01/04/2021 17:00:00,0.371,21.0,5.7
01/04/2021 18:00:00,0.269,13.0,2.8
01/04/2021 19:00:00,0.274,12.0,3.3
01/04/2021 20:00:00,0.24,11.0,3.1
01/04/2021 21:00:00,0.219,8.0,2.6
01/04/2021 22:00:00,0.192,,3.7
01/04/2021 23:00:00,0.272,,4.7
01/05/2021 00:00:00,0.808,35.0,9.1
01/05/2021 01:00:00,0.821,38.0,8.9
01/05/2021 02:00:00,1.035,38.0,11.6
01/05/2021 03:00:00,1.129,39.0,12.9
01/05/2021 04:00:00,0.842,,11.0
01/05/2021 05:00:00,0.84,36.0,10.8
01/05/2021 06:00:00,1.063,36.0,14.0
01/05/2021 07:00:00,0.972,35.0,11.2
01/05/2021 08:00:00,0.738,35.0,7.5
01/05/2021 09:00:00,0.741,34.0,7.0
01/05/2021 10:00:00,0.829,37.0,9.2
01/05/2021 11:00:00,0.77,37.0,7.8
01/05/2021 12:00:00,0.809,36.0,5.8
01/05/2021 13:00:00,1.436,41.0,8.4
01/05/2021 14:00:00,1.625,45.0,10.9
01/05/2021 15:00:00,1.526,49.0,15.1
01/05/2021 16:00:00,1.407,53.0,17.3
01/05/2021 17:00:00,0.696,33.0,10.4
01/05/2021 18:00:00,0.552,28.0,7.2
01/05/2021 19:00:00,0.402,14.0,2.5
01/05/2021 20:00:00,0.412,16.0,6.3
01/05/2021 21:00:00,0.423,13.0,2.4
01/05/2021 22:00:00,0.407,15.0,2.7
01/05/2021 23:00:00,0.38,13.0,2.4
01/06/2021 00:00:00,0.389,15.0,2.2
01/06/2021 01:00:00,0.423,13.0,2.9
01/06/2021 02:00:00,0.409,14.0,3.0
01/06/2021 03:00:00,0.193,8.0,1.3
01/06/2021 04:00:00,0.277,,1.4
01/06/2021 05:00:00,0.479,21.0,2.7
01/06/2021 06:00:00,0.325,21.0,2.5
01/06/2021 07:00:00,0.52,33.0,5.2
01/06/2021 08:00:00,0.45,32.0,7.2
01/06/2021 09:00:00,0.401,29.0,3.8
01/06/2021 10:00:00,0.378,30.0,2.6
01/06/2021 11:00:00,0.425,30.0,2.8
01/06/2021 12:00:00,0.382,28.0,2.3
01/06/2021 13:00:00,0.488,33.0,3.2
01/06/2021 14:00:00,0.692,32.0,5.0
01/06/2021 15:00:00,0.504,27.0,4.9
