InstrumentName, SAMS
StartTime, 2021-01-01 00:00:00
EndTime, 2021-01-31 00:00:00
Date,42603,68108,85101,Ambient Avg Temperature,Barometric pressure,Carbon monoxide,Nitric oxide,Nitrogen dioxide,PM10 Total 0-10um STP,PM2.5 - Local Conditions,Relative Humidity,Wind Direction,Wind speed
01/01/2021 00:00:00,,,,,339.33,0.39,,43.3,22.5,14.8,57.4,60.6,1.0
01/01/2021 00:01:00,,,,,336.7,0.38,,42.9,26.0,15.6,57.4,74.2,1.4
01/01/2021 00:02:00,,,,,336.7,0.37,,42.9,24.4,15.6,57.4,71.3,0.9
01/01/2021 00:03:00,,,,,336.7,0.37,,43.0,25.7,14.4,57.4,70.8,0.8
01/01/2021 00:04:00,,,,,336.7,0.38,,43.1,31.7,16.3,57.4,94.4,0.5
01/01/2021 00:05:00,,,,,336.7,0.39,,43.3,30.7,17.9,57.4,99.4,1.2
01/01/2021 00:06:00,,,,,334.07,0.41,,43.5,27.4,17.0,57.4,94.8,1.3
01/01/2021 00:07:00,,,,,328.809,0.4,,43.4,29.9,15.0,57.4,90.5,1.1
01/01/2021 00:08:00,,,,,328.809,0.37,,43.4,30.2,16.5,57.4,70.3,0.9
01/01/2021 00:09:00,,,,,331.439,0.35,,43.4,24.3,16.5,57.4,76.8,1.3
01/01/2021 00:10:00,,,,,331.439,0.35,,43.4,25.6,14.6,57.4,92.6,1.0
01/01/2021 00:11:00,,,,,334.07,0.35,,43.5,28.2,16.5,57.4,59.8,0.2
01/01/2021 00:12:00,,,,,336.7,0.35,,43.7,26.7,17.8,57.4,80.4,0.8
01/01/2021 00:13:00,,,,,336.7,0.36,,43.8,24.7,14.9,57.4,69.2,0.8
01/01/2021 00:14:00,,,,,336.7,0.37,,44.2,35.4,16.2,57.4,87.5,0.5
01/01/2021 00:15:00,,,,,336.7,0.39,,44.8,43.4,16.5,57.4,85.0,1.2
01/01/2021 00:16:00,,,,,336.7,0.38,,45.3,31.4,14.3,57.4,83.0,0.7
01/01/2021 00:17:00,,,,,336.7,0.38,,45.7,31.0,16.3,57.4,56.9,1.3
01/01/2021 00:18:00,,,,,334.07,0.4,,45.4,30.9,14.9,57.4,132.4,1.2
01/01/2021 00:19:00,,,,,334.07,0.37,,45.0,19.5,11.9,57.4,96.1,1.1
01/01/2021 00:20:00,,,,,334.07,0.37,,44.3,15.5,10.6,57.4,102.5,1.2
01/01/2021 00:21:00,,,,,331.439,0.37,,43.4,14.8,9.7,57.4,140.2,1.4
01/01/2021 00:22:00,,,,,331.439,0.37,,42.3,15.4,10.0,57.4,161.5,1.5
01/01/2021 00:23:00,,,,,331.439,0.37,,40.9,18.8,10.1,57.4,148.1,1.2
01/01/2021 00:24:00,,,,,331.439,0.36,,39.7,23.5,11.3,57.4,165.7,1.8
01/01/2021 00:25:00,,,,,331.439,0.36,,38.7,15.8,11.3,57.4,140.4,1.1
01/01/2021 00:26:00,,,,,331.439,0.38,,38.2,14.6,9.1,57.4,146.5,1.3
01/01/2021 00:27:00,,,,,334.07,0.36,,37.7,24.7,11.3,57.4,55.8,1.6
01/01/2021 00:28:00,,,,,334.07,0.35,,37.4,23.3,11.4,57.4,56.6,1.7
01/01/2021 00:29:00,,,,,331.439,0.35,,37.3,15.9,9.7,57.4,102.4,1.5
01/01/2021 00:30:00,,,,,334.07,0.35,,37.2,26.8,10.1,57.4,99.0,0.9
01/01/2021 00:31:00,,,,,336.7,0.35,,37.2,27.9,10.4,57.4,82.9,1.1
01/01/2021 00:32:00,,,,,336.7,0.36,,37.5,21.3,9.6,57.4,64.6,1.2
01/01/2021 00:33:00,,,,,336.7,0.36,,37.9,22.5,9.9,57.4,70.5,1.5
01/01/2021 00:34:00,,,,,336.7,0.37,,38.3,19.0,11.4,57.4,106.0,0.8
01/01/2021 00:35:00,,,,,336.7,0.39,,38.9,18.4,10.7,57.4,67.0,0.7
01/01/2021 00:36:00,,,,,336.7,0.38,,39.4,15.6,9.2,57.4,66.2,0.0
01/01/2021 00:37:00,,,,,339.33,0.39,,39.8,20.9,10.1,57.4,95.2,0.2
01/01/2021 00:38:00,,,,,341.961,0.39,,40.1,30.1,9.6,57.4,83.8,0.2
01/01/2021 00:39:00,,,,,339.33,0.39,,40.2,27.7,9.7,57.4,60.7,0.2
01/01/2021 00:40:00,,,,,336.7,0.38,,40.0,28.8,11.9,57.4,68.1,0.3
01/01/2021 00:41:00,,,,,334.07,0.38,,39.7,25.8,12.2,57.4,71.6,0.3
01/01/2021 00:42:00,,,,,331.439,0.4,,39.4,23.2,10.8,57.4,34.0,0.0
01/01/2021 00:43:00,,,,,328.809,0.4,,39.0,18.9,10.5,57.4,33.6,0.2
01/01/2021 00:44:00,,,,,326.178,0.38,,38.9,19.8,12.4,57.4,64.1,0.1
01/01/2021 00:45:00,,,,,328.809,0.38,,38.9,27.1,14.3,57.4,65.8,0.0
01/01/2021 00:46:00,,,,,331.439,0.38,,39.1,36.5,15.0,57.4,70.7,0.1
01/01/2021 00:47:00,,,,,328.809,0.41,,39.3,42.2,13.5,57.4,95.6,0.0
01/01/2021 00:48:00,,,,,326.178,0.47,,39.5,37.0,12.1,57.4,113.9,0.1
01/01/2021 00:49:00,,,,,328.809,0.5,,39.8,30.7,11.5,57.4,107.7,0.6
01/01/2021 00:50:00,,,,,331.439,0.46,,40.2,23.9,9.9,57.4,118.8,0.5
01/01/2021 00:51:00,,,,,331.439,0.42,,40.6,17.6,10.9,57.4,115.3,0.7
01/01/2021 00:52:00,,,,,331.439,0.39,,41.0,22.7,12.4,57.4,132.2,0.8
01/01/2021 00:53:00,,,,,331.439,0.36,,41.5,24.3,12.2,57.4,123.8,0.6
01/01/2021 00:54:00,,,,,331.439,0.36,,42.0,19.1,11.6,57.4,117.9,0.9
01/01/2021 00:55:00,,,,,331.439,0.36,,42.7,16.9,12.0,57.4,106.8,1.0
01/01/2021 00:56:00,,,,,328.809,0.37,,43.4,19.2,11.3,57.4,91.3,0.9
01/01/2021 00:57:00,,,,,326.178,0.41,,44.2,23.7,12.2,57.4,91.3,0.5
01/01/2021 00:58:00,,,,,326.178,0.41,,45.0,26.5,11.5,57.4,118.6,0.4
01/01/2021 00:59:00,,,,,326.178,0.42,,45.6,25.8,11.7,57.4,113.3,0.8
01/01/2021 01:00:00,,,,,323.548,0.42,,45.9,25.3,11.6,57.4,111.5,0.7
01/01/2021 01:01:00,,,,,320.917,0.41,,46.1,23.8,13.6,57.4,125.4,0.9
01/01/2021 01:02:00,,,,,318.287,0.39,,46.2,17.4,13.1,57.4,131.0,1.0
01/01/2021 01:03:00,,,,,318.287,0.38,,46.1,30.5,13.0,57.4,95.6,0.8
01/01/2021 01:04:00,,,,,318.287,0.39,,45.8,32.0,14.5,57.4,96.5,0.8
01/01/2021 01:05:00,,,,,315.656,0.4,,45.7,23.3,12.9,57.4,77.6,0.9
01/01/2021 01:06:00,,,,,318.287,0.42,,45.5,25.0,12.3,57.4,80.8,0.3
01/01/2021 01:07:00,,,,,320.917,0.44,,45.4,20.6,12.5,57.4,83.9,0.6
01/01/2021 01:08:00,,,,,320.917,0.46,,45.7,22.1,13.7,57.4,108.5,0.3
01/01/2021 01:09:00,,,,,320.917,0.46,,46.0,27.1,14.4,57.4,97.0,0.1
01/01/2021 01:10:00,,,,,323.548,0.48,,46.5,29.9,13.5,57.4,120.6,0.7
01/01/2021 01:11:00,,,,,326.178,0.48,,47.0,38.4,13.9,57.4,130.5,0.6
01/01/2021 01:12:00,,,,,326.178,0.47,,47.4,42.6,15.8,57.4,124.7,0.2
01/01/2021 01:13:00,,,,,326.178,0.47,,47.7,39.1,12.8,57.4,144.9,0.1
01/01/2021 01:14:00,,,,,328.809,0.48,,48.1,38.0,13.0,57.4,117.6,0.7
01/01/2021 01:15:00,,,,,328.809,0.48,,48.2,27.1,14.0,57.4,115.6,0.7
01/01/2021 01:16:00,,,,,326.178,0.48,,48.3,17.5,11.9,57.4,108.2,0.9
01/01/2021 01:17:00,,,,,323.548,0.46,,48.2,18.0,11.7,57.4,109.6,0.6
01/01/2021 01:18:00,,,,,323.548,0.44,,48.0,27.2,12.8,57.4,115.7,0.2
01/01/2021 01:19:00,,,,,326.178,0.45,,47.9,29.8,12.1,57.4,151.5,0.7
01/01/2021 01:20:00,,,,,323.548,0.45,,47.5,28.0,13.2,57.4,126.2,0.9
01/01/2021 01:21:00,,,,,320.917,0.46,,47.0,28.8,14.7,57.4,140.0,0.7
01/01/2021 01:22:00,,,,,320.917,0.48,,46.7,26.4,12.6,57.4,150.1,0.3
01/01/2021 01:23:00,,,,,323.548,0.52,,46.4,29.8,12.9,57.4,141.9,1.1
01/01/2021 01:24:00,,,,,326.178,0.51,,45.9,34.3,14.6,57.4,134.9,0.7
01/01/2021 01:25:00,,,,,326.178,0.48,,45.6,27.9,15.5,57.4,131.3,0.2
01/01/2021 01:26:00,,,,,326.178,0.48,,45.3,25.7,12.5,57.4,97.9,0.6
01/01/2021 01:27:00,,,,,323.548,0.45,,45.1,28.5,12.8,57.4,114.0,0.7
01/01/2021 01:28:00,,,,,323.548,0.44,,45.3,28.8,13.9,57.4,123.2,0.7
01/01/2021 01:29:00,,,,,326.178,0.44,,45.5,26.1,12.1,57.4,118.6,0.9
01/01/2021 01:30:00,,,,,323.548,0.44,,45.3,22.8,12.0,57.4,112.0,0.6
01/01/2021 01:31:00,,,,,320.917,0.43,,45.1,22.0,12.9,57.4,132.3,0.7
01/01/2021 01:32:00,,,,,323.548,0.42,,45.3,22.0,14.1,57.4,22.6,0.3
01/01/2021 01:33:00,,,,,328.809,0.43,,45.3,21.6,15.6,57.4,55.7,0.6
01/01/2021 01:34:00,,,,,331.439,0.44,,45.6,19.5,12.8,57.4,54.0,0.7
01/01/2021 01:35:00,,,,,326.178,0.44,,45.8,16.3,12.2,57.4,85.2,0.3
01/01/2021 01:36:00,,,,,323.548,0.42,,45.8,23.2,11.7,57.4,158.4,0.0
01/01/2021 01:37:00,,,,,326.178,0.42,,45.8,29.0,13.1,57.4,132.3,0.0
01/01/2021 01:38:00,,,,,328.809,0.42,,45.9,32.8,14.2,57.4,118.9,0.0
01/01/2021 01:39:00,,,,,331.439,0.42,,46.0,37.0,12.5,57.4,127.8,0.0
01/01/2021 01:40:00,,,,,331.439,0.43,,46.2,39.1,11.9,57.4,109.7,0.0
01/01/2021 01:41:00,,,,,328.809,0.42,,46.3,31.4,13.1,57.4,131.1,0.0
01/01/2021 01:42:00,,,,,326.178,0.41,,46.1,24.2,11.1,57.4,159.0,0.3
01/01/2021 01:43:00,,,,,326.178,0.4,,46.0,25.0,10.3,57.4,15.9,0.5
01/01/2021 01:44:00,,,,,326.178,0.4,,46.0,20.6,11.3,57.4,152.5,0.1
01/01/2021 01:45:00,,,,,326.178,0.41,,46.1,29.8,13.6,57.4,146.6,0.3
01/01/2021 01:46:00,,,,,326.178,0.42,,46.2,27.7,15.3,57.4,37.6,0.4
01/01/2021 01:47:00,,,,,326.178,0.42,,46.3,27.1,14.6,57.4,47.1,0.1
01/01/2021 01:48:00,,,,,328.809,0.44,,46.5,29.0,14.4,57.4,33.0,0.0
01/01/2021 01:49:00,,,,,331.439,0.47,,46.7,27.4,14.0,57.4,15.8,0.0
01/01/2021 01:50:00,,,,,331.439,0.47,,47.0,20.8,13.3,57.4,15.9,0.0
01/01/2021 01:51:00,,,,,331.439,0.49,,47.4,18.8,12.1,57.4,31.5,0.0
01/01/2021 01:52:00,,,,,328.809,0.48,,47.6,24.9,12.7,57.4,137.9,0.0
01/01/2021 01:53:00,,,,,326.178,0.46,,47.9,28.9,12.8,57.4,128.9,0.0
01/01/2021 01:54:00,,,,,328.809,0.48,,48.2,25.3,12.1,57.4,113.5,0.0
01/01/2021 01:55:00,,,,,331.439,0.49,,48.7,21.9,11.6,57.4,123.3,0.2
01/01/2021 01:56:00,,,,,331.439,0.46,,49.1,23.8,12.2,57.4,127.7,0.0
