InstrumentName, Welby
StartTime, 2021-01-01 00:00:00
EndTime, 2021-01-31 00:00:00
Date,NO2,O3,PM10,SO2
01/05/2021 14:00:00,42.0,1.0,72.2,2.0
01/05/2021 15:00:00,38.0,2.0,72.5,2.0
01/05/2021 16:00:00,44.0,3.0,101.0,2.0
01/05/2021 17:00:00,54.0,5.0,120.2,4.0
01/05/2021 18:00:00,,23.0,41.9,1.0
01/05/2021 19:00:00,3.0,37.0,14.5,0.0
01/05/2021 20:00:00,3.0,39.0,12.4,0.0
01/05/2021 21:00:00,2.0,39.0,23.6,0.0
01/05/2021 22:00:00,4.0,38.0,17.0,0.0
01/05/2021 23:00:00,4.0,39.0,12.4,0.0
01/06/2021 00:00:00,5.0,36.0,9.5,0.0
01/06/2021 01:00:00,5.0,36.0,9.7,0.0
01/06/2021 02:00:00,4.0,34.0,37.7,0.0
01/06/2021 03:00:00,2.0,32.0,9.7,0.0
01/06/2021 04:00:00,,29.0,7.2,0.0
01/06/2021 05:00:00,10.0,22.0,6.6,0.0
01/06/2021 06:00:00,19.0,13.0,6.0,0.0
01/06/2021 07:00:00,27.0,4.0,14.0,0.0
01/06/2021 08:00:00,28.0,1.0,10.8,0.0
01/06/2021 09:00:00,32.0,1.0,15.1,0.0
01/06/2021 10:00:00,31.0,1.0,13.3,0.0
01/06/2021 11:00:00,31.0,1.0,12.7,0.0
01/06/2021 12:00:00,29.0,1.0,15.8,0.0
01/06/2021 13:00:00,33.0,1.0,31.8,1.0
01/06/2021 14:00:00,36.0,1.0,42.6,2.0
01/06/2021 15:00:00,38.0,4.0,38.6,1.0
01/06/2021 16:00:00,26.0,12.0,29.6,0.0
01/06/2021 17:00:00,18.0,22.0,22.1,0.0
01/06/2021 18:00:00,10.0,30.0,17.0,0.0
01/06/2021 19:00:00,9.0,34.0,8.6,0.0
01/06/2021 20:00:00,8.0,35.0,17.4,0.0
01/06/2021 21:00:00,5.0,39.0,20.1,0.0
01/06/2021 22:00:00,6.0,38.0,19.8,0.0
01/06/2021 23:00:00,11.0,30.0,29.4,0.0
01/07/2021 00:00:00,28.0,12.0,41.1,0.0
01/07/2021 01:00:00,29.0,8.0,43.5,0.0
01/07/2021 02:00:00,35.0,1.0,55.8,0.0
01/07/2021 03:00:00,35.0,1.0,56.8,0.0
01/07/2021 04:00:00,,1.0,49.8,0.0
01/07/2021 05:00:00,34.0,1.0,41.0,0.0
01/07/2021 06:00:00,37.0,1.0,43.7,1.0
01/07/2021 07:00:00,36.0,1.0,36.8,1.0
01/07/2021 08:00:00,35.0,1.0,30.8,0.0
01/07/2021 09:00:00,32.0,,28.3,0.0
01/07/2021 10:00:00,30.0,1.0,23.7,0.0
01/07/2021 11:00:00,29.0,,20.0,0.0
01/07/2021 12:00:00,32.0,,31.7,1.0
01/07/2021 13:00:00,34.0,,44.3,2.0
01/07/2021 14:00:00,41.0,,85.6,3.0
01/07/2021 15:00:00,48.0,,105.5,3.0
01/07/2021 16:00:00,52.0,,121.9,3.0
01/07/2021 17:00:00,43.0,3.0,73.3,2.0
01/07/2021 18:00:00,34.0,9.0,67.9,2.0
