InstrumentName, Wash Park West B,,
StartTime, 2018-08-01 00:00:00,,
EndTime, 2018-08-31 23:59:59,,
Date,PM2.5,humidity,temp_f
08/01/2018 00:01:17.406666,7.58,11.0,97.0
08/01/2018 00:03:57.426666,7.84,11.0,97.0
08/01/2018 00:05:17.450000,7.63,11.0,97.0
08/01/2018 00:07:57.506666,8.05,11.0,97.0
08/01/2018 00:09:17.416666,8.69,11.0,97.0
08/01/2018 00:11:57.403333,7.6,11.0,97.0
08/01/2018 00:13:17.516666,9.02,12.0,97.0
08/01/2018 00:15:57.573333,8.84,12.0,96.0
08/01/2018 00:17:17.530000,9.05,12.0,97.0
08/01/2018 00:19:57.426666,8.21,12.0,97.0
08/01/2018 00:21:17.426666,8.38,12.0,97.0
08/01/2018 00:23:57.450000,9.12,11.0,97.0
08/01/2018 00:25:17.526666,8.4,11.0,97.0
08/01/2018 00:27:57.660000,7.95,11.0,96.0
08/01/2018 00:29:17.570000,7.32,11.0,96.0
08/01/2018 00:31:57.460000,7.1,11.0,96.0
08/01/2018 00:33:17.443333,7.4,12.0,96.0
08/01/2018 00:35:57.456666,7.42,13.0,96.0
08/01/2018 00:37:17.446666,8.23,12.0,96.0
08/01/2018 00:39:57.466666,7.47,12.0,96.0
08/01/2018 00:41:17.446666,8.69,12.0,96.0
08/01/2018 00:43:57.443333,7.56,12.0,96.0
08/01/2018 00:45:17.583333,8.33,12.0,95.0
08/01/2018 00:47:57.503333,8.05,12.0,95.0
08/01/2018 00:49:17.493333,8.93,12.0,95.0
08/01/2018 00:51:57.503333,8.07,12.0,95.0
08/01/2018 00:53:17.443333,8.37,12.0,95.0
08/01/2018 00:55:57.443333,8.02,12.0,94.0
08/01/2018 00:57:17.460000,8.77,13.0,94.0
08/01/2018 00:59:57.556666,7.67,13.0,94.0
08/01/2018 01:01:17.553333,7.5,13.0,94.0
08/01/2018 01:03:57.583333,8.42,13.0,94.0
08/01/2018 01:05:17.563333,7.88,13.0,94.0
08/01/2018 01:07:57.473333,7.55,13.0,94.0
08/01/2018 01:09:17.680000,7.81,13.0,93.0
08/01/2018 01:11:57.476666,8.41,14.0,93.0
08/01/2018 01:13:17.566666,7.72,13.0,93.0
08/01/2018 01:15:57.466666,7.33,13.0,93.0
08/01/2018 01:17:17.573333,7.21,13.0,93.0
08/01/2018 01:19:57.576666,7.58,14.0,93.0
08/01/2018 01:21:17.523333,8.21,14.0,93.0
08/01/2018 01:23:58.440000,6.6,14.0,92.0
08/01/2018 01:25:17.463333,7.38,14.0,92.0
08/01/2018 01:27:57.630000,6.82,14.0,92.0
08/01/2018 01:29:17.496666,7.41,13.0,92.0
08/01/2018 01:31:57.466666,5.81,14.0,92.0
08/01/2018 01:33:17.496666,7.21,14.0,92.0
08/01/2018 01:35:57.476666,6.23,14.0,92.0
08/01/2018 01:37:17.480000,7.16,15.0,92.0
08/01/2018 01:39:57.466666,6.77,13.0,91.0
08/01/2018 01:41:17.506666,7.35,13.0,91.0
08/01/2018 01:43:57.503333,7.98,14.0,91.0
08/01/2018 01:45:17.536666,7.81,15.0,91.0
08/01/2018 01:47:57.540000,6.82,15.0,91.0
08/01/2018 01:49:17.553333,6.79,15.0,91.0
08/01/2018 01:51:57.503333,6.76,14.0,90.0
08/01/2018 01:53:17.556666,8.12,15.0,90.0
08/01/2018 01:55:57.513333,6.65,14.0,90.0
08/01/2018 01:57:17.513333,6.7,14.0,90.0
08/01/2018 01:59:57.600000,6.58,14.0,90.0
08/01/2018 02:01:18.060000,6.86,14.0,90.0
08/01/2018 02:03:57.490000,6.89,14.0,89.0
08/01/2018 02:05:17.760000,6.53,14.0,89.0
08/01/2018 02:07:57.490000,6.93,14.0,89.0
08/01/2018 02:09:17.593333,6.18,14.0,89.0
08/01/2018 02:11:57.510000,6.26,14.0,89.0
08/01/2018 02:13:18.013333,7.45,14.0,89.0
08/01/2018 02:15:57.663333,7.67,14.0,89.0
08/01/2018 02:17:17.523333,7.16,15.0,88.0
08/01/2018 02:19:57.583333,7.26,15.0,88.0
08/01/2018 02:21:17.513333,6.95,15.0,88.0
08/01/2018 02:23:57.583333,7.79,15.0,88.0
08/01/2018 02:25:17.503333,6.56,15.0,88.0
08/01/2018 02:27:57.503333,7.64,16.0,88.0
08/01/2018 02:29:17.600000,6.34,16.0,88.0
08/01/2018 02:31:57.523333,6.32,16.0,87.0
08/01/2018 02:33:17.530000,6.9,15.0,87.0
08/01/2018 02:35:57.663333,6.73,15.0,87.0
08/01/2018 02:37:17.510000,6.84,15.0,87.0
08/01/2018 02:39:57.513333,5.93,15.0,87.0
08/01/2018 02:41:17.523333,6.6,15.0,87.0
08/01/2018 02:43:57.526666,6.72,16.0,87.0
08/01/2018 02:45:17.533333,7.98,15.0,87.0
08/01/2018 02:47:57.590000,5.75,16.0,87.0
08/01/2018 02:49:17.540000,6.65,17.0,87.0
08/01/2018 02:51:57.556666,7.51,17.0,86.0
08/01/2018 02:53:17.540000,6.09,17.0,86.0
08/01/2018 02:55:57.536666,6.21,17.0,86.0
08/01/2018 02:57:17.593333,7.84,18.0,86.0
08/01/2018 02:59:57.800000,8.02,18.0,86.0
08/01/2018 03:01:17.553333,6.4,19.0,86.0
08/01/2018 03:03:57.583333,10.14,19.0,86.0
08/01/2018 03:05:17.546666,9.47,18.0,86.0
08/01/2018 03:07:57.546666,8.68,19.0,85.0
08/01/2018 03:09:17.550000,8.74,19.0,85.0
08/01/2018 03:11:57.540000,11.38,19.0,85.0
08/01/2018 03:13:17.600000,8.21,19.0,85.0
08/01/2018 03:15:57.556666,40.05,19.0,85.0
08/01/2018 03:17:17.556666,18.58,19.0,85.0
08/01/2018 03:18:37.576666,23.93,19.0,85.0
08/01/2018 03:21:17.563333,14.23,19.0,84.0
08/01/2018 03:23:57.676666,20.57,20.0,84.0
08/01/2018 03:25:17.606666,21.07,19.0,84.0
08/01/2018 03:27:57.566666,10.8,20.0,84.0
08/01/2018 03:29:17.566666,9.3,20.0,84.0
08/01/2018 03:31:57.566666,8.47,20.0,84.0
08/01/2018 03:33:17.650000,7.8,21.0,84.0
08/01/2018 03:34:37.566666,6.89,20.0,84.0
08/01/2018 03:37:49.176666,7.07,21.0,84.0
08/01/2018 03:39:09.180000,6.86,21.0,84.0
08/01/2018 03:41:49.356666,7.02,21.0,83.0
08/01/2018 03:43:09.290000,6.37,21.0,83.0
08/01/2018 03:45:49.193333,16.3,21.0,83.0
08/01/2018 03:47:09.246666,10.36,21.0,83.0
08/01/2018 03:49:49.196666,6.93,21.0,83.0
08/01/2018 03:51:09.180000,6.72,21.0,83.0
08/01/2018 03:53:49.293333,6.16,20.0,83.0
08/01/2018 03:55:09.193333,6.63,21.0,83.0
08/01/2018 03:57:49.200000,7.4,21.0,83.0
08/01/2018 03:59:09.286666,7.95,22.0,83.0
08/01/2018 04:01:49.190000,10.25,23.0,83.0
08/01/2018 04:03:09.223333,9.33,22.0,82.0
08/01/2018 04:05:49.260000,7.93,22.0,82.0
08/01/2018 04:07:09.200000,6.67,23.0,82.0
08/01/2018 04:09:49.283333,8.51,22.0,82.0
08/01/2018 04:11:09.213333,6.98,22.0,82.0
08/01/2018 04:13:49.210000,7.07,22.0,82.0
08/01/2018 04:15:09.220000,6.67,22.0,82.0
08/01/2018 04:17:49.206666,7.86,23.0,81.0
08/01/2018 04:19:09.213333,7.07,23.0,81.0
08/01/2018 04:21:49.390000,6.76,24.0,81.0
08/01/2018 04:23:09.723333,8.45,24.0,81.0
08/01/2018 04:25:49.230000,8.0,24.0,81.0
08/01/2018 04:27:09.266666,7.88,24.0,81.0
08/01/2018 04:29:49.663333,8.5,24.0,81.0
08/01/2018 04:31:09.216666,8.62,24.0,81.0
08/01/2018 04:33:49.220000,8.72,24.0,81.0
08/01/2018 04:35:09.216666,8.23,24.0,81.0
08/01/2018 04:37:49.243333,9.63,25.0,81.0
08/01/2018 04:39:09.230000,9.19,26.0,81.0
08/01/2018 04:41:49.246666,8.93,26.0,80.0
08/01/2018 04:43:09.223333,8.7,26.0,80.0
08/01/2018 04:45:49.236666,8.86,26.0,80.0
08/01/2018 04:47:09.293333,8.63,27.0,80.0
08/01/2018 04:49:49.260000,8.77,27.0,80.0
08/01/2018 04:51:09.230000,9.12,26.0,80.0
08/01/2018 04:53:49.256666,9.17,27.0,80.0
08/01/2018 04:55:09.256666,9.4,27.0,80.0
08/01/2018 04:57:49.300000,9.14,28.0,80.0
08/01/2018 04:59:09.250000,9.31,28.0,79.0
08/01/2018 05:01:49.243333,9.49,28.0,79.0
08/01/2018 05:03:09.253333,9.07,28.0,79.0
08/01/2018 05:05:49.256666,9.65,28.0,79.0
08/01/2018 05:07:09.263333,9.14,28.0,79.0
08/01/2018 05:09:49.246666,10.0,28.0,79.0
08/01/2018 05:11:09.253333,9.83,29.0,79.0
08/01/2018 05:13:49.263333,10.52,29.0,79.0
08/01/2018 05:15:09.266666,9.88,29.0,79.0
08/01/2018 05:17:49.286666,10.93,30.0,79.0
08/01/2018 05:19:09.266666,9.84,30.0,79.0
08/01/2018 05:21:49.313333,10.15,30.0,78.0
