InstrumentName, I-25 Denver,,
StartTime, 2018-08-01 00:00:00,,
EndTime, 2018-08-31 23:59:59,,
Date,CO,NO2,PM2.5
08/01/2018 00:00:00.000000,0.2,,4.8
08/01/2018 01:00:00.000000,0.1,,4.6
08/01/2018 02:00:00.000000,0.2,,4.6
08/01/2018 03:00:00.000000,0.7,,6.1
08/01/2018 04:00:00.000000,0.9,,6.1
08/01/2018 05:00:00.000000,0.4,,8.7
08/01/2018 06:00:00.000000,0.3,,8.5
08/01/2018 07:00:00.000000,,,8.5
08/01/2018 08:00:00.000000,0.2,,8.6
08/01/2018 09:00:00.000000,0.3,,9.7
08/01/2018 10:00:00.000000,0.7,,10.5
08/01/2018 11:00:00.000000,0.9,,11.4
08/01/2018 12:00:00.000000,0.8,,11.4
08/01/2018 13:00:00.000000,0.7,,11.4
08/01/2018 14:00:00.000000,0.5,,10.5
08/01/2018 15:00:00.000000,0.5,,10.5
08/01/2018 16:00:00.000000,0.5,,10.0
08/01/2018 17:00:00.000000,0.5,,9.5
08/01/2018 18:00:00.000000,0.5,,10.4
08/01/2018 19:00:00.000000,0.8,,10.4
08/01/2018 20:00:00.000000,0.7,,10.2
08/01/2018 21:00:00.000000,0.7,,10.2
08/02/2018 00:00:00.000000,0.5,,16.0
08/02/2018 01:00:00.000000,0.2,,16.4
08/02/2018 02:00:00.000000,0.3,,14.6
08/02/2018 03:00:00.000000,0.4,,11.8
08/02/2018 04:00:00.000000,0.4,,11.7
08/02/2018 05:00:00.000000,0.4,,12.2
08/02/2018 06:00:00.000000,0.2,,12.2
08/02/2018 07:00:00.000000,,,11.7
08/02/2018 08:00:00.000000,0.2,,11.9
08/02/2018 09:00:00.000000,0.3,,13.7
08/02/2018 10:00:00.000000,0.7,,16.0
08/02/2018 11:00:00.000000,1.3,,15.6
08/02/2018 12:00:00.000000,1.0,,20.3
08/02/2018 13:00:00.000000,0.7,,24.2
08/02/2018 14:00:00.000000,0.5,,24.2
08/02/2018 15:00:00.000000,0.4,,20.8
08/02/2018 16:00:00.000000,0.3,,20.8
08/02/2018 17:00:00.000000,0.2,,16.6
08/02/2018 18:00:00.000000,0.2,,14.6
08/02/2018 19:00:00.000000,0.3,,13.4
08/02/2018 20:00:00.000000,0.2,,13.4
08/02/2018 21:00:00.000000,0.2,,12.5
08/02/2018 22:00:00.000000,0.3,,12.5
08/02/2018 23:00:00.000000,0.2,,12.9
08/03/2018 00:00:00.000000,0.3,,12.9
08/03/2018 01:00:00.000000,0.4,,13.5
08/03/2018 02:00:00.000000,0.4,,13.9
08/03/2018 03:00:00.000000,0.4,,5.7
08/03/2018 04:00:00.000000,0.3,,2.8
08/03/2018 05:00:00.000000,0.2,,1.4
08/03/2018 06:00:00.000000,0.2,,0.7
08/03/2018 07:00:00.000000,,,0.7
08/03/2018 08:00:00.000000,0.2,,0.1
08/03/2018 09:00:00.000000,0.3,,0.1
08/03/2018 10:00:00.000000,0.6,,0.0
08/03/2018 11:00:00.000000,0.8,,0.0
08/03/2018 12:00:00.000000,,,0.0
08/03/2018 13:00:00.000000,1.0,,0.0
08/03/2018 14:00:00.000000,0.4,,
08/03/2018 15:00:00.000000,0.3,,
08/03/2018 16:00:00.000000,0.3,,
08/03/2018 17:00:00.000000,0.5,,
08/03/2018 18:00:00.000000,0.6,,
08/03/2018 19:00:00.000000,0.5,,
08/03/2018 20:00:00.000000,0.4,,
08/03/2018 21:00:00.000000,0.5,,
08/03/2018 22:00:00.000000,0.5,,
08/03/2018 23:00:00.000000,0.5,,
08/04/2018 00:00:00.000000,0.6,,
08/04/2018 01:00:00.000000,0.6,,
08/04/2018 02:00:00.000000,0.2,,
08/04/2018 03:00:00.000000,0.2,,
08/04/2018 04:00:00.000000,0.2,,
08/04/2018 05:00:00.000000,0.2,,
08/04/2018 06:00:00.000000,0.3,,
08/04/2018 08:00:00.000000,0.2,,
08/04/2018 09:00:00.000000,0.2,,
08/04/2018 10:00:00.000000,0.2,,
08/04/2018 11:00:00.000000,0.3,,
08/04/2018 12:00:00.000000,0.4,,
08/04/2018 13:00:00.000000,0.3,,
08/04/2018 14:00:00.000000,0.3,,
08/04/2018 15:00:00.000000,0.2,,
08/04/2018 16:00:00.000000,0.2,,
08/04/2018 17:00:00.000000,0.1,,
08/04/2018 18:00:00.000000,0.2,,
08/04/2018 19:00:00.000000,0.3,,
08/04/2018 20:00:00.000000,0.3,,
08/04/2018 21:00:00.000000,0.1,,
08/04/2018 22:00:00.000000,0.1,,
08/04/2018 23:00:00.000000,0.1,,
08/05/2018 00:00:00.000000,0.2,,
08/05/2018 01:00:00.000000,0.3,,
08/05/2018 02:00:00.000000,0.3,,
08/05/2018 03:00:00.000000,0.3,,
08/05/2018 04:00:00.000000,0.4,,
08/05/2018 05:00:00.000000,0.2,,
08/05/2018 06:00:00.000000,0.3,,
08/05/2018 08:00:00.000000,0.3,,
08/05/2018 09:00:00.000000,0.3,,
08/05/2018 10:00:00.000000,0.3,,
08/05/2018 11:00:00.000000,0.3,,
08/05/2018 12:00:00.000000,0.4,,
08/05/2018 13:00:00.000000,0.4,,
08/05/2018 14:00:00.000000,0.4,,
08/05/2018 15:00:00.000000,0.2,,
08/05/2018 16:00:00.000000,0.2,,
08/05/2018 17:00:00.000000,0.2,,
08/05/2018 18:00:00.000000,0.3,,
08/05/2018 19:00:00.000000,0.4,,
08/05/2018 20:00:00.000000,0.4,,
08/05/2018 21:00:00.000000,0.1,,
08/05/2018 22:00:00.000000,0.1,,
08/05/2018 23:00:00.000000,0.1,,
08/06/2018 00:00:00.000000,0.3,,
08/06/2018 01:00:00.000000,0.5,,
08/06/2018 02:00:00.000000,0.4,,
08/06/2018 03:00:00.000000,0.5,,
08/06/2018 04:00:00.000000,0.3,,
08/06/2018 05:00:00.000000,0.2,,
08/06/2018 06:00:00.000000,0.3,,
08/06/2018 08:00:00.000000,0.2,,
08/06/2018 09:00:00.000000,0.2,,
08/06/2018 10:00:00.000000,0.4,,
08/06/2018 11:00:00.000000,0.9,,
08/06/2018 12:00:00.000000,0.7,,
08/06/2018 13:00:00.000000,0.6,,
08/06/2018 14:00:00.000000,0.4,,12.2
08/06/2018 15:00:00.000000,0.4,,12.1
08/06/2018 16:00:00.000000,0.3,,11.8
08/06/2018 17:00:00.000000,0.3,,11.8
08/06/2018 18:00:00.000000,0.4,,11.0
08/06/2018 19:00:00.000000,0.4,,11.1
08/06/2018 20:00:00.000000,0.3,,11.2
08/06/2018 21:00:00.000000,0.1,,7.6
08/06/2018 22:00:00.000000,0.2,,6.9
08/06/2018 23:00:00.000000,0.1,,6.5
08/07/2018 00:00:00.000000,0.1,,9.1
08/07/2018 01:00:00.000000,0.3,,10.3
08/07/2018 02:00:00.000000,0.3,,10.3
08/07/2018 03:00:00.000000,0.4,,10.0
08/07/2018 04:00:00.000000,0.2,,10.3
08/07/2018 05:00:00.000000,0.2,,10.3
08/07/2018 06:00:00.000000,0.3,,11.5
08/07/2018 07:00:00.000000,,,11.5
08/07/2018 08:00:00.000000,0.2,,11.2
08/07/2018 09:00:00.000000,0.2,,11.2
08/07/2018 10:00:00.000000,0.4,,11.2
08/07/2018 11:00:00.000000,0.7,,12.9
08/07/2018 12:00:00.000000,0.8,,12.9
08/07/2018 13:00:00.000000,0.6,,15.8
08/07/2018 14:00:00.000000,0.4,,15.6
08/07/2018 15:00:00.000000,0.4,,15.0
08/07/2018 16:00:00.000000,0.3,,14.7
08/07/2018 17:00:00.000000,0.2,14.0,14.1
08/07/2018 18:00:00.000000,0.3,12.0,10.8
08/07/2018 19:00:00.000000,0.2,15.0,10.1
08/07/2018 20:00:00.000000,0.2,12.0,10.2
08/07/2018 21:00:00.000000,0.2,10.0,9.0
08/07/2018 22:00:00.000000,0.2,10.0,9.0
08/07/2018 23:00:00.000000,0.3,17.0,6.5
08/08/2018 00:00:00.000000,0.2,11.0,6.2
08/08/2018 01:00:00.000000,0.1,5.0,6.2
08/08/2018 02:00:00.000000,0.3,14.0,6.6
08/08/2018 03:00:00.000000,0.4,21.0,6.6
08/08/2018 04:00:00.000000,0.5,,7.7
08/08/2018 05:00:00.000000,0.4,26.0,7.7
08/08/2018 06:00:00.000000,0.3,19.0,9.5
08/08/2018 07:00:00.000000,,,9.5
08/08/2018 08:00:00.000000,0.3,21.0,11.5
08/08/2018 09:00:00.000000,0.3,19.0,11.5
08/08/2018 10:00:00.000000,0.5,26.0,12.8
08/08/2018 11:00:00.000000,0.9,35.0,13.9
08/08/2018 12:00:00.000000,0.8,36.0,15.9
08/08/2018 13:00:00.000000,0.6,30.0,16.3
08/08/2018 14:00:00.000000,0.3,24.0,15.8
08/08/2018 15:00:00.000000,0.2,18.0,14.9
08/08/2018 16:00:00.000000,0.4,31.0,10.8
08/08/2018 17:00:00.000000,0.4,25.0,8.5
08/08/2018 18:00:00.000000,0.4,25.0,7.8
08/08/2018 19:00:00.000000,0.3,22.0,7.2
08/08/2018 20:00:00.000000,0.3,14.0,6.5
08/08/2018 21:00:00.000000,0.2,11.0,6.1
08/08/2018 22:00:00.000000,0.2,10.0,6.1
