InstrumentName, Woods Park B,,
StartTime, 2020-11-01 00:00:00,,
EndTime, 2020-11-30 23:59:59,,
Date,PM1.0,PM10.0,PM2.5
11/01/2020 00:00:04.000000,5.81,8.27,7.69
11/01/2020 00:02:04.000000,5.86,7.84,7.5
11/01/2020 00:04:04.000000,5.18,8.26,7.25
11/01/2020 00:06:04.000000,6.25,9.0,8.39
11/01/2020 00:08:04.000000,6.09,8.78,8.57
11/01/2020 00:10:04.000000,5.38,8.92,8.1
11/01/2020 00:12:04.000000,5.41,8.43,7.93
11/01/2020 00:14:04.000000,6.02,8.91,8.14
11/01/2020 00:16:05.000000,6.15,8.97,8.17
11/01/2020 00:18:04.000000,5.31,7.95,7.26
11/01/2020 00:20:04.000000,6.05,8.16,7.75
11/01/2020 00:22:04.000000,5.98,8.59,8.29
11/01/2020 00:24:04.000000,6.53,9.59,8.78
11/01/2020 00:26:04.000000,6.12,9.03,8.0
11/01/2020 00:28:04.000000,6.48,9.14,8.47
11/01/2020 00:30:04.000000,5.75,8.65,8.04
11/01/2020 00:32:04.000000,6.16,8.84,8.38
11/01/2020 00:34:05.000000,6.73,9.17,8.49
11/01/2020 00:36:04.000000,6.47,9.5,8.97
11/01/2020 00:38:04.000000,6.51,10.3,9.11
11/01/2020 00:40:04.000000,6.03,8.47,7.84
11/01/2020 00:42:04.000000,6.32,9.68,8.7
11/01/2020 00:44:04.000000,6.66,9.81,9.09
11/01/2020 00:46:04.000000,6.11,8.98,8.25
11/01/2020 00:48:04.000000,6.12,9.41,8.88
11/01/2020 00:50:04.000000,6.02,9.61,9.0
11/01/2020 00:52:04.000000,6.78,9.93,8.9
11/01/2020 00:54:04.000000,6.49,8.88,8.39
11/01/2020 00:56:04.000000,7.05,10.89,9.89
11/01/2020 00:58:04.000000,6.57,10.26,9.17
11/01/2020 01:00:04.000000,6.75,9.36,9.24
11/01/2020 01:02:04.000000,7.11,9.93,9.39
11/01/2020 01:04:04.000000,6.22,9.95,8.35
11/01/2020 01:06:04.000000,7.12,9.79,8.98
11/01/2020 01:08:04.000000,7.41,10.47,9.76
11/01/2020 01:10:04.000000,7.36,10.69,9.95
11/01/2020 01:12:04.000000,6.15,8.84,8.25
11/01/2020 01:14:04.000000,7.05,10.42,9.42
11/01/2020 01:16:05.000000,7.64,11.15,10.22
11/01/2020 01:18:04.000000,7.24,10.29,9.41
11/01/2020 01:20:04.000000,7.14,9.73,9.14
11/01/2020 01:22:04.000000,7.11,9.66,9.25
11/01/2020 01:24:04.000000,7.28,11.0,9.98
11/01/2020 01:26:04.000000,7.22,10.39,9.53
11/01/2020 01:28:04.000000,7.02,9.8,9.55
11/01/2020 01:30:04.000000,7.23,10.27,9.46
11/01/2020 01:32:04.000000,7.69,11.08,10.15
11/01/2020 01:34:04.000000,7.55,10.87,9.88
11/01/2020 01:36:04.000000,8.32,11.58,10.58
11/01/2020 01:38:04.000000,8.11,11.79,11.02
11/01/2020 01:40:04.000000,8.12,11.26,10.74
11/01/2020 01:42:04.000000,9.19,13.25,12.14
11/01/2020 01:44:04.000000,8.98,13.59,12.24
11/01/2020 01:46:04.000000,10.16,15.0,13.76
11/01/2020 01:48:04.000000,9.69,14.64,13.38
11/01/2020 01:50:04.000000,9.34,13.29,12.17
11/01/2020 01:52:04.000000,10.47,15.08,13.61
11/01/2020 01:54:04.000000,10.44,13.91,13.14
11/01/2020 01:56:04.000000,11.14,15.04,14.09
11/01/2020 01:58:04.000000,12.37,17.85,16.71
11/01/2020 02:00:05.000000,13.34,18.19,16.92
11/01/2020 02:02:04.000000,13.81,19.4,18.65
11/01/2020 02:04:04.000000,12.96,18.8,16.79
11/01/2020 02:06:04.000000,13.29,18.4,17.43
11/01/2020 02:08:04.000000,14.22,18.68,18.2
11/01/2020 02:10:04.000000,14.67,20.76,19.69
11/01/2020 02:12:04.000000,15.58,21.82,20.67
11/01/2020 02:14:04.000000,15.63,21.88,20.51
11/01/2020 02:16:05.000000,16.41,23.71,21.34
11/01/2020 02:18:04.000000,15.3,22.35,20.84
11/01/2020 02:20:04.000000,14.18,20.73,19.11
11/01/2020 02:22:04.000000,14.12,19.64,18.28
11/01/2020 02:24:04.000000,15.58,22.68,21.22
11/01/2020 02:26:04.000000,13.62,20.31,19.09
11/01/2020 02:28:04.000000,13.29,18.52,17.23
11/01/2020 02:30:04.000000,14.2,20.09,18.54
11/01/2020 02:32:04.000000,11.53,16.39,14.98
11/01/2020 02:34:04.000000,10.92,14.68,13.83
11/01/2020 02:36:04.000000,11.28,15.07,14.19
11/01/2020 02:38:04.000000,10.48,15.71,14.29
11/01/2020 02:40:04.000000,10.41,14.86,13.59
11/01/2020 02:42:04.000000,9.59,13.81,12.67
11/01/2020 02:44:04.000000,9.95,13.72,12.93
11/01/2020 02:46:04.000000,14.07,19.42,18.16
11/01/2020 02:48:04.000000,16.57,22.22,21.43
11/01/2020 02:50:04.000000,13.85,19.54,18.03
11/01/2020 02:52:04.000000,15.6,21.62,20.28
11/01/2020 02:54:04.000000,13.0,17.16,16.86
11/01/2020 02:56:04.000000,11.63,16.25,15.12
11/01/2020 02:58:04.000000,10.27,14.86,13.85
11/01/2020 03:00:05.000000,9.85,14.53,13.38
11/01/2020 03:02:04.000000,9.51,13.58,12.95
11/01/2020 03:04:04.000000,9.81,13.65,12.3
11/01/2020 03:06:04.000000,10.08,13.76,12.75
11/01/2020 03:08:04.000000,9.83,13.52,12.81
11/01/2020 03:10:04.000000,9.38,13.24,12.05
11/01/2020 03:12:04.000000,9.53,12.14,11.53
11/01/2020 03:14:04.000000,10.31,14.84,13.41
11/01/2020 03:16:04.000000,10.15,15.31,14.12
11/01/2020 03:18:04.000000,10.33,14.86,14.0
11/01/2020 03:20:04.000000,10.12,13.4,12.84
11/01/2020 03:22:04.000000,10.23,15.12,13.54
11/01/2020 03:24:04.000000,10.2,14.59,13.71
11/01/2020 03:26:04.000000,9.03,12.76,11.74
11/01/2020 03:28:04.000000,8.43,11.79,10.88
11/01/2020 03:30:04.000000,8.57,12.16,11.34
