InstrumentName, Canary-DN-1,,,,,,
StartTime, 2020-11-01 00:00:00,,,,,,
EndTime, 2020-11-30 23:59:59,,,,,,
Date,IH,IT,P,TVOC,TVOC_Cal,WD,WS
11/01/2020 00:01:09.000000,25.88,58.84,850.82,0.244,0.077,56.6,0.85
11/01/2020 00:02:04.000000,25.85,58.88,850.82,0.245,0.078,40.34,1.02
11/01/2020 00:03:04.000000,26.05,58.63,850.83,0.243,0.075,66.56,1.11
11/01/2020 00:06:02.000000,26.05,58.7,850.86,0.244,0.077,50.45,1.15
11/01/2020 00:07:14.000000,26.01,58.76,850.86,0.244,0.077,50.59,0.98
11/01/2020 00:08:00.000000,25.81,59.03,850.89,0.244,0.077,55.36,1.07
11/01/2020 00:09:00.000000,25.81,59.01,850.9,0.245,0.078,-1.0,-1.0
11/01/2020 00:10:01.000000,25.92,58.76,850.89,0.245,0.078,59.94,1.22
11/01/2020 00:11:02.000000,26.23,58.41,850.88,0.244,0.077,56.37,1.32
11/01/2020 00:12:00.000000,26.53,58.03,850.88,0.245,0.078,74.02,0.65
11/01/2020 00:13:02.000000,26.82,57.7,850.9,0.245,0.078,52.86,1.31
11/01/2020 00:14:00.000000,27.06,57.41,850.92,0.245,0.078,66.65,0.81
11/01/2020 00:15:00.000000,27.28,57.18,850.95,0.244,0.077,62.36,0.84
11/01/2020 00:16:02.000000,27.53,56.93,850.98,0.244,0.077,60.89,0.9
11/01/2020 00:17:02.000000,27.67,56.73,851.01,0.245,0.078,63.05,0.68
11/01/2020 00:18:02.000000,27.94,56.48,851.0,0.245,0.078,56.31,1.24
11/01/2020 00:19:02.000000,28.08,56.34,851.0,0.245,0.078,60.14,0.75
11/01/2020 00:20:01.000000,28.1,56.36,850.99,0.245,0.078,54.76,1.03
11/01/2020 00:21:01.000000,28.21,56.26,851.0,0.245,0.078,63.43,0.99
11/01/2020 00:22:03.000000,28.35,56.09,851.02,0.244,0.077,63.49,0.67
11/01/2020 00:23:01.000000,28.59,55.85,851.04,0.245,0.078,57.64,0.74
11/01/2020 00:24:01.000000,28.84,55.62,851.05,0.245,0.078,63.13,0.93
11/01/2020 00:25:02.000000,29.05,55.43,851.1,0.244,0.077,62.62,1.01
11/01/2020 00:26:01.000000,29.21,55.27,851.13,0.245,0.078,71.08,0.87
11/01/2020 00:27:01.000000,29.4,55.09,851.16,0.245,0.078,60.23,0.97
11/01/2020 00:28:00.000000,29.58,54.94,851.17,0.244,0.077,68.05,1.01
11/01/2020 00:29:01.000000,29.74,54.88,851.19,0.244,0.077,67.37,0.86
11/01/2020 00:30:00.000000,29.84,54.79,851.2,0.244,0.077,64.97,1.12
11/01/2020 00:31:01.000000,30.0,54.63,851.2,0.245,0.078,66.44,1.07
11/01/2020 00:32:00.000000,30.09,54.57,851.21,0.245,0.078,77.1,1.17
11/01/2020 00:34:01.000000,30.16,54.55,851.22,0.245,0.078,67.77,0.99
11/01/2020 00:35:02.000000,30.12,54.66,851.22,0.246,0.079,68.94,0.87
11/01/2020 00:36:00.000000,29.94,54.86,851.25,0.244,0.077,76.31,0.87
11/01/2020 00:37:01.000000,29.82,54.98,851.26,0.245,0.078,67.26,1.02
11/01/2020 00:38:01.000000,29.88,54.9,851.28,0.247,0.081,70.32,0.9
11/01/2020 00:39:01.000000,30.08,54.7,851.31,0.244,0.077,56.62,0.69
11/01/2020 00:40:01.000000,30.26,54.48,851.32,0.245,0.078,63.0,0.86
11/01/2020 00:41:03.000000,30.55,54.26,851.35,0.245,0.078,60.52,1.13
11/01/2020 00:42:02.000000,30.73,54.03,851.34,0.246,0.079,64.16,0.97
11/01/2020 00:43:00.000000,30.99,53.85,851.36,0.244,0.077,60.68,1.13
11/01/2020 00:44:01.000000,31.17,53.69,851.34,0.245,0.078,71.75,1.17
11/01/2020 00:45:02.000000,31.29,53.54,851.31,0.245,0.078,85.58,0.79
11/01/2020 00:46:01.000000,31.37,53.44,851.28,0.246,0.079,91.19,1.03
11/01/2020 00:47:02.000000,31.39,53.42,851.27,0.245,0.078,78.45,0.99
11/01/2020 00:48:00.000000,31.39,53.42,851.27,0.246,0.079,78.62,0.83
11/01/2020 00:49:01.000000,31.39,53.42,851.27,0.246,0.079,84.71,1.08
11/01/2020 00:50:02.000000,31.39,53.42,851.27,0.244,0.077,68.05,1.12
11/01/2020 00:51:00.000000,31.39,53.42,851.27,0.245,0.078,71.24,1.02
11/01/2020 00:52:02.000000,31.39,53.42,851.27,0.244,0.077,60.5,1.04
11/01/2020 00:53:00.000000,31.39,53.42,851.27,0.243,0.075,60.05,1.25
11/01/2020 00:54:00.000000,31.39,53.42,851.27,0.244,0.077,71.73,1.23
11/01/2020 00:55:02.000000,31.39,53.42,851.27,0.244,0.077,56.78,1.04
11/01/2020 00:56:01.000000,31.39,53.42,851.27,0.244,0.077,66.22,0.99
11/01/2020 00:57:02.000000,31.39,53.42,851.27,0.245,0.078,67.65,1.14
11/01/2020 00:59:02.000000,31.39,53.42,851.27,0.245,0.078,56.96,1.27
11/01/2020 01:00:00.000000,31.39,53.42,851.27,0.244,0.077,62.24,1.4
11/01/2020 01:01:01.000000,31.39,53.42,851.27,0.246,0.079,62.43,1.19
11/01/2020 01:02:05.000000,31.39,53.42,851.27,0.245,0.078,58.8,0.94
11/01/2020 01:03:00.000000,31.39,53.42,851.27,0.245,0.078,60.17,0.95
11/01/2020 01:04:05.000000,31.39,53.42,851.27,0.244,0.077,57.47,1.09
11/01/2020 01:05:04.000000,31.39,53.42,851.27,0.244,0.077,65.42,1.09
11/01/2020 01:06:01.000000,31.39,53.42,851.27,0.244,0.077,56.59,0.99
11/01/2020 01:07:04.000000,31.39,53.42,851.27,0.244,0.077,66.15,1.16
11/01/2020 01:08:04.000000,31.39,53.42,851.27,0.245,0.078,59.54,1.25
11/01/2020 01:09:04.000000,31.39,53.42,851.27,0.245,0.078,62.62,1.0
11/01/2020 01:10:04.000000,31.39,53.42,851.27,0.244,0.077,62.5,1.19
11/01/2020 01:13:00.000000,31.39,53.42,851.27,0.245,0.078,62.22,1.18
11/01/2020 01:15:01.000000,31.39,53.42,851.27,0.286,0.136,69.52,1.06
11/01/2020 01:16:02.000000,31.39,53.42,851.27,0.256,0.094,65.87,0.74
11/01/2020 01:17:39.000000,31.39,53.42,851.27,0.245,0.078,47.64,1.01
11/01/2020 01:20:02.000000,31.39,53.42,851.27,0.245,0.078,49.12,0.7
11/01/2020 01:21:10.000000,31.39,53.42,851.27,0.247,0.081,-1.0,-1.0
11/01/2020 01:23:01.000000,31.39,53.42,851.27,0.245,0.078,52.08,1.06
11/01/2020 01:24:01.000000,31.39,53.42,851.27,0.245,0.078,51.17,1.25
11/01/2020 01:25:29.000000,31.39,53.42,851.27,0.244,0.077,66.08,1.06
11/01/2020 01:26:08.000000,31.39,53.42,851.27,0.243,0.075,69.6,1.34
11/01/2020 01:27:01.000000,31.39,53.42,851.27,0.245,0.078,77.0,1.08
11/01/2020 01:28:02.000000,31.39,53.42,851.27,0.244,0.077,59.07,0.97
11/01/2020 01:29:00.000000,31.39,53.42,851.27,0.245,0.078,59.21,1.2
11/01/2020 01:31:00.000000,31.39,53.42,851.27,0.245,0.078,55.2,1.09
11/01/2020 01:32:02.000000,31.39,53.42,851.27,0.245,0.078,39.08,1.27
11/01/2020 01:33:01.000000,31.39,53.42,851.27,0.244,0.077,61.66,0.94
11/01/2020 01:34:01.000000,31.39,53.42,851.27,0.243,0.075,43.59,1.4
11/01/2020 01:35:00.000000,31.39,53.42,851.27,0.246,0.079,46.08,1.42
11/01/2020 01:36:01.000000,31.39,53.42,851.27,0.245,0.078,45.31,1.08
11/01/2020 01:39:01.000000,31.39,53.42,851.27,0.245,0.078,42.83,1.09
11/01/2020 01:40:00.000000,31.39,53.42,851.27,0.244,0.077,57.52,1.03
11/01/2020 01:41:02.000000,31.39,53.42,851.27,0.245,0.078,49.72,1.16
11/01/2020 01:42:02.000000,31.39,53.42,851.27,0.246,0.079,61.31,1.15
11/01/2020 01:43:02.000000,31.39,53.42,851.27,0.244,0.077,43.45,1.48
11/01/2020 01:44:00.000000,31.39,53.42,851.27,0.244,0.077,60.17,1.52
11/01/2020 01:45:00.000000,31.39,53.42,851.27,0.245,0.078,77.62,0.94
11/01/2020 01:46:01.000000,31.39,53.42,851.27,0.245,0.078,57.26,1.24
11/01/2020 01:47:01.000000,31.39,53.42,851.27,0.245,0.078,63.09,1.28
11/01/2020 01:48:02.000000,31.39,53.42,851.27,0.243,0.075,64.28,1.2
11/01/2020 01:50:00.000000,31.39,53.42,851.27,0.244,0.077,72.47,1.33
11/01/2020 01:51:01.000000,31.39,53.42,851.27,0.245,0.078,43.74,1.19
11/01/2020 01:52:01.000000,31.39,53.42,851.27,0.244,0.077,68.45,1.19
11/01/2020 01:53:01.000000,31.39,53.42,851.27,0.244,0.077,74.57,1.0
11/01/2020 01:54:00.000000,31.39,53.42,851.27,0.244,0.077,44.53,1.01
11/01/2020 01:56:00.000000,31.39,53.42,851.27,0.246,0.079,99.64,1.35
11/01/2020 01:57:03.000000,31.39,53.42,851.27,0.245,0.078,67.17,1.47
11/01/2020 01:58:01.000000,31.39,53.42,851.27,0.245,0.078,109.96,1.57
11/01/2020 01:59:01.000000,31.39,53.42,851.27,0.245,0.078,96.49,1.67
11/01/2020 02:00:04.000000,31.39,53.42,851.27,0.244,0.077,117.42,2.56
11/01/2020 02:03:01.000000,31.39,53.42,851.27,0.244,0.077,122.05,2.35
11/01/2020 02:05:00.000000,31.39,53.42,851.27,0.244,0.077,110.23,3.31
11/01/2020 02:06:01.000000,31.39,53.42,851.27,0.245,0.078,117.65,1.98
11/01/2020 02:07:09.000000,31.39,53.42,851.27,0.245,0.078,112.84,2.6
11/01/2020 02:09:00.000000,31.39,53.42,851.27,0.246,0.079,110.88,3.13
11/01/2020 02:10:02.000000,31.39,53.42,851.27,0.245,0.078,113.58,2.21
11/01/2020 02:11:08.000000,31.39,53.42,851.27,0.245,0.078,114.18,2.34
11/01/2020 02:12:01.000000,31.39,53.42,851.27,0.245,0.078,117.98,2.61
11/01/2020 02:13:01.000000,31.39,53.42,851.27,0.245,0.078,119.14,1.86
11/01/2020 02:14:00.000000,31.39,53.42,851.27,0.244,0.077,119.4,2.53
11/01/2020 02:15:01.000000,31.39,53.42,851.27,0.245,0.078,120.24,2.68
11/01/2020 02:16:01.000000,31.39,53.42,851.27,0.245,0.078,120.51,2.84
11/01/2020 02:17:02.000000,31.39,53.42,851.27,0.245,0.078,-1.0,-1.0
11/01/2020 02:18:00.000000,31.39,53.42,851.27,0.245,0.078,115.83,1.49
11/01/2020 02:19:00.000000,31.39,53.42,851.27,0.246,0.079,116.51,2.63
11/01/2020 02:20:01.000000,31.39,53.42,851.27,0.244,0.077,119.89,1.34
11/01/2020 02:21:00.000000,31.39,53.42,851.27,0.245,0.078,121.68,2.01
11/01/2020 02:22:01.000000,31.39,53.42,851.27,0.246,0.079,119.28,2.19
11/01/2020 02:23:02.000000,31.39,53.42,851.27,0.244,0.077,119.64,3.42
11/01/2020 02:24:01.000000,31.39,53.42,851.27,0.245,0.078,123.58,2.05
11/01/2020 02:25:02.000000,31.39,53.42,851.27,0.245,0.078,126.52,1.74
11/01/2020 02:26:01.000000,31.39,53.42,851.27,0.244,0.077,145.04,0.87
11/01/2020 02:27:00.000000,31.39,53.42,851.27,0.245,0.078,130.53,1.55
11/01/2020 02:28:02.000000,31.39,53.42,851.27,0.245,0.078,130.83,1.51
11/01/2020 02:29:00.000000,31.39,53.42,851.27,0.245,0.078,132.67,1.39
11/01/2020 02:30:00.000000,31.39,53.42,851.27,0.244,0.077,135.19,1.07
11/01/2020 02:31:01.000000,31.39,53.42,851.27,0.245,0.078,131.09,1.41
11/01/2020 02:32:00.000000,31.39,53.42,851.27,0.245,0.078,143.64,1.22
11/01/2020 02:33:00.000000,31.39,53.42,851.27,0.245,0.078,129.17,1.57
11/01/2020 02:34:02.000000,31.39,53.42,851.27,0.244,0.077,119.7,1.24
11/01/2020 02:35:01.000000,31.39,53.42,851.27,0.245,0.078,124.84,1.46
11/01/2020 02:36:02.000000,31.39,53.42,851.27,0.245,0.078,122.51,1.01
11/01/2020 02:37:01.000000,31.39,53.42,851.27,0.244,0.077,140.02,1.15
