InstrumentName, CAMP,,,,
StartTime, 2022-12-01 00:00:00,,,,
EndTime, 2022-12-31 23:59:59,,,,
Date,CO,NO2,O3,PM2.5,SO2
12/01/2022 00:00:00.000000,0.8,43.0,0.0,16.2,0.0
12/01/2022 01:00:00.000000,0.7,44.0,0.0,18.4,0.0
12/01/2022 02:00:00.000000,0.7,44.0,0.0,18.3,0.0
12/01/2022 03:00:00.000000,0.6,44.0,0.0,18.2,0.0
12/01/2022 04:00:00.000000,0.6,,0.0,18.6,0.0
12/01/2022 05:00:00.000000,0.8,48.0,1.0,25.3,2.0
12/01/2022 06:00:00.000000,1.0,50.0,0.0,27.3,2.0
12/01/2022 07:00:00.000000,1.0,51.0,1.0,29.5,2.0
12/01/2022 08:00:00.000000,,,0.0,27.0,
12/01/2022 09:00:00.000000,,,0.0,,
12/01/2022 10:00:00.000000,1.4,46.0,0.0,24.7,1.0
12/01/2022 11:00:00.000000,1.4,47.0,0.0,22.9,2.0
12/01/2022 12:00:00.000000,1.5,48.0,0.0,19.9,2.0
12/01/2022 13:00:00.000000,1.7,49.0,0.0,20.4,2.0
12/01/2022 14:00:00.000000,1.9,51.0,1.0,19.1,3.0
12/01/2022 15:00:00.000000,2.0,51.0,3.0,20.4,3.0
12/01/2022 16:00:00.000000,1.3,52.0,5.0,29.0,3.0
12/01/2022 17:00:00.000000,0.6,30.0,21.0,14.2,0.0
12/01/2022 18:00:00.000000,0.2,12.0,37.0,5.9,0.0
12/01/2022 19:00:00.000000,0.3,15.0,33.0,7.4,0.0
12/01/2022 20:00:00.000000,0.5,23.0,27.0,15.5,0.0
12/01/2022 21:00:00.000000,0.8,50.0,7.0,28.3,3.0
12/01/2022 22:00:00.000000,0.7,51.0,4.0,29.8,3.0
12/01/2022 23:00:00.000000,,,15.0,25.1,
12/02/2022 00:00:00.000000,,,15.0,,
12/02/2022 01:00:00.000000,1.2,42.0,11.0,29.2,2.0
12/02/2022 02:00:00.000000,0.3,17.0,31.0,4.9,0.0
12/02/2022 03:00:00.000000,,10.0,38.0,3.3,0.0
12/02/2022 04:00:00.000000,0.6,,44.0,1.9,0.0
12/02/2022 05:00:00.000000,,,30.0,6.6,
12/02/2022 06:00:00.000000,0.4,3.0,46.0,2.0,0.0
12/02/2022 07:00:00.000000,0.4,2.0,46.0,1.7,0.0
12/02/2022 08:00:00.000000,,,40.0,2.3,
12/02/2022 09:00:00.000000,,,40.0,,
12/02/2022 10:00:00.000000,0.5,4.0,45.0,1.4,0.0
12/02/2022 11:00:00.000000,0.5,10.0,38.0,1.7,0.0
12/02/2022 12:00:00.000000,0.5,9.0,40.0,2.0,0.0
12/02/2022 13:00:00.000000,0.5,9.0,41.0,3.3,0.0
12/02/2022 14:00:00.000000,0.6,12.0,36.0,3.3,0.0
12/02/2022 15:00:00.000000,0.5,7.0,40.0,2.6,0.0
12/02/2022 16:00:00.000000,0.3,7.0,41.0,2.4,0.0
12/02/2022 17:00:00.000000,0.3,5.0,42.0,1.8,0.0
