InstrumentName, AQSync-1003,,,,,,,,,,,,,,,,,
StartTime, 2022-12-01 00:00:00,,,,,,,,,,,,,,,,,
EndTime, 2022-12-31 23:59:59,,,,,,,,,,,,,,,,,
Date,BarometricPressure,CO,CO2,Latitude,Longitude,NO,NO2,NOx,Ozone,PM1,PM10,PM2.5,PM4,RelativeHumidity,TVOC,Temperature,WindDirection,WindSpeed
12/01/2022 00:00:01.922097,840.2,0.25,457.22,40.021,-105.217,1.9,39.0,40.9,18.1,4.0,6.63,5.6,7.99,69.7,283.0,-6.4,270.0,0.07
12/01/2022 00:05:01.923740,840.3,1.13,453.46,40.021,-105.217,5.9,41.0,46.9,15.2,4.0,5.85,5.11,6.81,70.8,282.0,-6.5,189.0,0.51
12/01/2022 00:10:01.904937,840.3,0.34,447.21,40.022,-105.217,0.5,39.9,40.4,16.3,3.93,5.68,5.2,6.88,70.1,280.0,-6.5,201.8,0.22
12/01/2022 00:15:01.865150,840.2,0.41,452.22,40.022,-105.217,-0.5,39.5,39.0,9.3,3.91,5.63,5.27,6.97,70.1,279.0,-6.7,0.0,0.1
12/01/2022 00:20:01.878275,840.2,0.3,447.68,40.021,-105.217,0.4,40.6,41.0,17.1,4.02,6.52,5.42,7.53,70.9,277.0,-6.8,30.9,0.12
12/01/2022 00:25:01.810208,840.2,0.27,444.88,40.022,-105.217,1.3,41.7,43.0,9.6,4.05,6.71,5.46,7.71,71.9,277.0,-6.8,325.0,0.12
12/01/2022 00:30:01.804625,840.2,0.34,446.02,40.022,-105.217,0.4,45.1,45.5,12.9,4.03,4.6,5.38,7.03,71.7,276.0,-6.7,16.7,0.1
12/01/2022 00:35:02.347218,840.2,0.38,450.46,40.022,-105.217,3.8,49.7,53.5,4.3,4.16,5.6,5.62,7.45,72.0,276.0,-6.8,90.0,0.01
12/01/2022 00:40:02.979805,840.1,0.28,450.01,40.021,-105.217,1.5,44.9,46.3,12.3,4.24,6.31,5.69,7.69,72.2,276.0,-7.0,222.0,0.13
12/01/2022 00:55:03.958629,840.2,0.34,450.7,40.022,-105.217,-0.5,42.4,42.0,9.3,4.31,7.59,5.73,7.5,72.8,273.0,-7.2,215.0,0.12
12/01/2022 00:55:25.646326,840.2,0.31,462.16,40.022,-105.217,2.3,47.5,49.8,-0.7,4.37,7.5,6.29,8.7,73.8,271.0,-7.3,218.6,0.13
12/01/2022 00:55:49.669752,840.2,1.53,467.15,40.022,-105.217,13.3,57.0,70.3,2.1,4.36,6.33,6.05,8.16,74.3,271.0,-7.5,270.0,0.05
12/01/2022 01:00:01.792545,840.2,0.32,461.71,40.022,-105.217,4.7,50.4,55.1,4.0,4.42,6.78,5.89,7.82,75.1,271.0,-7.6,225.0,0.14
12/01/2022 01:05:02.903858,840.2,0.4,468.91,40.022,-105.217,1.6,49.7,51.3,-2.5,4.56,7.05,6.2,8.69,75.4,267.0,-7.7,218.6,0.13
12/01/2022 01:10:02.882007,840.2,0.42,476.97,40.022,-105.217,2.8,52.0,54.8,-7.1,4.75,6.46,6.28,8.34,75.6,267.0,-7.8,309.8,0.16
12/01/2022 01:15:02.916928,840.2,0.43,492.49,40.022,-105.217,12.9,54.7,67.6,4.7,5.17,8.1,6.88,9.34,76.5,265.0,-7.9,215.0,0.12
12/01/2022 01:20:02.917518,840.2,0.44,471.66,40.022,-105.217,11.8,52.8,64.7,-2.2,4.81,8.35,6.59,9.16,76.4,263.0,-8.0,215.0,0.12
12/01/2022 01:25:02.905886,840.2,0.32,466.42,40.022,-105.217,3.8,46.4,50.2,-0.1,4.38,6.13,6.08,8.13,76.6,260.0,-8.1,315.0,0.14
12/01/2022 01:30:02.929322,840.2,0.26,458.29,40.022,-105.217,3.9,43.9,47.8,15.8,4.34,6.6,5.85,7.94,76.7,258.0,-8.0,218.6,0.13
12/01/2022 01:35:02.857780,840.2,0.36,468.53,40.022,-105.217,1.9,45.1,47.0,3.6,4.44,6.61,5.97,8.32,76.8,256.0,-8.1,215.0,0.12
12/01/2022 01:40:02.968101,840.0,0.47,471.65,40.022,-105.217,5.5,49.6,55.1,0.7,4.49,7.63,6.29,8.62,77.1,254.0,-8.2,270.0,0.05
