InstrumentName, I-25 Denver,,
StartTime, 2022-12-01 00:00:00,,
EndTime, 2022-12-31 23:59:59,,
Date,CO,NO2,PM2.5
12/01/2022 00:00:00.000000,0.7,45.0,24.2
12/01/2022 01:00:00.000000,0.9,48.0,12.3
12/01/2022 02:00:00.000000,0.7,50.0,14.4
12/01/2022 03:00:00.000000,0.9,50.0,15.6
12/01/2022 04:00:00.000000,0.9,,12.7
12/01/2022 05:00:00.000000,,,13.8
12/01/2022 06:00:00.000000,1.3,47.0,17.7
12/01/2022 07:00:00.000000,1.3,45.0,18.7
12/01/2022 08:00:00.000000,,,17.3
12/01/2022 10:00:00.000000,1.2,45.0,15.9
12/01/2022 11:00:00.000000,1.3,47.0,14.0
12/01/2022 12:00:00.000000,1.4,47.0,12.3
12/01/2022 13:00:00.000000,1.6,49.0,9.6
12/01/2022 14:00:00.000000,1.9,55.0,13.7
12/01/2022 15:00:00.000000,1.6,56.0,14.3
12/01/2022 16:00:00.000000,1.4,60.0,18.7
12/01/2022 17:00:00.000000,0.8,47.0,13.9
12/01/2022 18:00:00.000000,0.2,19.0,4.2
12/01/2022 19:00:00.000000,0.3,22.0,4.8
12/01/2022 20:00:00.000000,0.3,23.0,6.2
12/01/2022 21:00:00.000000,0.6,44.0,11.1
12/01/2022 22:00:00.000000,0.9,55.0,15.3
12/01/2022 23:00:00.000000,,,12.0
12/02/2022 01:00:00.000000,0.7,32.0,4.6
12/02/2022 02:00:00.000000,0.4,16.0,2.2
12/02/2022 03:00:00.000000,0.3,12.0,1.4
12/02/2022 04:00:00.000000,0.2,,0.9
12/02/2022 05:00:00.000000,,,2.5
12/02/2022 06:00:00.000000,0.2,9.0,1.5
12/02/2022 07:00:00.000000,0.2,4.0,1.3
12/02/2022 08:00:00.000000,,,1.4
12/02/2022 10:00:00.000000,0.1,4.0,0.5
12/02/2022 11:00:00.000000,0.2,9.0,0.9
12/02/2022 12:00:00.000000,0.3,18.0,1.6
12/02/2022 13:00:00.000000,0.3,15.0,11.7
12/02/2022 14:00:00.000000,0.4,17.0,1.4
12/02/2022 15:00:00.000000,0.4,19.0,2.1
12/02/2022 16:00:00.000000,0.3,19.0,2.3
12/02/2022 17:00:00.000000,0.3,20.0,2.5
12/02/2022 18:00:00.000000,0.4,20.0,2.6
12/02/2022 19:00:00.000000,0.3,12.0,4.7
12/02/2022 20:00:00.000000,0.3,11.0,13.1
12/02/2022 21:00:00.000000,0.3,11.0,3.5
12/02/2022 22:00:00.000000,0.3,13.0,2.7
12/02/2022 23:00:00.000000,0.4,14.0,1.5
12/03/2022 00:00:00.000000,0.3,13.0,1.1
12/03/2022 01:00:00.000000,0.3,18.0,1.9
12/03/2022 02:00:00.000000,0.4,20.0,2.5
12/03/2022 03:00:00.000000,0.2,18.0,2.1
12/03/2022 04:00:00.000000,0.2,,1.8
12/03/2022 05:00:00.000000,0.2,7.0,2.1
12/03/2022 06:00:00.000000,0.3,13.0,2.1
12/03/2022 07:00:00.000000,0.2,12.0,2.0
