InstrumentName, Steele & I70
StartTime, 2021-05-01 00:00:00
EndTime, 2021-05-31 00:00:00
Date,ICCID,IH,IT,P,PM10,PM1_0,PM2_5,Time,WD,WS
05/21/2021 15:30:00,,23.48,74.38,835.68,,,,,-1.0,-1.0
05/21/2021 15:33:00,,22.6,74.33,835.67,,,,,-1.0,-1.0
05/21/2021 15:34:00,,22.71,74.39,835.68,,,,,-1.0,-1.0
05/21/2021 15:36:00,,23.02,74.46,835.73,,,,,-1.0,-1.0
05/21/2021 15:37:28,,23.26,74.42,835.7,,,,,-1.0,-1.0
05/21/2021 15:38:00,,22.91,74.33,835.69,,,,,-1.0,-1.0
05/21/2021 15:39:00,,22.94,74.33,835.7,,,,,-1.0,-1.0
05/21/2021 15:40:00,,23.19,74.37,835.7,,,,,-1.0,-1.0
05/21/2021 15:41:00,,23.45,74.39,835.68,,,,,-1.0,-1.0
05/21/2021 15:42:00,,23.61,74.37,835.67,,,,,-1.0,-1.0
05/21/2021 15:43:00,,23.6,74.38,835.62,,,,,-1.0,-1.0
05/21/2021 15:44:00,,22.81,74.29,835.56,,,,,-1.0,-1.0
05/21/2021 15:45:00,,22.46,74.02,835.57,,,,,-1.0,-1.0
05/21/2021 15:46:00,,21.76,73.55,835.52,,,,,-1.0,-1.0
05/21/2021 15:47:00,,21.92,73.08,835.54,,,,,-1.0,-1.0
05/21/2021 15:48:00,,22.31,72.65,835.58,,,,,-1.0,-1.0
05/21/2021 15:49:00,,22.63,72.29,835.58,,,,,-1.0,-1.0
05/21/2021 15:50:00,,23.11,71.95,835.52,,,,,-1.0,-1.0
05/21/2021 15:51:00,,24.3,71.52,835.09,,,,,-1.0,-1.0
05/21/2021 15:52:00,,24.79,71.14,834.92,,,,,-1.0,-1.0
05/21/2021 15:53:00,,24.92,70.88,834.37,,,,,-1.0,-1.0
05/21/2021 15:54:00,,25.32,70.67,835.22,,,,,-1.0,-1.0
05/21/2021 15:55:00,,25.49,70.39,835.9,,,,,-1.0,-1.0
05/21/2021 15:56:00,,25.75,70.14,836.46,,,,,-1.0,-1.0
05/21/2021 15:57:00,,25.94,69.9,836.51,,,,,-1.0,-1.0
05/21/2021 15:58:00,,26.13,69.6,836.46,,,,,-1.0,-1.0
05/21/2021 15:59:00,,26.1,69.26,836.43,,,,,-1.0,-1.0
05/21/2021 16:00:00,,25.91,68.9,836.46,,,,,-1.0,-1.0
05/21/2021 16:01:00,,25.96,68.39,836.45,,,,,-1.0,-1.0
05/21/2021 16:02:00,,26.46,67.97,836.44,,,,,-1.0,-1.0
05/21/2021 16:03:00,,26.57,67.65,836.42,,,,,-1.0,-1.0
05/21/2021 16:04:00,,26.56,67.31,836.45,,,,,-1.0,-1.0
05/21/2021 16:05:00,,26.46,67.19,836.43,,,,,-1.0,-1.0
05/21/2021 16:19:00,,24.86,68.83,836.35,,,,,-1.0,-1.0
