InstrumentName, Chatfield Park,
StartTime, 2020-05-01 00:00:00,
EndTime, 2020-05-31 23:59:59,
Date,O3,PM2.5
05/01/2020 00:00:00.000000,50.0,2.8
05/01/2020 01:00:00.000000,47.0,3.1
05/01/2020 02:00:00.000000,40.0,3.4
05/01/2020 03:00:00.000000,39.0,3.4
05/01/2020 04:00:00.000000,32.0,3.4
05/01/2020 05:00:00.000000,36.0,3.2
05/01/2020 06:00:00.000000,41.0,3.4
05/01/2020 07:00:00.000000,39.0,7.0
05/01/2020 08:00:00.000000,36.0,6.9
05/01/2020 09:00:00.000000,32.0,4.6
05/01/2020 10:00:00.000000,31.0,4.4
05/01/2020 11:00:00.000000,28.0,4.3
05/01/2020 12:00:00.000000,30.0,4.4
05/01/2020 13:00:00.000000,31.0,4.7
05/01/2020 14:00:00.000000,42.0,4.2
05/01/2020 15:00:00.000000,45.0,3.9
05/01/2020 16:00:00.000000,50.0,4.2
05/01/2020 17:00:00.000000,52.0,4.4
05/01/2020 18:00:00.000000,56.0,4.3
05/01/2020 19:00:00.000000,58.0,4.1
05/01/2020 20:00:00.000000,54.0,4.0
05/01/2020 21:00:00.000000,54.0,4.5
05/01/2020 22:00:00.000000,56.0,3.8
05/01/2020 23:00:00.000000,58.0,3.8
05/02/2020 00:00:00.000000,57.0,3.9
05/02/2020 01:00:00.000000,60.0,4.8
05/02/2020 02:00:00.000000,54.0,5.6
05/02/2020 03:00:00.000000,51.0,5.8
05/02/2020 04:00:00.000000,49.0,4.7
05/02/2020 05:00:00.000000,43.0,3.7
05/02/2020 06:00:00.000000,44.0,3.6
05/02/2020 07:00:00.000000,40.0,3.7
05/02/2020 08:00:00.000000,38.0,3.9
05/02/2020 09:00:00.000000,35.0,4.0
05/02/2020 10:00:00.000000,33.0,4.1
05/02/2020 11:00:00.000000,32.0,3.6
05/02/2020 12:00:00.000000,30.0,4.1
05/02/2020 13:00:00.000000,29.0,6.3
05/02/2020 14:00:00.000000,27.0,7.8
05/02/2020 15:00:00.000000,28.0,7.9
05/02/2020 16:00:00.000000,30.0,7.9
05/02/2020 17:00:00.000000,35.0,7.0
05/02/2020 18:00:00.000000,38.0,6.6
05/02/2020 19:00:00.000000,41.0,7.1
05/02/2020 20:00:00.000000,42.0,6.6
05/02/2020 21:00:00.000000,45.0,7.3
05/02/2020 22:00:00.000000,46.0,7.2
05/02/2020 23:00:00.000000,43.0,8.3
05/03/2020 00:00:00.000000,42.0,7.2
05/03/2020 01:00:00.000000,39.0,7.2
05/03/2020 02:00:00.000000,37.0,8.1
05/03/2020 03:00:00.000000,35.0,9.3
05/03/2020 04:00:00.000000,33.0,7.9
05/03/2020 05:00:00.000000,28.0,9.6
05/03/2020 06:00:00.000000,22.0,10.3
05/03/2020 07:00:00.000000,22.0,9.0
05/03/2020 08:00:00.000000,22.0,8.7
05/03/2020 09:00:00.000000,22.0,8.1
05/03/2020 10:00:00.000000,22.0,6.1
05/03/2020 11:00:00.000000,18.0,6.2
05/03/2020 12:00:00.000000,18.0,6.1
05/03/2020 13:00:00.000000,19.0,7.1
05/03/2020 14:00:00.000000,27.0,6.5
05/03/2020 15:00:00.000000,35.0,6.1
05/03/2020 16:00:00.000000,41.0,5.8
05/03/2020 17:00:00.000000,46.0,5.5
05/03/2020 23:00:00.000000,58.0,6.1
05/04/2020 00:00:00.000000,59.0,6.2
05/04/2020 01:00:00.000000,61.0,7.9
05/04/2020 02:00:00.000000,55.0,7.8
05/04/2020 15:00:00.000000,,4.1
05/04/2020 17:00:00.000000,52.0,4.7
05/04/2020 18:00:00.000000,53.0,4.5
05/04/2020 19:00:00.000000,55.0,3.6
05/04/2020 20:00:00.000000,55.0,3.1
05/04/2020 21:00:00.000000,57.0,3.2
05/04/2020 22:00:00.000000,58.0,3.6
05/04/2020 23:00:00.000000,58.0,3.1
05/05/2020 00:00:00.000000,63.0,3.1
05/05/2020 01:00:00.000000,62.0,3.1
05/05/2020 02:00:00.000000,61.0,2.9
05/05/2020 03:00:00.000000,59.0,2.9
05/05/2020 04:00:00.000000,52.0,3.2
05/05/2020 05:00:00.000000,43.0,3.1
05/05/2020 06:00:00.000000,39.0,3.0
05/05/2020 07:00:00.000000,31.0,3.3
05/05/2020 08:00:00.000000,30.0,3.3
05/05/2020 09:00:00.000000,36.0,3.4
05/05/2020 10:00:00.000000,34.0,3.4
05/05/2020 11:00:00.000000,33.0,3.4
05/05/2020 12:00:00.000000,31.0,4.1
05/05/2020 13:00:00.000000,29.0,5.7
05/05/2020 14:00:00.000000,32.0,5.3
