InstrumentName, I25 Denver,,,,,
StartTime, 2020-05-01 00:00:00,,,,,
EndTime, 2020-05-31 23:59:59,,,,,
Date,Carbon monoxide,Nitrogen dioxide,PM2.5 - Local Conditions,Relative Humidity,Wind Direction,Wind Speed
05/01/2020 00:00:00.000000,0.209351,4.868797,1.35,,,
05/01/2020 00:01:00.000000,0.200815,5.19312,1.533333,,,
05/01/2020 00:02:00.000000,0.21129,5.421327,1.841667,,,
05/01/2020 00:03:00.000000,0.226153,5.729418,2.266667,,,
05/01/2020 00:04:00.000000,0.247112,6.648401,2.008333,,,
05/01/2020 00:05:00.000000,0.259588,8.457747,2.383333,,,
05/01/2020 00:06:00.000000,0.256334,9.862331,2.541667,,,
05/01/2020 00:07:00.000000,0.224762,11.351498,2.266667,,,
05/01/2020 00:08:00.000000,0.227366,11.739248,1.758333,,,
05/01/2020 00:09:00.000000,0.223696,12.902182,,,,
05/01/2020 00:10:00.000000,0.225437,15.907326,4.0,,,
05/01/2020 00:11:00.000000,0.225933,17.285627,2.475,,,
05/01/2020 00:12:00.000000,0.230537,17.935531,2.258333,,,
05/01/2020 00:13:00.000000,0.235413,17.967332,3.325,,,
05/01/2020 00:14:00.000000,0.227179,17.980214,4.066667,,,
05/01/2020 00:15:00.000000,0.247705,18.407266,2.858333,,,
05/01/2020 00:16:00.000000,0.243369,16.879221,2.341667,,,
05/01/2020 00:17:00.000000,0.218483,13.43221,1.658333,,,
05/01/2020 00:18:00.000000,0.206909,10.679778,1.433333,,,
05/01/2020 00:19:00.000000,0.216772,8.745391,1.325,,,
05/01/2020 00:20:00.000000,0.229834,7.313648,1.458333,,,
05/01/2020 00:21:00.000000,0.207565,5.954946,1.4,,,
05/01/2020 00:22:00.000000,0.212955,4.837118,1.608333,,,
05/01/2020 00:23:00.000000,0.207161,4.635791,1.775,,,
05/01/2020 00:24:00.000000,0.205568,4.806946,1.433333,,,
05/01/2020 00:25:00.000000,0.206027,5.135835,1.283333,,,
05/01/2020 00:26:00.000000,0.203793,5.280226,1.691667,,,
05/01/2020 00:27:00.000000,0.199834,5.789182,2.016667,,,
05/01/2020 00:28:00.000000,0.20225,6.331285,1.9,,,
05/01/2020 00:29:00.000000,0.201374,6.804864,,,,
05/01/2020 00:30:00.000000,0.217174,7.163157,1.975,,,
05/01/2020 00:31:00.000000,0.220695,6.981102,1.841667,,,
05/01/2020 00:32:00.000000,0.204284,6.932907,1.9,,,
05/01/2020 00:33:00.000000,0.229815,7.527234,1.775,,,
05/01/2020 00:34:00.000000,0.26241,7.95242,1.725,,,
05/01/2020 00:35:00.000000,0.283656,8.703994,2.15,,,
05/01/2020 00:36:00.000000,0.277499,9.982979,2.25,,,
05/01/2020 00:37:00.000000,0.254965,10.835307,2.233333,,,
05/01/2020 00:38:00.000000,0.245124,11.67574,2.366667,,,
05/01/2020 00:39:00.000000,0.246692,11.87993,1.941667,,,
05/01/2020 00:40:00.000000,0.239442,11.190721,2.083333,,,
05/01/2020 00:41:00.000000,0.227303,10.608876,1.95,,,
05/01/2020 00:42:00.000000,0.22327,9.220928,1.6,,,
05/01/2020 00:43:00.000000,0.232567,8.111181,1.683333,,,
05/01/2020 00:44:00.000000,0.235209,7.310878,1.633333,,,
05/01/2020 00:45:00.000000,0.219223,6.520944,1.65,,,
05/01/2020 00:46:00.000000,0.205916,6.207295,2.0,,,
05/01/2020 00:47:00.000000,0.22271,6.156232,2.416667,,,
05/01/2020 00:48:00.000000,0.222113,6.133162,2.5,,,
05/01/2020 00:49:00.000000,0.22049,6.170658,,,,
05/01/2020 00:50:00.000000,0.20967,5.933483,1.625,,,
05/01/2020 00:51:00.000000,0.208847,6.03131,1.675,,,
05/01/2020 00:52:00.000000,0.209054,6.157264,1.666667,,,
05/01/2020 00:53:00.000000,0.210961,6.057634,1.9,,,
05/01/2020 00:54:00.000000,0.208624,6.007349,1.858333,,,
05/01/2020 00:55:00.000000,0.215554,5.799845,1.716667,,,
05/01/2020 00:56:00.000000,0.217464,5.71111,1.766667,,,
05/01/2020 00:57:00.000000,0.218149,5.724012,2.0,,,
05/01/2020 00:58:00.000000,0.219243,5.83525,1.875,,,
05/01/2020 00:59:00.000000,0.223246,5.993658,1.783333,,,
05/01/2020 01:00:00.000000,0.213216,6.060293,1.941667,,,
05/01/2020 01:01:00.000000,0.2079,6.009073,1.958333,,,
05/01/2020 01:02:00.000000,0.206882,5.874549,1.775,,,
05/01/2020 01:03:00.000000,0.206775,5.78794,1.475,,,
05/01/2020 01:04:00.000000,0.201651,5.425401,1.425,,,
