InstrumentName, La Casa,,,,
StartTime, 2020-05-01 00:00:00,,,,
EndTime, 2020-05-31 23:59:59,,,,
Date,CO,NO2,O3,PM10,SO2
05/01/2020 00:00:00.000000,0.1,6.0,48.0,17.0,0.0
05/01/2020 01:00:00.000000,0.2,13.0,40.0,27.7,0.0
05/01/2020 02:00:00.000000,0.1,3.0,46.0,17.6,0.0
05/01/2020 03:00:00.000000,0.1,3.0,46.0,12.2,0.0
05/01/2020 04:00:00.000000,0.1,,43.0,12.3,0.0
05/01/2020 05:00:00.000000,0.1,10.0,35.0,,0.0
05/01/2020 06:00:00.000000,0.2,19.0,25.0,83.8,0.0
05/01/2020 07:00:00.000000,0.1,7.0,32.0,56.9,
05/01/2020 08:00:00.000000,0.2,14.0,23.0,50.5,0.0
05/01/2020 09:00:00.000000,0.1,7.0,33.0,29.1,0.0
05/01/2020 10:00:00.000000,0.1,6.0,31.0,34.2,0.0
05/01/2020 11:00:00.000000,0.1,6.0,30.0,30.3,0.0
05/01/2020 12:00:00.000000,0.2,10.0,26.0,22.6,0.0
05/01/2020 13:00:00.000000,0.2,21.0,17.0,36.3,0.0
05/01/2020 14:00:00.000000,0.2,12.0,29.0,30.5,0.0
05/01/2020 15:00:00.000000,0.2,18.0,28.0,41.3,0.0
05/01/2020 16:00:00.000000,0.2,20.0,31.0,59.6,1.0
05/01/2020 17:00:00.000000,0.2,9.0,45.0,39.2,0.0
05/01/2020 18:00:00.000000,0.2,7.0,51.0,36.1,
05/01/2020 19:00:00.000000,0.2,5.0,55.0,30.9,0.0
05/01/2020 20:00:00.000000,0.2,,,25.5,0.0
05/01/2020 21:00:00.000000,0.2,,,24.5,0.0
05/01/2020 22:00:00.000000,0.1,4.0,52.0,22.4,0.0
05/01/2020 23:00:00.000000,0.1,4.0,54.0,21.0,0.0
05/02/2020 00:00:00.000000,0.1,6.0,51.0,27.6,0.0
05/02/2020 01:00:00.000000,0.2,7.0,48.0,52.6,0.0
05/02/2020 02:00:00.000000,0.1,8.0,43.0,102.6,0.0
05/02/2020 03:00:00.000000,0.1,3.0,45.0,44.2,0.0
05/02/2020 04:00:00.000000,0.1,,39.0,22.1,0.0
05/02/2020 05:00:00.000000,0.1,2.0,41.0,15.8,0.0
05/02/2020 06:00:00.000000,0.1,3.0,39.0,12.1,0.0
05/02/2020 07:00:00.000000,0.1,5.0,31.0,13.3,
05/02/2020 08:00:00.000000,0.1,3.0,31.0,10.0,0.0
05/02/2020 09:00:00.000000,0.1,6.0,28.0,10.5,0.0
05/02/2020 10:00:00.000000,0.1,4.0,29.0,11.2,0.0
05/02/2020 11:00:00.000000,0.1,6.0,27.0,15.0,0.0
05/02/2020 12:00:00.000000,0.1,4.0,27.0,18.2,0.0
05/02/2020 13:00:00.000000,0.1,3.0,28.0,18.2,0.0
05/02/2020 14:00:00.000000,0.1,3.0,27.0,18.5,0.0
05/02/2020 15:00:00.000000,0.1,3.0,28.0,20.5,0.0
05/02/2020 16:00:00.000000,0.1,2.0,30.0,21.0,0.0
05/02/2020 17:00:00.000000,0.1,2.0,33.0,19.4,0.0
05/02/2020 18:00:00.000000,0.1,2.0,37.0,20.4,0.0
05/02/2020 19:00:00.000000,0.1,2.0,36.0,24.8,0.0
05/02/2020 20:00:00.000000,0.1,2.0,39.0,27.3,0.0
05/02/2020 21:00:00.000000,0.1,3.0,41.0,26.4,0.0
05/02/2020 22:00:00.000000,0.1,4.0,37.0,26.5,0.0
05/02/2020 23:00:00.000000,0.1,4.0,34.0,23.6,0.0
05/03/2020 00:00:00.000000,0.1,3.0,35.0,25.8,0.0
05/03/2020 01:00:00.000000,0.1,7.0,32.0,19.0,0.0
05/03/2020 02:00:00.000000,0.1,4.0,33.0,15.5,0.0
05/03/2020 03:00:00.000000,0.1,4.0,31.0,19.6,0.0
05/03/2020 04:00:00.000000,0.1,,28.0,15.4,0.0
05/03/2020 05:00:00.000000,0.1,6.0,28.0,14.0,0.0
05/03/2020 06:00:00.000000,0.1,3.0,29.0,14.3,0.0
05/03/2020 07:00:00.000000,0.1,4.0,25.0,15.1,
05/03/2020 08:00:00.000000,0.1,7.0,18.0,17.8,0.0
05/03/2020 09:00:00.000000,0.1,4.0,20.0,16.1,0.0
05/03/2020 10:00:00.000000,0.1,2.0,23.0,16.8,0.0
05/03/2020 11:00:00.000000,0.1,2.0,24.0,15.9,0.0
05/03/2020 12:00:00.000000,0.1,3.0,22.0,15.0,0.0
05/03/2020 13:00:00.000000,0.1,6.0,20.0,14.9,0.0
