InstrumentName, Woods Park,,
StartTime, 2020-05-01 00:00:00,,
EndTime, 2020-05-31 23:59:59,,
Date,PM1.0,PM10.0,PM2.5
05/01/2020 00:00:29.000000,0.66,1.32,1.12
05/01/2020 00:02:29.000000,0.49,0.98,0.9
05/01/2020 00:04:29.000000,0.53,1.12,0.88
05/01/2020 00:06:29.000000,0.32,1.12,0.91
05/01/2020 00:08:31.000000,0.17,1.07,1.02
05/01/2020 00:10:29.000000,0.15,0.85,0.81
05/01/2020 00:12:29.000000,0.32,0.69,0.53
05/01/2020 00:14:29.000000,0.19,0.91,0.65
05/01/2020 00:16:29.000000,0.47,1.41,1.34
05/01/2020 00:18:29.000000,0.07,0.63,0.55
05/01/2020 00:20:29.000000,0.17,1.05,0.78
05/01/2020 00:22:29.000000,0.45,1.21,1.21
05/01/2020 00:24:29.000000,0.3,0.82,0.82
05/01/2020 00:26:29.000000,0.56,1.39,1.27
05/01/2020 00:28:29.000000,0.37,0.85,0.78
05/01/2020 00:30:29.000000,0.07,0.54,0.46
05/01/2020 00:32:30.000000,0.36,1.41,1.12
05/01/2020 00:34:30.000000,0.12,1.05,0.92
05/01/2020 00:36:29.000000,0.29,1.07,0.81
05/01/2020 00:38:29.000000,0.0,0.4,0.4
05/01/2020 00:40:29.000000,0.46,1.04,1.04
05/01/2020 00:42:29.000000,0.34,1.12,0.79
05/01/2020 00:44:29.000000,0.05,0.79,0.6
05/01/2020 00:46:29.000000,0.24,0.98,0.86
05/01/2020 00:48:29.000000,0.29,1.29,0.87
05/01/2020 00:50:29.000000,0.14,0.77,0.56
05/01/2020 00:52:29.000000,0.39,1.02,0.85
05/01/2020 00:54:29.000000,0.47,0.86,0.86
05/01/2020 00:56:29.000000,0.21,0.89,0.89
05/01/2020 00:58:29.000000,0.39,1.19,1.19
05/01/2020 01:00:29.000000,0.49,1.1,0.98
05/01/2020 01:02:29.000000,0.47,0.68,0.68
05/01/2020 01:04:29.000000,1.42,2.47,1.82
05/01/2020 01:06:29.000000,0.96,1.79,1.73
05/01/2020 01:08:29.000000,0.53,1.62,1.13
05/01/2020 01:10:29.000000,0.81,1.31,1.31
05/01/2020 01:12:29.000000,0.52,1.19,1.05
05/01/2020 01:14:29.000000,0.6,1.54,1.02
05/01/2020 01:16:29.000000,0.49,0.9,0.81
05/01/2020 01:18:29.000000,0.25,1.07,1.0
05/01/2020 01:20:29.000000,0.31,0.88,0.67
05/01/2020 01:22:29.000000,0.41,1.2,0.98
05/01/2020 01:24:29.000000,0.32,1.0,0.95
05/01/2020 01:26:29.000000,0.42,0.98,0.98
05/01/2020 01:28:29.000000,0.37,1.02,0.87
05/01/2020 01:30:29.000000,0.65,1.22,1.13
05/01/2020 01:32:30.000000,0.37,1.4,1.25
05/01/2020 01:34:29.000000,0.17,1.25,0.8
05/01/2020 01:36:29.000000,0.76,1.93,1.47
05/01/2020 01:38:29.000000,0.91,1.75,1.39
05/01/2020 01:40:29.000000,0.38,0.86,0.82
05/01/2020 01:42:29.000000,0.34,0.98,0.9
05/01/2020 01:44:29.000000,0.24,0.97,0.64
05/01/2020 01:46:29.000000,0.12,0.68,0.65
05/01/2020 01:48:29.000000,0.18,1.23,0.88
05/01/2020 01:50:29.000000,0.98,1.64,1.31
05/01/2020 01:52:29.000000,0.65,0.98,0.92
05/01/2020 01:54:29.000000,0.38,0.76,0.52
05/01/2020 01:56:29.000000,0.91,1.74,1.67
05/01/2020 01:58:29.000000,0.83,1.19,1.08
05/01/2020 02:00:29.000000,0.69,1.49,1.14
05/01/2020 02:04:29.000000,1.12,2.12,1.77
05/01/2020 02:06:29.000000,0.58,1.26,0.77
05/01/2020 02:08:29.000000,0.64,1.17,1.17
05/01/2020 02:10:29.000000,0.57,1.12,1.12
05/01/2020 02:12:29.000000,0.18,0.77,0.74
05/01/2020 02:14:29.000000,0.45,1.27,1.18
05/01/2020 02:16:29.000000,0.43,1.09,1.0
05/01/2020 02:18:30.000000,0.22,0.88,0.88
05/01/2020 02:20:29.000000,0.65,1.28,1.04
05/01/2020 02:22:29.000000,0.5,1.14,0.86
05/01/2020 02:24:29.000000,0.95,2.28,1.71
05/01/2020 02:26:29.000000,0.59,0.93,0.93
05/01/2020 02:28:29.000000,0.9,1.67,1.53
05/01/2020 02:30:29.000000,0.32,1.11,1.09
05/01/2020 02:32:30.000000,0.75,1.58,1.58
05/01/2020 02:34:29.000000,0.82,1.7,1.37
05/01/2020 02:36:29.000000,1.13,2.08,1.8
05/01/2020 02:38:29.000000,0.85,1.47,1.29
