InstrumentName, Rocky Flats - North
StartTime, 2020-05-01 00:00:00
EndTime, 2020-05-31 23:59:59
Date,O3
05/01/2020 00:00:00.000000,48.0
05/01/2020 01:00:00.000000,48.0
05/01/2020 02:00:00.000000,50.0
05/01/2020 03:00:00.000000,49.0
05/01/2020 04:00:00.000000,48.0
05/01/2020 05:00:00.000000,46.0
05/01/2020 06:00:00.000000,42.0
05/01/2020 07:00:00.000000,40.0
05/01/2020 08:00:00.000000,46.0
05/01/2020 09:00:00.000000,47.0
05/01/2020 10:00:00.000000,45.0
05/01/2020 11:00:00.000000,48.0
05/01/2020 12:00:00.000000,48.0
05/01/2020 13:00:00.000000,48.0
05/01/2020 14:00:00.000000,44.0
05/01/2020 15:00:00.000000,42.0
05/01/2020 16:00:00.000000,48.0
05/01/2020 17:00:00.000000,52.0
05/01/2020 18:00:00.000000,59.0
05/01/2020 19:00:00.000000,63.0
05/01/2020 20:00:00.000000,65.0
05/01/2020 21:00:00.000000,65.0
05/01/2020 22:00:00.000000,59.0
05/01/2020 23:00:00.000000,56.0
05/02/2020 00:00:00.000000,55.0
05/02/2020 01:00:00.000000,52.0
05/02/2020 02:00:00.000000,47.0
05/02/2020 03:00:00.000000,41.0
05/02/2020 04:00:00.000000,40.0
05/02/2020 05:00:00.000000,41.0
05/02/2020 06:00:00.000000,40.0
05/02/2020 07:00:00.000000,30.0
05/02/2020 08:00:00.000000,28.0
05/02/2020 09:00:00.000000,31.0
05/02/2020 10:00:00.000000,35.0
05/02/2020 11:00:00.000000,32.0
05/02/2020 12:00:00.000000,29.0
05/02/2020 13:00:00.000000,30.0
05/02/2020 14:00:00.000000,32.0
05/02/2020 15:00:00.000000,26.0
05/02/2020 16:00:00.000000,27.0
05/02/2020 17:00:00.000000,30.0
05/02/2020 18:00:00.000000,39.0
05/02/2020 19:00:00.000000,42.0
05/02/2020 20:00:00.000000,41.0
05/02/2020 21:00:00.000000,38.0
05/02/2020 22:00:00.000000,38.0
05/02/2020 23:00:00.000000,38.0
05/03/2020 00:00:00.000000,35.0
05/03/2020 01:00:00.000000,35.0
05/03/2020 02:00:00.000000,35.0
05/03/2020 03:00:00.000000,37.0
05/03/2020 04:00:00.000000,31.0
05/03/2020 05:00:00.000000,30.0
05/03/2020 06:00:00.000000,30.0
05/03/2020 07:00:00.000000,29.0
05/03/2020 08:00:00.000000,28.0
05/03/2020 09:00:00.000000,28.0
05/03/2020 10:00:00.000000,27.0
05/03/2020 11:00:00.000000,28.0
05/03/2020 12:00:00.000000,28.0
05/03/2020 13:00:00.000000,27.0
05/03/2020 14:00:00.000000,29.0
05/03/2020 15:00:00.000000,31.0
05/03/2020 16:00:00.000000,35.0
05/03/2020 17:00:00.000000,38.0
05/03/2020 23:00:00.000000,58.0
05/04/2020 00:00:00.000000,55.0
05/04/2020 01:00:00.000000,50.0
05/04/2020 02:00:00.000000,42.0
05/04/2020 17:00:00.000000,44.0
05/04/2020 18:00:00.000000,49.0
05/04/2020 19:00:00.000000,49.0
05/04/2020 20:00:00.000000,50.0
05/04/2020 21:00:00.000000,55.0
05/04/2020 22:00:00.000000,60.0
05/04/2020 23:00:00.000000,61.0
05/05/2020 00:00:00.000000,61.0
05/05/2020 01:00:00.000000,61.0
05/05/2020 02:00:00.000000,61.0
05/05/2020 03:00:00.000000,59.0
05/05/2020 04:00:00.000000,45.0
05/05/2020 05:00:00.000000,44.0
05/05/2020 06:00:00.000000,42.0
05/05/2020 07:00:00.000000,42.0
05/05/2020 08:00:00.000000,42.0
05/05/2020 09:00:00.000000,40.0
05/05/2020 10:00:00.000000,35.0
05/05/2020 11:00:00.000000,35.0
05/05/2020 12:00:00.000000,41.0
05/05/2020 13:00:00.000000,36.0
05/05/2020 14:00:00.000000,32.0
05/05/2020 15:00:00.000000,42.0
05/05/2020 16:00:00.000000,51.0
05/05/2020 17:00:00.000000,56.0
05/05/2020 18:00:00.000000,58.0
05/05/2020 19:00:00.000000,58.0
05/05/2020 20:00:00.000000,59.0
05/05/2020 21:00:00.000000,61.0
05/05/2020 22:00:00.000000,64.0
05/05/2020 23:00:00.000000,63.0
05/06/2020 00:00:00.000000,61.0
05/06/2020 01:00:00.000000,59.0
05/06/2020 02:00:00.000000,58.0
05/06/2020 03:00:00.000000,48.0
05/06/2020 04:00:00.000000,47.0
05/06/2020 05:00:00.000000,43.0
05/06/2020 06:00:00.000000,39.0
05/06/2020 07:00:00.000000,43.0
05/06/2020 08:00:00.000000,43.0
05/06/2020 10:00:00.000000,41.0
