InstrumentName, Woods Park
StartTime, 2021-09-01 00:00:00
EndTime, 2021-10-01 00:00:00
Date,PM1.0,PM10.0,PM2.5
09/01/2021 04:15:01,0.64,1.14,1.09
09/01/2021 04:17:01,0.82,1.87,1.5
09/01/2021 04:19:01,0.71,1.77,1.7
09/01/2021 04:21:01,0.67,1.28,0.84
09/01/2021 04:23:01,0.93,1.85,1.8
09/01/2021 04:25:01,0.86,1.9,1.53
09/01/2021 04:27:01,1.03,2.02,1.84
09/01/2021 04:31:01,1.0,1.58,1.3
09/01/2021 04:33:01,0.55,2.22,1.38
09/01/2021 04:37:01,0.82,1.38,1.29
09/01/2021 04:39:01,0.88,2.22,1.63
09/01/2021 04:41:01,1.03,1.83,1.63
09/01/2021 04:43:01,1.05,1.6,1.55
09/01/2021 04:45:01,0.66,1.7,1.43
09/01/2021 04:47:01,0.93,1.74,1.56
09/01/2021 04:49:01,1.17,2.37,2.0
09/01/2021 04:51:01,0.92,2.13,1.93
09/01/2021 04:53:01,1.23,2.12,1.89
09/01/2021 04:55:01,1.02,1.8,1.25
09/01/2021 04:57:01,1.12,2.17,2.14
09/01/2021 04:59:01,0.93,1.75,1.42
09/01/2021 05:01:01,1.0,1.96,1.89
09/01/2021 05:03:01,1.0,1.95,1.89
09/01/2021 05:07:01,0.53,1.22,1.22
09/01/2021 05:09:01,0.75,1.56,1.3
09/01/2021 05:11:01,1.02,1.96,1.78
09/01/2021 05:13:01,1.12,2.24,1.95
09/01/2021 05:15:02,0.92,1.97,1.58
09/01/2021 05:17:02,0.88,2.14,1.84
09/01/2021 05:19:02,0.83,1.34,1.34
09/01/2021 05:21:02,1.07,2.15,1.76
09/01/2021 05:23:02,1.05,2.14,1.91
09/01/2021 05:25:02,0.57,1.5,1.3
09/01/2021 05:27:02,1.27,2.2,2.2
09/01/2021 05:29:02,1.41,2.44,2.19
09/01/2021 05:31:02,0.61,1.68,1.32
09/01/2021 05:33:02,0.93,2.05,1.88
09/01/2021 05:35:02,1.0,1.98,1.76
09/01/2021 05:37:02,0.83,1.63,1.59
09/01/2021 05:39:02,1.28,2.29,2.21
09/01/2021 05:41:02,1.11,1.27,1.27
09/01/2021 05:43:02,1.07,2.31,2.26
09/01/2021 05:45:02,0.64,1.86,1.71
09/01/2021 05:47:02,0.44,0.86,0.86
09/01/2021 05:49:02,1.16,2.76,1.72
09/01/2021 05:51:02,0.79,1.46,1.45
09/01/2021 05:53:02,0.95,1.97,1.73
09/01/2021 05:55:02,1.08,2.22,2.05
09/01/2021 05:57:02,0.91,2.3,1.95
09/01/2021 05:59:02,0.93,2.57,2.0
09/01/2021 06:01:02,1.35,2.35,2.27
09/01/2021 06:03:02,0.92,1.98,1.85
09/01/2021 06:05:02,0.9,2.12,1.67
09/01/2021 06:07:02,1.04,3.05,2.74
09/01/2021 06:09:02,1.34,2.39,2.29
09/01/2021 06:11:02,1.25,2.36,1.97
09/01/2021 06:13:02,1.07,2.19,2.09
09/01/2021 06:15:02,1.19,2.37,2.07
09/01/2021 06:17:02,0.82,2.0,1.83
09/01/2021 06:19:02,1.56,2.61,2.58
09/01/2021 06:21:02,1.53,2.72,2.54
09/01/2021 06:23:02,1.27,2.42,2.42
09/01/2021 06:25:02,1.12,2.28,2.28
09/01/2021 06:27:02,1.42,2.4,2.04
09/01/2021 06:29:02,1.53,2.79,2.74
09/01/2021 06:31:02,0.78,2.36,2.02
09/01/2021 06:33:02,1.15,1.83,1.65
09/01/2021 06:35:02,1.19,2.16,2.16
09/01/2021 06:37:02,1.22,2.22,2.18
09/01/2021 06:39:02,1.38,2.28,2.12
09/01/2021 06:41:02,1.15,2.27,1.9
09/01/2021 06:43:02,0.84,1.93,1.41
09/01/2021 06:45:02,0.95,1.72,1.69
09/01/2021 06:47:02,1.43,2.67,2.57
09/01/2021 06:49:02,1.46,2.08,2.03
09/01/2021 06:51:02,1.24,2.2,2.17
09/01/2021 06:53:02,1.27,2.3,2.16
09/01/2021 06:55:02,1.21,2.26,2.04
09/01/2021 06:57:02,0.92,2.08,2.0
09/01/2021 06:59:02,1.26,2.53,2.19
09/01/2021 07:01:02,1.17,2.12,1.91
09/01/2021 07:03:02,1.05,2.02,1.98
09/01/2021 07:05:03,1.17,2.08,1.88
09/01/2021 07:07:02,1.51,2.92,2.46
09/01/2021 07:09:02,1.22,2.91,2.55
09/01/2021 07:11:02,0.95,1.68,1.68
09/01/2021 07:13:02,1.03,2.24,2.12
09/01/2021 07:15:03,1.2,2.03,1.83
09/01/2021 07:17:03,1.27,2.25,2.02
09/01/2021 07:19:03,1.19,3.17,2.66
09/01/2021 07:21:03,1.34,2.25,2.12
09/01/2021 07:23:03,0.69,2.1,1.74
09/01/2021 07:25:03,1.02,2.23,1.91
09/01/2021 07:27:03,1.07,1.93,1.93
09/01/2021 07:29:03,1.1,2.16,1.98
09/01/2021 07:31:03,1.23,2.81,2.44
09/01/2021 07:33:03,1.38,2.46,2.23
09/01/2021 07:35:03,0.93,2.31,2.17
09/01/2021 07:37:03,1.31,2.17,2.05
09/01/2021 07:39:03,1.43,2.6,2.28
09/01/2021 07:41:03,0.8,2.39,1.88
09/01/2021 07:43:03,1.05,2.07,1.91
09/01/2021 07:45:03,1.17,2.24,1.8
09/01/2021 07:47:03,0.93,1.95,1.83
09/01/2021 07:49:03,0.65,1.47,1.47
09/01/2021 07:51:03,1.16,2.35,1.98
09/01/2021 07:53:03,1.22,2.69,2.58
09/01/2021 07:55:03,0.92,1.86,1.68
09/01/2021 07:57:03,0.96,2.12,1.77
09/01/2021 07:59:03,1.36,2.29,2.27
09/01/2021 08:01:03,1.54,2.51,2.51
09/01/2021 08:03:03,1.07,2.38,2.07
09/01/2021 08:05:03,1.07,2.54,2.04
09/01/2021 08:07:03,0.75,1.53,1.53
09/01/2021 08:09:03,0.72,2.22,1.88
09/01/2021 08:11:03,1.47,2.37,2.37
09/01/2021 08:13:03,1.05,2.0,1.79
09/01/2021 08:15:03,0.98,2.23,1.84
09/01/2021 08:17:04,1.18,2.0,1.95
09/01/2021 08:19:04,0.81,2.12,1.79
09/01/2021 08:21:04,0.62,1.75,1.62
09/01/2021 08:23:04,1.03,1.92,1.81
09/01/2021 08:25:04,1.02,2.19,1.73
09/01/2021 08:27:04,1.0,1.84,1.84
09/01/2021 08:29:04,0.68,1.95,1.68
09/01/2021 08:31:04,1.24,2.43,2.1
09/01/2021 08:33:04,1.03,1.82,1.7
09/01/2021 09:05:04,1.38,2.47,2.23
09/01/2021 09:37:04,1.12,2.15,2.07
09/01/2021 10:09:04,0.54,1.73,1.54
09/01/2021 10:41:05,1.54,2.61,2.49
09/01/2021 11:13:05,1.78,3.19,2.78
09/01/2021 11:45:05,1.54,2.95,2.78
09/01/2021 12:17:06,1.69,2.59,2.58
09/01/2021 12:39:06,1.81,3.59,3.43
09/01/2021 13:03:06,1.98,3.96,3.65
09/01/2021 13:27:07,2.64,4.2,3.85
09/01/2021 13:45:07,2.31,4.86,4.32
09/01/2021 13:57:07,2.7,4.3,4.12
09/01/2021 14:09:07,2.59,4.26,3.93
09/01/2021 14:11:07,2.83,5.73,5.1
09/01/2021 14:13:07,2.79,4.66,4.47
09/01/2021 14:15:07,3.54,6.68,5.88
09/01/2021 14:17:07,3.27,5.97,5.27
09/01/2021 14:19:07,3.66,6.48,5.73
09/01/2021 14:21:07,4.32,6.54,6.29
09/01/2021 14:23:07,5.48,8.95,8.67
09/01/2021 14:25:07,6.68,10.86,10.12
09/01/2021 14:27:07,6.22,10.28,9.78
09/01/2021 14:29:07,5.16,9.21,8.45
09/01/2021 14:33:07,5.3,8.22,7.8
09/01/2021 14:37:07,5.89,9.25,8.98
09/01/2021 14:39:07,5.84,9.28,8.86
09/01/2021 14:41:07,5.88,9.24,8.81
09/01/2021 14:43:07,5.64,9.55,8.47
09/01/2021 14:45:07,5.19,8.44,7.75
09/01/2021 14:47:07,4.93,8.42,7.6
09/01/2021 14:49:07,5.88,8.39,8.25
09/01/2021 14:51:07,6.15,9.23,9.03
09/01/2021 14:53:07,5.84,8.98,8.07
09/01/2021 14:55:07,6.34,9.09,8.55
09/01/2021 14:57:07,5.54,8.8,8.25
09/01/2021 14:59:07,6.53,9.51,9.07
09/01/2021 15:01:07,6.3,10.26,9.46
09/01/2021 15:03:07,6.7,9.32,8.98
09/01/2021 15:05:07,7.2,9.88,9.75
09/01/2021 15:07:07,7.64,11.36,10.59
09/01/2021 15:09:07,8.18,12.32,11.68
09/01/2021 15:11:07,7.43,11.96,11.09
09/01/2021 15:13:07,6.85,10.71,10.2
09/01/2021 15:15:08,6.75,10.71,9.85
09/01/2021 15:17:08,7.29,10.12,9.46
09/01/2021 15:19:08,7.72,11.9,10.6
09/01/2021 15:21:08,7.71,11.71,10.76
09/01/2021 15:23:08,7.37,10.72,9.95
09/01/2021 15:25:08,7.41,10.89,10.7
09/01/2021 15:27:08,8.58,12.52,12.15
09/01/2021 15:29:08,8.49,13.37,12.32
09/01/2021 15:31:08,8.95,13.66,12.95
09/01/2021 15:33:08,8.7,12.96,12.16
09/01/2021 15:35:08,7.32,11.29,10.61
09/01/2021 15:37:08,8.27,11.85,11.51
09/01/2021 15:39:08,7.5,11.05,10.45
09/01/2021 15:41:08,8.12,12.5,11.7
09/01/2021 15:43:08,7.57,11.29,10.76
09/01/2021 15:45:08,8.85,13.08,12.43
09/01/2021 15:47:08,7.98,11.29,10.9
09/01/2021 15:49:08,7.9,11.05,10.41
09/01/2021 15:51:08,8.02,12.05,11.05
09/01/2021 15:53:08,8.69,13.66,13.03
09/01/2021 15:55:08,8.71,13.27,12.41
09/01/2021 15:57:08,8.32,11.65,11.14
09/01/2021 15:59:08,7.41,11.27,10.7
09/01/2021 16:01:08,8.2,12.18,11.3
09/01/2021 16:03:08,8.29,12.16,11.31
09/01/2021 16:05:08,7.72,10.69,10.33
09/01/2021 16:07:08,8.2,11.84,11.45
09/01/2021 16:09:08,8.02,11.78,11.0
09/01/2021 16:11:08,6.86,10.66,9.92
09/01/2021 16:13:08,6.79,10.9,10.12
09/01/2021 16:15:08,6.98,9.73,9.41
09/01/2021 16:17:08,6.97,10.52,9.81
09/01/2021 16:19:08,7.54,11.27,10.68
09/01/2021 16:21:08,7.44,11.54,11.02
09/01/2021 16:23:08,6.57,10.82,10.17
09/01/2021 16:25:08,6.46,9.34,8.93
09/01/2021 16:27:08,5.62,8.57,8.53
09/01/2021 16:29:08,6.3,9.04,8.46
09/01/2021 16:31:08,5.54,8.63,8.12
09/01/2021 16:33:08,5.61,8.56,8.17
09/01/2021 16:35:08,6.12,8.77,8.53
09/01/2021 16:37:08,6.04,8.86,8.68
09/01/2021 16:39:08,5.17,7.41,7.29
09/01/2021 16:41:08,5.42,7.95,7.58
09/01/2021 16:43:08,5.26,8.1,7.67
09/01/2021 16:45:08,5.26,8.4,7.82
09/01/2021 16:47:08,4.76,7.09,6.62
09/01/2021 16:49:08,5.49,8.81,8.08
09/01/2021 16:51:09,5.61,7.98,7.69
09/01/2021 16:53:08,4.72,7.18,6.79
09/01/2021 16:55:08,4.84,6.89,6.65
09/01/2021 16:57:08,4.2,6.42,6.05
09/01/2021 16:59:08,4.67,7.02,6.5
09/01/2021 17:01:08,4.19,6.33,6.03
09/01/2021 17:05:08,4.34,6.66,6.45
09/01/2021 17:07:08,4.49,6.92,6.56
09/01/2021 17:09:08,4.59,7.22,6.74
09/01/2021 17:11:08,3.98,5.75,5.44
09/01/2021 17:13:09,4.68,6.91,6.65
09/01/2021 17:15:09,4.46,6.37,6.2
09/01/2021 17:17:09,4.39,6.25,6.0
09/01/2021 17:19:09,3.54,5.83,5.39
09/01/2021 17:21:09,3.58,4.71,4.59
09/01/2021 17:23:09,3.72,5.96,5.67
09/01/2021 17:25:09,4.27,7.25,5.96
09/01/2021 17:27:09,3.68,5.64,5.39
09/01/2021 17:29:09,3.47,5.31,5.02
09/01/2021 17:33:09,3.7,6.12,5.38
09/01/2021 17:35:09,3.02,4.98,4.52
09/01/2021 17:37:09,3.49,5.49,5.36
09/01/2021 17:39:09,3.26,4.83,4.53
09/01/2021 17:41:09,3.54,6.19,5.68
09/01/2021 17:43:09,3.12,5.02,4.49
09/01/2021 17:45:09,3.53,5.64,5.2
09/01/2021 17:47:09,2.95,4.75,4.44
09/01/2021 17:49:09,2.79,4.14,4.11
09/01/2021 17:51:09,3.12,4.52,4.31
09/01/2021 17:53:09,3.03,4.98,4.69
09/01/2021 17:55:09,2.77,4.27,4.12
09/01/2021 17:57:09,2.95,4.86,4.37
09/01/2021 17:59:09,2.61,4.42,3.93
09/01/2021 18:01:09,2.67,4.02,4.02
09/01/2021 18:03:09,2.49,3.73,3.61
09/01/2021 18:05:09,2.07,3.52,3.12
09/01/2021 18:07:09,2.39,3.45,3.45
09/01/2021 18:09:09,2.55,4.17,3.66
09/01/2021 18:11:09,1.98,3.59,3.19
09/01/2021 18:13:09,2.12,4.53,3.76
09/01/2021 18:15:10,1.66,3.38,2.68
09/01/2021 18:17:10,2.24,3.92,3.34
09/01/2021 18:19:10,2.11,3.61,3.48
09/01/2021 18:21:10,2.52,3.84,3.66
09/01/2021 18:23:10,2.2,3.54,3.44
09/01/2021 18:25:10,2.28,3.3,3.3
09/01/2021 18:27:10,2.22,3.19,2.97
09/01/2021 18:29:10,2.39,3.79,3.79
09/01/2021 18:31:10,2.68,4.2,4.03
09/01/2021 18:33:10,2.8,4.15,3.93
09/01/2021 18:37:10,2.56,4.15,3.75
09/01/2021 18:39:10,2.4,3.86,3.62
09/01/2021 18:41:10,2.64,4.47,3.81
09/01/2021 18:43:10,2.72,4.07,4.0
09/01/2021 18:45:11,2.56,3.68,3.68
09/01/2021 18:47:10,2.7,4.21,4.09
09/01/2021 18:49:10,2.44,3.25,3.25
09/01/2021 18:51:10,2.15,3.47,3.1
09/01/2021 18:53:10,2.64,3.8,3.45
09/01/2021 18:55:10,2.91,4.16,4.07
09/01/2021 18:57:10,2.29,3.93,3.85
09/01/2021 18:59:10,2.37,3.85,3.78
09/01/2021 19:01:10,2.95,4.38,4.16
09/01/2021 19:03:10,2.95,4.39,4.14
09/01/2021 19:05:11,2.8,4.61,4.32
09/01/2021 19:07:10,3.02,4.6,4.32
09/01/2021 19:09:10,3.02,4.59,4.29
09/01/2021 19:11:10,2.93,4.55,4.41
09/01/2021 19:13:10,2.86,3.97,3.81
09/01/2021 19:15:10,3.08,4.39,4.14
09/01/2021 19:17:10,3.23,5.07,4.57
09/01/2021 19:19:10,3.1,4.75,4.58
09/01/2021 19:21:10,3.48,5.33,4.67
09/01/2021 19:23:10,2.68,4.05,3.72
09/01/2021 19:25:10,2.75,4.25,3.93
09/01/2021 19:27:10,3.61,4.93,4.92
09/01/2021 19:29:11,3.17,4.66,4.66
09/01/2021 19:33:10,3.79,4.82,4.59
09/01/2021 19:37:10,3.08,4.69,4.56
09/01/2021 19:39:10,2.91,4.72,4.41
09/01/2021 19:41:10,3.4,4.42,4.42
09/01/2021 19:43:10,3.36,4.93,4.67
09/01/2021 19:45:10,2.98,4.24,4.24
09/01/2021 19:47:10,3.31,4.56,4.53
09/01/2021 19:49:10,3.0,5.05,4.73
09/01/2021 19:51:10,3.24,4.83,4.64
09/01/2021 19:53:10,3.69,5.76,5.27
09/01/2021 19:55:10,4.66,6.17,5.86
09/01/2021 19:57:10,5.26,7.21,6.67
09/01/2021 19:59:10,5.04,6.46,6.44
09/01/2021 20:01:10,4.5,6.37,6.25
