InstrumentName, The GrowHaus,,
StartTime, 2018-01-01 00:00:00,,
EndTime, 2018-01-31 23:59:59,,
Date,PM2.5,humidity,temp_f
01/01/2018 01:15:36.073333,19.54,36.0,41.333333333333336
01/01/2018 04:47:46.570000,20.9,38.0,38.666666666666664
01/01/2018 04:49:06.270000,21.05,38.0,38.666666666666664
01/01/2018 04:50:26.323333,20.12,37.0,40.0
01/01/2018 04:53:06.266666,20.67,37.0,38.666666666666664
01/01/2018 04:54:26.513333,21.52,37.0,38.666666666666664
01/01/2018 04:57:06.343333,20.67,37.0,38.666666666666664
01/01/2018 04:58:26.466666,20.74,37.0,38.666666666666664
01/01/2018 05:01:06.340000,20.52,37.0,38.666666666666664
01/01/2018 05:02:27.226666,23.6,37.0,38.666666666666664
01/01/2018 05:05:06.896666,20.76,37.0,37.333333333333336
01/01/2018 05:06:26.756666,22.39,38.0,37.333333333333336
01/01/2018 05:09:06.240000,19.63,38.0,38.666666666666664
01/01/2018 05:11:46.526666,20.79,38.0,38.666666666666664
01/01/2018 05:13:21.380000,20.34,38.0,37.333333333333336
01/01/2018 05:15:46.476666,19.95,38.0,38.666666666666664
01/01/2018 05:17:06.316666,19.75,38.0,38.666666666666664
01/01/2018 05:19:46.330000,22.2,38.0,38.666666666666664
01/01/2018 07:54:26.636666,22.76,40.0,36.0
01/01/2018 07:55:46.460000,24.48,40.0,37.333333333333336
01/01/2018 07:57:06.623333,25.1,40.0,37.333333333333336
01/01/2018 07:59:46.396666,25.2,41.0,37.333333333333336
01/01/2018 08:01:06.476666,26.68,41.0,37.333333333333336
01/01/2018 08:03:46.720000,27.23,41.0,37.333333333333336
01/01/2018 08:05:06.406666,30.85,41.0,37.333333333333336
01/01/2018 08:07:46.400000,27.83,41.0,38.666666666666664
01/01/2018 08:09:06.853333,26.88,41.0,38.666666666666664
01/01/2018 08:11:46.416666,26.64,40.0,38.666666666666664
01/01/2018 08:13:06.483333,25.69,40.0,38.666666666666664
01/01/2018 08:15:46.646666,26.93,40.0,37.333333333333336
01/01/2018 08:17:06.420000,25.51,40.0,37.333333333333336
01/01/2018 08:19:46.446666,25.55,40.0,37.333333333333336
01/01/2018 08:21:06.453333,27.13,40.0,37.333333333333336
01/01/2018 08:23:46.473333,27.12,40.0,37.333333333333336
01/01/2018 08:25:06.463333,27.1,40.0,37.333333333333336
01/01/2018 08:27:46.423333,26.05,41.0,37.333333333333336
01/01/2018 08:29:06.510000,27.81,40.0,37.333333333333336
01/01/2018 08:31:46.520000,28.62,41.0,37.333333333333336
01/01/2018 08:33:06.440000,27.83,40.0,37.333333333333336
01/01/2018 08:35:46.796666,26.55,40.0,38.666666666666664
01/01/2018 08:37:06.426666,27.55,40.0,38.666666666666664
01/01/2018 08:39:46.436666,27.46,40.0,38.666666666666664
01/01/2018 08:41:09.803333,26.32,40.0,38.666666666666664
01/01/2018 08:43:46.466666,25.88,40.0,38.666666666666664
01/01/2018 08:45:07.383333,25.95,40.0,38.666666666666664
01/01/2018 08:47:46.456666,30.02,40.0,38.666666666666664
01/01/2018 08:49:06.456666,29.19,40.0,38.666666666666664
01/01/2018 08:51:46.416666,27.9,40.0,38.666666666666664
01/01/2018 08:53:06.420000,30.12,40.0,38.666666666666664
01/01/2018 08:55:46.436666,31.83,41.0,37.333333333333336
01/01/2018 08:57:06.853333,30.25,41.0,38.666666666666664
01/01/2018 08:59:46.903333,32.88,41.0,38.666666666666664
01/01/2018 09:01:07.526666,34.03,41.0,38.666666666666664
01/01/2018 09:02:26.450000,32.06,40.0,37.333333333333336
01/01/2018 09:05:06.566666,35.11,42.0,37.333333333333336
01/01/2018 09:07:46.446666,32.0,42.0,38.666666666666664
01/01/2018 09:09:06.483333,33.17,41.0,38.666666666666664
01/01/2018 09:11:46.463333,33.24,42.0,38.666666666666664
01/01/2018 09:13:06.453333,36.08,42.0,38.666666666666664
01/01/2018 09:15:46.653333,35.23,41.0,38.666666666666664
01/01/2018 09:17:06.686666,36.86,41.0,38.666666666666664
01/01/2018 09:19:46.513333,33.29,41.0,38.666666666666664
01/01/2018 09:21:06.476666,36.26,41.0,38.666666666666664
01/01/2018 09:23:46.516666,33.66,41.0,38.666666666666664
01/01/2018 09:25:07.013333,33.17,41.0,38.666666666666664
01/01/2018 09:27:46.516666,35.76,41.0,38.666666666666664
01/01/2018 09:29:06.476666,36.62,41.0,38.666666666666664
01/01/2018 09:31:46.696666,38.36,41.0,38.666666666666664
01/01/2018 09:33:06.476666,40.51,41.0,38.666666666666664
01/01/2018 09:35:46.493333,37.07,41.0,38.666666666666664
01/01/2018 09:37:06.836666,39.83,42.0,38.666666666666664
01/01/2018 09:39:46.590000,39.21,41.0,38.666666666666664
01/01/2018 09:41:06.660000,37.93,41.0,38.666666666666664
01/01/2018 09:43:46.690000,40.59,41.0,38.666666666666664
01/01/2018 09:45:06.733333,42.2,42.0,38.666666666666664
01/01/2018 09:47:46.466666,38.43,41.0,38.666666666666664
01/01/2018 09:49:06.796666,38.67,41.0,40.0
01/01/2018 09:51:46.506666,38.03,41.0,40.0
01/01/2018 09:53:06.556666,40.8,41.0,40.0
01/01/2018 09:55:46.576666,35.4,40.0,40.0
01/01/2018 09:57:06.696666,39.71,40.0,40.0
01/01/2018 09:59:46.496666,37.5,40.0,40.0
01/01/2018 10:01:06.896666,39.81,40.0,40.0
01/01/2018 10:03:46.560000,41.39,40.0,40.0
01/01/2018 10:05:08.553333,41.39,40.0,40.0
01/01/2018 10:07:46.616666,39.85,40.0,40.0
01/01/2018 10:09:06.493333,42.0,40.0,40.0
01/01/2018 10:11:47.900000,44.05,40.0,40.0
01/01/2018 10:13:06.580000,43.67,40.0,40.0
01/01/2018 10:15:46.713333,42.18,40.0,40.0
01/01/2018 10:17:09.950000,40.14,40.0,40.0
01/01/2018 10:19:46.796666,43.1,40.0,40.0
01/01/2018 10:21:06.513333,43.89,40.0,40.0
01/01/2018 10:23:46.636666,36.8,40.0,40.0
01/01/2018 10:25:06.793333,44.49,40.0,40.0
01/01/2018 10:27:46.633333,42.16,40.0,40.0
01/01/2018 10:29:06.750000,39.8,40.0,40.0
01/01/2018 10:31:46.866666,40.7,40.0,40.0
01/01/2018 10:33:06.583333,39.1,40.0,40.0
01/01/2018 10:35:46.560000,40.81,40.0,38.666666666666664
01/01/2018 10:37:06.526666,38.33,40.0,38.666666666666664
01/01/2018 10:39:46.596666,39.24,40.0,38.666666666666664
01/01/2018 10:41:09.596666,37.4,40.0,38.666666666666664
01/01/2018 10:43:46.626666,36.51,40.0,38.666666666666664
01/01/2018 10:45:06.653333,40.17,40.0,38.666666666666664
01/01/2018 10:47:46.653333,39.95,40.0,38.666666666666664
01/01/2018 10:49:06.863333,40.59,40.0,38.666666666666664
01/01/2018 10:51:46.763333,38.12,40.0,38.666666666666664
01/01/2018 10:53:06.526666,40.17,40.0,38.666666666666664
01/01/2018 10:55:46.576666,38.79,40.0,38.666666666666664
01/01/2018 10:57:06.643333,41.47,40.0,38.666666666666664
01/01/2018 10:59:46.553333,41.88,41.0,38.666666666666664
01/01/2018 11:01:06.566666,39.37,41.0,38.666666666666664
01/01/2018 11:03:46.613333,41.56,40.0,38.666666666666664
01/01/2018 11:05:06.686666,38.35,40.0,38.666666666666664
01/01/2018 11:07:46.813333,43.72,41.0,37.333333333333336
01/01/2018 11:09:06.573333,40.44,41.0,38.666666666666664
01/01/2018 11:11:46.656666,39.6,41.0,38.666666666666664
01/01/2018 11:13:06.546666,40.38,41.0,38.666666666666664
01/01/2018 11:15:46.860000,40.21,41.0,38.666666666666664
01/01/2018 11:17:06.556666,39.07,41.0,37.333333333333336
01/01/2018 11:19:46.586666,41.67,41.0,38.666666666666664
01/01/2018 11:21:06.560000,42.22,41.0,38.666666666666664
01/01/2018 11:23:46.636666,42.0,41.0,37.333333333333336
01/01/2018 11:25:06.556666,45.29,41.0,37.333333333333336
01/01/2018 11:27:46.686666,44.53,41.0,37.333333333333336
01/01/2018 11:29:06.696666,43.31,41.0,38.666666666666664
01/01/2018 11:31:46.656666,44.15,41.0,38.666666666666664
01/01/2018 11:33:06.586666,44.69,41.0,38.666666666666664
01/01/2018 11:35:46.636666,45.37,41.0,38.666666666666664
01/01/2018 11:37:06.740000,47.15,41.0,38.666666666666664
01/01/2018 11:39:46.610000,45.88,41.0,37.333333333333336
01/01/2018 11:41:06.716666,46.5,41.0,37.333333333333336
01/01/2018 11:43:46.690000,44.88,42.0,37.333333333333336
01/01/2018 11:45:06.573333,45.2,42.0,37.333333333333336
01/01/2018 11:47:47.246666,42.72,42.0,38.666666666666664
01/01/2018 11:49:06.640000,43.66,42.0,38.666666666666664
01/01/2018 11:51:46.906666,46.59,42.0,37.333333333333336
01/01/2018 11:53:06.603333,45.23,42.0,37.333333333333336
01/01/2018 11:55:46.613333,42.17,42.0,37.333333333333336
01/01/2018 11:57:06.710000,43.32,42.0,37.333333333333336
01/01/2018 11:59:46.700000,42.79,42.0,38.666666666666664
01/01/2018 12:01:06.606666,43.51,43.0,38.666666666666664
01/01/2018 12:03:47.340000,42.29,42.0,37.333333333333336
01/01/2018 12:05:06.760000,41.1,42.0,37.333333333333336
01/01/2018 12:07:46.623333,46.11,43.0,37.333333333333336
01/01/2018 12:09:06.783333,47.9,43.0,36.0
01/01/2018 12:11:46.633333,43.24,43.0,36.0
01/01/2018 12:13:06.646666,45.55,43.0,37.333333333333336
01/01/2018 12:15:46.766666,43.25,43.0,37.333333333333336
01/01/2018 12:17:07.596666,41.26,43.0,37.333333333333336
01/01/2018 12:18:26.746666,42.45,43.0,37.333333333333336
01/01/2018 12:21:06.636666,44.83,43.0,37.333333333333336
01/01/2018 12:23:46.710000,41.0,43.0,38.666666666666664
01/01/2018 12:25:06.896666,40.88,42.0,38.666666666666664
01/01/2018 12:27:46.690000,42.44,42.0,37.333333333333336
01/01/2018 12:29:06.660000,46.61,42.0,37.333333333333336
01/01/2018 12:31:46.766666,44.62,42.0,38.666666666666664
01/01/2018 12:33:06.773333,43.71,42.0,38.666666666666664
01/01/2018 12:35:46.773333,41.88,42.0,38.666666666666664
01/01/2018 12:37:06.653333,41.88,42.0,37.333333333333336
01/01/2018 12:39:46.666666,37.95,43.0,37.333333333333336
01/01/2018 12:41:06.916666,38.78,42.0,37.333333333333336
01/01/2018 12:43:46.896666,40.22,43.0,36.0
01/01/2018 12:45:06.656666,43.73,43.0,37.333333333333336
01/01/2018 12:47:46.660000,42.59,43.0,37.333333333333336
01/01/2018 12:49:06.690000,43.36,43.0,37.333333333333336
01/01/2018 12:51:46.646666,43.76,43.0,37.333333333333336
01/01/2018 12:53:06.670000,43.48,43.0,37.333333333333336
01/01/2018 12:55:46.666666,41.25,43.0,37.333333333333336
01/01/2018 12:57:06.656666,43.5,43.0,37.333333333333336
01/01/2018 12:59:46.830000,42.9,43.0,37.333333333333336
01/01/2018 13:01:06.660000,42.9,44.0,37.333333333333336
01/01/2018 13:03:46.973333,42.59,43.0,37.333333333333336
01/01/2018 13:05:06.680000,42.75,43.0,37.333333333333336
01/01/2018 13:07:46.680000,44.4,43.0,37.333333333333336
