InstrumentName, Thornton,,
StartTime, 2018-01-01 00:00:00,,
EndTime, 2018-01-31 23:59:59,,
Date,PM2.5,humidity,temp_f
01/01/2018 01:15:54.426666,26.17,49.0,25.0
01/01/2018 04:47:54.036666,24.71,48.0,24.0
01/01/2018 04:49:14.823333,25.63,48.0,24.0
01/01/2018 04:50:34.246666,25.06,47.0,24.0
01/01/2018 04:53:14.640000,24.84,48.0,24.0
01/01/2018 04:54:34.746666,24.27,47.0,23.0
01/01/2018 04:57:14.943333,26.5,48.0,24.0
01/01/2018 04:58:35.630000,25.09,47.0,24.0
01/01/2018 05:01:14.526666,25.05,47.0,24.0
01/01/2018 05:02:34.956666,25.22,48.0,24.0
01/01/2018 05:05:14.566666,25.42,47.0,24.0
01/01/2018 05:06:35.616666,27.29,46.0,23.0
01/01/2018 05:09:14.596666,27.3,48.0,24.0
01/01/2018 05:10:35.513333,24.91,47.0,24.0
01/01/2018 05:13:14.913333,28.63,48.0,24.0
01/01/2018 05:14:34.590000,28.05,47.0,24.0
01/01/2018 05:17:15.606666,28.94,47.0,24.0
01/01/2018 05:18:34.593333,28.65,47.0,23.0
01/01/2018 07:54:34.776666,25.73,46.0,24.0
01/01/2018 07:57:14.700000,25.83,46.0,24.0
01/01/2018 07:58:34.616666,25.5,46.0,24.0
01/01/2018 08:01:14.533333,26.37,46.0,24.0
01/01/2018 08:02:34.956666,26.39,46.0,24.0
01/01/2018 08:05:14.723333,25.14,46.0,24.0
01/01/2018 08:06:34.893333,25.17,46.0,24.0
01/01/2018 08:09:14.563333,25.41,46.0,24.0
01/01/2018 08:10:34.603333,24.69,46.0,24.0
01/01/2018 08:13:14.616666,26.5,45.0,23.0
01/01/2018 08:14:34.386666,26.0,46.0,24.0
01/01/2018 08:17:14.690000,27.03,46.0,23.0
01/01/2018 08:18:34.790000,27.56,45.0,23.0
01/01/2018 08:21:14.536666,26.29,47.0,23.0
01/01/2018 08:22:34.720000,27.46,46.0,23.0
01/01/2018 08:25:14.420000,25.73,46.0,24.0
01/01/2018 08:26:34.266666,26.7,46.0,24.0
01/01/2018 08:29:14.796666,25.84,46.0,22.0
01/01/2018 08:30:34.233333,27.14,46.0,22.0
01/01/2018 08:33:14.553333,27.5,47.0,23.0
01/01/2018 08:34:34.410000,26.76,48.0,24.0
01/01/2018 08:37:15.036666,27.24,47.0,24.0
01/01/2018 08:38:34.536666,27.03,47.0,24.0
01/01/2018 08:41:14.200000,25.51,46.0,24.0
01/01/2018 08:42:34.796666,26.05,46.0,24.0
01/01/2018 08:45:14.556666,27.61,46.0,22.0
01/01/2018 08:47:54.780000,29.17,47.0,22.0
01/01/2018 08:49:14.590000,26.94,48.0,23.0
01/01/2018 08:50:34.890000,26.39,48.0,23.0
01/01/2018 08:53:14.346666,25.23,47.0,23.0
01/01/2018 08:54:34.696666,26.27,47.0,23.0
01/01/2018 08:57:14.450000,29.73,47.0,21.0
01/01/2018 08:58:34.426666,28.17,48.0,21.0
01/01/2018 09:01:14.340000,28.92,48.0,21.0
01/01/2018 09:02:34.306666,30.06,49.0,21.0
01/01/2018 09:05:14.706666,27.23,49.0,21.0
01/01/2018 09:06:34.643333,25.53,50.0,22.0
01/01/2018 09:09:14.713333,25.28,49.0,23.0
01/01/2018 09:10:34.303333,25.35,49.0,23.0
01/01/2018 09:13:14.696666,25.95,49.0,23.0
01/01/2018 09:14:34.400000,25.68,49.0,23.0
01/01/2018 09:17:14.350000,25.68,49.0,24.0
01/01/2018 09:18:34.766666,25.73,48.0,24.0
01/01/2018 09:21:14.380000,26.72,48.0,24.0
01/01/2018 09:22:34.496666,25.41,48.0,24.0
01/01/2018 09:25:14.366666,24.86,48.0,24.0
01/01/2018 09:26:34.430000,24.05,48.0,24.0
01/01/2018 09:29:14.426666,24.24,48.0,24.0
01/01/2018 09:30:34.353333,26.0,47.0,24.0
01/01/2018 09:33:14.266666,28.97,48.0,22.0
01/01/2018 09:34:34.463333,27.08,49.0,23.0
01/01/2018 09:37:14.463333,26.44,49.0,24.0
01/01/2018 09:38:34.513333,26.42,49.0,24.0
01/01/2018 09:41:14.473333,25.39,48.0,24.0
01/01/2018 09:42:34.286666,26.0,48.0,24.0
01/01/2018 09:45:14.343333,25.46,48.0,24.0
01/01/2018 09:46:34.363333,23.74,48.0,24.0
01/01/2018 09:49:14.440000,25.51,48.0,24.0
01/01/2018 09:50:34.430000,24.95,48.0,24.0
01/01/2018 09:53:14.226666,26.59,48.0,25.0
01/01/2018 09:54:34.800000,26.0,48.0,25.0
01/01/2018 09:57:14.256666,26.21,49.0,24.0
01/01/2018 09:58:34.450000,24.97,48.0,24.0
01/01/2018 10:01:14.436666,27.17,49.0,25.0
01/01/2018 10:02:34.396666,34.61,49.0,24.0
01/01/2018 10:05:14.503333,24.32,49.0,25.0
01/01/2018 10:06:34.403333,29.76,49.0,25.0
01/01/2018 10:09:14.376666,28.32,48.0,24.0
01/01/2018 10:11:54.446666,25.37,49.0,24.0
01/01/2018 10:13:14.436666,27.0,49.0,24.0
01/01/2018 10:14:34.406666,26.29,49.0,24.0
01/01/2018 10:17:14.400000,25.08,49.0,24.0
01/01/2018 10:18:34.390000,30.06,49.0,24.0
01/01/2018 10:21:14.453333,27.46,49.0,25.0
01/01/2018 10:22:34.316666,26.5,49.0,24.0
01/01/2018 10:25:14.496666,24.92,49.0,24.0
01/01/2018 10:26:34.406666,28.58,49.0,24.0
01/01/2018 10:29:14.426666,25.84,49.0,24.0
01/01/2018 10:30:34.386666,26.54,49.0,24.0
01/01/2018 10:33:14.626666,25.84,49.0,24.0
01/01/2018 10:34:34.396666,27.83,49.0,24.0
01/01/2018 10:37:14.413333,27.84,50.0,24.0
01/01/2018 10:38:34.423333,25.78,49.0,24.0
01/01/2018 10:41:14.586666,26.32,50.0,24.0
01/01/2018 10:42:34.430000,26.78,49.0,24.0
01/01/2018 10:45:14.476666,27.14,49.0,24.0
01/01/2018 10:46:34.386666,26.11,50.0,24.0
01/01/2018 10:49:14.436666,26.0,50.0,24.0
01/01/2018 10:50:34.500000,26.68,50.0,24.0
01/01/2018 10:53:14.576666,24.27,50.0,24.0
01/01/2018 10:54:34.323333,25.24,50.0,24.0
01/01/2018 10:57:14.380000,27.08,50.0,24.0
01/01/2018 10:58:34.553333,26.92,50.0,24.0
01/01/2018 11:01:14.380000,27.89,50.0,24.0
01/01/2018 11:02:34.460000,25.46,50.0,24.0
01/01/2018 11:05:14.620000,29.74,50.0,24.0
01/01/2018 11:06:34.430000,24.78,50.0,24.0
01/01/2018 11:09:14.483333,25.78,50.0,25.0
01/01/2018 11:11:54.660000,26.7,50.0,24.0
01/01/2018 11:13:14.446666,24.33,49.0,24.0
01/01/2018 11:14:34.423333,26.86,49.0,24.0
01/01/2018 11:17:14.340000,26.61,50.0,24.0
01/01/2018 11:18:34.363333,26.21,50.0,24.0
01/01/2018 11:21:14.380000,32.32,50.0,24.0
01/01/2018 11:22:34.596666,26.38,50.0,25.0
01/01/2018 11:25:14.616666,25.19,50.0,24.0
01/01/2018 11:26:34.456666,26.86,50.0,24.0
01/01/2018 11:29:14.416666,25.56,50.0,24.0
01/01/2018 11:30:34.846666,26.95,50.0,24.0
01/01/2018 11:33:14.446666,26.7,50.0,24.0
01/01/2018 11:34:34.566666,25.74,50.0,24.0
01/01/2018 11:37:14.470000,26.81,50.0,25.0
01/01/2018 11:38:34.393333,24.89,50.0,24.0
01/01/2018 11:41:14.416666,25.53,50.0,24.0
01/01/2018 11:42:34.490000,23.46,50.0,24.0
01/01/2018 11:45:14.856666,25.65,50.0,24.0
01/01/2018 11:46:34.573333,28.33,50.0,24.0
01/01/2018 11:49:14.436666,25.39,50.0,24.0
01/01/2018 11:50:34.453333,27.83,50.0,24.0
01/01/2018 11:53:14.496666,25.94,51.0,24.0
01/01/2018 11:54:34.560000,25.71,50.0,24.0
01/01/2018 11:57:14.213333,28.43,50.0,24.0
01/01/2018 11:58:34.960000,28.76,50.0,24.0
01/01/2018 12:01:14.350000,28.38,49.0,23.0
01/01/2018 12:02:34.550000,28.65,51.0,24.0
01/01/2018 12:05:14.573333,26.76,50.0,24.0
01/01/2018 12:06:34.530000,26.72,49.0,24.0
01/01/2018 12:09:14.543333,27.89,50.0,22.0
01/01/2018 12:10:34.530000,34.22,50.0,22.0
01/01/2018 12:13:14.426666,26.32,52.0,23.0
01/01/2018 12:14:34.686666,24.81,52.0,23.0
01/01/2018 12:17:14.420000,26.76,52.0,23.0
01/01/2018 12:18:34.413333,27.68,52.0,23.0
01/01/2018 12:21:14.610000,28.44,50.0,23.0
01/01/2018 12:22:34.643333,29.83,51.0,22.0
01/01/2018 12:25:14.633333,24.7,52.0,23.0
01/01/2018 12:26:34.460000,26.22,51.0,23.0
01/01/2018 12:29:14.460000,24.63,52.0,24.0
01/01/2018 12:30:34.446666,25.06,51.0,24.0
01/01/2018 12:33:14.463333,25.41,51.0,24.0
01/01/2018 12:34:34.720000,28.0,50.0,24.0
01/01/2018 12:37:14.363333,25.41,50.0,23.0
01/01/2018 12:38:34.396666,25.16,51.0,23.0
01/01/2018 12:41:14.393333,24.95,50.0,23.0
01/01/2018 12:42:34.396666,25.08,51.0,23.0
01/01/2018 12:45:14.513333,24.11,51.0,23.0
01/01/2018 12:46:34.243333,24.0,51.0,23.0
01/01/2018 12:49:14.476666,27.63,50.0,22.0
01/01/2018 12:50:34.766666,27.16,52.0,23.0
01/01/2018 12:53:14.583333,23.74,51.0,23.0
01/01/2018 12:54:34.380000,26.59,51.0,23.0
01/01/2018 12:57:14.386666,29.67,51.0,21.0
01/01/2018 12:58:34.553333,30.59,53.0,22.0
01/01/2018 13:01:14.526666,26.47,51.0,22.0
01/01/2018 13:02:34.376666,28.81,52.0,22.0
01/01/2018 13:05:14.473333,29.67,52.0,21.0
01/01/2018 13:06:35.003333,32.21,53.0,20.0
01/01/2018 13:09:15.030000,34.4,54.0,20.0
01/01/2018 13:10:34.483333,28.27,54.0,20.0
01/01/2018 13:13:14.546666,26.05,55.0,22.0
01/01/2018 13:14:34.546666,25.89,53.0,22.0
01/01/2018 13:17:14.510000,33.44,54.0,21.0
01/01/2018 13:18:34.376666,27.32,55.0,22.0
01/01/2018 13:21:14.490000,29.68,54.0,22.0
01/01/2018 13:22:35.586666,26.42,54.0,22.0
01/01/2018 13:25:14.566666,26.61,53.0,22.0
01/01/2018 13:26:34.440000,24.92,53.0,22.0
01/01/2018 13:29:14.486666,28.0,54.0,21.0
01/01/2018 13:30:34.466666,25.95,54.0,22.0
01/01/2018 13:33:14.796666,28.21,54.0,22.0
01/01/2018 13:34:34.440000,27.22,54.0,22.0
01/01/2018 13:37:14.553333,37.73,53.0,20.0
01/01/2018 13:38:34.616666,33.61,54.0,19.0
01/01/2018 13:41:14.433333,34.16,55.0,19.0
01/01/2018 13:42:34.410000,37.11,55.0,19.0
01/01/2018 13:45:14.530000,42.06,56.0,18.0
01/01/2018 13:46:34.446666,38.86,57.0,18.0
01/01/2018 13:49:14.413333,40.16,58.0,18.0
01/01/2018 13:50:34.800000,33.78,58.0,18.0
