InstrumentName, Boulder-CU/Athens
StartTime, 2018-01-01 00:00:00
EndTime, 2018-01-31 23:59:59
Date,PM2.5
01/01/2018 03:00:00.000000,11.2
01/01/2018 06:00:00.000000,13.0
01/01/2018 07:00:00.000000,13.7
01/01/2018 08:00:00.000000,14.4
01/01/2018 09:00:00.000000,14.4
01/01/2018 10:00:00.000000,14.0
01/01/2018 11:00:00.000000,14.9
01/01/2018 12:00:00.000000,15.4
01/01/2018 13:00:00.000000,14.6
01/01/2018 14:00:00.000000,14.8
01/01/2018 15:00:00.000000,17.6
01/01/2018 16:00:00.000000,18.0
01/01/2018 17:00:00.000000,17.4
01/01/2018 18:00:00.000000,18.6
01/01/2018 19:00:00.000000,20.3
01/01/2018 20:00:00.000000,19.1
01/01/2018 21:00:00.000000,19.2
01/01/2018 22:00:00.000000,19.8
01/01/2018 23:00:00.000000,19.3
01/02/2018 00:00:00.000000,17.8
01/02/2018 01:00:00.000000,17.0
01/02/2018 02:00:00.000000,16.7
01/02/2018 03:00:00.000000,17.8
01/02/2018 04:00:00.000000,19.8
01/02/2018 05:00:00.000000,22.5
01/02/2018 06:00:00.000000,24.6
01/02/2018 07:00:00.000000,27.5
01/02/2018 08:00:00.000000,24.7
01/02/2018 09:00:00.000000,24.7
01/02/2018 10:00:00.000000,21.6
01/02/2018 11:00:00.000000,13.3
01/02/2018 12:00:00.000000,13.3
01/02/2018 18:00:00.000000,0.1
01/02/2018 19:00:00.000000,0.1
01/02/2018 20:00:00.000000,0.1
01/02/2018 23:00:00.000000,2.4
01/03/2018 00:00:00.000000,3.6
01/03/2018 01:00:00.000000,3.9
01/03/2018 02:00:00.000000,3.7
01/03/2018 03:00:00.000000,3.6
01/03/2018 04:00:00.000000,3.0
01/03/2018 05:00:00.000000,2.1
01/03/2018 06:00:00.000000,1.4
01/03/2018 07:00:00.000000,0.7
01/03/2018 08:00:00.000000,0.7
01/03/2018 16:00:00.000000,1.8
01/03/2018 17:00:00.000000,3.5
01/03/2018 18:00:00.000000,1.8
01/03/2018 19:00:00.000000,1.1
01/03/2018 20:00:00.000000,2.9
01/03/2018 21:00:00.000000,4.8
01/03/2018 22:00:00.000000,5.8
01/03/2018 23:00:00.000000,5.6
01/04/2018 00:00:00.000000,6.8
01/04/2018 01:00:00.000000,6.4
01/04/2018 02:00:00.000000,4.8
01/04/2018 03:00:00.000000,3.9
01/04/2018 04:00:00.000000,3.2
01/04/2018 05:00:00.000000,2.6
01/04/2018 06:00:00.000000,4.0
01/04/2018 07:00:00.000000,2.8
01/04/2018 08:00:00.000000,1.6
01/04/2018 09:00:00.000000,1.6
01/04/2018 14:00:00.000000,0.9
01/04/2018 15:00:00.000000,0.9
01/04/2018 21:00:00.000000,0.6
01/04/2018 22:00:00.000000,0.6
01/04/2018 23:00:00.000000,1.5
01/05/2018 00:00:00.000000,2.2
01/05/2018 01:00:00.000000,1.6
01/05/2018 02:00:00.000000,2.0
01/05/2018 03:00:00.000000,1.4
01/05/2018 04:00:00.000000,2.0
01/05/2018 05:00:00.000000,2.5
01/05/2018 06:00:00.000000,2.0
01/05/2018 07:00:00.000000,1.6
01/05/2018 08:00:00.000000,1.3
01/05/2018 09:00:00.000000,1.3
01/05/2018 13:00:00.000000,1.3
01/05/2018 14:00:00.000000,4.1
01/05/2018 15:00:00.000000,6.0
01/05/2018 16:00:00.000000,6.6
01/05/2018 17:00:00.000000,7.1
01/05/2018 18:00:00.000000,8.5
01/05/2018 19:00:00.000000,11.9
01/05/2018 20:00:00.000000,14.0
01/05/2018 21:00:00.000000,8.5
01/05/2018 22:00:00.000000,8.5
01/06/2018 01:00:00.000000,12.5
01/06/2018 02:00:00.000000,7.4
01/06/2018 03:00:00.000000,4.5
01/06/2018 04:00:00.000000,6.6
01/06/2018 05:00:00.000000,8.3
01/06/2018 06:00:00.000000,9.1
01/06/2018 07:00:00.000000,5.4
01/06/2018 08:00:00.000000,2.9
01/06/2018 09:00:00.000000,3.2
01/06/2018 10:00:00.000000,2.3
01/06/2018 11:00:00.000000,2.3
01/06/2018 12:00:00.000000,1.6
01/06/2018 13:00:00.000000,1.4
01/06/2018 14:00:00.000000,1.3
01/06/2018 15:00:00.000000,2.2
01/06/2018 16:00:00.000000,3.2
01/06/2018 17:00:00.000000,3.1
01/06/2018 18:00:00.000000,3.8
01/06/2018 19:00:00.000000,3.9
01/06/2018 20:00:00.000000,3.7
01/06/2018 21:00:00.000000,4.2
01/06/2018 22:00:00.000000,4.3
01/06/2018 23:00:00.000000,3.4
01/07/2018 00:00:00.000000,3.9
01/07/2018 01:00:00.000000,4.9
01/07/2018 02:00:00.000000,3.9
01/07/2018 03:00:00.000000,7.5
01/07/2018 04:00:00.000000,10.1
01/07/2018 05:00:00.000000,11.1
01/07/2018 06:00:00.000000,10.9
01/07/2018 07:00:00.000000,9.0
01/07/2018 08:00:00.000000,6.2
01/07/2018 09:00:00.000000,6.2
01/07/2018 10:00:00.000000,3.5
01/07/2018 11:00:00.000000,1.9
01/07/2018 12:00:00.000000,1.3
01/07/2018 13:00:00.000000,0.9
01/07/2018 14:00:00.000000,1.2
01/07/2018 15:00:00.000000,2.1
01/07/2018 16:00:00.000000,3.2
01/07/2018 17:00:00.000000,2.8
01/07/2018 18:00:00.000000,2.7
01/07/2018 19:00:00.000000,2.2
01/07/2018 20:00:00.000000,1.3
01/07/2018 21:00:00.000000,1.3
01/08/2018 02:00:00.000000,1.4
01/08/2018 03:00:00.000000,1.2
01/08/2018 04:00:00.000000,1.7
01/08/2018 05:00:00.000000,2.5
01/08/2018 06:00:00.000000,1.8
01/08/2018 07:00:00.000000,2.4
01/08/2018 08:00:00.000000,1.9
01/08/2018 09:00:00.000000,1.9
01/08/2018 10:00:00.000000,2.3
01/08/2018 11:00:00.000000,1.7
01/08/2018 12:00:00.000000,1.7
01/08/2018 13:00:00.000000,2.2
01/08/2018 14:00:00.000000,1.4
01/08/2018 15:00:00.000000,1.8
01/08/2018 16:00:00.000000,3.5
01/08/2018 17:00:00.000000,4.4
01/08/2018 18:00:00.000000,7.6
01/08/2018 19:00:00.000000,11.3
01/08/2018 20:00:00.000000,14.8
01/12/2018 02:00:00.000000,3.0
01/12/2018 03:00:00.000000,3.5
01/12/2018 04:00:00.000000,4.1
01/12/2018 05:00:00.000000,4.8
01/12/2018 06:00:00.000000,3.9
01/12/2018 07:00:00.000000,3.2
01/12/2018 08:00:00.000000,3.2
01/12/2018 15:00:00.000000,2.9
01/12/2018 16:00:00.000000,4.7
01/12/2018 17:00:00.000000,6.7
01/12/2018 18:00:00.000000,5.2
01/12/2018 19:00:00.000000,4.3
01/12/2018 20:00:00.000000,4.2
01/12/2018 21:00:00.000000,3.6
01/12/2018 22:00:00.000000,2.3
01/12/2018 23:00:00.000000,1.7
01/13/2018 00:00:00.000000,1.4
01/13/2018 01:00:00.000000,1.8
01/13/2018 02:00:00.000000,2.8
01/13/2018 03:00:00.000000,1.9
01/13/2018 04:00:00.000000,2.1
01/13/2018 05:00:00.000000,3.8
01/13/2018 06:00:00.000000,5.0
01/16/2018 07:00:00.000000,0.9
01/16/2018 08:00:00.000000,2.3
01/16/2018 09:00:00.000000,2.3
01/16/2018 10:00:00.000000,2.9
01/16/2018 11:00:00.000000,2.7
01/16/2018 12:00:00.000000,2.7
01/16/2018 13:00:00.000000,3.6
01/16/2018 14:00:00.000000,4.1
01/16/2018 15:00:00.000000,6.8
01/16/2018 16:00:00.000000,10.6
01/16/2018 17:00:00.000000,12.8
01/16/2018 18:00:00.000000,12.8
01/16/2018 19:00:00.000000,10.5
01/16/2018 20:00:00.000000,8.5
01/16/2018 21:00:00.000000,7.0
01/16/2018 22:00:00.000000,6.8
01/16/2018 23:00:00.000000,8.9
01/17/2018 00:00:00.000000,7.4
01/17/2018 01:00:00.000000,5.6
01/17/2018 02:00:00.000000,5.0
01/17/2018 03:00:00.000000,4.7
01/17/2018 04:00:00.000000,3.8
01/17/2018 05:00:00.000000,2.7
01/17/2018 06:00:00.000000,2.6
01/17/2018 07:00:00.000000,2.7
01/17/2018 08:00:00.000000,2.0
01/17/2018 09:00:00.000000,2.0
01/17/2018 10:00:00.000000,0.9
01/17/2018 11:00:00.000000,0.7
01/17/2018 12:00:00.000000,0.7
01/17/2018 15:00:00.000000,4.4
01/17/2018 16:00:00.000000,8.8
01/17/2018 17:00:00.000000,12.4
01/17/2018 18:00:00.000000,11.0
01/17/2018 19:00:00.000000,5.6
01/17/2018 20:00:00.000000,5.6
01/17/2018 21:00:00.000000,1.8
01/17/2018 22:00:00.000000,1.8
01/17/2018 23:00:00.000000,3.3
01/18/2018 00:00:00.000000,4.2
01/18/2018 01:00:00.000000,3.3
01/18/2018 02:00:00.000000,1.8
01/18/2018 03:00:00.000000,1.5
01/18/2018 04:00:00.000000,2.0
01/18/2018 05:00:00.000000,1.7
01/18/2018 06:00:00.000000,1.7
01/18/2018 07:00:00.000000,0.5
01/18/2018 08:00:00.000000,0.8
01/18/2018 09:00:00.000000,0.8
01/18/2018 12:00:00.000000,0.5
01/18/2018 13:00:00.000000,1.8
01/18/2018 14:00:00.000000,3.3
01/18/2018 15:00:00.000000,3.6
01/18/2018 16:00:00.000000,6.6
01/18/2018 17:00:00.000000,9.9
01/18/2018 18:00:00.000000,9.8
01/18/2018 19:00:00.000000,8.5
01/18/2018 20:00:00.000000,6.8
01/18/2018 21:00:00.000000,5.8
01/18/2018 22:00:00.000000,5.8
01/18/2018 23:00:00.000000,6.5
01/19/2018 00:00:00.000000,8.4
01/19/2018 01:00:00.000000,8.5
01/19/2018 02:00:00.000000,4.7
01/19/2018 03:00:00.000000,4.7
01/20/2018 05:00:00.000000,1.1
01/20/2018 06:00:00.000000,0.8
01/20/2018 07:00:00.000000,0.8
01/20/2018 13:00:00.000000,2.6
01/20/2018 14:00:00.000000,6.0
01/20/2018 15:00:00.000000,6.1
01/20/2018 16:00:00.000000,5.4
01/20/2018 17:00:00.000000,3.3
01/20/2018 18:00:00.000000,2.5
01/20/2018 19:00:00.000000,1.8
01/20/2018 20:00:00.000000,1.8
01/20/2018 21:00:00.000000,2.5
01/20/2018 22:00:00.000000,2.8
01/20/2018 23:00:00.000000,2.4
01/21/2018 00:00:00.000000,1.8
01/21/2018 01:00:00.000000,1.8
01/21/2018 02:00:00.000000,3.5
01/21/2018 03:00:00.000000,4.0
01/21/2018 04:00:00.000000,3.2
01/21/2018 05:00:00.000000,3.5
01/21/2018 06:00:00.000000,4.0
01/21/2018 07:00:00.000000,4.6
01/21/2018 08:00:00.000000,4.4
01/21/2018 09:00:00.000000,2.6
01/21/2018 10:00:00.000000,2.6
01/21/2018 14:00:00.000000,0.6
01/21/2018 16:00:00.000000,0.6
01/21/2018 17:00:00.000000,0.2
01/21/2018 18:00:00.000000,0.2
01/22/2018 00:00:00.000000,0.3
01/22/2018 01:00:00.000000,1.3
01/22/2018 02:00:00.000000,2.1
01/22/2018 03:00:00.000000,2.7
01/22/2018 04:00:00.000000,3.2
01/22/2018 05:00:00.000000,3.2
01/22/2018 06:00:00.000000,1.2
