InstrumentName, Thornton B,,
StartTime, 2018-01-01 00:00:00,,
EndTime, 2018-01-31 23:59:59,,
Date,PM2.5,humidity,temp_f
01/01/2018 01:16:24.356666,42.76,48.0,25.0
01/01/2018 04:47:04.103333,59.1,48.0,24.0
01/01/2018 04:48:24.523333,62.68,47.0,24.0
01/01/2018 04:49:44.166666,89.26,48.0,24.0
01/01/2018 04:51:04.796666,89.65,48.0,24.0
01/01/2018 04:53:44.910000,78.79,48.0,24.0
01/01/2018 04:55:05.273333,71.44,47.0,23.0
01/01/2018 04:57:44.526666,53.95,48.0,24.0
01/01/2018 04:59:05.030000,54.02,47.0,23.0
01/01/2018 05:01:45.606666,76.18,48.0,24.0
01/01/2018 05:03:04.530000,89.35,47.0,24.0
01/01/2018 05:05:45.606666,87.02,47.0,24.0
01/01/2018 05:07:06.200000,94.32,48.0,23.0
01/01/2018 05:09:46.696666,100.22,47.0,24.0
01/01/2018 05:11:04.573333,65.51,47.0,24.0
01/01/2018 05:13:44.530000,98.93,48.0,24.0
01/01/2018 05:15:04.726666,99.08,47.0,23.0
01/01/2018 05:18:01.583333,90.0,47.0,24.0
01/01/2018 05:19:04.856666,105.27,47.0,23.0
01/01/2018 07:53:44.536666,77.63,47.0,24.0
01/01/2018 07:55:04.583333,68.24,46.0,23.0
01/01/2018 07:57:44.756666,67.49,47.0,24.0
01/01/2018 07:59:04.403333,64.43,47.0,24.0
01/01/2018 08:01:45.240000,77.1,46.0,24.0
01/01/2018 08:03:04.386666,60.88,45.0,23.0
01/01/2018 08:05:44.610000,56.92,46.0,24.0
01/01/2018 08:07:04.826666,90.07,46.0,24.0
01/01/2018 08:09:44.196666,57.71,45.0,24.0
01/01/2018 08:11:04.603333,62.88,46.0,24.0
01/01/2018 08:13:44.643333,47.03,46.0,24.0
01/01/2018 08:15:04.650000,65.43,45.0,24.0
01/01/2018 08:17:44.423333,66.02,46.0,23.0
01/01/2018 08:19:04.663333,65.05,46.0,22.0
01/01/2018 08:21:44.700000,65.69,47.0,23.0
01/01/2018 08:23:04.766666,61.3,47.0,23.0
01/01/2018 08:25:44.696666,70.95,47.0,24.0
01/01/2018 08:27:04.993333,95.57,46.0,24.0
01/01/2018 08:29:44.690000,49.79,46.0,22.0
01/01/2018 08:31:04.756666,51.71,46.0,22.0
01/01/2018 08:33:44.580000,56.71,47.0,23.0
01/01/2018 08:35:04.256666,101.31,47.0,23.0
01/01/2018 08:37:44.726666,59.16,47.0,24.0
01/01/2018 08:39:04.356666,65.9,47.0,24.0
01/01/2018 08:41:44.500000,77.06,46.0,24.0
01/01/2018 08:43:04.696666,107.17,46.0,24.0
01/01/2018 08:45:44.816666,120.52,46.0,22.0
01/01/2018 08:47:04.730000,107.83,47.0,22.0
01/01/2018 08:49:44.530000,79.86,47.0,23.0
01/01/2018 08:51:04.610000,75.72,48.0,23.0
01/01/2018 08:53:45.580000,93.9,47.0,23.0
01/01/2018 08:55:04.356666,82.95,47.0,23.0
01/01/2018 08:57:44.940000,62.81,47.0,21.0
01/01/2018 08:59:04.866666,95.76,48.0,21.0
01/01/2018 09:01:44.310000,87.12,49.0,21.0
01/01/2018 09:03:05.253333,56.07,49.0,22.0
01/01/2018 09:05:44.773333,61.62,49.0,21.0
01/01/2018 09:07:04.813333,46.14,49.0,22.0
01/01/2018 09:09:44.496666,39.74,49.0,23.0
01/01/2018 09:11:04.383333,41.0,49.0,23.0
01/01/2018 09:13:44.366666,49.37,49.0,23.0
01/01/2018 09:15:04.393333,43.32,49.0,23.0
01/01/2018 09:17:44.516666,64.52,48.0,23.0
01/01/2018 09:19:04.450000,77.12,48.0,24.0
01/01/2018 09:21:44.896666,79.26,48.0,24.0
01/01/2018 09:23:04.396666,97.21,48.0,24.0
01/01/2018 09:25:44.350000,73.45,48.0,24.0
01/01/2018 09:27:04.523333,92.09,48.0,24.0
01/01/2018 09:29:44.446666,84.76,48.0,24.0
01/01/2018 09:31:04.380000,105.93,47.0,24.0
01/01/2018 09:33:44.510000,50.44,48.0,22.0
01/01/2018 09:35:04.376666,81.9,49.0,23.0
01/01/2018 09:37:44.686666,66.52,49.0,24.0
01/01/2018 09:39:05.313333,58.56,49.0,24.0
01/01/2018 09:41:44.713333,74.1,49.0,24.0
01/01/2018 09:43:04.496666,66.63,48.0,24.0
01/01/2018 09:45:44.416666,68.81,48.0,25.0
01/01/2018 09:47:04.373333,61.62,48.0,24.0
01/01/2018 09:49:44.336666,54.19,48.0,24.0
01/01/2018 09:51:04.443333,64.81,48.0,25.0
01/01/2018 09:53:44.766666,50.98,48.0,25.0
01/01/2018 09:55:04.796666,58.34,48.0,25.0
01/01/2018 09:57:45.596666,56.49,49.0,24.0
01/01/2018 09:59:04.376666,58.2,48.0,24.0
01/01/2018 10:01:44.316666,49.53,49.0,25.0
01/01/2018 10:03:04.413333,47.24,49.0,24.0
01/01/2018 10:05:44.566666,64.19,49.0,25.0
01/01/2018 10:07:04.343333,68.43,49.0,24.0
01/01/2018 10:09:44.646666,70.37,49.0,24.0
01/01/2018 10:11:04.306666,84.37,49.0,24.0
01/01/2018 10:13:44.670000,63.21,49.0,24.0
01/01/2018 10:15:04.590000,70.56,50.0,24.0
01/01/2018 10:17:44.540000,74.84,50.0,24.0
01/01/2018 10:19:04.400000,60.71,49.0,24.0
01/01/2018 10:21:44.393333,77.78,49.0,24.0
01/01/2018 10:23:04.670000,81.66,49.0,24.0
01/01/2018 10:25:44.473333,56.1,49.0,24.0
01/01/2018 10:27:04.450000,67.9,49.0,24.0
01/01/2018 10:29:44.296666,92.02,49.0,24.0
01/01/2018 10:31:04.313333,66.33,49.0,24.0
01/01/2018 10:33:44.333333,61.48,50.0,24.0
01/01/2018 10:35:04.696666,78.38,49.0,24.0
01/01/2018 10:37:44.696666,78.95,50.0,24.0
01/01/2018 10:39:04.560000,70.43,49.0,24.0
01/01/2018 10:41:44.376666,60.47,50.0,24.0
01/01/2018 10:43:04.766666,61.76,50.0,24.0
01/01/2018 10:45:44.596666,61.69,49.0,24.0
01/01/2018 10:47:04.410000,52.46,49.0,24.0
01/01/2018 10:49:44.560000,53.02,50.0,24.0
01/01/2018 10:51:04.390000,66.33,49.0,24.0
01/01/2018 10:53:44.500000,83.86,49.0,24.0
01/01/2018 10:55:04.496666,70.19,49.0,24.0
01/01/2018 10:57:44.476666,76.17,49.0,24.0
01/01/2018 10:59:04.453333,67.37,49.0,24.0
01/01/2018 11:01:44.603333,48.1,50.0,25.0
01/01/2018 11:03:04.390000,57.69,50.0,24.0
01/01/2018 11:05:44.460000,47.98,50.0,24.0
01/01/2018 11:07:04.796666,53.48,49.0,24.0
01/01/2018 11:09:44.506666,60.54,49.0,24.0
01/01/2018 11:11:04.446666,64.67,49.0,24.0
01/01/2018 11:13:44.496666,57.43,49.0,24.0
01/01/2018 11:15:04.446666,57.16,50.0,25.0
01/01/2018 11:17:44.760000,45.12,49.0,24.0
01/01/2018 11:19:04.460000,45.57,50.0,24.0
01/01/2018 11:21:44.453333,46.35,50.0,25.0
01/01/2018 11:23:04.666666,49.44,50.0,24.0
01/01/2018 11:25:44.546666,50.42,50.0,24.0
01/01/2018 11:27:04.686666,53.57,50.0,24.0
01/01/2018 11:29:44.996666,55.1,50.0,24.0
01/01/2018 11:31:04.753333,50.17,50.0,24.0
01/01/2018 11:33:44.386666,52.53,50.0,24.0
01/01/2018 11:35:04.430000,54.48,50.0,25.0
01/01/2018 11:37:44.386666,56.09,50.0,24.0
01/01/2018 11:39:04.423333,55.64,50.0,24.0
01/01/2018 11:41:44.380000,52.1,50.0,24.0
01/01/2018 11:43:04.860000,55.67,50.0,24.0
01/01/2018 11:45:44.496666,64.59,50.0,24.0
01/01/2018 11:47:04.626666,59.07,50.0,24.0
01/01/2018 11:49:44.443333,64.85,50.0,24.0
01/01/2018 11:51:04.793333,68.25,49.0,23.0
01/01/2018 11:53:44.406666,76.5,51.0,24.0
01/01/2018 11:55:04.506666,84.21,50.0,24.0
01/01/2018 11:57:44.533333,59.72,50.0,24.0
01/01/2018 11:59:04.716666,53.86,50.0,24.0
01/01/2018 12:01:44.446666,51.45,51.0,23.0
01/01/2018 12:03:04.570000,55.37,51.0,24.0
01/01/2018 12:05:44.436666,62.36,50.0,24.0
01/01/2018 12:07:04.566666,78.9,49.0,23.0
01/01/2018 12:09:44.543333,66.95,50.0,22.0
01/01/2018 12:11:04.666666,88.67,51.0,22.0
01/01/2018 12:13:44.360000,81.1,52.0,23.0
01/01/2018 12:15:04.330000,69.27,52.0,23.0
01/01/2018 12:17:44.596666,56.1,52.0,23.0
01/01/2018 12:19:04.516666,73.56,51.0,23.0
01/01/2018 12:21:44.616666,117.28,50.0,22.0
01/01/2018 12:23:04.436666,84.02,51.0,22.0
01/01/2018 12:25:44.440000,64.0,51.0,23.0
01/01/2018 12:27:04.423333,73.26,52.0,23.0
01/01/2018 12:29:44.473333,61.74,52.0,24.0
01/01/2018 12:31:04.496666,93.81,51.0,24.0
01/01/2018 12:33:44.443333,86.48,51.0,24.0
01/01/2018 12:35:04.513333,77.14,50.0,23.0
01/01/2018 12:37:44.443333,70.45,50.0,23.0
01/01/2018 12:39:04.546666,91.78,51.0,24.0
01/01/2018 12:41:44.530000,58.52,51.0,23.0
01/01/2018 12:43:04.470000,66.0,51.0,23.0
01/01/2018 12:45:44.486666,58.14,50.0,23.0
01/01/2018 12:47:04.646666,85.49,51.0,23.0
01/01/2018 12:49:44.443333,70.02,51.0,23.0
01/01/2018 12:51:04.996666,73.19,51.0,23.0
01/01/2018 12:53:44.500000,77.86,50.0,23.0
01/01/2018 12:55:04.516666,63.31,50.0,22.0
01/01/2018 12:57:44.493333,69.74,52.0,21.0
01/01/2018 12:59:04.673333,74.29,53.0,23.0
01/01/2018 13:01:44.413333,90.29,52.0,22.0
01/01/2018 13:03:04.523333,61.84,52.0,22.0
01/01/2018 13:05:44.706666,78.12,52.0,21.0
01/01/2018 13:07:05.306666,93.83,53.0,20.0
01/01/2018 13:09:44.290000,76.42,54.0,20.0
01/01/2018 13:11:04.600000,94.93,55.0,21.0
01/01/2018 13:13:44.770000,47.7,54.0,22.0
01/01/2018 13:15:04.393333,49.95,53.0,21.0
01/01/2018 13:17:44.766666,51.76,54.0,21.0
01/01/2018 13:19:04.670000,48.66,55.0,22.0
01/01/2018 13:21:44.716666,50.57,54.0,22.0
01/01/2018 13:23:05.643333,47.58,54.0,22.0
01/01/2018 13:25:44.466666,52.44,53.0,22.0
01/01/2018 13:27:04.503333,49.12,52.0,21.0
01/01/2018 13:29:44.446666,50.69,54.0,22.0
01/01/2018 13:31:08.586666,50.71,53.0,22.0
01/01/2018 13:33:44.423333,53.29,54.0,22.0
01/01/2018 13:35:04.773333,49.12,53.0,22.0
01/01/2018 13:37:44.943333,56.93,54.0,20.0
01/01/2018 13:39:04.646666,53.64,54.0,19.0
01/01/2018 13:41:44.670000,54.15,55.0,19.0
01/01/2018 13:43:04.520000,56.67,55.0,19.0
01/01/2018 13:45:44.463333,58.95,56.0,18.0
01/01/2018 13:47:04.473333,58.79,57.0,18.0
