InstrumentName, MSLA (CS34)
StartTime, 2021-08-01 00:00:00
EndTime, 2021-09-01 00:00:00
Date,B,EH,ET,ICCID,IH,IT,P,PM10,PM1_0,PM2_5,PM2_5_p,Sig,Time,WD,WS
08/05/2021 22:27:00,12.638,-1.0,-1.0,,7.96,103.06,840.39,48.97,24.34,39.97,33.467,0.0,,-1.0,-1.0
08/05/2021 22:30:00,12.6,-1.0,-1.0,,7.15,104.1,840.4,51.3,25.57,41.25,34.583,0.0,,-1.0,-1.0
08/05/2021 22:31:00,12.672,-1.0,-1.0,,6.86,103.91,840.39,51.23,25.47,41.3,34.639,0.0,,-1.0,-1.0
08/05/2021 22:32:00,12.658,-1.0,-1.0,,6.97,103.88,840.33,50.99,25.47,41.39,34.713,0.0,,-1.0,-1.0
08/05/2021 22:33:00,12.523,-1.0,-1.0,,7.18,103.66,840.32,52.75,25.92,42.15,35.36,0.0,,-1.0,-1.0
08/05/2021 22:34:00,12.624,-1.0,-1.0,,7.21,103.58,840.34,53.17,26.27,43.09,36.167,0.0,,-1.0,-1.0
08/05/2021 22:35:00,12.518,-1.0,-1.0,,7.43,103.56,840.35,51.92,25.83,42.22,35.412,0.0,,-1.0,-1.0
08/05/2021 22:36:00,12.648,-1.0,-1.0,,7.43,103.55,840.36,53.37,25.82,42.33,35.507,0.0,,-1.0,-1.0
08/05/2021 22:37:00,12.595,-1.0,-1.0,,7.17,103.72,840.32,52.88,25.36,41.9,35.145,0.0,,-1.0,-1.0
08/05/2021 22:38:00,12.682,-1.0,-1.0,,6.83,103.73,840.32,52.22,26.26,42.54,35.707,0.0,,-1.0,-1.0
08/05/2021 22:39:00,12.643,-1.0,-1.0,,7.01,103.64,840.32,50.32,26.07,41.5,34.809,0.0,,-1.0,-1.0
08/05/2021 22:40:00,12.682,-1.0,-1.0,,7.33,103.8,840.31,50.08,25.55,41.63,34.906,0.0,,-1.0,-1.0
08/05/2021 22:41:00,12.523,-1.0,-1.0,,7.07,103.83,840.29,52.34,25.42,41.94,35.182,0.0,,-1.0,-1.0
08/05/2021 22:42:00,12.538,-1.0,-1.0,,6.6,103.8,840.29,50.49,25.66,41.53,34.847,0.0,,-1.0,-1.0
08/05/2021 22:43:00,12.624,-1.0,-1.0,,6.6,103.78,840.27,51.47,25.43,41.86,35.131,0.0,,-1.0,-1.0
08/05/2021 22:44:00,12.595,-1.0,-1.0,,6.95,103.83,840.28,51.01,25.58,41.38,34.705,0.0,,-1.0,-1.0
08/05/2021 22:45:00,12.691,-1.0,-1.0,,7.19,103.88,840.28,51.97,25.42,42.05,35.271,0.0,,-1.0,-1.0
08/05/2021 22:46:00,12.581,-1.0,-1.0,,7.28,103.94,840.29,53.37,25.58,42.12,35.327,0.0,,-1.0,-1.0
08/05/2021 22:47:00,12.658,-1.0,-1.0,,7.28,104.06,840.27,50.43,25.09,40.97,34.338,0.0,,-1.0,-1.0
08/05/2021 22:48:00,12.586,-1.0,-1.0,,7.1,103.94,840.27,51.82,26.02,41.63,34.913,0.0,,-1.0,-1.0
08/05/2021 22:49:01,12.638,-1.0,-1.0,,6.89,103.9,840.25,50.7,25.32,41.09,34.458,0.0,,-1.0,-1.0
