InstrumentName, SAMS
StartTime, 2021-08-01 00:00:00
EndTime, 2021-09-01 00:00:00
Date,42603,68108,85101,Ambient Avg Temperature,Barometric pressure,Carbon monoxide,Nitric oxide,Nitrogen dioxide,PM10 Total 0-10um STP,PM2.5 - Local Conditions,Relative Humidity,Wind Direction,Wind speed
08/01/2021 00:00:00,7.2,0.815,27.852632,16.6,,0.27,0.3,6.8,33.198636,27.4,91.7,296.8,2.4
08/01/2021 00:01:00,7.3,0.815,28.962162,16.7,,0.27,0.4,6.9,34.722584,28.4,91.9,291.6,3.3
08/01/2021 00:02:00,7.5,0.815,30.610526,16.3,,0.28,0.4,7.0,36.378527,29.9,91.7,305.7,3.1
08/01/2021 00:03:00,7.6,0.815,29.121053,16.3,,0.27,0.4,7.1,34.621158,28.7,92.2,288.5,3.1
08/01/2021 00:04:00,7.9,0.815,28.607895,16.3,,0.27,0.5,7.3,34.16444,28.2,92.2,293.1,3.0
08/01/2021 00:05:00,7.8,0.815,28.868421,16.3,,0.28,0.5,7.3,34.343156,28.8,92.2,299.7,3.3
08/01/2021 00:06:00,7.5,0.815,28.447368,16.3,,0.27,0.5,7.0,33.916225,28.4,92.2,280.8,2.9
08/01/2021 00:07:00,7.4,0.815,29.142105,16.3,,0.27,0.5,6.8,34.789945,28.6,92.2,304.3,3.9
08/01/2021 00:08:00,7.1,0.815,30.085714,16.3,,0.27,0.5,6.6,35.872166,29.1,92.2,299.9,3.1
08/01/2021 00:09:00,7.3,0.815,29.957895,16.3,,0.28,0.5,6.7,35.62395,29.6,92.2,300.4,4.2
08/01/2021 00:10:00,7.7,0.815,28.989189,16.3,,0.27,0.5,7.2,34.492085,28.9,92.2,297.9,2.5
08/01/2021 00:11:00,8.1,0.815,28.986486,16.3,,0.27,0.5,7.6,34.621158,28.7,92.2,292.3,2.5
08/01/2021 00:12:00,8.1,0.815,29.2,16.3,,0.28,0.5,7.6,34.641015,29.0,92.2,296.9,2.5
08/01/2021 00:13:00,8.3,0.815,28.832432,16.3,,0.28,0.5,7.8,34.492085,28.4,92.2,314.6,3.2
08/01/2021 00:14:00,8.3,0.815,30.151351,16.3,,0.29,0.5,7.8,35.941666,29.2,92.2,310.3,2.0
08/01/2021 00:15:00,8.4,0.815,29.858333,16.3,,0.28,0.5,7.9,35.475021,29.2,92.2,306.6,3.0
08/01/2021 00:16:00,8.4,0.815,28.8,16.3,,0.27,0.5,7.9,34.283584,28.8,92.2,294.6,3.2
08/01/2021 00:17:00,8.0,0.815,29.144444,16.3,,0.28,0.5,7.4,34.770087,29.0,92.2,303.3,2.9
08/01/2021 00:18:00,16.0,0.815,30.037838,16.3,,0.27,4.1,11.8,35.792737,29.9,92.2,307.6,2.8
08/01/2021 00:19:00,63.7,0.815,30.989474,16.3,,0.28,20.6,43.0,37.15296,30.7,92.5,306.0,2.0
08/01/2021 00:20:00,35.5,0.815,31.673684,16.3,,0.31,6.1,29.4,37.470677,31.2,93.0,318.0,2.4
08/01/2021 00:21:00,15.1,0.815,29.852778,16.3,,0.32,1.2,13.9,35.633879,29.8,92.6,320.8,3.5
08/01/2021 00:22:00,13.6,0.815,29.933333,16.3,,0.32,0.8,12.8,35.584236,29.8,92.5,302.4,1.9
