InstrumentName, La Casa
StartTime, 2021-08-01 00:00:00
EndTime, 2021-09-01 00:00:00
Date,CO,NO2,O3,PM10,PM2.5,SO2
08/01/2021 00:00:00,0.314,6.0,58.0,36.0,24.7,2.0
08/01/2021 01:00:00,0.327,7.0,53.0,34.9,23.9,2.0
08/01/2021 02:00:00,0.274,6.0,51.0,32.1,22.2,2.0
08/01/2021 03:00:00,0.291,7.0,44.0,33.2,23.1,2.0
08/01/2021 04:00:00,0.365,7.0,41.0,34.7,24.4,2.0
08/01/2021 05:00:00,0.358,,38.0,35.4,24.9,2.0
08/01/2021 06:00:00,0.347,6.0,37.0,35.1,24.4,2.0
08/01/2021 07:00:00,0.382,8.0,25.0,36.2,24.6,
08/01/2021 08:00:00,0.396,10.0,18.0,34.7,23.7,2.0
08/01/2021 09:00:00,0.395,10.0,13.0,34.2,23.2,2.0
08/01/2021 10:00:00,0.408,9.0,10.0,33.2,23.0,2.0
08/01/2021 11:00:00,0.401,10.0,9.0,32.7,22.5,2.0
08/01/2021 12:00:00,0.412,13.0,12.0,32.8,23.1,2.0
08/01/2021 13:00:00,0.37,8.0,20.0,33.7,22.5,2.0
08/01/2021 14:00:00,0.369,5.0,33.0,37.7,25.3,2.0
08/01/2021 15:00:00,0.371,9.0,48.0,39.1,26.1,2.0
08/01/2021 16:00:00,0.32,6.0,59.0,37.5,26.0,3.0
08/01/2021 17:00:00,0.324,3.0,69.0,35.8,25.0,2.0
08/01/2021 18:00:00,0.308,3.0,72.0,37.3,26.5,2.0
08/01/2021 19:00:00,0.3,2.0,74.0,37.6,27.2,2.0
08/01/2021 20:00:00,0.305,3.0,76.0,36.8,26.8,2.0
08/01/2021 21:00:00,0.279,2.0,77.0,38.0,27.4,2.0
08/01/2021 22:00:00,0.268,2.0,78.0,38.8,28.1,2.0
08/01/2021 23:00:00,0.295,3.0,81.0,43.4,31.3,2.0
08/02/2021 00:00:00,0.305,2.0,81.0,48.1,33.9,2.0
08/02/2021 01:00:00,0.341,7.0,78.0,54.6,38.7,2.0
08/02/2021 02:00:00,0.394,15.0,67.0,65.6,43.0,2.0
08/02/2021 03:00:00,0.384,20.0,48.0,57.9,39.1,3.0
08/02/2021 04:00:00,0.426,17.0,43.0,58.7,37.5,3.0
08/02/2021 05:00:00,0.441,,41.0,58.1,38.5,2.0
08/02/2021 06:00:00,0.381,9.0,43.0,56.0,38.7,2.0
08/02/2021 07:00:00,0.357,10.0,34.0,51.9,35.2,
08/02/2021 08:00:00,0.32,9.0,34.0,48.6,33.0,2.0
08/02/2021 09:00:00,0.296,7.0,34.0,49.8,33.5,2.0
08/02/2021 10:00:00,0.334,8.0,31.0,47.5,33.4,2.0
08/02/2021 11:00:00,0.343,9.0,22.0,49.6,34.2,2.0
08/02/2021 12:00:00,0.425,12.0,17.0,53.0,36.0,2.0
08/02/2021 13:00:00,,12.0,,58.0,37.8,2.0
08/02/2021 14:00:00,0.422,17.0,37.0,66.1,42.5,
08/02/2021 15:00:00,0.505,29.0,32.0,78.6,43.5,
08/02/2021 16:00:00,0.454,23.0,43.0,73.1,38.5,
08/02/2021 17:00:00,0.344,8.0,65.0,60.6,34.8,
08/02/2021 18:00:00,0.308,4.0,74.0,49.5,30.3,
08/02/2021 19:00:00,0.304,5.0,82.0,50.2,28.9,
08/02/2021 20:00:00,0.292,5.0,91.0,52.9,29.4,0.0
08/02/2021 21:00:00,0.274,5.0,90.0,55.8,28.1,0.0
08/02/2021 22:00:00,0.239,4.0,88.0,50.3,26.8,0.0
08/02/2021 23:00:00,0.269,7.0,82.0,47.5,26.0,0.0
08/03/2021 00:00:00,0.348,11.0,78.0,48.3,26.6,0.0
08/03/2021 01:00:00,0.367,9.0,75.0,48.4,26.3,0.0
08/03/2021 02:00:00,0.302,9.0,53.0,33.9,18.7,0.0
08/03/2021 03:00:00,0.247,10.0,44.0,25.4,11.5,1.0
08/03/2021 04:00:00,0.205,8.0,45.0,18.6,9.3,0.0
