InstrumentName, I-25 Denver
StartTime, 2021-08-01 00:00:00
EndTime, 2021-09-01 00:00:00
Date,CO,NO2,PM2.5
08/05/2021 14:00:00,0.618,25.0,25.6
08/05/2021 15:00:00,0.439,21.0,22.2
08/05/2021 16:00:00,0.424,23.0,20.0
08/05/2021 17:00:00,0.414,18.0,18.6
08/05/2021 18:00:00,0.346,11.0,15.6
08/05/2021 19:00:00,0.289,5.0,15.4
08/05/2021 20:00:00,0.28,5.0,15.1
08/05/2021 21:00:00,0.419,19.0,15.4
08/05/2021 22:00:00,0.247,4.0,14.3
08/05/2021 23:00:00,0.346,12.0,14.6
08/06/2021 00:00:00,0.385,17.0,14.7
08/06/2021 01:00:00,0.42,17.0,15.0
08/06/2021 02:00:00,0.754,39.0,19.4
08/06/2021 03:00:00,0.595,28.0,21.6
08/06/2021 04:00:00,0.495,,21.3
08/06/2021 05:00:00,0.57,26.0,23.6
08/06/2021 06:00:00,0.539,23.0,25.3
08/06/2021 07:00:00,0.483,24.0,24.8
08/06/2021 08:00:00,0.425,16.0,23.5
08/06/2021 09:00:00,0.333,17.0,22.9
08/06/2021 10:00:00,0.466,20.0,24.7
08/06/2021 11:00:00,0.589,27.0,26.3
08/06/2021 12:00:00,0.649,34.0,25.5
08/06/2021 13:00:00,0.469,25.0,21.2
08/06/2021 14:00:00,0.416,20.0,18.8
08/06/2021 15:00:00,0.54,23.0,15.9
08/06/2021 16:00:00,0.316,17.0,12.2
08/06/2021 17:00:00,0.276,11.0,10.4
08/06/2021 18:00:00,0.228,5.0,9.9
08/06/2021 19:00:00,0.33,19.0,7.8
08/06/2021 20:00:00,0.326,17.0,7.4
08/06/2021 21:00:00,0.501,23.0,8.1
08/06/2021 22:00:00,0.409,20.0,6.2
08/06/2021 23:00:00,0.284,14.0,8.4
08/07/2021 00:00:00,0.414,19.0,9.2
08/07/2021 01:00:00,0.527,24.0,9.1
08/07/2021 02:00:00,0.62,22.0,11.6
08/07/2021 03:00:00,0.642,22.0,11.5
08/07/2021 04:00:00,0.664,,9.0
08/07/2021 05:00:00,0.724,17.0,9.3
08/07/2021 06:00:00,0.184,12.0,8.5
08/07/2021 07:00:00,0.299,12.0,7.8
08/07/2021 08:00:00,0.328,16.0,9.2
08/07/2021 09:00:00,0.253,12.0,9.7
08/07/2021 10:00:00,0.211,10.0,10.5
08/07/2021 11:00:00,0.319,16.0,11.6
08/07/2021 12:00:00,0.442,20.0,11.9
08/07/2021 13:00:00,0.567,24.0,12.5
08/07/2021 14:00:00,0.535,20.0,15.5
08/07/2021 15:00:00,0.504,22.0,28.7
08/07/2021 16:00:00,0.448,15.0,39.7
