InstrumentName, CAMP,,,,,
StartTime, 2022-03-01 00:00:00,,,,,
EndTime, 2022-03-31 23:59:59,,,,,
Date,CO,NO2,O3,PM10,PM2.5,SO2
03/01/2022 00:00:00.000000,0.577,19.0,25.0,22.7,5.0,0.0
03/01/2022 01:00:00.000000,0.527,25.0,21.0,32.8,7.9,0.0
03/01/2022 02:00:00.000000,0.512,27.0,19.0,29.6,11.7,0.0
03/01/2022 03:00:00.000000,0.353,18.0,25.0,19.1,5.5,0.0
03/01/2022 05:00:00.000000,0.479,34.0,10.0,25.9,8.3,0.0
03/01/2022 06:00:00.000000,0.301,23.0,15.0,16.5,6.2,0.0
03/01/2022 08:00:00.000000,0.196,11.0,27.0,5.9,2.2,0.0
03/01/2022 10:00:00.000000,0.204,14.0,24.0,2.9,1.7,0.0
03/01/2022 11:00:00.000000,0.191,14.0,25.0,3.0,1.8,0.0
03/01/2022 12:00:00.000000,0.218,14.0,24.0,9.9,2.8,0.0
03/01/2022 13:00:00.000000,0.283,18.0,21.0,19.2,3.7,0.0
03/01/2022 14:00:00.000000,0.371,22.0,19.0,39.4,6.5,0.0
03/01/2022 15:00:00.000000,0.44,,17.0,42.9,9.6,0.0
03/01/2022 16:00:00.000000,0.448,22.0,18.0,40.7,7.6,0.0
03/01/2022 17:00:00.000000,0.372,15.0,26.0,31.5,5.6,0.0
03/01/2022 18:00:00.000000,0.309,7.0,33.0,12.1,2.8,0.0
03/01/2022 19:00:00.000000,0.245,6.0,34.0,9.0,2.1,0.0
03/01/2022 20:00:00.000000,0.252,6.0,36.0,10.8,2.3,0.0
03/01/2022 21:00:00.000000,0.307,7.0,36.0,8.3,2.0,0.0
03/01/2022 22:00:00.000000,0.319,9.0,36.0,16.1,3.0,0.0
03/01/2022 23:00:00.000000,0.506,15.0,30.0,31.2,5.4,0.0
03/02/2022 00:00:00.000000,0.547,27.0,19.0,38.7,8.5,2.0
03/02/2022 01:00:00.000000,0.52,36.0,6.0,37.5,8.5,0.0
03/02/2022 02:00:00.000000,0.511,26.0,9.0,28.5,7.6,0.0
03/02/2022 03:00:00.000000,0.55,25.0,10.0,55.5,11.1,0.0
03/02/2022 05:00:00.000000,0.516,29.0,6.0,33.7,7.8,0.0
03/02/2022 06:00:00.000000,0.257,13.0,18.0,10.6,3.2,0.0
03/02/2022 07:00:00.000000,0.233,9.0,22.0,6.1,2.4,0.0
03/02/2022 08:00:00.000000,0.199,9.0,22.0,5.4,2.4,0.0
03/02/2022 10:00:00.000000,0.154,9.0,22.0,4.7,2.0,0.0
03/02/2022 11:00:00.000000,0.162,9.0,22.0,5.7,2.7,0.0
03/02/2022 12:00:00.000000,0.173,11.0,21.0,8.3,2.5,0.0
03/02/2022 13:00:00.000000,0.221,14.0,18.0,9.2,2.9,0.0
03/02/2022 14:00:00.000000,0.267,17.0,17.0,17.7,4.6,0.0
03/02/2022 15:00:00.000000,0.324,16.0,17.0,37.2,7.2,0.0
03/02/2022 16:00:00.000000,0.319,12.0,21.0,30.5,6.2,0.0
03/02/2022 17:00:00.000000,0.31,9.0,25.0,20.0,4.0,0.0
03/02/2022 18:00:00.000000,0.341,16.0,24.0,35.1,7.4,0.0
03/02/2022 19:00:00.000000,0.432,22.0,19.0,42.1,8.8,0.0
03/02/2022 20:00:00.000000,0.389,18.0,23.0,38.4,9.8,0.0
03/02/2022 21:00:00.000000,0.409,19.0,24.0,33.4,11.2,0.0
03/02/2022 22:00:00.000000,0.692,21.0,24.0,39.8,14.1,0.0
03/02/2022 23:00:00.000000,0.7,22.0,22.0,51.1,18.1,0.0
03/03/2022 00:00:00.000000,0.507,28.0,17.0,44.7,18.7,0.0
03/03/2022 01:00:00.000000,0.625,40.0,5.0,69.0,25.7,0.0
03/03/2022 02:00:00.000000,0.673,44.0,3.0,93.1,33.4,0.0
03/03/2022 03:00:00.000000,0.86,47.0,1.0,109.2,39.4,0.0
03/03/2022 05:00:00.000000,0.38,22.0,15.0,19.5,7.6,0.0
03/03/2022 06:00:00.000000,0.282,16.0,18.0,23.7,7.9,0.0
03/03/2022 07:00:00.000000,0.288,16.0,16.0,32.4,9.5,0.0
03/03/2022 08:00:00.000000,0.263,17.0,15.0,19.4,7.4,0.0
03/03/2022 10:00:00.000000,0.229,17.0,14.0,20.9,7.9,0.0
03/03/2022 11:00:00.000000,0.216,14.0,17.0,10.6,4.6,0.0
03/03/2022 12:00:00.000000,0.252,18.0,14.0,13.8,4.9,0.0
03/03/2022 13:00:00.000000,0.246,16.0,15.0,12.5,4.5,0.0
03/03/2022 14:00:00.000000,0.435,24.0,9.0,33.9,8.2,0.0
03/03/2022 15:00:00.000000,0.563,24.0,11.0,42.3,10.0,0.0
03/03/2022 16:00:00.000000,0.459,22.0,16.0,42.0,8.8,0.0
03/03/2022 17:00:00.000000,0.39,18.0,22.0,27.9,6.0,0.0
03/03/2022 18:00:00.000000,0.289,14.0,28.0,23.9,4.8,0.0
03/03/2022 19:00:00.000000,0.268,11.0,32.0,17.9,4.2,0.0
03/03/2022 20:00:00.000000,0.29,13.0,33.0,24.2,5.2,0.0
03/03/2022 21:00:00.000000,0.357,16.0,32.0,46.3,7.5,0.0
03/03/2022 22:00:00.000000,0.362,14.0,33.0,46.2,6.1,0.0
03/03/2022 23:00:00.000000,0.418,12.0,33.0,25.8,4.7,0.0
03/04/2022 00:00:00.000000,0.399,27.0,20.0,56.1,20.5,0.0
03/04/2022 01:00:00.000000,0.412,23.0,23.0,60.0,22.5,0.0
03/04/2022 02:00:00.000000,0.445,26.0,19.0,57.1,24.2,0.0
03/04/2022 03:00:00.000000,0.401,23.0,20.0,51.6,24.0,0.0
03/04/2022 05:00:00.000000,0.368,24.0,15.0,47.3,23.0,0.0
03/04/2022 06:00:00.000000,0.304,25.0,10.0,45.5,21.6,0.0
03/04/2022 07:00:00.000000,0.305,22.0,10.0,52.3,22.9,0.0
03/04/2022 08:00:00.000000,0.343,25.0,7.0,52.1,23.4,0.0
03/04/2022 10:00:00.000000,0.545,33.0,2.0,43.9,19.8,0.0
03/04/2022 11:00:00.000000,0.316,21.0,14.0,23.4,10.2,0.0
03/04/2022 12:00:00.000000,0.55,34.0,2.0,42.6,17.9,0.0
03/04/2022 13:00:00.000000,0.525,26.0,13.0,33.6,11.8,0.0
03/04/2022 14:00:00.000000,0.314,16.0,26.0,22.9,5.2,0.0
03/04/2022 15:00:00.000000,0.299,17.0,26.0,28.4,6.1,0.0
03/04/2022 16:00:00.000000,0.323,22.0,23.0,48.6,8.9,0.0
03/04/2022 17:00:00.000000,0.309,20.0,25.0,43.6,10.0,0.0
