InstrumentName, I-25 Globeville,,,,,
StartTime, 2022-03-01 00:00:00,,,,,
EndTime, 2022-03-31 23:59:59,,,,,
Date,Nitrogen dioxide,Outdoor Temperature,PM2.5 - Local Conditions,Relative Humidity,Wind Direction,Wind Speed
03/01/2022 02:16:00.000000,40.85,54.801849,4.757143,17.6922,280.848292,6.562744
03/01/2022 02:17:00.000000,42.766667,54.785645,3.983133,17.572266,281.855367,6.340576
03/01/2022 02:18:00.000000,42.52,54.723846,3.853571,17.650848,287.060644,6.1396
03/01/2022 02:19:00.000000,40.65,54.806519,3.501266,17.74469,286.279485,4.113086
03/01/2022 02:20:00.000000,46.333333,54.809814,3.414286,17.696167,287.036244,4.798047
03/01/2022 02:21:00.000000,45.3,54.712036,6.171429,17.740417,292.003326,3.960645
03/01/2022 02:22:00.000000,46.183333,54.626617,5.950633,17.914673,301.158894,4.2542480000000005
03/01/2022 02:23:00.000000,45.75,54.55191,5.385714,18.136078,297.299624,4.717041
03/01/2022 02:24:00.000000,47.966667,54.471985,5.375,18.192383,318.742841,5.652881
03/01/2022 02:25:00.000000,44.3,54.477478,7.507143,18.171173,318.816257,6.56582
03/01/2022 02:26:00.000000,42.083333,54.462372,6.985714,18.028503,329.641127,6.332031
03/01/2022 02:27:00.000000,31.45,54.473084,4.033333,17.949768,331.617915,6.656738
03/01/2022 02:28:00.000000,28.083333,54.437927,3.203571,18.026367,331.413876,6.921289
03/01/2022 02:29:00.000000,28.383333,54.227264,4.260714,18.260895,332.260275,7.108936
03/01/2022 02:30:00.000000,37.283333,54.035278,6.610714,18.664032,332.049339,7.859863
03/01/2022 02:31:00.000000,36.366667,53.860596,5.177778,18.799225,328.27335,8.692139000000001
03/01/2022 02:32:00.000000,41.783333,53.68866,3.67439,18.998962,325.824741,8.002051
03/01/2022 02:33:00.000000,33.966667,53.712006,6.096429,19.116455,325.956186,6.553857
03/01/2022 02:34:00.000000,39.083333,53.669433,13.785714,19.396912,314.263178,4.339697
03/01/2022 02:35:00.000000,43.3,53.574951,10.871429,19.421173,318.284914,5.707227
03/01/2022 02:36:00.000000,35.883333,53.477447,4.482143,19.356934,328.60474,7.0604
03/01/2022 02:37:00.000000,34.983333,53.510681,4.685714,19.175964,331.686611,7.289404
03/01/2022 02:38:00.000000,36.316667,53.598846,6.053571,19.108215,326.116933,6.59248
03/01/2022 02:39:00.000000,44.116667,53.563416,5.953571,19.217621,319.803858,5.446777
03/01/2022 02:40:00.000000,35.7,53.395874,4.592857,19.369293,305.326447,6.230518
03/01/2022 02:41:00.000000,48.116667,53.196197,10.017857,19.719635,301.228404,5.552393
03/01/2022 02:42:00.000000,47.566667,53.119843,10.728571,19.930817,290.906049,3.294824
03/01/2022 02:43:00.000000,46.983333,52.927032,5.753571,19.955994,300.636522,4.8124020000000005
03/01/2022 02:44:00.000000,45.366667,52.853424,4.392857,19.955078,296.37482,3.808203
03/01/2022 02:45:00.000000,44.35,52.849304,5.103571,19.908234,292.891614,5.041406
03/01/2022 02:46:00.000000,36.233333,52.862488,5.425,19.938599,292.428428,2.119727
03/01/2022 02:47:00.000000,37.433333,52.832001,6.563855,19.916779,289.967521,2.828271
03/01/2022 02:48:00.000000,38.433333,52.807007,7.27561,19.910675,301.261313,3.520752
03/01/2022 02:49:00.000000,39.566667,52.887482,6.964,19.815155,289.444228,3.739502
03/01/2022 02:50:00.000000,40.983333,52.94873,6.188608,19.655396,293.348772,3.371729
03/01/2022 02:51:00.000000,41.966667,52.971252,6.610127,19.560333,253.305622,2.604736
03/01/2022 02:52:00.000000,43.116667,53.074524,6.207143,19.487854,250.960442,1.323682
03/01/2022 02:53:00.000000,43.85,53.068756,6.232143,19.558502,238.928902,2.263281
03/01/2022 02:54:00.000000,44.533333,53.042664,6.978571,19.557587,248.8457,2.794092
03/01/2022 02:55:00.000000,38.2,53.126984,6.916867,19.514557,258.683619,4.363281000000001
03/01/2022 02:56:00.000000,50.766667,53.135223,5.508537,19.215332,266.236399,4.204346
03/01/2022 02:57:00.000000,39.966667,53.169556,4.575,19.012695,274.865415,3.426416
03/01/2022 02:58:00.000000,37.4,53.170105,5.864286,18.813568,290.58896,5.48916
03/01/2022 02:59:00.000000,30.32,53.221191,6.807143,18.733307,284.536276,5.311768
03/01/2022 03:00:00.000000,30.116667,53.139343,5.544578,18.698669,292.356384,5.857617
03/01/2022 03:01:00.000000,31.333333,53.161865,3.65,18.648315,291.989633,4.925537
03/01/2022 03:02:00.000000,31.616667,53.26651,4.5,18.575226,284.460364,5.483691
03/01/2022 03:03:00.000000,32.283333,53.274475,4.942857,18.475586,282.738323,5.686035
03/01/2022 03:04:00.000000,39.3,53.268158,4.092857,18.427216,273.349867,5.045166
03/01/2022 03:05:00.000000,36.8,53.309631,3.678571,18.209778,285.507063,6.094482
03/01/2022 03:06:00.000000,34.333333,53.328857,4.739286,18.247162,297.419087,6.7979
03/01/2022 03:07:00.000000,34.15,53.358246,4.2125,18.207184,294.265734,6.72749
03/01/2022 03:08:00.000000,35.566667,53.344513,2.792857,18.281189,301.842294,5.828223
03/01/2022 03:09:00.000000,44.816667,53.31073,2.967857,18.353363,300.488383,5.611182
03/01/2022 03:10:00.000000,45.7,53.313202,3.090244,18.247467,304.241292,6.076709
03/01/2022 03:11:00.000000,37.4,53.38681,3.053571,18.181091,300.576284,6.293408
03/01/2022 03:12:00.000000,36.516667,53.326111,3.367857,18.236481,303.385214,6.182666
03/01/2022 03:13:00.000000,38.366667,53.306885,3.650633,18.234497,304.086451,6.530615
03/01/2022 03:14:00.000000,40.65,53.309082,6.138554,18.261505,302.583479,5.656982
03/01/2022 03:15:00.000000,40.0,53.320618,6.103571,18.2789,306.946088,5.030469
03/01/2022 03:16:00.000000,39.3,53.280792,3.503571,18.237854,298.240421,5.058154
03/01/2022 03:17:00.000000,38.316667,53.169006,3.483133,18.374573,290.410696,4.71499
03/01/2022 03:18:00.000000,37.433333,53.022888,6.142105,18.45636,282.776479,4.592285
03/01/2022 03:19:00.000000,36.1,52.947906,5.511111,18.423096,282.996045,2.735645
03/01/2022 03:20:00.000000,34.95,52.92923,4.55,18.552032,300.380998,3.262354
03/01/2022 03:21:00.000000,40.816667,52.966858,4.796429,18.519531,297.961594,3.730957
03/01/2022 03:22:00.000000,45.316667,52.965485,4.471084,18.477112,309.36572,1.395117
03/01/2022 03:23:00.000000,48.566667,52.904785,4.640964,18.564697,288.10671,1.6569340000000001
03/01/2022 03:24:00.000000,48.1,52.894897,4.017857,18.586517,311.892134,2.231494
03/01/2022 03:25:00.000000,47.35,52.898193,4.457143,18.649994,295.565893,3.189893
