InstrumentName, I-25 Glo Collo (CS2),,,,,,,,,,,,,,
StartTime, 2022-03-01 00:00:00,,,,,,,,,,,,,,
EndTime, 2022-03-31 23:59:59,,,,,,,,,,,,,,
Date,*Lat,*Lon,F1,F3,F4,Hmdty,PM10,PM102,PM1_0,PM1_02,Sig,Temp,Uncertainty,pm25_r,pm25_r2
03/14/2022 16:21:36.272000,38.0,-97.0,0.0,0.0,0.0,33.9,2.11,0.19,0.0,0.0,29.0,65.84,4100000.0,1.41,0.11
03/14/2022 16:22:37.785000,38.0,-97.0,0.0,0.0,0.0,33.7,1.85,0.78,0.0,0.0,29.0,66.38,4100000.0,0.97,0.45
03/14/2022 16:23:37.086000,38.0,-97.0,0.0,0.0,0.0,33.7,2.08,0.58,0.17,0.35,28.0,66.38,4100000.0,1.05,0.58
03/14/2022 16:24:36.378000,38.0,-97.0,0.0,0.0,0.0,33.7,2.3,0.67,0.27,0.1,27.0,66.56,4100000.0,1.2,0.6
03/14/2022 16:25:38.965000,38.0,-97.0,0.0,0.0,0.0,33.6,1.27,0.6,0.07,0.0,27.0,66.56,4100000.0,0.72,0.47
03/14/2022 16:26:35.904000,38.0,-97.0,0.0,0.0,0.0,33.5,0.38,0.43,0.0,0.0,28.0,66.74,4100000.0,0.38,0.08
03/14/2022 16:27:36.919000,38.0,-97.0,0.0,0.0,0.0,33.5,0.18,0.25,0.0,0.0,28.0,66.74,4100000.0,0.18,0.02
03/14/2022 16:28:37.751000,38.0,-97.0,0.0,0.0,0.0,33.4,0.03,0.0,0.0,0.0,28.0,66.92,4100000.0,0.03,0.0
03/14/2022 16:29:36.530000,38.0,-97.0,0.0,0.0,0.0,33.4,0.13,0.03,0.0,0.0,29.0,66.92,4100000.0,0.13,0.03
03/14/2022 16:30:38.541000,38.0,-97.0,0.0,0.0,0.0,33.3,0.3,0.05,0.0,0.0,26.0,67.1,4100000.0,0.3,0.05
03/14/2022 16:31:36.992000,38.0,-97.0,0.0,0.0,0.0,33.4,0.45,0.07,0.0,0.0,29.0,67.28,4100000.0,0.45,0.07
03/14/2022 16:32:35.880000,38.0,-97.0,0.0,0.0,0.0,33.4,0.65,0.27,0.0,0.27,30.0,67.28,4100000.0,0.65,0.27
03/14/2022 16:33:37.518000,38.0,-97.0,0.0,0.0,0.0,33.5,0.72,0.35,0.0,0.17,28.0,67.46,4100000.0,0.72,0.27
03/14/2022 16:34:39.190000,38.0,-97.0,0.0,0.0,0.0,33.4,1.03,0.37,0.07,0.0,28.0,67.46,4100000.0,0.68,0.23
                
