InstrumentName, NREL
StartTime, 2022-03-01 00:00:00
EndTime, 2022-03-31 23:59:59
Date,O3
03/01/2022 00:00:00.000000,48.0
03/01/2022 01:00:00.000000,47.0
03/01/2022 02:00:00.000000,46.0
03/01/2022 03:00:00.000000,47.0
03/01/2022 05:00:00.000000,47.0
03/01/2022 06:00:00.000000,46.0
03/01/2022 08:00:00.000000,46.0
03/01/2022 10:00:00.000000,45.0
03/01/2022 11:00:00.000000,45.0
03/01/2022 12:00:00.000000,46.0
03/01/2022 13:00:00.000000,44.0
03/01/2022 14:00:00.000000,42.0
03/01/2022 15:00:00.000000,36.0
03/01/2022 16:00:00.000000,35.0
03/01/2022 17:00:00.000000,40.0
03/01/2022 18:00:00.000000,44.0
03/01/2022 19:00:00.000000,46.0
03/01/2022 20:00:00.000000,48.0
03/01/2022 21:00:00.000000,49.0
03/01/2022 22:00:00.000000,49.0
03/01/2022 23:00:00.000000,47.0
03/02/2022 00:00:00.000000,36.0
03/02/2022 01:00:00.000000,35.0
03/02/2022 02:00:00.000000,37.0
03/02/2022 03:00:00.000000,37.0
03/02/2022 05:00:00.000000,36.0
03/02/2022 06:00:00.000000,36.0
03/02/2022 07:00:00.000000,36.0
03/02/2022 08:00:00.000000,37.0
03/02/2022 10:00:00.000000,37.0
03/02/2022 11:00:00.000000,37.0
03/02/2022 12:00:00.000000,36.0
03/02/2022 13:00:00.000000,36.0
03/02/2022 14:00:00.000000,36.0
03/02/2022 15:00:00.000000,36.0
03/02/2022 16:00:00.000000,32.0
03/02/2022 17:00:00.000000,34.0
03/02/2022 18:00:00.000000,33.0
03/02/2022 19:00:00.000000,38.0
03/02/2022 20:00:00.000000,41.0
03/02/2022 21:00:00.000000,44.0
03/02/2022 22:00:00.000000,44.0
03/02/2022 23:00:00.000000,42.0
03/03/2022 00:00:00.000000,38.0
03/03/2022 01:00:00.000000,35.0
03/03/2022 02:00:00.000000,33.0
03/03/2022 03:00:00.000000,34.0
03/03/2022 05:00:00.000000,34.0
03/03/2022 06:00:00.000000,35.0
03/03/2022 07:00:00.000000,36.0
03/03/2022 08:00:00.000000,36.0
03/03/2022 10:00:00.000000,38.0
03/03/2022 11:00:00.000000,40.0
03/03/2022 12:00:00.000000,38.0
03/03/2022 13:00:00.000000,38.0
03/03/2022 14:00:00.000000,38.0
03/03/2022 15:00:00.000000,41.0
03/03/2022 16:00:00.000000,35.0
03/03/2022 17:00:00.000000,35.0
03/03/2022 18:00:00.000000,38.0
03/03/2022 19:00:00.000000,43.0
03/03/2022 20:00:00.000000,42.0
03/03/2022 21:00:00.000000,45.0
03/03/2022 22:00:00.000000,48.0
03/03/2022 23:00:00.000000,45.0
03/04/2022 00:00:00.000000,40.0
03/04/2022 01:00:00.000000,36.0
03/04/2022 02:00:00.000000,37.0
03/04/2022 03:00:00.000000,39.0
03/04/2022 05:00:00.000000,35.0
03/04/2022 06:00:00.000000,40.0
03/04/2022 07:00:00.000000,27.0
03/04/2022 08:00:00.000000,23.0
03/04/2022 10:00:00.000000,41.0
03/04/2022 11:00:00.000000,45.0
03/04/2022 12:00:00.000000,47.0
03/04/2022 13:00:00.000000,47.0
03/04/2022 14:00:00.000000,46.0
03/04/2022 15:00:00.000000,45.0
03/04/2022 16:00:00.000000,46.0
03/04/2022 17:00:00.000000,49.0
03/04/2022 18:00:00.000000,50.0
03/04/2022 19:00:00.000000,52.0
03/04/2022 20:00:00.000000,56.0
03/04/2022 21:00:00.000000,56.0
03/04/2022 22:00:00.000000,54.0
03/04/2022 23:00:00.000000,52.0
03/05/2022 00:00:00.000000,47.0
03/05/2022 01:00:00.000000,49.0
03/05/2022 02:00:00.000000,51.0
03/05/2022 03:00:00.000000,49.0
03/05/2022 05:00:00.000000,45.0
03/05/2022 06:00:00.000000,48.0
03/05/2022 07:00:00.000000,28.0
03/05/2022 08:00:00.000000,24.0
03/05/2022 10:00:00.000000,25.0
03/05/2022 11:00:00.000000,29.0
03/05/2022 12:00:00.000000,20.0
03/05/2022 13:00:00.000000,17.0
03/05/2022 14:00:00.000000,14.0
03/05/2022 15:00:00.000000,17.0
03/05/2022 16:00:00.000000,20.0
03/05/2022 17:00:00.000000,11.0
03/05/2022 18:00:00.000000,12.0
03/05/2022 19:00:00.000000,15.0
03/05/2022 20:00:00.000000,16.0
03/05/2022 21:00:00.000000,19.0
03/05/2022 22:00:00.000000,21.0
03/05/2022 23:00:00.000000,25.0
03/06/2022 00:00:00.000000,30.0
03/06/2022 01:00:00.000000,29.0
03/06/2022 02:00:00.000000,27.0
03/06/2022 03:00:00.000000,27.0
03/06/2022 05:00:00.000000,31.0
03/06/2022 06:00:00.000000,34.0
03/06/2022 07:00:00.000000,35.0
03/06/2022 08:00:00.000000,35.0
03/06/2022 10:00:00.000000,39.0
03/06/2022 11:00:00.000000,39.0
03/06/2022 12:00:00.000000,38.0
03/06/2022 13:00:00.000000,37.0
03/06/2022 14:00:00.000000,42.0
03/06/2022 15:00:00.000000,42.0
03/06/2022 16:00:00.000000,42.0
03/06/2022 17:00:00.000000,41.0
03/06/2022 18:00:00.000000,40.0
03/06/2022 19:00:00.000000,42.0
03/06/2022 20:00:00.000000,43.0
03/06/2022 21:00:00.000000,45.0
03/06/2022 22:00:00.000000,44.0
03/06/2022 23:00:00.000000,42.0
03/07/2022 00:00:00.000000,44.0
03/07/2022 01:00:00.000000,45.0
03/07/2022 02:00:00.000000,45.0
03/07/2022 03:00:00.000000,45.0
03/07/2022 05:00:00.000000,45.0
03/07/2022 06:00:00.000000,42.0
03/07/2022 07:00:00.000000,42.0
03/07/2022 08:00:00.000000,38.0
03/07/2022 10:00:00.000000,38.0
03/07/2022 11:00:00.000000,38.0
03/07/2022 12:00:00.000000,35.0
03/07/2022 13:00:00.000000,33.0
03/07/2022 14:00:00.000000,34.0
03/07/2022 15:00:00.000000,38.0
03/07/2022 16:00:00.000000,38.0
03/07/2022 17:00:00.000000,46.0
03/07/2022 19:00:00.000000,50.0
03/07/2022 20:00:00.000000,51.0
03/07/2022 21:00:00.000000,51.0
03/07/2022 22:00:00.000000,50.0
03/07/2022 23:00:00.000000,46.0
03/08/2022 00:00:00.000000,45.0
03/08/2022 01:00:00.000000,36.0
03/08/2022 02:00:00.000000,32.0
03/08/2022 03:00:00.000000,34.0
03/08/2022 05:00:00.000000,39.0
03/08/2022 06:00:00.000000,41.0
03/08/2022 07:00:00.000000,43.0
03/08/2022 08:00:00.000000,46.0
03/08/2022 10:00:00.000000,48.0
03/08/2022 11:00:00.000000,48.0
03/08/2022 12:00:00.000000,49.0
03/08/2022 13:00:00.000000,49.0
03/08/2022 14:00:00.000000,49.0
