InstrumentName, I-25 Denver,,
StartTime, 2022-03-01 00:00:00,,
EndTime, 2022-03-31 23:59:59,,
Date,CO,NO2,PM2.5
03/01/2022 01:00:00.000000,0.796,36.0,9.2
03/01/2022 02:00:00.000000,0.492,24.0,4.8
03/01/2022 03:00:00.000000,0.878,43.0,13.2
03/01/2022 05:00:00.000000,0.569,44.0,6.8
03/01/2022 06:00:00.000000,0.385,35.0,4.4
03/01/2022 08:00:00.000000,0.348,28.0,2.4
03/01/2022 10:00:00.000000,0.445,42.0,4.0
03/01/2022 11:00:00.000000,0.467,41.0,3.6
03/01/2022 12:00:00.000000,0.461,35.0,3.2
03/01/2022 13:00:00.000000,0.596,42.0,4.3
03/01/2022 14:00:00.000000,0.774,42.0,8.9
03/01/2022 15:00:00.000000,0.566,32.0,8.1
03/01/2022 16:00:00.000000,0.337,22.0,6.6
03/01/2022 17:00:00.000000,0.283,17.0,4.9
03/01/2022 18:00:00.000000,0.259,10.0,3.2
03/01/2022 19:00:00.000000,0.181,4.0,2.3
03/01/2022 20:00:00.000000,0.219,9.0,3.0
03/01/2022 21:00:00.000000,0.23,9.0,3.1
03/01/2022 22:00:00.000000,0.62,27.0,3.5
03/01/2022 23:00:00.000000,0.559,24.0,4.4
03/02/2022 01:00:00.000000,0.905,36.0,7.1
03/02/2022 02:00:00.000000,0.55,21.0,5.5
03/02/2022 03:00:00.000000,0.377,23.0,4.5
03/02/2022 05:00:00.000000,0.474,34.0,5.1
03/02/2022 06:00:00.000000,0.396,31.0,3.1
03/02/2022 07:00:00.000000,0.339,32.0,4.2
03/02/2022 08:00:00.000000,0.298,29.0,3.2
03/02/2022 10:00:00.000000,0.33,32.0,3.0
03/02/2022 11:00:00.000000,0.303,25.0,2.3
03/02/2022 12:00:00.000000,0.411,30.0,4.0
03/02/2022 13:00:00.000000,0.783,35.0,7.9
03/02/2022 14:00:00.000000,0.523,30.0,6.3
03/02/2022 15:00:00.000000,0.378,21.0,6.2
03/02/2022 16:00:00.000000,0.227,14.0,5.7
03/02/2022 17:00:00.000000,0.228,11.0,5.7
03/02/2022 18:00:00.000000,0.364,19.0,7.2
03/02/2022 19:00:00.000000,0.631,28.0,9.6
03/02/2022 20:00:00.000000,0.467,26.0,7.9
03/02/2022 21:00:00.000000,0.522,27.0,10.7
03/02/2022 22:00:00.000000,0.483,31.0,11.4
03/02/2022 23:00:00.000000,0.505,28.0,11.4
03/03/2022 00:00:00.000000,0.675,33.0,13.4
03/03/2022 01:00:00.000000,0.825,39.0,15.9
03/03/2022 05:00:00.000000,0.572,31.0,6.9
03/03/2022 06:00:00.000000,0.375,28.0,6.8
03/03/2022 07:00:00.000000,0.361,27.0,6.5
03/03/2022 08:00:00.000000,0.372,27.0,7.4
03/03/2022 10:00:00.000000,0.735,28.0,9.6
03/03/2022 11:00:00.000000,0.854,28.0,9.2
03/03/2022 12:00:00.000000,0.99,29.0,9.6
03/03/2022 13:00:00.000000,1.332,32.0,13.3
03/03/2022 14:00:00.000000,1.162,35.0,14.4
03/03/2022 15:00:00.000000,0.55,30.0,13.8
03/03/2022 16:00:00.000000,0.368,21.0,10.2
03/03/2022 17:00:00.000000,0.305,17.0,7.6
03/03/2022 18:00:00.000000,0.386,21.0,6.1
03/03/2022 19:00:00.000000,0.363,21.0,5.2
03/03/2022 20:00:00.000000,0.529,27.0,8.0
03/03/2022 21:00:00.000000,0.528,30.0,7.1
03/03/2022 22:00:00.000000,0.539,32.0,6.7
03/03/2022 23:00:00.000000,0.568,28.0,8.2
03/04/2022 00:00:00.000000,0.661,31.0,14.9
03/04/2022 01:00:00.000000,0.763,32.0,16.2
03/04/2022 02:00:00.000000,0.596,29.0,18.2
03/04/2022 03:00:00.000000,0.524,28.0,17.7
03/04/2022 05:00:00.000000,0.584,31.0,20.0
03/04/2022 06:00:00.000000,0.492,25.0,16.7
03/04/2022 07:00:00.000000,0.394,22.0,16.8
03/04/2022 08:00:00.000000,0.533,28.0,17.5
03/04/2022 10:00:00.000000,0.56,31.0,12.8
03/04/2022 11:00:00.000000,0.553,31.0,10.3
03/04/2022 12:00:00.000000,0.771,31.0,11.7
03/04/2022 13:00:00.000000,1.279,36.0,15.4
03/04/2022 14:00:00.000000,0.679,36.0,7.9
03/04/2022 15:00:00.000000,0.651,37.0,10.1
03/04/2022 16:00:00.000000,0.499,39.0,10.9
03/04/2022 17:00:00.000000,0.435,34.0,9.6
03/04/2022 18:00:00.000000,0.401,35.0,9.9
03/04/2022 19:00:00.000000,0.316,22.0,8.5
03/04/2022 20:00:00.000000,0.472,28.0,6.5
03/04/2022 21:00:00.000000,0.348,22.0,5.1
03/04/2022 22:00:00.000000,0.406,18.0,8.4
03/04/2022 23:00:00.000000,0.385,20.0,4.5
03/05/2022 00:00:00.000000,0.506,25.0,4.5
03/05/2022 01:00:00.000000,0.639,24.0,4.9
03/05/2022 02:00:00.000000,0.437,15.0,7.0
03/05/2022 03:00:00.000000,0.349,18.0,4.0
03/05/2022 05:00:00.000000,0.531,19.0,5.0
03/07/2022 15:00:00.000000,0.4,23.0,7.4
03/07/2022 16:00:00.000000,0.363,22.0,9.7
03/07/2022 17:00:00.000000,,11.0,9.1
03/07/2022 18:00:00.000000,0.249,14.0,10.2
03/07/2022 19:00:00.000000,0.359,19.0,12.1
03/07/2022 20:00:00.000000,0.352,20.0,12.2
03/07/2022 21:00:00.000000,0.41,23.0,12.0
03/07/2022 22:00:00.000000,0.514,,13.1
03/07/2022 23:00:00.000000,0.597,36.0,11.9
03/08/2022 00:00:00.000000,0.524,29.0,10.5
03/08/2022 01:00:00.000000,0.645,33.0,10.5
03/08/2022 02:00:00.000000,0.566,31.0,11.7
03/08/2022 05:00:00.000000,0.552,32.0,14.4
03/08/2022 06:00:00.000000,0.408,29.0,13.7
03/08/2022 07:00:00.000000,0.322,24.0,11.9
03/08/2022 08:00:00.000000,0.302,22.0,9.3
03/08/2022 10:00:00.000000,0.349,32.0,5.4
03/08/2022 11:00:00.000000,0.574,44.0,5.9
03/08/2022 12:00:00.000000,0.462,44.0,5.8
03/08/2022 13:00:00.000000,0.498,40.0,7.6
03/08/2022 14:00:00.000000,0.608,37.0,8.9
03/08/2022 15:00:00.000000,0.475,27.0,9.5
03/08/2022 16:00:00.000000,0.37,23.0,8.2
03/08/2022 17:00:00.000000,0.313,21.0,6.7
03/08/2022 18:00:00.000000,0.238,12.0,6.3
03/08/2022 19:00:00.000000,0.273,13.0,6.9
03/08/2022 20:00:00.000000,0.301,16.0,8.8
03/08/2022 21:00:00.000000,0.259,12.0,6.9
03/08/2022 22:00:00.000000,0.216,10.0,5.4
