InstrumentName, Woods Park B,,
StartTime, 2019-11-01 00:00:00,,
EndTime, 2019-11-30 23:59:59,,
Date,PM1.0,PM10.0,PM2.5
11/01/2019 00:01:53.000000,17.21,23.4,21.37
11/01/2019 00:03:53.000000,16.63,21.8,20.84
11/01/2019 00:05:53.000000,20.03,27.2,25.54
11/01/2019 00:07:53.000000,18.52,26.07,24.28
11/01/2019 00:09:53.000000,19.71,26.58,25.11
11/01/2019 00:11:53.000000,19.32,25.69,24.44
11/01/2019 00:13:53.000000,20.37,26.39,25.08
11/01/2019 00:15:53.000000,20.61,30.49,27.97
11/01/2019 00:17:53.000000,21.99,29.67,27.43
11/01/2019 00:19:53.000000,20.15,29.18,26.67
11/01/2019 00:21:53.000000,20.4,28.36,25.92
11/01/2019 00:23:53.000000,18.94,26.83,23.91
11/01/2019 00:25:53.000000,19.41,26.13,24.69
11/01/2019 00:27:53.000000,20.1,27.43,25.18
11/01/2019 00:29:53.000000,19.43,27.2,25.64
11/01/2019 00:31:53.000000,18.61,26.13,23.57
11/01/2019 00:33:53.000000,18.25,25.25,23.54
11/01/2019 00:35:53.000000,18.46,25.26,23.93
11/01/2019 00:37:53.000000,17.3,24.35,22.68
11/01/2019 00:39:53.000000,17.9,24.59,22.65
11/01/2019 00:41:53.000000,18.1,24.19,22.84
11/01/2019 00:43:53.000000,17.43,23.32,21.49
11/01/2019 00:45:53.000000,18.34,23.51,22.1
11/01/2019 00:47:53.000000,17.36,23.9,21.94
11/01/2019 00:49:53.000000,16.97,22.68,21.78
11/01/2019 00:51:53.000000,17.64,23.03,22.26
11/01/2019 00:53:53.000000,16.46,22.42,21.35
11/01/2019 00:55:53.000000,17.54,24.34,22.64
11/01/2019 00:57:53.000000,17.76,23.81,22.35
11/01/2019 00:59:53.000000,18.13,25.13,23.46
11/01/2019 01:01:53.000000,17.82,24.23,22.7
11/01/2019 01:03:53.000000,17.7,23.69,22.23
11/01/2019 01:05:53.000000,18.38,25.71,24.33
11/01/2019 01:07:53.000000,17.86,24.67,23.05
11/01/2019 01:09:53.000000,18.51,25.84,24.43
11/01/2019 01:11:53.000000,18.74,25.04,23.16
11/01/2019 01:13:53.000000,18.87,26.19,23.47
11/01/2019 01:15:53.000000,18.79,25.83,23.7
11/01/2019 01:17:53.000000,18.72,24.3,23.09
11/01/2019 01:19:53.000000,19.17,25.96,24.59
11/01/2019 01:21:53.000000,19.3,26.0,24.65
11/01/2019 01:23:53.000000,18.94,26.15,25.01
11/01/2019 01:25:53.000000,19.28,25.85,24.57
11/01/2019 01:27:53.000000,17.93,24.57,22.94
11/01/2019 01:29:53.000000,18.94,26.13,23.62
11/01/2019 01:31:53.000000,18.34,24.8,23.47
11/01/2019 01:33:53.000000,17.99,25.22,22.96
11/01/2019 01:35:53.000000,18.68,26.62,24.24
11/01/2019 01:37:53.000000,18.73,25.84,23.96
11/01/2019 01:39:53.000000,18.66,25.82,24.3
11/01/2019 01:41:53.000000,19.08,26.17,24.85
11/01/2019 01:43:53.000000,19.18,25.87,24.29
11/01/2019 01:45:53.000000,19.84,27.21,25.09
11/01/2019 01:47:53.000000,18.23,25.7,23.66
11/01/2019 01:49:53.000000,18.07,25.21,23.47
11/01/2019 01:51:53.000000,18.01,25.17,23.25
11/01/2019 01:53:53.000000,18.32,25.77,23.58
11/01/2019 01:55:53.000000,17.39,24.37,22.65
11/01/2019 01:57:53.000000,16.61,24.23,22.16
11/01/2019 01:59:53.000000,15.28,21.04,20.16
11/01/2019 02:01:53.000000,16.26,22.9,20.22
11/01/2019 02:03:53.000000,15.34,21.44,19.21
11/01/2019 02:05:53.000000,14.75,20.99,18.96
11/01/2019 02:07:53.000000,14.62,20.55,18.95
11/01/2019 02:09:53.000000,14.41,20.21,18.07
11/01/2019 02:11:53.000000,13.74,19.24,17.4
11/01/2019 02:13:53.000000,14.42,19.8,18.22
11/01/2019 02:15:53.000000,14.18,18.79,17.16
11/01/2019 02:17:53.000000,13.46,19.61,18.13
11/01/2019 02:19:53.000000,14.04,19.2,17.89
11/01/2019 02:21:53.000000,14.58,20.47,19.21
11/01/2019 02:23:53.000000,14.26,19.31,17.78
11/01/2019 02:25:53.000000,14.18,19.49,17.44
11/01/2019 02:27:53.000000,14.73,21.16,18.39
11/01/2019 02:29:53.000000,14.53,20.19,18.49
11/01/2019 02:31:53.000000,14.53,19.71,17.87
11/01/2019 02:33:53.000000,14.77,21.04,18.94
11/01/2019 02:35:53.000000,15.46,21.46,20.0
11/01/2019 02:37:53.000000,14.54,20.06,18.35
11/01/2019 02:39:53.000000,14.96,20.4,18.5
11/01/2019 02:41:53.000000,15.24,21.76,20.72
11/01/2019 02:43:53.000000,15.23,21.13,20.03
11/01/2019 02:45:53.000000,15.58,22.86,20.54
11/01/2019 02:47:53.000000,15.36,20.86,19.83
11/01/2019 02:49:53.000000,15.07,20.0,19.6
11/01/2019 02:51:53.000000,15.0,20.99,19.0
11/01/2019 02:53:53.000000,16.01,22.34,20.96
11/01/2019 02:55:53.000000,16.04,21.14,20.09
11/01/2019 02:57:53.000000,16.12,22.03,20.72
11/01/2019 02:59:53.000000,15.81,21.36,19.7
11/01/2019 03:01:53.000000,16.13,21.6,20.71
11/01/2019 03:03:53.000000,17.55,25.93,22.23
11/01/2019 03:05:53.000000,18.26,26.65,24.45
11/01/2019 03:07:53.000000,17.61,24.35,22.44
11/01/2019 03:09:53.000000,17.49,26.79,24.18
11/01/2019 03:13:53.000000,19.35,28.91,26.2
11/01/2019 03:15:53.000000,24.15,38.7,34.0
11/01/2019 03:17:53.000000,23.19,36.9,31.33
11/01/2019 03:19:53.000000,25.43,38.09,34.74
11/01/2019 03:21:53.000000,21.35,30.42,28.82
11/01/2019 03:23:53.000000,20.8,30.26,27.31
11/01/2019 03:25:53.000000,20.36,29.97,27.09
11/01/2019 03:27:53.000000,20.51,29.28,27.93
11/01/2019 03:29:53.000000,22.66,30.99,29.9
11/01/2019 03:31:53.000000,23.23,33.17,30.79
11/01/2019 03:33:53.000000,22.72,31.04,28.72
11/01/2019 03:35:53.000000,22.03,31.43,28.57
11/01/2019 03:37:53.000000,23.75,33.9,31.35
11/01/2019 03:39:53.000000,22.31,31.57,29.52
11/01/2019 03:41:53.000000,22.92,32.21,30.02
11/01/2019 03:43:53.000000,24.38,33.67,31.39
11/01/2019 03:45:53.000000,23.3,32.21,30.26
11/01/2019 03:47:53.000000,21.26,30.78,28.43
11/01/2019 03:49:53.000000,21.47,30.06,27.5
11/01/2019 03:51:53.000000,21.46,28.57,27.25
11/01/2019 03:53:53.000000,20.41,29.62,27.9
11/01/2019 03:55:53.000000,20.06,28.03,26.97
11/01/2019 03:57:53.000000,21.4,29.75,26.52
11/01/2019 03:59:53.000000,21.28,29.33,27.85
11/01/2019 04:01:53.000000,20.42,28.96,26.55
11/01/2019 04:03:53.000000,19.39,28.23,26.52
11/01/2019 04:05:53.000000,19.8,28.43,25.94
11/01/2019 04:07:53.000000,19.97,28.29,26.12
11/01/2019 04:09:53.000000,20.01,27.67,26.35
11/01/2019 04:13:53.000000,18.35,25.66,23.69
11/01/2019 04:15:53.000000,17.95,25.45,24.08
11/01/2019 04:17:53.000000,17.81,25.13,24.29
11/01/2019 04:19:53.000000,21.0,29.81,27.57
11/01/2019 04:21:53.000000,23.35,31.94,30.07
11/01/2019 04:23:53.000000,25.33,35.27,32.15
11/01/2019 04:25:53.000000,24.46,34.35,31.91
11/01/2019 04:27:53.000000,24.39,33.37,30.84
11/01/2019 04:29:53.000000,24.24,33.09,30.49
11/01/2019 04:31:53.000000,24.36,33.59,31.7
11/01/2019 04:33:53.000000,23.06,33.12,31.13
11/01/2019 04:35:53.000000,21.04,29.43,26.86
11/01/2019 04:37:53.000000,22.17,31.72,28.51
11/01/2019 04:39:53.000000,22.33,31.73,29.36
11/01/2019 04:41:53.000000,22.3,31.0,28.38
11/01/2019 04:43:53.000000,20.71,30.22,27.47
11/01/2019 04:45:53.000000,22.69,30.69,28.83
11/01/2019 04:47:53.000000,20.75,28.93,27.04
11/01/2019 04:49:53.000000,22.32,31.03,28.94
11/01/2019 04:51:53.000000,22.21,30.19,27.96
11/01/2019 04:53:53.000000,21.8,29.99,27.8
11/01/2019 04:55:53.000000,22.01,28.3,26.82
11/01/2019 04:57:53.000000,21.6,30.81,28.4
11/01/2019 04:59:53.000000,20.34,27.97,25.28
11/01/2019 05:01:53.000000,19.69,28.23,25.7
11/01/2019 05:03:54.000000,20.73,28.48,25.73
11/01/2019 05:05:53.000000,20.29,27.91,25.63
11/01/2019 05:07:53.000000,20.33,28.91,25.48
11/01/2019 05:09:53.000000,19.63,26.97,25.51
11/01/2019 05:11:53.000000,19.19,26.04,23.66
11/01/2019 05:13:53.000000,19.85,25.43,24.63
11/01/2019 05:15:53.000000,17.58,23.73,22.94
11/01/2019 05:17:53.000000,17.66,23.83,22.63
11/01/2019 05:19:53.000000,17.75,25.35,24.44
11/01/2019 05:21:53.000000,17.04,24.57,22.29
11/01/2019 05:23:53.000000,16.63,24.37,21.57
11/01/2019 05:25:53.000000,16.53,23.99,22.88
11/01/2019 05:27:53.000000,16.17,23.65,21.29
11/01/2019 05:29:53.000000,16.22,23.26,22.16
11/01/2019 05:31:53.000000,15.67,22.76,21.06
11/01/2019 05:33:53.000000,14.5,20.76,19.34
11/01/2019 05:35:53.000000,15.19,22.04,20.41
11/01/2019 05:37:53.000000,14.57,22.07,19.96
11/01/2019 05:39:53.000000,13.42,19.7,17.99
11/01/2019 05:43:53.000000,12.13,16.48,15.59
11/01/2019 05:45:53.000000,11.93,16.99,16.2
11/01/2019 05:47:53.000000,12.51,18.18,16.93
11/01/2019 05:49:53.000000,12.69,17.69,15.74
11/01/2019 05:51:53.000000,12.17,16.13,15.3
11/01/2019 05:53:53.000000,12.36,17.51,16.14
11/01/2019 05:55:53.000000,12.36,17.0,16.33
11/01/2019 05:57:53.000000,12.86,19.45,16.87
11/01/2019 05:59:53.000000,11.76,16.69,15.29
11/01/2019 06:01:53.000000,12.4,16.13,15.11
11/01/2019 06:03:53.000000,11.74,18.44,16.27
11/01/2019 06:05:53.000000,12.18,17.67,15.88
11/01/2019 06:07:53.000000,11.7,16.19,14.68
11/01/2019 06:09:53.000000,12.11,17.03,15.46
11/01/2019 06:13:53.000000,11.93,18.46,15.16
11/01/2019 06:15:53.000000,12.35,18.26,16.32
11/01/2019 06:17:53.000000,13.1,19.93,18.06
11/01/2019 06:19:53.000000,12.84,18.99,17.53
11/01/2019 06:21:53.000000,12.49,17.81,16.75
11/01/2019 06:23:53.000000,12.82,17.88,16.66
11/01/2019 06:25:53.000000,11.88,18.06,16.32
11/01/2019 06:27:53.000000,11.8,17.31,15.66
11/01/2019 06:29:53.000000,10.59,14.76,13.93
11/01/2019 06:31:53.000000,11.43,16.4,15.01
11/01/2019 06:33:53.000000,10.9,15.74,14.74
