InstrumentName, Welby,,,
StartTime, 2020-08-01 00:00:00,,,
EndTime, 2020-08-31 23:59:59,,,
Date,NO2,O3,PM10,SO2
08/01/2020 00:00:00.000000,8.0,51.0,,0.0
08/01/2020 01:00:00.000000,10.0,48.0,,0.0
08/01/2020 02:00:00.000000,5.0,53.0,,0.0
08/01/2020 03:00:00.000000,0.0,56.0,,0.0
08/01/2020 04:00:00.000000,,53.0,,0.0
08/01/2020 05:00:00.000000,2.0,53.0,,0.0
08/01/2020 06:00:00.000000,4.0,45.0,,0.0
08/01/2020 07:00:00.000000,9.0,34.0,,0.0
08/01/2020 08:00:00.000000,9.0,29.0,,0.0
08/01/2020 09:00:00.000000,10.0,26.0,,0.0
08/01/2020 10:00:00.000000,12.0,22.0,,0.0
08/01/2020 11:00:00.000000,22.0,9.0,,0.0
08/01/2020 12:00:00.000000,22.0,7.0,,0.0
08/01/2020 13:00:00.000000,26.0,10.0,,0.0
08/01/2020 14:00:00.000000,18.0,24.0,,0.0
08/01/2020 15:00:00.000000,19.0,29.0,,0.0
08/01/2020 16:00:00.000000,17.0,42.0,,0.0
08/01/2020 17:00:00.000000,9.0,60.0,,0.0
08/01/2020 18:00:00.000000,3.0,64.0,,0.0
08/01/2020 19:00:00.000000,1.0,60.0,,0.0
08/01/2020 20:00:00.000000,1.0,61.0,,0.0
08/01/2020 21:00:00.000000,2.0,64.0,,0.0
08/01/2020 22:00:00.000000,2.0,58.0,,0.0
08/01/2020 23:00:00.000000,2.0,56.0,,0.0
08/02/2020 00:00:00.000000,2.0,53.0,,0.0
08/02/2020 01:00:00.000000,3.0,51.0,,0.0
08/02/2020 02:00:00.000000,6.0,44.0,,0.0
08/02/2020 03:00:00.000000,9.0,36.0,,0.0
08/02/2020 04:00:00.000000,,34.0,,0.0
08/02/2020 05:00:00.000000,9.0,33.0,,0.0
08/02/2020 06:00:00.000000,13.0,25.0,,0.0
08/02/2020 07:00:00.000000,19.0,17.0,,0.0
08/02/2020 08:00:00.000000,16.0,15.0,,0.0
08/02/2020 09:00:00.000000,16.0,12.0,,0.0
08/02/2020 10:00:00.000000,13.0,18.0,,0.0
08/02/2020 11:00:00.000000,8.0,25.0,,0.0
08/02/2020 12:00:00.000000,5.0,27.0,,0.0
08/02/2020 13:00:00.000000,6.0,25.0,,0.0
08/02/2020 14:00:00.000000,5.0,30.0,,0.0
08/02/2020 15:00:00.000000,5.0,36.0,,0.0
08/02/2020 16:00:00.000000,4.0,43.0,,0.0
08/02/2020 17:00:00.000000,4.0,49.0,,0.0
08/02/2020 18:00:00.000000,3.0,57.0,,0.0
08/02/2020 19:00:00.000000,2.0,60.0,,0.0
08/02/2020 20:00:00.000000,2.0,64.0,,0.0
08/02/2020 21:00:00.000000,3.0,67.0,,0.0
08/02/2020 22:00:00.000000,3.0,65.0,,0.0
08/02/2020 23:00:00.000000,3.0,65.0,,0.0
08/03/2020 00:00:00.000000,4.0,59.0,,0.0
08/03/2020 01:00:00.000000,2.0,48.0,,0.0
08/03/2020 02:00:00.000000,4.0,54.0,,0.0
08/03/2020 03:00:00.000000,4.0,52.0,,0.0
08/03/2020 04:00:00.000000,,42.0,,0.0
08/03/2020 05:00:00.000000,7.0,39.0,,0.0
08/03/2020 06:00:00.000000,8.0,32.0,,0.0
08/03/2020 07:00:00.000000,4.0,34.0,,0.0
08/03/2020 08:00:00.000000,4.0,32.0,,0.0
08/03/2020 09:00:00.000000,4.0,29.0,,0.0
08/03/2020 10:00:00.000000,5.0,26.0,,0.0
08/03/2020 11:00:00.000000,8.0,22.0,,0.0
08/03/2020 12:00:00.000000,14.0,18.0,,0.0
08/03/2020 13:00:00.000000,11.0,24.0,,0.0
08/03/2020 14:00:00.000000,6.0,,,0.0
08/03/2020 15:00:00.000000,5.0,,,
08/03/2020 16:00:00.000000,4.0,,,0.0
08/03/2020 17:00:00.000000,5.0,,,0.0
08/03/2020 18:00:00.000000,5.0,,,0.0
08/03/2020 19:00:00.000000,4.0,,,0.0
08/03/2020 20:00:00.000000,5.0,,,0.0
08/03/2020 21:00:00.000000,5.0,,,0.0
08/03/2020 22:00:00.000000,6.0,,,0.0
08/03/2020 23:00:00.000000,6.0,,,0.0
08/04/2020 00:00:00.000000,5.0,,,0.0
08/04/2020 01:00:00.000000,5.0,,,0.0
08/04/2020 02:00:00.000000,7.0,,,0.0
08/04/2020 03:00:00.000000,8.0,,,0.0
