InstrumentName, CAMP,,,,,
StartTime, 2020-08-01 00:00:00,,,,,
EndTime, 2020-08-31 23:59:59,,,,,
Date,CO,NO2,O3,PM10,PM2.5,SO2
08/01/2020 00:00:00.000000,0.2,11.0,50.0,17.3,7.7,0.0
08/01/2020 01:00:00.000000,0.2,14.0,44.0,11.7,6.3,0.0
08/01/2020 02:00:00.000000,0.2,11.0,46.0,13.7,7.1,0.0
08/01/2020 03:00:00.000000,0.1,6.0,54.0,11.6,4.6,0.0
08/01/2020 04:00:00.000000,0.1,,48.0,8.2,4.4,0.0
08/01/2020 05:00:00.000000,0.1,6.0,52.0,11.1,4.8,0.0
08/01/2020 06:00:00.000000,0.1,5.0,50.0,3.8,2.5,0.0
08/01/2020 07:00:00.000000,0.1,5.0,35.0,5.9,4.2,0.0
08/01/2020 08:00:00.000000,0.2,10.0,36.0,6.3,3.9,0.0
08/01/2020 09:00:00.000000,0.1,9.0,33.0,8.0,5.0,0.0
08/01/2020 10:00:00.000000,0.1,6.0,30.0,8.4,5.6,0.0
08/01/2020 11:00:00.000000,0.1,8.0,26.0,9.5,6.4,0.0
08/01/2020 12:00:00.000000,0.2,11.0,22.0,12.2,7.0,0.0
08/01/2020 13:00:00.000000,0.2,11.0,23.0,14.3,7.5,0.0
08/01/2020 14:00:00.000000,0.2,11.0,28.0,16.1,8.2,0.0
08/01/2020 15:00:00.000000,0.2,10.0,37.0,15.6,7.8,0.0
08/01/2020 16:00:00.000000,0.1,6.0,51.0,9.0,6.2,0.0
08/01/2020 17:00:00.000000,0.1,4.0,60.0,8.6,5.9,0.0
08/01/2020 18:00:00.000000,0.1,3.0,61.0,8.3,5.7,0.0
08/01/2020 19:00:00.000000,0.2,4.0,62.0,8.9,5.9,0.0
08/01/2020 20:00:00.000000,0.1,5.0,56.0,10.0,6.3,0.0
08/01/2020 21:00:00.000000,0.2,5.0,59.0,11.2,6.6,0.0
08/01/2020 22:00:00.000000,0.1,4.0,60.0,17.7,6.9,0.0
08/01/2020 23:00:00.000000,0.1,5.0,55.0,10.5,5.3,0.0
08/02/2020 00:00:00.000000,0.2,8.0,49.0,9.9,5.2,0.0
08/02/2020 01:00:00.000000,0.1,6.0,49.0,11.5,5.5,0.0
08/02/2020 02:00:00.000000,0.2,6.0,50.0,9.8,5.5,0.0
08/02/2020 03:00:00.000000,0.2,7.0,44.0,11.2,6.6,0.0
08/02/2020 04:00:00.000000,0.3,,31.0,13.8,8.0,0.0
08/02/2020 05:00:00.000000,0.3,20.0,25.0,15.4,9.1,0.0
08/02/2020 06:00:00.000000,0.2,12.0,31.0,14.3,8.4,0.0
08/02/2020 07:00:00.000000,0.2,8.0,28.0,14.2,8.2,0.0
08/02/2020 08:00:00.000000,0.1,5.0,42.0,6.9,5.3,0.0
08/02/2020 09:00:00.000000,0.1,5.0,42.0,5.9,4.7,0.0
08/02/2020 10:00:00.000000,0.2,18.0,18.0,13.2,9.1,0.0
08/02/2020 11:00:00.000000,0.1,10.0,29.0,8.8,6.3,0.0
08/02/2020 12:00:00.000000,0.1,20.0,18.0,10.1,7.4,0.0
08/02/2020 13:00:00.000000,0.1,7.0,26.0,16.4,11.2,0.0
08/02/2020 14:00:00.000000,0.1,9.0,27.0,20.6,14.0,0.0
08/02/2020 15:00:00.000000,0.1,7.0,34.0,20.8,13.7,0.0
08/02/2020 16:00:00.000000,0.2,6.0,42.0,19.7,13.6,0.0
08/02/2020 17:00:00.000000,0.1,6.0,48.0,17.5,11.6,0.0
08/02/2020 18:00:00.000000,0.1,6.0,57.0,20.0,13.3,0.0
08/02/2020 19:00:00.000000,0.1,6.0,67.0,17.2,10.9,0.0
08/02/2020 20:00:00.000000,0.1,6.0,69.0,14.0,8.9,0.0
08/02/2020 21:00:00.000000,0.2,7.0,65.0,14.5,9.2,0.0
08/02/2020 22:00:00.000000,0.1,6.0,67.0,14.9,9.4,0.0
08/02/2020 23:00:00.000000,0.2,6.0,71.0,14.2,9.4,0.0
08/03/2020 00:00:00.000000,0.2,10.0,57.0,13.1,7.7,0.0
08/03/2020 01:00:00.000000,0.3,8.0,54.0,11.6,6.7,0.0
08/03/2020 02:00:00.000000,0.2,10.0,47.0,12.1,7.3,0.0
08/03/2020 03:00:00.000000,0.2,13.0,43.0,11.3,7.2,0.0
08/03/2020 04:00:00.000000,0.2,,40.0,10.2,7.0,0.0
